,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,04/03/2020,12:58:44
1,2,,,,,07/03/2020,16:20:51
2,3,,,,,13/03/2020,10:52:48
3,9,,,,,14/03/2020,11:03:36
4,10,,,,,15/03/2020,02:13:33
5,9,,,,,15/03/2020,07:41:23
6,11,,,,,15/03/2020,10:26:44
7,18,,,,,16/03/2020,11:19:25
8,47,,,,,17/03/2020,08:19:33
9,58,1.0,,,,18/03/2020,09:03:01
10,72,1.0,,,,19/03/2020,08:17:49
11,80,2.0,,,,20/03/2020,08:58:28
12,80,3.0,,,,20/03/2020,11:39:27
13,92,3.0,,,,21/03/2020,08:30:14
14,115,3.0,,,,22/03/2020,14:31:27
15,118,14.0,,,,23/03/2020,07:58:21
16,118,23.0,,,,23/03/2020,19:48:12
17,122,23.0,,,,24/03/2020,10:31:11
18,122,33.0,,,,24/03/2020,21:33:32
19,132,38.0,,,,25/03/2020,09:30:29
20,140,47.0,,,,26/03/2020,07:51:29
21,140,54.0,,,,27/03/2020,07:55:13
22,144,54.0,,,,27/03/2020,10:29:23
23,155,54.0,,,,28/03/2020,12:59:29
24,159,70.0,,,,29/03/2020,07:36:32
25,168,70.0,,,,30/03/2020,11:30:05
26,169,74.0,,,,31/03/2020,06:51:21
27,173,75.0,,,,01/04/2020,07:09:08
28,177,81.0,,,,02/04/2020,07:01:49
29,179,91.0,,,,03/04/2020,06:58:38
30,179,91.0,,4653.0,,04/04/2020,03:58:25
31,181,93.0,,4800.0,,04/04/2020,08:29:36
32,181,99.0,,4890.0,,05/04/2020,07:48:08
33,183,107.0,,4934.0,,06/04/2020,06:51:22
34,184,129.0,,5035.0,,07/04/2020,06:54:48
35,184,120.0,,5035.0,,07/04/2020,13:28:23
36,184,131.0,,5153.0,,08/04/2020,06:52:05
37,184,136.0,,5299.0,,09/04/2020,07:07:56
38,184,145.0,,5408.0,,10/04/2020,06:47:54
39,184,157.0,,5509.0,,12/04/2020,07:49:01
40,184,163.0,,5602.0,,14/04/2020,06:58:03
41,184,166.0,,5677.0,,15/04/2020,06:38:25
42,184,169.0,,5765.0,,16/04/2020,07:00:06
43,184,171.0,,5846.0,,17/04/2020,07:00:06
44,184,173.0,,5981.0,,18/04/2020,06:00:29
45,185,176.0,,6021.0,,19/04/2020,07:18:13
46,185,177.0,,6021.0,,21/04/2020,00:07:03
