,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,03/04/2020,22:27:02
1,2,,,,,05/04/2020,18:50:04
2,5,1.0,,137.0,,08/04/2020,18:33:50
3,11,1.0,,137.0,,14/04/2020,16:00:08
4,11,3.0,,319.0,,18/04/2020,06:00:29
5,12,11.0,,337.0,,23/04/2020,07:00:05
6,13,11.0,,353.0,,25/04/2020,04:52:33
7,13,11.0,,372.0,,30/04/2020,05:27:42
8,13,13.0,,372.0,,01/05/2020,06:53:40
9,13,13.0,,388.0,,02/05/2020,20:01:09
10,13,13.0,,395.0,,07/05/2020,20:30:27
11,13,13.0,,388.0,,07/05/2020,21:17:20
12,13,13.0,,395.0,,07/05/2020,23:49:20
13,13,13.0,,402.0,,09/05/2020,12:15:23
14,13,13.0,,426.0,3467.0,19/05/2020,19:31:27
15,13,13.0,,445.0,3468.0,23/05/2020,16:30:04
16,13,13.0,,466.0,3469.0,26/05/2020,22:00:36
17,13,13.0,,466.0,3469.0,27/05/2020,16:10:09
18,13,13.0,,503.0,3469.0,28/05/2020,02:48:08
19,13,13.0,0.0,503.0,3470.0,29/05/2020,00:22:14
20,13,13.0,0.0,535.0,3471.0,04/06/2020,00:18:24
21,13,13.0,0.0,671.0,3473.0,12/06/2020,10:31:33
22,13,13.0,0.0,981.0,3476.0,20/06/2020,15:00:04
23,13,13.0,0.0,1027.0,3477.0,25/06/2020,03:04:22
24,13,13.0,0.0,1197.0,3479.0,02/07/2020,08:21:39
25,13,13.0,0.0,1393.0,3481.0,09/07/2020,09:23:45
26,13,13.0,0.0,1660.0,3483.0,15/07/2020,21:45:25
27,13,13.0,0.0,1816.0,3485.0,23/07/2020,02:33:18
28,13,13.0,0.0,2256.0,3489.0,07/08/2020,18:48:24
29,13,13.0,0.0,2261.0,3499.0,11/09/2020,00:35:07
30,13,13.0,0.0,2682.0,3507.0,09/10/2020,23:30:31
31,13,13.0,0.0,3417.0,3515.0,07/11/2020,00:01:25
