,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,19/03/2020,03:50:47
1,2,,,,,21/03/2020,05:32:26
2,3,,,,,23/03/2020,05:32:09
3,4,,,,,24/03/2020,03:38:12
4,5,,,,,25/03/2020,04:44:55
5,7,,,,,02/04/2020,05:05:12
6,12,,,,,04/04/2020,07:30:42
7,14,,,,,06/04/2020,03:30:13
8,15,,,,,07/04/2020,03:14:09
9,16,,,,,10/04/2020,03:03:32
10,17,,,,,16/04/2020,05:00:04
11,18,3.0,,,,20/04/2020,05:03:27
12,18,8.0,,,,22/04/2020,00:00:07
13,18,10.0,,900.0,,24/04/2020,07:58:26
14,18,12.0,,900.0,,26/04/2020,21:30:35
15,18,12.0,,1007.0,,26/04/2020,23:18:02
16,18,14.0,,1007.0,,02/05/2020,04:03:07
17,18,14.0,,1300.0,,06/05/2020,03:30:14
18,18,15.0,,1300.0,895606.0,15/05/2020,18:55:43
19,18,15.0,,2400.0,895819.0,27/05/2020,08:32:32
20,18,15.0,,2400.0,895819.0,27/05/2020,16:10:09
21,18,15.0,,2431.0,895837.0,28/05/2020,02:48:08
22,18,15.0,0.0,2431.0,895854.0,29/05/2020,00:22:14
23,18,18.0,0.0,2431.0,895961.0,04/06/2020,22:01:07
24,18,18.0,0.0,4000.0,896262.0,21/06/2020,02:31:20
25,19,18.0,0.0,4000.0,896528.0,06/07/2020,02:02:45
26,21,18.0,0.0,4000.0,896546.0,07/07/2020,02:48:04
27,26,18.0,0.0,4000.0,896599.0,10/07/2020,04:00:24
28,27,18.0,0.0,4000.0,896776.0,20/07/2020,05:33:09
29,27,18.0,1.0,6693.0,896971.0,31/07/2020,06:27:49
30,28,18.0,1.0,6693.0,897201.0,13/08/2020,06:49:53
31,28,20.0,1.0,6693.0,897201.0,13/08/2020,08:25:54
32,28,23.0,1.0,6693.0,897378.0,23/08/2020,04:31:19
33,28,23.0,2.0,6693.0,897449.0,27/08/2020,06:19:04
34,29,23.0,2.0,6693.0,897538.0,01/09/2020,22:33:23
35,29,23.0,2.0,7986.0,897538.0,01/09/2020,23:59:33
36,29,23.0,2.0,8365.0,897591.0,04/09/2020,23:59:57
37,31,24.0,2.0,8646.0,897609.0,05/09/2020,20:22:03
38,32,24.0,2.0,8646.0,897680.0,09/09/2020,05:40:46
39,32,24.0,2.0,9076.0,897680.0,09/09/2020,06:54:37
40,32,26.0,2.0,9570.0,897822.0,17/09/2020,23:51:41
41,32,28.0,2.0,9912.0,897910.0,22/09/2020,15:01:57
42,32,28.0,2.0,10385.0,898105.0,03/10/2020,13:35:30
43,32,28.0,2.0,11034.0,898194.0,08/10/2020,00:43:49
44,32,28.0,2.0,11318.0,898229.0,10/10/2020,09:49:22
45,32,30.0,2.0,11508.0,898282.0,13/10/2020,20:16:58
46,32,30.0,2.0,11771.0,898318.0,15/10/2020,09:03:53
47,33,30.0,2.0,12125.0,898424.0,21/10/2020,11:10:24
48,33,31.0,2.0,12527.0,898548.0,28/10/2020,12:23:23
49,34,31.0,2.0,12527.0,898584.0,30/10/2020,07:31:23
