,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,0.0,,,29/01/2020,19:56:57
1,1,,,,,02/02/2020,16:27:45
2,1,1.0,,,,06/02/2020,23:02:52
3,2,1.0,,,,26/02/2020,17:09:42
4,3,1.0,,,,28/02/2020,21:37:13
5,5,1.0,,,,01/03/2020,11:53:07
6,6,1.0,,,,01/03/2020,20:04:42
7,7,1.0,,,,03/03/2020,01:42:45
8,12,1.0,,,,05/03/2020,09:37:21
9,15,1.0,,,,06/03/2020,09:33:10
10,19,1.0,,,,07/03/2020,11:50:28
11,23,1.0,,,,08/03/2020,10:25:07
12,24,1.0,,,,08/03/2020,18:35:03
13,25,1.0,,,,08/03/2020,21:26:34
14,30,1.0,,,,09/03/2020,11:21:23
15,33,1.0,,,,09/03/2020,17:28:05
16,35,1.0,,,,10/03/2020,08:34:40
17,40,1.0,,,,10/03/2020,09:39:08
18,58,1.0,,,,11/03/2020,12:13:51
19,59,1.0,,,,11/03/2020,12:34:53
20,65,1.0,,,,12/03/2020,03:34:39
21,109,1.0,,,,12/03/2020,12:36:57
22,155,1.0,,,,13/03/2020,09:39:18
23,156,1.0,,,,14/03/2020,08:46:05
24,215,1.0,,,,14/03/2020,11:35:52
25,225,1.0,,,,14/03/2020,15:34:10
26,225,9.0,,,,14/03/2020,22:08:07
27,225,10.0,,,,14/03/2020,23:07:41
28,237,10.0,,,,15/03/2020,08:45:12
29,240,10.0,,,,15/03/2020,09:25:51
30,244,10.0,,,,15/03/2020,10:12:45
31,266,10.0,,,,16/03/2020,10:06:33
32,269,10.0,,,,16/03/2020,11:19:25
33,278,10.0,,,,16/03/2020,11:53:34
34,294,10.0,,,,17/03/2020,09:42:54
35,319,10.0,,,,17/03/2020,12:10:21
36,321,10.0,,,,17/03/2020,12:17:24
37,322,10.0,,,,17/03/2020,13:53:18
38,333,10.0,,,,18/03/2020,09:55:52
39,359,10.0,,,,18/03/2020,12:26:14
40,387,10.0,,,,19/03/2020,10:07:58
41,400,10.0,,,,19/03/2020,12:30:03
42,430,10.0,,,,20/03/2020,11:39:27
43,450,10.0,,,,20/03/2020,13:00:35
44,503,10.0,,,,21/03/2020,09:30:23
45,512,10.0,,,,21/03/2020,12:01:55
46,521,10.0,,,,21/03/2020,12:50:09
47,521,10.0,1.0,,,21/03/2020,13:27:55
48,523,10.0,1.0,,,21/03/2020,19:16:52
49,594,10.0,1.0,,,22/03/2020,10:30:08
50,626,10.0,1.0,,,22/03/2020,12:18:47
51,686,10.0,1.0,,,23/03/2020,10:00:55
52,700,10.0,1.0,,,23/03/2020,12:59:05
53,774,10.0,1.0,,,24/03/2020,09:50:03
54,782,10.0,1.0,,,24/03/2020,10:00:15
55,792,10.0,1.0,,,24/03/2020,11:30:04
56,841,10.0,3.0,,,25/03/2020,10:00:56
