,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,4,,0.0,,,29/01/2020,19:56:57
1,5,,0.0,,,30/01/2020,09:35:54
2,6,,0.0,,,31/01/2020,02:54:22
3,6,,,,,02/02/2020,16:27:45
4,11,,,,,08/02/2020,14:51:42
5,11,2.0,,,,13/02/2020,17:47:19
6,11,3.0,,,,14/02/2020,23:27:53
7,12,4.0,1.0,,,16/02/2020,03:02:15
8,12,5.0,1.0,,,18/02/2020,01:13:07
9,12,7.0,1.0,,,19/02/2020,03:43:10
10,12,10.0,1.0,,,22/02/2020,21:21:14
11,12,83.0,1.0,,,24/02/2020,13:25:00
12,12,10.0,1.0,,,24/02/2020,15:57:52
13,12,11.0,1.0,,,24/02/2020,19:23:56
14,14,11.0,1.0,,,25/02/2020,19:09:59
15,17,11.0,2.0,,,26/02/2020,09:31:38
16,18,11.0,2.0,,,26/02/2020,20:34:27
17,28,11.0,2.0,,,27/02/2020,19:25:12
18,38,11.0,2.0,,,27/02/2020,21:21:37
19,40,11.0,2.0,,,28/02/2020,07:43:26
20,41,11.0,2.0,,,28/02/2020,08:54:05
21,57,11.0,2.0,,,28/02/2020,20:48:39
22,60,11.0,2.0,,,29/02/2020,13:22:09
23,73,12.0,2.0,,,29/02/2020,14:03:20
24,100,12.0,2.0,,,29/02/2020,19:20:46
25,104,12.0,2.0,,,01/03/2020,11:21:36
26,130,12.0,2.0,,,01/03/2020,20:04:42
27,191,12.0,3.0,,,02/03/2020,20:07:52
28,191,12.0,4.0,,,02/03/2020,22:36:28
29,191,12.0,3.0,,,02/03/2020,22:37:24
30,204,12.0,4.0,,,03/03/2020,15:24:53
31,212,12.0,4.0,,,03/03/2020,20:41:20
32,257,12.0,4.0,,,04/03/2020,17:26:21
33,285,12.0,4.0,,,04/03/2020,20:08:04
34,288,12.0,4.0,,,05/03/2020,14:17:35
35,377,12.0,4.0,,,05/03/2020,14:56:38
36,377,12.0,6.0,,,05/03/2020,16:13:03
37,423,12.0,7.0,,,05/03/2020,21:15:12
38,577,12.0,9.0,,,06/03/2020,13:44:08
39,653,12.0,9.0,,,06/03/2020,19:57:53
40,716,12.0,11.0,,,07/03/2020,13:56:10
41,949,12.0,16.0,,,07/03/2020,20:46:41
42,1126,12.0,19.0,,,08/03/2020,18:35:03
43,1209,12.0,19.0,,,09/03/2020,00:04:38
44,1209,12.0,21.0,,,09/03/2020,15:26:57
45,1412,12.0,30.0,,,09/03/2020,18:26:54
46,1606,12.0,30.0,,,10/03/2020,15:25:47
47,1784,12.0,33.0,,,10/03/2020,19:15:49
48,2281,12.0,48.0,,,11/03/2020,19:21:55
49,2876,12.0,61.0,,,12/03/2020,19:40:23
50,3661,12.0,79.0,,,13/03/2020,18:38:21
51,4499,12.0,91.0,,,14/03/2020,18:53:39
52,4469,12.0,91.0,,,14/03/2020,19:54:23
53,4499,12.0,91.0,,,15/03/2020,09:56:00
54,5423,12.0,127.0,,,15/03/2020,19:57:34
55,6633,12.0,148.0,,,16/03/2020,19:49:35
56,7730,602.0,175.0,,,17/03/2020,18:51:29
57,9134,602.0,439.0,,,18/03/2020,18:29:33
58,9134,602.0,264.0,,,18/03/2020,18:51:01
59,10995,602.0,372.0,,,19/03/2020,18:51:51
60,10995,1295.0,372.0,,,19/03/2020,22:27:23
61,12612,1295.0,450.0,,,20/03/2020,18:39:07
62,12612,1587.0,450.0,,,20/03/2020,22:30:55
63,14459,1587.0,562.0,,,21/03/2020,18:20:01
64,16018,2200.0,674.0,,,22/03/2020,19:01:04
65,16481,2200.0,674.0,,,23/03/2020,11:25:55
66,16689,2200.0,674.0,,,23/03/2020,13:33:23
67,19856,2200.0,860.0,,,23/03/2020,18:18:07
68,22304,3281.0,1100.0,,,24/03/2020,19:01:12
69,25233,3900.0,1331.0,,,25/03/2020,18:54:54
70,29155,4948.0,1696.0,,,26/03/2020,18:37:05
71,32964,5700.0,1995.0,,,27/03/2020,18:27:26
72,37575,5700.0,2314.0,,,28/03/2020,18:25:32
73,37575,7131.0,2606.0,,,29/03/2020,17:23:05
74,37575,7202.0,2606.0,,,29/03/2020,17:30:04
