,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,5,,,,,08/03/2020,03:53:53
1,6,,,,,12/03/2020,10:42:01
2,7,,,,,14/03/2020,16:34:03
3,11,,,,,16/03/2020,13:33:06
4,15,,,,,19/03/2020,02:37:17
5,18,,,,,21/03/2020,18:10:28
6,20,6.0,,,,23/03/2020,14:18:53
7,23,6.0,,,,24/03/2020,09:01:33
8,28,6.0,,,,25/03/2020,20:28:03
9,43,6.0,,,,29/03/2020,23:24:59
10,51,15.0,,,,31/03/2020,23:53:08
11,57,22.0,,,,03/04/2020,16:45:29
12,61,22.0,,,,04/04/2020,22:45:19
13,68,27.0,,,,05/04/2020,23:37:27
14,72,34.0,,,,06/04/2020,23:22:56
15,77,34.0,,,,07/04/2020,23:51:10
16,83,43.0,,,,08/04/2020,23:21:58
17,86,51.0,,,,12/04/2020,01:00:04
18,96,61.0,,,,17/04/2020,09:00:05
19,96,64.0,,,,18/04/2020,12:00:04
20,97,69.0,,,,19/04/2020,23:00:27
21,97,69.0,1.0,,,20/04/2020,18:00:06
22,97,76.0,1.0,,,21/04/2020,07:00:08
23,97,83.0,1.0,,,22/04/2020,04:12:31
24,107,84.0,1.0,,,23/04/2020,00:00:05
25,111,87.0,1.0,,,24/04/2020,22:52:58
26,124,91.0,1.0,,,28/04/2020,02:05:53
27,125,93.0,1.0,,,29/04/2020,00:04:29
28,126,94.0,1.0,,,30/04/2020,11:27:25
29,128,98.0,1.0,,,01/05/2020,12:32:18
30,133,100.0,1.0,,,04/05/2020,16:48:42
31,138,111.0,1.0,,,06/05/2020,03:30:14
32,138,112.0,1.0,,,07/05/2020,03:30:36
33,141,113.0,1.0,,,08/05/2020,22:03:24
34,141,119.0,1.0,,,09/05/2020,02:30:04
35,144,122.0,1.0,,,10/05/2020,03:12:15
36,153,124.0,1.0,,,13/05/2020,03:30:55
37,164,124.0,1.0,,,14/05/2020,22:15:16
38,189,124.0,1.0,,297623.0,16/05/2020,00:03:01
39,197,125.0,1.0,,297623.0,16/05/2020,23:00:04
40,210,131.0,1.0,,297687.0,19/05/2020,00:06:01
41,218,136.0,1.0,,297708.0,20/05/2020,00:09:48
42,237,136.0,1.0,,297729.0,21/05/2020,07:23:54
43,249,137.0,1.0,,297729.0,21/05/2020,23:35:30
44,261,141.0,1.0,,297751.0,22/05/2020,23:36:55
45,279,143.0,1.0,,297772.0,23/05/2020,22:01:48
46,328,145.0,1.0,,297814.0,25/05/2020,00:30:26
47,353,146.0,1.0,,297814.0,25/05/2020,23:42:52
48,384,146.0,1.0,,297835.0,26/05/2020,22:30:05
49,384,146.0,1.0,,297857.0,27/05/2020,16:10:09
50,406,150.0,1.0,,297857.0,27/05/2020,22:10:21
51,409,150.0,1.0,,297878.0,28/05/2020,23:27:44
52,436,161.0,1.0,,297899.0,29/05/2020,00:24:09
53,450,172.0,1.0,,297899.0,29/05/2020,23:26:29
54,477,185.0,1.0,,297920.0,30/05/2020,23:21:14
55,499,200.0,1.0,,297942.0,31/05/2020,23:28:35
56,517,207.0,1.0,,297984.0,02/06/2020,15:00:47
57,533,254.0,1.0,,298005.0,03/06/2020,14:28:13
58,556,296.0,1.0,,298026.0,04/06/2020,13:33:36
59,589,321.0,1.0,,298048.0,05/06/2020,13:00:05
60,639,348.0,1.0,,298069.0,06/06/2020,15:34:04
61,689,383.0,1.0,277.0,298090.0,07/06/2020,13:34:40
62,729,400.0,2.0,277.0,298111.0,08/06/2020,15:47:57
63,773,427.0,2.0,277.0,298133.0,09/06/2020,13:01:51
64,865,457.0,2.0,277.0,298154.0,10/06/2020,18:54:14
65,917,462.0,2.0,277.0,298175.0,11/06/2020,13:53:01
66,1043,489.0,2.0,277.0,298196.0,12/06/2020,15:32:37
67,1161,520.0,2.0,277.0,298217.0,13/06/2020,19:32:47
68,1255,534.0,3.0,277.0,298239.0,14/06/2020,15:34:13
69,1326,552.0,3.0,277.0,298260.0,15/06/2020,19:03:30
70,1421,619.0,5.0,277.0,298281.0,16/06/2020,19:30:14
71,1554,663.0,5.0,277.0,298302.0,17/06/2020,13:57:10
72,1758,784.0,5.0,277.0,298324.0,18/06/2020,15:27:59
73,1969,840.0,5.0,277.0,298345.0,19/06/2020,18:00:15
74,2163,890.0,5.0,277.0,298366.0,20/06/2020,15:00:04
75,2163,890.0,5.0,8061.0,298387.0,21/06/2020,04:31:58
76,2441,930.0,6.0,8061.0,298387.0,21/06/2020,16:52:59
77,2458,972.0,8.0,8061.0,298408.0,22/06/2020,19:47:46
78,2593,1016.0,8.0,8061.0,298430.0,23/06/2020,16:47:30
79,2827,1056.0,9.0,8061.0,298451.0,24/06/2020,20:12:01
80,3033,1096.0,10.0,8061.0,298472.0,25/06/2020,17:00:51
81,3270,1166.0,11.0,8061.0,298493.0,26/06/2020,21:00:25
82,3461,1249.0,12.0,8061.0,298515.0,27/06/2020,18:02:25
83,3774,1352.0,15.0,8061.0,298557.0,29/06/2020,16:39:12
84,4004,1508.0,15.0,8707.0,298578.0,30/06/2020,14:36:13
85,4268,1602.0,16.0,8707.0,298599.0,01/07/2020,16:29:51
86,4444,1680.0,16.0,8707.0,298621.0,02/07/2020,15:02:11
87,4558,1777.0,16.0,8707.0,298642.0,03/07/2020,14:49:50
88,4913,1866.0,16.0,8707.0,298663.0,04/07/2020,18:00:49
89,5054,1984.0,20.0,8707.0,298706.0,06/07/2020,19:30:05
90,5178,2119.0,21.0,8707.0,298727.0,07/07/2020,18:02:32
91,5459,2349.0,22.0,8707.0,298748.0,08/07/2020,17:01:41
92,5558,2555.0,22.0,8707.0,298769.0,09/07/2020,14:30:24
93,5704,2785.0,23.0,8707.0,298790.0,10/07/2020,17:30:24
94,5949,2981.0,26.0,8707.0,298812.0,11/07/2020,16:30:07
95,5949,2981.0,26.0,9895.0,298854.0,13/07/2020,13:03:24
96,6170,3210.0,29.0,9895.0,298854.0,13/07/2020,15:23:42
97,6170,3210.0,29.0,10919.0,298875.0,14/07/2020,08:49:05
98,6229,3472.0,31.0,10919.0,298875.0,14/07/2020,18:10:42
99,6229,3472.0,31.0,11273.0,298897.0,15/07/2020,08:11:00
100,6299,3738.0,33.0,11273.0,298897.0,15/07/2020,21:45:25
101,6299,3738.0,33.0,11609.0,298918.0,16/07/2020,07:58:51
102,6393,3818.0,34.0,11609.0,298918.0,16/07/2020,14:58:26
103,6393,3818.0,34.0,12013.0,298939.0,17/07/2020,08:31:18
104,6509,3932.0,34.0,12013.0,298939.0,17/07/2020,16:45:53
105,6509,3932.0,34.0,12289.0,298960.0,18/07/2020,07:06:28
106,6655,4272.0,37.0,12289.0,298960.0,18/07/2020,18:31:30
107,6655,4272.0,37.0,13337.0,298981.0,19/07/2020,07:13:40
108,6745,4714.0,38.0,33097.0,299003.0,20/07/2020,22:01:10
109,6851,4996.0,39.0,33771.0,299024.0,21/07/2020,19:05:38
110,6883,5277.0,39.0,33771.0,299045.0,22/07/2020,19:05:01
111,7086,5376.0,40.0,34799.0,299066.0,23/07/2020,19:00:46
112,7251,5522.0,41.0,35701.0,299088.0,24/07/2020,17:00:07
113,7332,5767.0,41.0,36205.0,299109.0,25/07/2020,23:02:39
114,7514,6047.0,42.0,37081.0,299151.0,27/07/2020,23:11:50
115,7562,6106.0,43.0,37499.0,299172.0,28/07/2020,18:17:03
116,7647,6176.0,43.0,38199.0,299194.0,29/07/2020,16:38:05
117,7728,6270.0,43.0,38199.0,299215.0,30/07/2020,15:01:54
118,7799,6386.0,43.0,39369.0,299236.0,31/07/2020,22:51:18
119,7857,6531.0,43.0,39369.0,299257.0,01/08/2020,18:49:15
120,7948,6767.0,44.0,39369.0,299300.0,03/08/2020,18:32:24
121,7998,6873.0,45.0,40614.0,299321.0,04/08/2020,20:32:04
122,8069,7075.0,47.0,41090.0,299342.0,05/08/2020,17:33:44
123,8127,7240.0,47.0,41412.0,299363.0,06/08/2020,19:48:55
124,8204,7320.0,47.0,42101.0,299385.0,07/08/2020,22:53:45
125,8267,7501.0,48.0,42582.0,299406.0,08/08/2020,23:31:07
126,8324,7549.0,49.0,43127.0,299448.0,10/08/2020,23:59:25
127,8360,7632.0,49.0,43127.0,299470.0,11/08/2020,22:54:27
128,8423,7713.0,50.0,43220.0,299491.0,12/08/2020,20:12:23
129,8471,7784.0,51.0,43758.0,299512.0,13/08/2020,19:56:57
130,8549,7841.0,53.0,44435.0,299533.0,14/08/2020,20:41:01
131,8588,7893.0,53.0,46077.0,299554.0,15/08/2020,22:48:57
132,8622,7985.0,53.0,46563.0,299597.0,17/08/2020,16:15:34
133,8657,8054.0,53.0,46563.0,299618.0,18/08/2020,19:50:03
134,8711,8112.0,54.0,47767.0,299639.0,19/08/2020,16:28:49
135,8743,8189.0,54.0,48382.0,299661.0,20/08/2020,19:16:30
136,8777,8251.0,55.0,48827.0,299682.0,21/08/2020,23:15:07
137,8797,8307.0,55.0,49036.0,299703.0,22/08/2020,20:30:53
138,8875,8363.0,56.0,49704.0,299745.0,24/08/2020,22:29:15
