,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,12/03/2020,00:47:00
1,3,,,,,13/03/2020,10:13:01
2,5,,,,,19/03/2020,02:37:17
3,6,,,,,19/03/2020,04:10:18
4,11,,,,,20/03/2020,05:03:30
5,15,,,,,21/03/2020,07:50:45
6,18,,,,,23/03/2020,00:03:55
7,23,,,,,24/03/2020,05:32:33
8,25,,,,,24/03/2020,21:30:36
9,30,,,,,26/03/2020,19:53:33
10,35,,,,,30/03/2020,10:45:35
11,36,,,,,30/03/2020,21:56:52
12,37,,,,,01/04/2020,00:02:48
13,39,,,,,03/04/2020,18:40:03
14,39,,,554.0,,04/04/2020,03:58:25
15,40,,,583.0,,04/04/2020,19:22:20
16,41,,,612.0,,05/04/2020,18:50:04
17,42,,,618.0,,06/04/2020,19:30:50
18,47,,,694.0,,07/04/2020,18:56:42
19,51,,,744.0,,08/04/2020,19:47:20
20,53,,,889.0,,12/04/2020,19:00:06
21,55,,,920.0,,13/04/2020,11:07:56
22,55,2.0,,920.0,,18/04/2020,02:30:04
23,55,2.0,,1163.0,,18/04/2020,02:42:58
24,55,2.0,,1302.0,,18/04/2020,17:59:20
25,56,19.0,,1515.0,,20/04/2020,22:35:11
26,55,2.0,,1302.0,,21/04/2020,00:00:05
27,56,19.0,,1515.0,,21/04/2020,00:07:03
28,57,35.0,,1655.0,,22/04/2020,00:00:07
29,57,36.0,,1803.0,,23/04/2020,01:00:07
30,57,41.0,,2069.0,,24/04/2020,23:49:16
31,57,43.0,,2266.0,,27/04/2020,06:52:52
32,58,49.0,,2315.0,,28/04/2020,02:05:53
33,58,49.0,,2345.0,,28/04/2020,22:29:04
34,58,50.0,,2409.0,,30/04/2020,00:21:55
35,58,51.0,,2544.0,,01/05/2020,11:16:44
36,58,51.0,,2599.0,,02/05/2020,03:00:26
37,58,51.0,,2634.0,,03/05/2020,02:00:28
38,58,51.0,,2657.0,,04/05/2020,03:14:55
39,58,53.0,,2665.0,,05/05/2020,01:01:30
40,60,54.0,,2697.0,,06/05/2020,00:11:33
41,60,55.0,,2756.0,,07/05/2020,03:00:31
42,60,56.0,,2816.0,,07/05/2020,20:30:27
43,60,55.0,,2756.0,,07/05/2020,21:17:20
44,60,56.0,,2816.0,,08/05/2020,00:30:45
45,60,56.0,,2950.0,,09/05/2020,23:49:42
46,60,56.0,,2965.0,,12/05/2020,15:39:30
47,60,58.0,,3042.0,,12/05/2020,23:44:31
48,60,58.0,,3096.0,,14/05/2020,05:08:27
49,60,59.0,,3170.0,,14/05/2020,22:15:16
50,60,59.0,,3216.0,280704.0,16/05/2020,06:48:01
51,60,60.0,,3496.0,280717.0,19/05/2020,00:06:01
52,60,60.0,,3686.0,280726.0,21/05/2020,07:23:54
53,60,60.0,,3873.0,280735.0,23/05/2020,00:30:16
54,60,60.0,,3964.0,280748.0,26/05/2020,00:52:25
55,60,60.0,,3964.0,280753.0,27/05/2020,16:10:09
56,60,60.0,,4006.0,280757.0,28/05/2020,20:40:25
57,60,60.0,0.0,4006.0,280762.0,29/05/2020,00:22:14
58,60,60.0,0.0,4040.0,280770.0,31/05/2020,19:24:36
59,60,60.0,0.0,4262.0,280797.0,06/06/2020,23:49:36
60,60,60.0,0.0,4578.0,280841.0,16/06/2020,01:00:12
61,60,60.0,0.0,4649.0,280886.0,26/06/2020,04:30:47
62,62,60.0,0.0,4649.0,280899.0,29/06/2020,00:00:12
63,62,62.0,0.0,5390.0,281036.0,30/07/2020,00:15:29
64,64,62.0,0.0,5849.0,281063.0,05/08/2020,02:43:05
65,69,62.0,0.0,6140.0,281076.0,08/08/2020,00:34:30
66,112,62.0,0.0,6525.0,281089.0,11/08/2020,02:47:25
67,139,64.0,0.0,6525.0,281098.0,13/08/2020,02:44:01
68,166,64.0,0.0,6525.0,281107.0,15/08/2020,00:34:49
69,211,68.0,0.0,6525.0,281116.0,17/08/2020,23:59:30
70,211,68.0,0.0,9912.0,281125.0,19/08/2020,09:49:22
71,298,148.0,0.0,9912.0,281138.0,22/08/2020,00:42:30
72,372,148.0,0.0,9912.0,281151.0,25/08/2020,01:10:57
73,415,202.0,0.0,13488.0,281156.0,26/08/2020,23:55:28
74,482,202.0,0.0,14029.0,281165.0,28/08/2020,23:25:52
75,573,205.0,0.0,14029.0,281182.0,01/09/2020,00:32:12
76,573,205.0,0.0,14463.0,281182.0,01/09/2020,22:33:23
77,622,336.0,0.0,15272.0,281187.0,02/09/2020,23:18:17
78,694,360.0,0.0,15272.0,281200.0,05/09/2020,00:19:43
79,773,528.0,0.0,15272.0,281213.0,08/09/2020,01:37:53
80,795,528.0,0.0,17171.0,281218.0,09/09/2020,23:26:03
81,857,576.0,0.0,17171.0,281222.0,10/09/2020,23:56:07
