,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,13/03/2020,13:40:06
1,3,,,,,18/03/2020,06:13:45
2,3,,1.0,,,20/03/2020,11:05:10
3,4,,1.0,,,20/03/2020,22:30:55
4,5,,1.0,,,21/03/2020,20:37:12
5,6,,1.0,,,24/03/2020,02:20:46
6,7,,1.0,,,26/03/2020,07:32:54
7,16,,1.0,,,31/03/2020,06:36:57
8,18,,1.0,,,01/04/2020,07:09:08
9,21,,1.0,,,02/04/2020,22:06:41
10,21,1.0,1.0,,,03/04/2020,05:27:29
11,24,1.0,1.0,,,06/04/2020,06:07:02
12,30,1.0,1.0,,,07/04/2020,08:21:53
13,34,1.0,1.0,,,08/04/2020,22:35:49
14,44,1.0,1.0,,,09/04/2020,19:38:38
15,46,1.0,1.0,,,11/04/2020,17:00:04
16,49,1.0,1.0,,,12/04/2020,05:38:38
17,57,1.0,1.0,,,13/04/2020,11:07:56
18,80,4.0,1.0,,,15/04/2020,06:38:25
19,95,6.0,1.0,,,16/04/2020,23:37:57
20,95,6.0,1.0,572.0,,17/04/2020,14:00:07
21,108,7.0,1.0,572.0,,17/04/2020,20:30:36
22,109,7.0,1.0,572.0,,19/04/2020,16:00:05
23,120,7.0,1.0,572.0,,20/04/2020,23:40:25
24,109,7.0,1.0,572.0,,21/04/2020,00:00:05
25,120,7.0,1.0,572.0,,21/04/2020,00:07:03
26,156,16.0,1.0,572.0,,21/04/2020,21:31:00
27,166,24.0,1.0,572.0,,22/04/2020,22:00:04
28,167,24.0,2.0,572.0,,23/04/2020,17:00:34
29,172,26.0,3.0,572.0,,24/04/2020,22:52:58
30,176,30.0,3.0,572.0,,25/04/2020,23:20:59
31,211,43.0,3.0,724.0,,28/04/2020,02:05:53
32,238,53.0,3.0,724.0,,28/04/2020,22:29:04
33,276,67.0,3.0,724.0,,30/04/2020,00:01:50
34,335,85.0,5.0,724.0,,02/05/2020,21:27:34
35,367,93.0,6.0,724.0,,04/05/2020,20:31:57
36,397,93.0,6.0,724.0,,05/05/2020,22:31:03
37,439,99.0,8.0,724.0,,07/05/2020,07:18:39
38,504,110.0,8.0,724.0,,07/05/2020,20:30:27
39,439,99.0,8.0,724.0,,07/05/2020,21:17:20
40,504,110.0,8.0,724.0,,07/05/2020,21:30:37
41,620,110.0,8.0,724.0,,09/05/2020,00:59:32
42,661,110.0,8.0,724.0,,09/05/2020,22:00:16
43,802,127.0,9.0,724.0,,11/05/2020,23:11:19
44,802,127.0,9.0,5337.0,,12/05/2020,15:39:30
45,863,137.0,9.0,5530.0,,12/05/2020,20:30:16
46,1004,152.0,9.0,5530.0,,14/05/2020,00:32:43
47,1104,182.0,10.0,5530.0,,14/05/2020,22:15:16
48,1104,182.0,10.0,6617.0,2218477.0,15/05/2020,08:30:46
49,1209,219.0,10.0,6617.0,2218477.0,15/05/2020,23:01:13
50,1209,219.0,10.0,7050.0,2218621.0,16/05/2020,00:03:01
51,1320,244.0,11.0,7050.0,2218621.0,16/05/2020,23:00:04
52,1320,244.0,11.0,7445.0,2218765.0,17/05/2020,03:00:44
53,1432,301.0,11.0,7445.0,2219053.0,19/05/2020,00:06:01
54,1432,301.0,11.0,7966.0,2219053.0,19/05/2020,00:47:26
55,1502,318.0,12.0,7966.0,2219197.0,20/05/2020,00:09:48
56,1567,365.0,12.0,7966.0,2219197.0,20/05/2020,22:30:36
57,1567,365.0,12.0,8622.0,2219341.0,21/05/2020,19:08:21
58,1728,402.0,12.0,8622.0,2219485.0,22/05/2020,22:02:18
59,1934,459.0,12.0,9908.0,2219628.0,23/05/2020,23:09:38
60,2135,562.0,14.0,9908.0,2219916.0,25/05/2020,23:02:37
61,2135,562.0,14.0,10683.0,2220060.0,26/05/2020,18:01:58
62,2238,593.0,14.0,10683.0,2220060.0,26/05/2020,21:30:08
63,2238,593.0,14.0,11340.0,2220204.0,27/05/2020,05:30:50
64,2319,631.0,14.0,11340.0,2220204.0,27/05/2020,21:30:45
