,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,17/03/2020,22:52:20
1,1,,1.0,,,23/03/2020,08:39:49
2,2,,1.0,,,23/03/2020,12:31:26
3,3,,1.0,,,24/03/2020,16:30:53
4,4,,1.0,,,29/03/2020,20:02:22
5,4,2.0,1.0,,,01/04/2020,21:57:06
6,9,2.0,1.0,,,11/04/2020,19:00:05
7,9,2.0,1.0,281.0,,11/04/2020,19:25:48
8,9,2.0,1.0,316.0,,17/04/2020,22:00:04
9,10,2.0,1.0,316.0,,19/04/2020,23:00:27
10,10,8.0,1.0,401.0,,24/04/2020,22:52:58
11,11,8.0,1.0,401.0,,30/04/2020,05:50:00
12,12,8.0,1.0,401.0,,01/05/2020,08:03:10
13,12,9.0,1.0,401.0,,02/05/2020,03:21:48
14,17,9.0,1.0,401.0,,02/05/2020,19:02:50
15,17,9.0,1.0,562.0,,06/05/2020,03:30:14
16,18,9.0,1.0,756.0,,07/05/2020,20:30:27
17,17,9.0,1.0,562.0,,07/05/2020,21:17:20
18,18,9.0,1.0,756.0,,08/05/2020,02:30:44
19,20,9.0,1.0,756.0,,09/05/2020,00:26:13
20,20,9.0,1.0,849.0,,10/05/2020,03:00:31
21,22,10.0,1.0,849.0,,11/05/2020,20:16:47
22,22,10.0,1.0,1238.0,,12/05/2020,15:39:30
23,23,10.0,1.0,1317.0,,13/05/2020,04:01:17
24,23,10.0,1.0,1341.0,,14/05/2020,05:08:27
25,23,12.0,1.0,1341.0,2407297.0,16/05/2020,06:48:01
26,24,13.0,1.0,1476.0,2407670.0,18/05/2020,18:59:22
27,25,13.0,1.0,1476.0,2408415.0,22/05/2020,20:58:46
28,25,17.0,1.0,1476.0,2408973.0,25/05/2020,20:30:04
29,25,18.0,1.0,1476.0,2409159.0,26/05/2020,19:00:18
30,25,18.0,1.0,1657.0,2409346.0,27/05/2020,00:15:56
31,25,19.0,1.0,1657.0,2409346.0,27/05/2020,19:30:05
32,25,19.0,1.0,1730.0,2409346.0,27/05/2020,20:02:52
33,25,20.0,1.0,1756.0,2409904.0,30/05/2020,00:02:04
34,26,20.0,1.0,1756.0,2410649.0,03/06/2020,17:35:48
35,26,20.0,1.0,1873.0,2410649.0,03/06/2020,18:35:19
36,26,21.0,1.0,1907.0,2411208.0,06/06/2020,00:14:45
37,28,21.0,1.0,1907.0,2411580.0,08/06/2020,19:11:08
38,28,21.0,1.0,1970.0,2411767.0,09/06/2020,21:30:15
39,28,22.0,1.0,1970.0,2411953.0,10/06/2020,23:01:10
40,28,24.0,1.0,1970.0,2412511.0,13/06/2020,21:30:39
41,30,24.0,1.0,1970.0,2412884.0,15/06/2020,19:07:25
42,34,24.0,1.0,1970.0,2413070.0,16/06/2020,19:03:31
43,36,24.0,1.0,1970.0,2413443.0,18/06/2020,23:47:21
44,37,24.0,2.0,1970.0,2414001.0,21/06/2020,03:30:05
45,41,26.0,2.0,1970.0,2414187.0,22/06/2020,22:02:56
46,42,26.0,2.0,2035.0,2414560.0,24/06/2020,03:31:21
47,43,26.0,2.0,2035.0,2414932.0,26/06/2020,04:30:47
48,44,26.0,2.0,2035.0,2415119.0,27/06/2020,11:30:58
49,45,26.0,2.0,2117.0,2415305.0,28/06/2020,10:01:42
50,47,26.0,2.0,2117.0,2415491.0,29/06/2020,22:17:43
51,47,26.0,2.0,3005.0,2415677.0,30/06/2020,11:30:18
52,49,27.0,2.0,3005.0,2415863.0,01/07/2020,00:31:44
53,55,27.0,2.0,3005.0,2416050.0,02/07/2020,19:51:14
54,57,27.0,2.0,3162.0,2416422.0,04/07/2020,23:00:19
55,61,27.0,3.0,3162.0,2416795.0,06/07/2020,20:49:26
56,63,32.0,3.0,3422.0,2417353.0,09/07/2020,05:30:05
