,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,26/02/2020,20:34:27
1,2,,,,,28/02/2020,11:57:33
2,3,,,,,29/02/2020,11:30:22
3,4,,,,,05/03/2020,11:06:16
4,9,,,,,05/03/2020,21:15:12
5,12,,,,,07/03/2020,11:50:28
6,13,,,,,07/03/2020,18:37:15
7,15,,,,,09/03/2020,06:45:01
8,23,,,,,10/03/2020,18:20:32
9,24,,,,,11/03/2020,17:21:51
10,25,,,,,12/03/2020,13:21:02
11,30,,,,,14/03/2020,08:46:05
12,30,1.0,,,,15/03/2020,05:20:33
13,33,1.0,,,,15/03/2020,15:30:38
14,34,1.0,,,,17/03/2020,08:19:33
15,38,1.0,,,,18/03/2020,06:52:16
16,40,1.0,,,,19/03/2020,06:53:38
17,43,1.0,,,,20/03/2020,08:58:28
18,44,1.0,,,,20/03/2020,15:30:18
19,47,1.0,,,,21/03/2020,06:30:42
20,48,1.0,,,,21/03/2020,11:30:10
21,49,1.0,,,,21/03/2020,14:42:22
22,54,1.0,,,,22/03/2020,06:30:16
23,54,3.0,,,,23/03/2020,07:29:02
24,54,8.0,,,,23/03/2020,10:00:55
25,61,8.0,,,,23/03/2020,15:31:10
26,66,9.0,,,,24/03/2020,06:50:10
27,67,9.0,,,,24/03/2020,09:14:31
28,70,9.0,,,,24/03/2020,16:30:53
29,73,10.0,,,,25/03/2020,07:32:36
30,75,10.0,,,,25/03/2020,18:54:54
31,77,10.0,,,,26/03/2020,07:32:54
32,79,10.0,,,,26/03/2020,12:44:51
33,79,11.0,,,,26/03/2020,19:53:33
34,81,13.0,,,,27/03/2020,06:31:51
35,83,14.0,,,,27/03/2020,18:00:27
36,85,14.0,,,,28/03/2020,08:00:04
37,90,14.0,,,,28/03/2020,16:35:24
38,90,18.0,,,,29/03/2020,08:21:49
39,91,18.0,,,,29/03/2020,15:50:27
40,97,18.0,,,,30/03/2020,06:35:12
41,98,18.0,,,,30/03/2020,07:31:28
42,100,18.0,,,,30/03/2020,13:40:16
43,103,20.0,,,,30/03/2020,18:26:43
44,108,21.0,,,,31/03/2020,06:51:21
45,110,21.0,,,,31/03/2020,08:58:35
46,115,22.0,,,,01/04/2020,07:09:08
47,115,23.0,,,,01/04/2020,10:06:53
48,117,23.0,,,,01/04/2020,16:47:40
49,130,23.0,,,,02/04/2020,06:12:01
50,130,26.0,,,,02/04/2020,10:05:12
51,131,26.0,,,,02/04/2020,15:51:12
52,134,26.0,,,,02/04/2020,18:08:37
53,148,26.0,,,,03/04/2020,06:18:55
54,148,27.0,,,,03/04/2020,06:23:48
55,155,27.0,,,,03/04/2020,18:30:05
56,155,28.0,,,,03/04/2020,21:05:12
57,156,28.0,,,,04/04/2020,07:30:42
58,156,28.0,1.0,,,04/04/2020,08:59:18
59,157,28.0,1.0,,,04/04/2020,11:32:49
60,157,31.0,1.0,,,04/04/2020,15:58:20
61,159,31.0,1.0,,,04/04/2020,17:03:36
62,162,36.0,1.0,,,04/04/2020,19:22:20
63,162,36.0,1.0,2762.0,,05/04/2020,06:25:24
64,170,36.0,1.0,2762.0,,05/04/2020,06:51:41
65,170,36.0,2.0,2762.0,,05/04/2020,09:32:01
66,174,36.0,2.0,2762.0,,05/04/2020,17:30:38
67,188,36.0,2.0,2762.0,,06/04/2020,06:42:40
68,188,39.0,2.0,2762.0,,06/04/2020,15:10:50
69,195,39.0,2.0,2762.0,,07/04/2020,06:41:57
70,195,45.0,3.0,2762.0,,07/04/2020,14:32:01
71,195,46.0,3.0,2762.0,,07/04/2020,16:46:23
72,196,46.0,3.0,2762.0,,07/04/2020,18:23:35
73,208,46.0,3.0,2762.0,,08/04/2020,06:52:05
74,208,48.0,3.0,2762.0,,08/04/2020,08:43:04
75,208,48.0,3.0,3271.0,,08/04/2020,16:02:58
76,208,50.0,3.0,3271.0,,08/04/2020,16:31:18
77,211,50.0,3.0,3271.0,,08/04/2020,19:47:20
78,214,50.0,3.0,3271.0,,09/04/2020,07:07:56
79,218,50.0,3.0,3271.0,,09/04/2020,15:45:52
80,218,51.0,3.0,3271.0,,09/04/2020,17:56:23
81,227,52.0,3.0,3271.0,,10/04/2020,06:47:54
82,230,52.0,3.0,3271.0,,10/04/2020,07:49:25
83,234,54.0,3.0,3271.0,,10/04/2020,15:11:59
84,234,56.0,3.0,3271.0,,11/04/2020,11:20:15
85,242,56.0,3.0,3271.0,,11/04/2020,16:19:21
86,242,60.0,3.0,3271.0,,11/04/2020,17:00:04
87,252,60.0,3.0,3271.0,,12/04/2020,07:00:05
88,252,63.0,3.0,3271.0,,12/04/2020,09:20:51
89,252,67.0,3.0,3271.0,,12/04/2020,15:37:56
90,257,67.0,3.0,3271.0,,12/04/2020,17:57:16
91,272,68.0,3.0,3271.0,,13/04/2020,11:07:56
92,296,68.0,3.0,3271.0,,14/04/2020,06:58:03
93,296,69.0,3.0,3271.0,,14/04/2020,18:07:34
94,300,69.0,3.0,5027.0,,14/04/2020,22:00:04
95,306,69.0,3.0,5027.0,,15/04/2020,07:00:05
96,306,71.0,3.0,5027.0,,15/04/2020,16:15:51
97,336,74.0,3.0,5027.0,,16/04/2020,07:00:06
98,340,74.0,3.0,5027.0,,16/04/2020,16:00:07
99,340,76.0,3.0,5027.0,,16/04/2020,16:13:29
100,348,76.0,3.0,5027.0,,16/04/2020,17:35:48
101,370,77.0,3.0,5027.0,,17/04/2020,07:00:06
102,370,79.0,3.0,5027.0,,17/04/2020,09:00:05
103,385,84.0,3.0,5027.0,,18/04/2020,06:00:29
104,388,86.0,4.0,5027.0,,18/04/2020,17:59:20
105,394,86.0,4.0,5027.0,,19/04/2020,08:24:24
106,394,93.0,4.0,5027.0,,19/04/2020,16:00:05
