,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,4,,0.0,,,29/01/2020,19:56:57
1,5,,0.0,,,31/01/2020,02:54:22
2,6,,0.0,,,31/01/2020,21:49:27
3,7,,0.0,,,01/02/2020,00:37:30
4,10,,,,,02/02/2020,16:27:45
5,12,,,,,04/02/2020,05:17:06
6,13,,,,,06/02/2020,23:02:52
7,14,,,,,08/02/2020,14:51:42
8,16,,,,,11/02/2020,21:05:12
9,16,1.0,,,,13/02/2020,17:47:19
10,16,3.0,,,,16/02/2020,03:02:15
11,16,7.0,,,,18/02/2020,01:13:07
12,16,9.0,,,,18/02/2020,12:52:29
13,16,13.0,,,,20/02/2020,22:08:12
14,16,14.0,,,,21/02/2020,21:29:46
15,17,14.0,,,,25/02/2020,21:32:52
16,18,15.0,,,,25/02/2020,22:41:01
17,19,15.0,,,,26/02/2020,12:54:57
18,27,15.0,,,,26/02/2020,22:48:59
19,41,15.0,,,,27/02/2020,19:25:12
20,41,16.0,,,,27/02/2020,21:33:47
21,44,16.0,,,,27/02/2020,22:32:21
22,45,16.0,,,,27/02/2020,23:02:03
23,46,16.0,,,,27/02/2020,23:09:51
24,48,16.0,,,,27/02/2020,23:13:16
25,49,16.0,,,,28/02/2020,02:18:37
26,60,16.0,,,,28/02/2020,11:57:33
27,72,16.0,,,,29/02/2020,09:01:40
28,75,16.0,,,,29/02/2020,09:30:56
29,79,16.0,,,,29/02/2020,10:52:58
30,117,16.0,,,,01/03/2020,11:25:48
31,129,16.0,,,,01/03/2020,20:04:42
32,130,16.0,,,,01/03/2020,23:05:49
33,150,16.0,,,,02/03/2020,10:09:20
34,157,16.0,,,,02/03/2020,16:48:36
35,165,16.0,,,,02/03/2020,21:12:16
36,188,16.0,,,,03/03/2020,11:39:57
37,196,16.0,,,,03/03/2020,17:43:55
38,203,16.0,,,,04/03/2020,01:50:05
39,240,16.0,,,,04/03/2020,09:32:16
40,244,16.0,,,,04/03/2020,12:27:41
