,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,,,,13/03/2020,00:14:51
1,3,,,,,15/03/2020,09:25:51
2,2,,,,,15/03/2020,13:25:27
3,6,,,,,15/03/2020,14:12:32
4,7,,,,,17/03/2020,19:15:28
5,9,,,,,19/03/2020,09:03:12
6,11,,,,,19/03/2020,16:42:31
7,16,,,,,20/03/2020,10:17:14
8,16,8.0,,,,20/03/2020,13:00:35
9,16,,,,,20/03/2020,17:27:52
10,19,,,,,21/03/2020,09:56:10
11,19,,1.0,,,21/03/2020,20:27:29
12,21,,1.0,,,21/03/2020,22:00:35
13,23,,1.0,,,22/03/2020,20:30:15
14,24,,1.0,,,23/03/2020,09:30:08
15,24,,2.0,,,23/03/2020,21:01:14
16,27,,2.0,,,23/03/2020,21:26:15
17,52,,2.0,,,24/03/2020,11:49:19
18,53,,2.0,,,24/03/2020,19:32:48
19,52,,2.0,,,24/03/2020,21:11:00
20,53,,2.0,,,24/03/2020,21:25:37
21,68,,2.0,,,25/03/2020,11:29:15
22,68,,3.0,,,25/03/2020,13:07:05
23,93,,4.0,,,25/03/2020,22:12:13
24,68,,4.0,,,26/03/2020,03:01:03
25,68,1.0,4.0,,,26/03/2020,10:01:12
26,132,1.0,4.0,,,26/03/2020,11:30:05
27,136,1.0,4.0,,,27/03/2020,09:53:19
28,137,2.0,4.0,,,27/03/2020,20:26:46
29,141,2.0,5.0,,,28/03/2020,16:53:20
30,152,2.0,5.0,,,29/03/2020,13:39:41
31,152,31.0,5.0,,,31/03/2020,13:41:38
32,161,31.0,5.0,,,31/03/2020,17:40:33
33,195,31.0,5.0,,,01/04/2020,10:06:53
34,204,31.0,5.0,,,02/04/2020,15:18:57
35,205,31.0,5.0,,,03/04/2020,18:16:12
36,214,31.0,5.0,,,05/04/2020,06:25:24
37,287,31.0,5.0,,,07/04/2020,01:56:10
38,313,31.0,5.0,,,08/04/2020,15:18:57
39,313,34.0,6.0,,,08/04/2020,16:02:58
40,313,34.0,6.0,12046.0,,09/04/2020,21:02:51
41,378,34.0,6.0,12046.0,,09/04/2020,22:55:06
42,378,3.0,6.0,12046.0,,09/04/2020,23:07:58
43,378,4.0,6.0,12046.0,,10/04/2020,13:37:56
44,378,4.0,6.0,37405.0,,10/04/2020,19:11:16
45,408,4.0,6.0,37405.0,,11/04/2020,13:13:08
46,408,4.0,8.0,37405.0,,11/04/2020,13:32:11
47,566,4.0,8.0,37405.0,,12/04/2020,20:00:05
48,566,4.0,8.0,37954.0,,12/04/2020,20:31:11
49,636,17.0,8.0,44421.0,,14/04/2020,16:00:08
50,641,83.0,8.0,50719.0,,15/04/2020,23:22:56
51,834,99.0,9.0,60916.0,,18/04/2020,13:28:31
52,1042,99.0,9.0,68591.0,,19/04/2020,23:00:27
53,1154,99.0,9.0,68591.0,,22/04/2020,11:00:06
54,1279,134.0,10.0,68591.0,,24/04/2020,12:45:23
55,1279,134.0,10.0,88188.0,,24/04/2020,13:33:57
56,1550,155.0,11.0,88188.0,,26/04/2020,12:00:19
57,1550,155.0,11.0,100622.0,,26/04/2020,12:33:06
58,1671,188.0,16.0,100622.0,,28/04/2020,18:17:10
59,1671,188.0,16.0,106090.0,,30/04/2020,05:50:00
60,2074,212.0,17.0,106090.0,,30/04/2020,10:00:03
61,2074,212.0,17.0,113497.0,,30/04/2020,13:15:18
62,2169,229.0,18.0,113497.0,,02/05/2020,13:41:05
63,2169,229.0,18.0,117049.0,,03/05/2020,05:31:09
64,2719,294.0,18.0,117049.0,,04/05/2020,17:59:09
65,2719,294.0,18.0,129461.0,,04/05/2020,19:31:42
66,3091,294.0,18.0,129461.0,,07/05/2020,01:29:46
67,3091,303.0,18.0,129461.0,,07/05/2020,06:18:00
68,3091,303.0,18.0,135902.0,,07/05/2020,11:00:33
69,4012,323.0,18.0,135902.0,,07/05/2020,20:30:27
70,3091,303.0,18.0,135902.0,,07/05/2020,21:17:20
