,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,05/03/2020,21:15:12
1,1,1.0,,,,08/03/2020,21:26:34
2,3,1.0,,,,16/03/2020,18:38:43
3,3,2.0,,,,17/03/2020,17:46:39
4,8,2.0,,,,18/03/2020,13:49:49
5,10,2.0,,,,19/03/2020,19:30:14
6,15,2.0,,,,22/03/2020,16:51:13
7,15,5.0,,,,23/03/2020,14:18:53
8,26,5.0,,,,25/03/2020,15:28:22
9,35,13.0,,,,26/03/2020,21:49:38
10,55,14.0,,,,27/03/2020,15:40:32
11,56,14.0,,,,28/03/2020,15:47:12
12,65,14.0,,,,29/03/2020,17:19:08
13,69,34.0,,,,30/03/2020,15:52:52
14,81,34.0,,,,01/04/2020,17:50:38
15,88,46.0,,,,02/04/2020,14:37:50
16,95,46.0,,,,03/04/2020,15:02:22
17,95,46.0,,1136.0,,04/04/2020,03:58:25
18,98,52.0,,1269.0,,04/04/2020,14:44:54
19,103,52.0,,1345.0,,05/04/2020,15:08:42
20,109,52.0,,1387.0,,06/04/2020,16:13:24
21,113,60.0,,1440.0,,07/04/2020,15:07:56
22,120,60.0,,1481.0,,08/04/2020,16:02:58
23,123,60.0,,1511.0,,09/04/2020,17:35:39
24,127,69.0,,1543.0,,10/04/2020,17:28:43
25,129,84.0,,1558.0,,11/04/2020,17:00:04
26,129,93.0,,1649.0,,13/04/2020,23:00:06
27,129,104.0,,1649.0,,15/04/2020,10:53:25
28,131,104.0,,1649.0,,15/04/2020,18:59:52
29,132,105.0,,1760.0,,16/04/2020,23:37:57
30,132,111.0,,1859.0,,18/04/2020,11:00:05
31,132,120.0,,1912.0,,19/04/2020,16:00:05
32,132,127.0,,2020.0,,22/04/2020,23:52:27
33,133,129.0,,2062.0,,23/04/2020,17:00:34
34,133,131.0,,2105.0,,24/04/2020,22:52:58
35,136,131.0,,2174.0,,25/04/2020,17:30:05
36,141,131.0,,2198.0,,26/04/2020,23:31:37
37,144,131.0,,2626.0,,30/04/2020,16:38:46
38,144,132.0,,2711.0,,02/05/2020,19:02:50
39,144,133.0,,2931.0,,04/05/2020,17:01:27
40,144,136.0,,3252.0,,06/05/2020,19:31:38
41,146,142.0,,3366.0,,07/05/2020,20:30:27
42,144,136.0,,3252.0,,07/05/2020,21:17:20
43,144,141.0,,3366.0,,07/05/2020,21:30:37
44,146,142.0,,3366.0,,08/05/2020,20:30:38
45,146,143.0,,3962.0,,10/05/2020,07:32:08
46,146,143.0,,4099.0,,10/05/2020,16:23:55
47,147,143.0,,4155.0,,11/05/2020,19:30:04
48,148,144.0,,4352.0,,12/05/2020,20:30:16
49,148,144.0,,4576.0,,14/05/2020,02:30:11
50,147,144.0,,4576.0,,14/05/2020,05:08:27
51,147,144.0,,4750.0,,14/05/2020,22:15:16
52,147,144.0,,4941.0,33692.0,16/05/2020,00:03:01
53,147,145.0,,5060.0,33692.0,16/05/2020,21:00:05
54,147,145.0,,5187.0,33692.0,19/05/2020,00:06:01
55,147,145.0,,5410.0,33692.0,20/05/2020,00:09:48
56,149,145.0,,5615.0,33692.0,20/05/2020,15:17:40
57,151,146.0,,5833.0,33692.0,21/05/2020,18:06:46
58,151,147.0,,5833.0,33692.0,22/05/2020,14:31:13
59,151,147.0,,6101.0,33692.0,22/05/2020,15:40:17
60,152,147.0,,6101.0,33692.0,23/05/2020,16:30:04
61,154,147.0,,6524.0,33692.0,24/05/2020,12:22:51
62,154,147.0,,6556.0,33692.0,26/05/2020,00:02:46
63,154,147.0,,6621.0,33692.0,26/05/2020,15:33:20
64,157,147.0,,6859.0,33692.0,27/05/2020,10:31:53
65,157,147.0,,6859.0,33692.0,27/05/2020,16:10:09
66,158,147.0,,7073.0,33692.0,28/05/2020,11:27:07
67,158,147.0,0.0,7073.0,33692.0,29/05/2020,00:22:14
68,161,148.0,0.0,7315.0,33692.0,29/05/2020,12:59:18
69,169,149.0,0.0,7553.0,33692.0,30/05/2020,12:06:29
70,170,149.0,0.0,7632.0,33692.0,31/05/2020,11:33:29
71,170,151.0,0.0,7644.0,33692.0,01/06/2020,10:16:13
72,172,151.0,0.0,7879.0,33692.0,02/06/2020,10:43:30
73,173,153.0,0.0,8205.0,33692.0,03/06/2020,10:49:15
74,173,153.0,0.0,8434.0,33692.0,04/06/2020,12:58:40
75,174,153.0,0.0,8733.0,33692.0,05/06/2020,10:25:25
76,175,155.0,0.0,8908.0,33692.0,06/06/2020,11:58:43
77,176,164.0,0.0,9020.0,33692.0,07/06/2020,10:10:17
78,176,165.0,0.0,9033.0,33692.0,08/06/2020,12:25:29
79,176,165.0,0.0,9283.0,33692.0,09/06/2020,10:16:30
80,176,169.0,0.0,9508.0,33692.0,10/06/2020,10:43:21
81,176,171.0,0.0,9509.0,33692.0,11/06/2020,21:01:09
82,176,171.0,0.0,9709.0,33692.0,11/06/2020,23:30:48
83,176,172.0,0.0,9914.0,33691.0,12/06/2020,10:31:33
84,176,173.0,0.0,10091.0,33691.0,13/06/2020,19:32:47
85,176,173.0,0.0,10104.0,33691.0,14/06/2020,10:31:33
86,176,174.0,0.0,10117.0,33691.0,15/06/2020,10:41:05
87,176,174.0,0.0,10272.0,33691.0,16/06/2020,10:51:40
88,176,176.0,0.0,10428.0,33691.0,17/06/2020,12:00:44
89,176,176.0,0.0,10579.0,33691.0,18/06/2020,23:30:39
90,176,176.0,0.0,10734.0,33691.0,19/06/2020,12:33:04
91,176,176.0,0.0,10956.0,33691.0,21/06/2020,02:00:25
92,176,176.0,0.0,11112.0,33691.0,21/06/2020,23:31:01
93,176,176.0,0.0,11129.0,33691.0,23/06/2020,00:02:44
94,176,176.0,0.0,11358.0,33691.0,24/06/2020,02:31:07
95,176,176.0,0.0,11618.0,33691.0,25/06/2020,00:00:12
96,176,176.0,0.0,11864.0,33691.0,25/06/2020,11:26:18
97,176,176.0,0.0,12057.0,33691.0,27/06/2020,00:00:20
98,177,176.0,0.0,12446.0,33691.0,27/06/2020,10:31:17
99,177,176.0,0.0,12725.0,33691.0,28/06/2020,14:01:11
100,177,176.0,0.0,12743.0,33691.0,29/06/2020,11:41:09
101,178,176.0,0.0,13427.0,33691.0,01/07/2020,10:56:11
102,178,176.0,0.0,13667.0,33691.0,02/07/2020,10:47:33
103,178,176.0,0.0,14119.0,33691.0,03/07/2020,10:30:19
104,178,176.0,0.0,14491.0,33691.0,05/07/2020,00:01:03
105,179,176.0,0.0,14637.0,33691.0,05/07/2020,13:59:50
106,179,176.0,0.0,14646.0,33691.0,06/07/2020,11:00:35
107,179,176.0,0.0,14934.0,33691.0,07/07/2020,11:01:44
108,179,176.0,0.0,15252.0,33691.0,08/07/2020,11:31:08
109,180,176.0,0.0,15495.0,33691.0,09/07/2020,10:43:53
110,180,176.0,0.0,15748.0,33691.0,10/07/2020,23:00:43
111,180,176.0,0.0,16031.0,33691.0,11/07/2020,23:59:50
112,180,176.0,0.0,16193.0,33691.0,12/07/2020,10:57:17
113,180,176.0,0.0,16239.0,33691.0,13/07/2020,11:46:47
114,180,179.0,0.0,16239.0,33691.0,14/07/2020,00:00:33
115,180,179.0,0.0,16532.0,33691.0,14/07/2020,13:00:16
116,180,180.0,0.0,16789.0,33691.0,15/07/2020,10:32:04
117,180,180.0,0.0,17099.0,33691.0,17/07/2020,02:41:39
118,180,180.0,0.0,17449.0,33691.0,17/07/2020,12:46:32
119,180,180.0,0.0,17720.0,33691.0,18/07/2020,12:02:35
120,180,180.0,0.0,17784.0,33690.0,19/07/2020,23:59:33
121,180,180.0,0.0,17870.0,33690.0,20/07/2020,13:05:24
122,180,180.0,0.0,18177.0,33690.0,21/07/2020,12:01:25
123,182,180.0,0.0,18534.0,33690.0,22/07/2020,13:30:31
124,184,180.0,0.0,18869.0,33690.0,24/07/2020,02:03:15
125,184,180.0,0.0,19281.0,33690.0,24/07/2020,11:12:49
126,185,180.0,0.0,19594.0,33690.0,25/07/2020,11:26:48
127,185,180.0,0.0,19721.0,33690.0,27/07/2020,02:32:17
128,185,180.0,0.0,19731.0,33690.0,27/07/2020,10:37:43
129,186,180.0,0.0,20142.0,33690.0,28/07/2020,11:39:19
130,186,180.0,0.0,20424.0,33690.0,29/07/2020,11:22:55
131,187,180.0,0.0,20877.0,33690.0,30/07/2020,13:30:08
132,187,180.0,0.0,21244.0,33690.0,31/07/2020,11:44:07
133,187,181.0,0.0,21244.0,33690.0,31/07/2020,13:54:37
134,188,182.0,0.0,21560.0,33690.0,01/08/2020,14:25:58
135,188,183.0,0.0,21702.0,33690.0,02/08/2020,13:49:07
136,188,183.0,0.0,21783.0,33690.0,03/08/2020,13:05:35
137,189,183.0,0.0,22311.0,33690.0,04/08/2020,10:50:12
138,189,183.0,0.0,22637.0,33690.0,05/08/2020,23:59:26
139,190,184.0,0.0,23063.0,33690.0,06/08/2020,10:35:35
140,197,184.0,0.0,24054.0,33690.0,08/08/2020,11:06:17
141,201,186.0,0.0,24410.0,33690.0,10/08/2020,00:32:30
142,201,186.0,0.0,24469.0,33690.0,10/08/2020,13:53:27
143,202,187.0,0.0,25012.0,33690.0,11/08/2020,11:11:30
144,203,187.0,0.0,25570.0,33690.0,12/08/2020,13:07:54
145,205,188.0,0.0,26053.0,33690.0,13/08/2020,13:23:47
