,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,26/02/2020,11:11:12
1,3,,,,,27/02/2020,11:27:56
2,4,,,,,28/02/2020,08:54:05
3,7,,,,,01/03/2020,00:55:00
4,8,,,,,04/03/2020,09:41:48
5,9,,,,,04/03/2020,15:29:57
6,10,,,,,05/03/2020,08:54:17
7,31,,,,,05/03/2020,12:44:59
8,45,,,,,06/03/2020,13:25:51
9,46,,,,,07/03/2020,10:32:43
10,66,,,,,07/03/2020,20:46:41
11,73,,,,,08/03/2020,16:48:29
12,74,,,,,09/03/2020,14:08:36
13,84,,,,,09/03/2020,17:28:05
14,89,,,,,10/03/2020,10:29:41
15,90,,,,,11/03/2020,12:13:51
16,99,,,,,11/03/2020,17:21:51
17,99,,1.0,,,12/03/2020,07:41:03
18,117,,1.0,,,12/03/2020,17:46:57
19,134,,1.0,,,13/03/2020,09:15:57
20,117,,1.0,,,13/03/2020,10:52:48
21,117,2.0,1.0,,,13/03/2020,12:08:22
22,190,2.0,1.0,,,13/03/2020,16:51:27
23,190,2.0,3.0,,,14/03/2020,09:39:40
24,228,2.0,3.0,,,14/03/2020,17:32:14
25,228,8.0,3.0,,,14/03/2020,19:54:23
26,228,8.0,4.0,,,15/03/2020,09:25:51
27,331,8.0,4.0,,,15/03/2020,16:35:27
28,352,8.0,4.0,,,16/03/2020,17:07:28
29,352,10.0,4.0,,,17/03/2020,08:19:33
30,387,10.0,5.0,,,17/03/2020,16:48:10
31,387,14.0,5.0,,,17/03/2020,17:46:39
32,418,14.0,5.0,,,18/03/2020,16:30:04
33,418,14.0,6.0,,,19/03/2020,09:48:21
34,464,19.0,6.0,,,19/03/2020,16:42:31
35,495,19.0,9.0,,,20/03/2020,16:21:20
36,495,19.0,10.0,,,20/03/2020,19:55:36
37,495,19.0,13.0,,,21/03/2020,12:30:11
38,530,19.0,13.0,,,21/03/2020,16:12:44
39,624,19.0,15.0,,,22/03/2020,15:47:55
40,624,19.0,16.0,,,23/03/2020,10:00:55
41,624,19.0,17.0,,,23/03/2020,11:25:55
42,695,19.0,17.0,,,23/03/2020,16:28:37
43,695,29.0,17.0,,,23/03/2020,19:28:30
44,695,29.0,19.0,,,24/03/2020,13:10:31
45,743,29.0,20.0,,,24/03/2020,16:30:53
