,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,16/03/2020,14:07:40
1,2,,,,,18/03/2020,16:30:04
2,4,,,,,22/03/2020,20:52:01
3,4,2.0,,,,24/03/2020,14:27:07
4,5,2.0,,,,24/03/2020,16:30:53
5,6,2.0,,,,25/03/2020,16:23:27
6,9,2.0,,,,27/03/2020,07:55:13
7,10,2.0,,,,27/03/2020,16:14:56
8,10,3.0,,,,03/04/2020,08:57:01
9,10,3.0,,542.0,,04/04/2020,03:58:25
10,11,3.0,,542.0,,04/04/2020,17:27:07
11,11,4.0,,718.0,,06/04/2020,16:33:46
12,11,10.0,,752.0,,07/04/2020,15:42:48
13,11,10.0,,770.0,,08/04/2020,16:02:58
14,11,11.0,,770.0,,08/04/2020,17:42:22
15,11,11.0,,912.0,,12/04/2020,19:30:05
16,11,11.0,,1019.0,,17/04/2020,09:00:05
17,11,11.0,,1043.0,,18/04/2020,15:00:14
18,11,11.0,,1101.0,,21/04/2020,00:07:03
19,11,11.0,,1150.0,,21/04/2020,22:42:53
20,11,11.0,,1200.0,,25/04/2020,13:01:28
21,11,11.0,,1258.0,,30/04/2020,12:32:52
22,11,11.0,,1271.0,,01/05/2020,14:43:10
23,11,11.0,,1258.0,,01/05/2020,14:43:13
24,11,11.0,,1271.0,,01/05/2020,15:32:27
25,11,11.0,,1289.0,,03/05/2020,13:11:23
26,11,11.0,,1294.0,,04/05/2020,13:30:05
27,11,11.0,,1332.0,,05/05/2020,14:11:06
28,11,11.0,,1362.0,,06/05/2020,13:27:50
29,11,11.0,,1394.0,,07/05/2020,12:54:14
30,11,11.0,,1435.0,,11/05/2020,11:31:29
31,11,11.0,,1461.0,,11/05/2020,15:55:07
32,11,11.0,,1505.0,,12/05/2020,20:30:16
33,11,11.0,,1520.0,,14/05/2020,06:47:18
34,11,11.0,,1579.0,,14/05/2020,22:15:16
35,11,11.0,,1629.0,56758.0,15/05/2020,17:21:00
36,11,11.0,,1721.0,56758.0,18/05/2020,14:45:43
37,11,11.0,,1767.0,56759.0,19/05/2020,16:57:23
38,11,11.0,,1850.0,56760.0,23/05/2020,12:30:31
39,12,11.0,,1885.0,56760.0,25/05/2020,00:30:26
40,12,11.0,,1898.0,56761.0,26/05/2020,10:54:33
41,12,11.0,,1938.0,56761.0,26/05/2020,17:04:49
42,12,11.0,,1938.0,56761.0,27/05/2020,16:10:09
43,13,11.0,,2005.0,56761.0,27/05/2020,18:00:09
44,13,11.0,,2030.0,56761.0,28/05/2020,17:21:32
45,13,11.0,0.0,2030.0,56761.0,29/05/2020,00:22:14
46,13,11.0,0.0,2141.0,56762.0,31/05/2020,18:44:21
47,13,11.0,0.0,2151.0,56762.0,02/06/2020,11:49:09
48,13,11.0,0.0,2174.0,56762.0,02/06/2020,16:54:05
49,13,11.0,0.0,2203.0,56763.0,03/06/2020,17:35:48
50,13,13.0,0.0,2241.0,56763.0,04/06/2020,17:20:48
51,13,13.0,0.0,2288.0,56763.0,06/06/2020,00:14:45
52,13,13.0,0.0,2371.0,56764.0,08/06/2020,17:37:08
53,13,13.0,0.0,2412.0,56764.0,09/06/2020,17:32:33
54,13,13.0,0.0,2511.0,56765.0,12/06/2020,11:30:14
55,13,13.0,0.0,2617.0,56766.0,15/06/2020,12:27:11
56,13,13.0,0.0,2631.0,56766.0,15/06/2020,16:58:14
57,13,13.0,0.0,2723.0,56766.0,16/06/2020,17:16:14
58,13,13.0,0.0,2739.0,56767.0,18/06/2020,13:00:21
59,13,13.0,0.0,2773.0,56767.0,19/06/2020,10:02:46
60,13,13.0,0.0,2807.0,56767.0,19/06/2020,17:33:10
61,13,13.0,0.0,2830.0,56768.0,22/06/2020,14:32:14
62,13,13.0,0.0,3203.0,56769.0,25/06/2020,03:06:46
63,13,13.0,0.0,3341.0,56769.0,26/06/2020,11:55:34
64,13,13.0,0.0,3502.0,56770.0,29/06/2020,12:03:00
65,13,13.0,0.0,3681.0,56770.0,30/06/2020,14:36:13
66,13,13.0,0.0,3839.0,56770.0,01/07/2020,14:30:41
67,13,13.0,0.0,3840.0,56770.0,02/07/2020,17:19:36
68,13,13.0,0.0,3954.0,56771.0,03/07/2020,13:31:14
69,13,13.0,0.0,4130.0,56772.0,06/07/2020,11:00:35
70,13,13.0,0.0,4192.0,56772.0,06/07/2020,14:00:04
71,13,13.0,0.0,4361.0,56772.0,07/07/2020,23:59:54
72,13,13.0,0.0,4577.0,56773.0,10/07/2020,14:24:30
73,13,13.0,0.0,4789.0,56773.0,13/07/2020,13:39:20
74,13,13.0,0.0,4932.0,56774.0,15/07/2020,10:32:04
75,13,13.0,0.0,5098.0,56774.0,15/07/2020,18:51:54
76,13,13.0,0.0,5164.0,56774.0,16/07/2020,15:58:46
77,13,13.0,0.0,5192.0,56775.0,18/07/2020,08:49:15
78,13,13.0,0.0,5372.0,56775.0,20/07/2020,17:01:04
79,13,13.0,0.0,5475.0,56776.0,21/07/2020,13:34:34
80,13,13.0,0.0,5620.0,56776.0,22/07/2020,19:05:01
81,13,13.0,0.0,5645.0,56776.0,23/07/2020,13:20:44
82,13,13.0,0.0,5666.0,56777.0,26/07/2020,01:39:16
83,14,13.0,0.0,5742.0,56777.0,27/07/2020,15:53:15
84,14,13.0,0.0,5784.0,56777.0,28/07/2020,18:25:41
85,14,13.0,0.0,5816.0,56778.0,30/07/2020,09:20:58
86,14,13.0,0.0,5836.0,56778.0,30/07/2020,16:21:18
87,14,13.0,0.0,5856.0,56778.0,31/07/2020,15:43:10
88,14,13.0,0.0,5876.0,56779.0,03/08/2020,15:21:24
89,14,13.0,0.0,5930.0,56780.0,05/08/2020,09:44:04
90,14,14.0,0.0,5977.0,56780.0,06/08/2020,09:39:17
91,14,14.0,0.0,5999.0,56780.0,07/08/2020,08:58:04
92,14,14.0,0.0,6026.0,56780.0,07/08/2020,14:20:46
93,14,14.0,0.0,6137.0,56781.0,11/08/2020,09:17:48
94,14,14.0,0.0,6231.0,56782.0,13/08/2020,13:23:47
95,14,14.0,0.0,6275.0,56782.0,14/08/2020,12:46:09
96,14,14.0,0.0,6296.0,56782.0,15/08/2020,11:39:04
97,14,14.0,0.0,6340.0,56783.0,17/08/2020,15:25:05
98,14,14.0,0.0,6384.0,56783.0,19/08/2020,10:34:38
99,14,14.0,0.0,6417.0,56784.0,20/08/2020,11:36:16
100,14,14.0,0.0,6446.0,56784.0,20/08/2020,16:06:02
101,14,14.0,0.0,6464.0,56784.0,21/08/2020,19:22:38
102,14,14.0,0.0,6538.0,56785.0,24/08/2020,17:54:44
103,14,14.0,0.0,6591.0,56785.0,25/08/2020,16:10:28
104,14,14.0,0.0,6662.0,56785.0,27/08/2020,13:10:30
105,14,14.0,0.0,6727.0,56786.0,29/08/2020,18:13:57
106,14,14.0,0.0,6946.0,56787.0,03/09/2020,13:58:42
107,14,14.0,0.0,7105.0,56789.0,08/09/2020,20:22:01
108,14,14.0,0.0,7183.0,56789.0,09/09/2020,21:10:37
109,14,14.0,0.0,7223.0,56789.0,10/09/2020,17:04:18
110,14,14.0,0.0,7252.0,56789.0,11/09/2020,17:24:48
111,14,14.0,0.0,7388.0,56791.0,16/09/2020,20:36:38
112,14,14.0,0.0,7421.0,56791.0,17/09/2020,19:55:36
113,14,14.0,0.0,7505.0,56792.0,22/09/2020,00:52:59
114,14,14.0,0.0,7949.0,56794.0,28/09/2020,20:42:04
115,14,14.0,0.0,8254.0,56796.0,05/10/2020,12:25:04
116,15,14.0,0.0,8748.0,56796.0,07/10/2020,13:14:15
117,16,14.0,0.0,8879.0,56797.0,09/10/2020,16:16:52
118,16,14.0,0.0,9627.0,56800.0,17/10/2020,18:13:13
119,16,16.0,0.0,10073.0,56800.0,20/10/2020,23:59:42
120,16,16.0,0.0,10234.0,56800.0,22/10/2020,11:31:05
121,17,16.0,0.0,10273.0,56800.0,23/10/2020,00:00:03
122,17,16.0,0.0,10937.0,56803.0,30/10/2020,00:00:12
123,17,16.0,0.0,10996.0,56803.0,01/11/2020,19:06:02
