,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,22/03/2020,19:57:53
1,7,,,,,26/03/2020,21:56:57
2,9,,,,,29/03/2020,05:04:29
3,10,,,,,02/04/2020,01:01:21
4,12,,,,,03/04/2020,21:34:36
5,12,,,45.0,,04/04/2020,03:58:25
6,14,,,92.0,,10/04/2020,20:15:03
7,14,6.0,,92.0,,17/04/2020,20:30:36
8,15,6.0,,92.0,,22/04/2020,22:32:10
9,15,7.0,,92.0,,24/04/2020,05:30:06
10,18,7.0,,175.0,,25/04/2020,17:30:05
11,19,10.0,,175.0,,29/04/2020,00:04:29
12,20,13.0,,1406.0,,29/04/2020,22:00:05
13,21,13.0,,1406.0,,02/05/2020,20:30:17
14,21,14.0,,2419.0,,14/05/2020,22:15:16
15,22,14.0,,2419.0,112456.0,15/05/2020,17:21:00
16,22,17.0,,3007.0,112465.0,21/05/2020,07:23:54
17,23,18.0,,3007.0,112471.0,25/05/2020,21:00:05
18,23,18.0,,3007.0,112473.0,27/05/2020,16:10:09
19,23,18.0,0.0,3007.0,112476.0,29/05/2020,00:22:14
20,23,18.0,0.0,3516.0,112481.0,01/06/2020,08:26:59
21,23,22.0,0.0,3516.0,112486.0,05/06/2020,18:02:52
22,23,22.0,0.0,4130.0,112492.0,09/06/2020,01:06:13
23,23,23.0,0.0,4130.0,112505.0,19/06/2020,00:00:05
24,23,23.0,0.0,5465.0,112520.0,29/06/2020,10:58:45
25,24,23.0,0.0,6252.0,112564.0,30/07/2020,05:28:32
26,24,24.0,0.0,6252.0,112591.0,18/08/2020,05:14:11
27,25,24.0,0.0,6252.0,112671.0,13/10/2020,00:44:08
28,27,24.0,0.0,6252.0,112680.0,17/10/2020,18:13:13
29,28,24.0,0.0,6252.0,112688.0,25/10/2020,00:00:11
30,29,27.0,0.0,6252.0,112701.0,03/11/2020,00:00:14
