,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,13/03/2020,11:23:41
1,3,,,,,14/03/2020,19:54:23
2,5,,,,,16/03/2020,03:04:14
3,6,,,,,16/03/2020,08:10:25
4,18,,,,,18/03/2020,01:54:31
5,27,,,,,18/03/2020,08:05:21
6,33,,,,,19/03/2020,02:37:17
7,45,,,,,20/03/2020,08:58:28
8,51,,1.0,,,21/03/2020,02:30:27
9,56,,1.0,,,21/03/2020,22:25:44
10,58,,1.0,,,23/03/2020,02:30:37
11,62,,1.0,,,23/03/2020,19:48:12
12,73,,1.0,,,24/03/2020,23:56:14
13,96,17.0,2.0,,,28/03/2020,12:00:14
14,102,17.0,2.0,,,28/03/2020,18:36:43
15,106,17.0,4.0,,,29/03/2020,22:09:55
16,114,22.0,4.0,,,31/03/2020,19:31:10
17,125,24.0,6.0,,,01/04/2020,19:20:00
18,128,24.0,6.0,,,02/04/2020,18:08:37
19,130,24.0,7.0,,,03/04/2020,19:03:19
20,134,24.0,7.0,,,04/04/2020,19:22:20
21,135,31.0,7.0,,,05/04/2020,23:00:04
22,139,31.0,7.0,,,07/04/2020,00:02:09
23,141,43.0,8.0,,,08/04/2020,20:43:09
24,143,67.0,8.0,,,09/04/2020,23:28:07
25,145,67.0,8.0,,,13/04/2020,23:00:06
26,148,73.0,8.0,,,18/04/2020,17:59:20
27,148,73.0,12.0,,,21/04/2020,19:32:38
28,148,76.0,12.0,,,23/04/2020,01:00:07
29,149,82.0,12.0,,,24/04/2020,05:30:06
30,151,95.0,12.0,,,30/04/2020,11:27:25
31,152,95.0,12.0,,,01/05/2020,11:00:30
32,152,98.0,12.0,,,04/05/2020,16:48:42
33,152,104.0,13.0,,,06/05/2020,07:59:40
34,153,104.0,13.0,,,07/05/2020,20:30:27
35,152,104.0,13.0,,,07/05/2020,21:17:20
36,153,104.0,13.0,,,08/05/2020,00:30:45
37,154,104.0,13.0,,,08/05/2020,22:03:24
38,155,109.0,13.0,,,13/05/2020,01:08:31
39,155,109.0,13.0,2866.0,400115.0,15/05/2020,18:55:43
40,156,115.0,13.0,3573.0,400117.0,23/05/2020,00:01:13
41,161,115.0,14.0,3573.0,400117.0,24/05/2020,22:00:54
42,162,138.0,14.0,4137.0,400118.0,29/05/2020,23:48:14
43,164,144.0,14.0,4975.0,400119.0,05/06/2020,18:37:48
44,171,157.0,14.0,5691.0,400121.0,12/06/2020,18:30:35
45,174,157.0,14.0,6900.0,400122.0,19/06/2020,22:00:35
46,182,157.0,14.0,8239.0,400123.0,27/06/2020,00:00:20
47,184,157.0,14.0,9649.0,400125.0,03/07/2020,22:12:03
48,190,157.0,14.0,11538.0,400126.0,10/07/2020,22:32:53
49,195,172.0,14.0,13571.0,400127.0,17/07/2020,18:02:35
50,203,176.0,14.0,15235.0,400128.0,24/07/2020,23:40:24
51,244,176.0,14.0,15235.0,400129.0,29/07/2020,21:28:38
52,265,179.0,14.0,17003.0,400130.0,31/07/2020,23:59:28
53,272,179.0,14.0,17682.0,400130.0,03/08/2020,20:10:50
54,279,179.0,14.0,18476.0,400131.0,05/08/2020,23:59:26
55,290,186.0,14.0,19499.0,400131.0,07/08/2020,22:53:45
56,317,186.0,14.0,20305.0,400132.0,10/08/2020,23:59:25
57,367,289.0,14.0,21269.0,400132.0,13/08/2020,00:34:09
58,446,289.0,14.0,22696.0,400132.0,14/08/2020,23:26:53
59,510,289.0,14.0,22696.0,400133.0,17/08/2020,19:07:37
60,510,289.0,15.0,23585.0,400133.0,18/08/2020,23:49:59
61,771,289.0,15.0,26290.0,400134.0,21/08/2020,23:59:34
62,935,289.0,15.0,27868.0,400134.0,25/08/2020,23:22:35
63,1145,336.0,16.0,29595.0,400135.0,28/08/2020,22:10:41
64,1269,336.0,16.0,29595.0,400136.0,31/08/2020,21:28:42
65,1269,336.0,16.0,30463.0,400136.0,31/08/2020,21:51:11
66,1363,336.0,18.0,31762.0,400136.0,03/09/2020,00:42:06
67,2287,336.0,23.0,33042.0,400137.0,10/09/2020,01:35:38
68,3080,837.0,24.0,36764.0,400138.0,11/09/2020,22:17:29
69,3426,837.0,26.0,38505.0,400139.0,16/09/2020,20:36:38
70,4487,2199.0,42.0,47049.0,400140.0,22/09/2020,23:59:35
71,5528,2199.0,57.0,47049.0,400141.0,30/09/2020,23:48:12
72,5528,2199.0,57.0,55187.0,400141.0,01/10/2020,23:22:16
73,6319,2199.0,77.0,59202.0,400142.0,06/10/2020,23:14:23
74,6483,2199.0,77.0,59202.0,400143.0,09/10/2020,23:59:37
75,6908,2199.0,96.0,62313.0,400144.0,13/10/2020,23:34:05
76,7122,2199.0,96.0,62313.0,400145.0,17/10/2020,18:13:13
77,7329,2199.0,115.0,65030.0,400145.0,20/10/2020,23:59:42
