,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,14/03/2020,01:11:47
1,1,,1.0,,,15/03/2020,23:19:20
2,2,,1.0,,,16/03/2020,07:18:45
3,8,,1.0,,,16/03/2020,18:38:43
4,9,,1.0,,,19/03/2020,16:42:31
5,12,,1.0,,,20/03/2020,15:42:39
6,13,,1.0,,,21/03/2020,11:01:21
7,17,,1.0,,,21/03/2020,17:51:22
8,19,,1.0,,,22/03/2020,20:30:15
9,20,,1.0,,,23/03/2020,18:18:07
10,21,,1.0,,,24/03/2020,18:20:00
11,24,4.0,1.0,,,25/03/2020,18:54:54
12,25,4.0,1.0,,,26/03/2020,22:47:14
13,28,4.0,1.0,,,27/03/2020,19:42:09
14,32,4.0,1.0,,,28/03/2020,03:30:44
15,34,10.0,1.0,,,28/03/2020,19:32:34
16,36,10.0,1.0,,,30/03/2020,13:00:17
17,38,10.0,1.0,,,31/03/2020,19:53:18
18,38,12.0,1.0,,,31/03/2020,22:41:27
19,39,12.0,1.0,,,01/04/2020,09:39:09
20,46,12.0,1.0,,,02/04/2020,01:23:04
21,47,12.0,1.0,,,02/04/2020,16:42:57
22,50,12.0,1.0,,,03/04/2020,15:38:49
23,57,15.0,2.0,,,04/04/2020,17:16:45
24,61,15.0,2.0,,,04/04/2020,23:11:03
25,61,15.0,2.0,1134.0,,05/04/2020,00:01:12
26,70,15.0,2.0,1134.0,,05/04/2020,23:37:27
27,70,15.0,3.0,1134.0,,06/04/2020,00:02:59
28,74,17.0,3.0,1134.0,,07/04/2020,04:05:08
29,77,17.0,3.0,1134.0,,07/04/2020,14:56:56
30,80,17.0,3.0,1134.0,,08/04/2020,01:54:47
31,87,17.0,3.0,1134.0,,08/04/2020,15:18:57
32,95,17.0,3.0,1134.0,,09/04/2020,15:26:47
33,126,17.0,3.0,1134.0,,10/04/2020,02:20:02
34,137,19.0,3.0,1134.0,,11/04/2020,02:56:16
35,153,19.0,3.0,1134.0,,12/04/2020,02:00:05
36,155,19.0,5.0,1134.0,,12/04/2020,19:00:06
37,156,19.0,5.0,1134.0,,13/04/2020,21:49:48
38,167,19.0,5.0,1134.0,,14/04/2020,01:56:45
39,180,19.0,5.0,1134.0,,15/04/2020,01:30:45
40,196,19.0,5.0,1134.0,,16/04/2020,02:06:47
41,196,19.0,5.0,7000.0,,16/04/2020,03:32:25
42,196,19.0,5.0,7200.0,,16/04/2020,04:00:06
43,214,21.0,7.0,7200.0,,16/04/2020,23:37:57
44,235,21.0,7.0,7200.0,,18/04/2020,06:00:29
45,257,21.0,7.0,7200.0,,18/04/2020,17:59:20
46,289,21.0,7.0,7200.0,,20/04/2020,02:00:50
47,294,24.0,7.0,7200.0,,21/04/2020,00:07:03
48,316,24.0,8.0,7200.0,,22/04/2020,01:30:04
49,342,25.0,10.0,7200.0,,23/04/2020,02:55:23
50,384,30.0,11.0,7200.0,,24/04/2020,03:30:38
51,430,30.0,11.0,7200.0,,25/04/2020,02:30:27
52,473,45.0,13.0,7200.0,,26/04/2020,03:00:50
53,500,49.0,15.0,7200.0,,27/04/2020,02:30:38
54,530,49.0,15.0,7200.0,,28/04/2020,02:05:53
55,557,62.0,16.0,7200.0,,29/04/2020,00:04:29
56,585,65.0,16.0,7200.0,,30/04/2020,02:51:28
57,599,66.0,16.0,7200.0,,01/05/2020,01:49:57
58,644,72.0,16.0,7200.0,,02/05/2020,01:29:19
59,688,72.0,17.0,7200.0,,03/05/2020,02:30:18
60,703,72.0,17.0,7200.0,,04/05/2020,02:30:32
61,730,79.0,19.0,7200.0,,05/05/2020,02:01:01
62,763,79.0,19.0,7200.0,,06/05/2020,03:30:14
63,798,86.0,21.0,7200.0,,07/05/2020,02:00:19
64,832,90.0,23.0,7200.0,,07/05/2020,20:30:27
65,798,86.0,21.0,7200.0,,07/05/2020,21:17:20
66,832,90.0,23.0,7200.0,,08/05/2020,01:30:22
67,900,101.0,24.0,7200.0,,09/05/2020,02:30:04
68,967,104.0,24.0,7200.0,,10/05/2020,01:23:39
69,1052,110.0,26.0,7200.0,,11/05/2020,01:30:04
70,1114,111.0,26.0,7200.0,,12/05/2020,15:39:30
71,1199,120.0,27.0,7200.0,,13/05/2020,02:14:22
