,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,,,,25/03/2020,12:22:49
1,8,,,,,30/03/2020,15:02:49
2,9,,,,,01/04/2020,21:57:06
3,15,,,,,03/04/2020,21:34:36
4,18,,,,,04/04/2020,18:12:46
5,33,,,,,07/04/2020,09:44:01
6,36,,,1500.0,,09/04/2020,17:56:23
7,38,,,1500.0,,11/04/2020,10:08:31
8,43,,,1500.0,,15/04/2020,00:40:18
9,46,,,1500.0,,18/04/2020,10:00:05
10,50,3.0,,1500.0,,19/04/2020,19:47:39
11,52,3.0,,1500.0,,24/04/2020,22:52:58
12,53,3.0,1.0,1500.0,,26/04/2020,14:39:02
13,73,18.0,1.0,1500.0,,28/04/2020,02:05:53
14,205,19.0,1.0,1500.0,,29/04/2020,23:07:02
15,257,19.0,1.0,1500.0,,01/05/2020,21:00:58
16,413,19.0,1.0,1500.0,,04/05/2020,23:00:53
17,475,24.0,2.0,1500.0,,06/05/2020,03:30:14
18,594,25.0,2.0,1500.0,,07/05/2020,20:30:27
19,475,24.0,2.0,1500.0,,07/05/2020,21:17:20
20,564,25.0,2.0,1500.0,,07/05/2020,22:02:33
21,594,25.0,2.0,1500.0,,08/05/2020,21:00:55
22,641,25.0,3.0,1500.0,,09/05/2020,19:15:23
23,726,26.0,3.0,1500.0,,10/05/2020,16:00:36
24,761,26.0,3.0,1500.0,,11/05/2020,23:11:19
25,820,26.0,3.0,1500.0,,12/05/2020,23:44:31
26,836,26.0,3.0,1500.0,,13/05/2020,22:00:32
27,913,26.0,3.0,1500.0,,14/05/2020,22:15:16
28,969,26.0,4.0,1500.0,1961700.0,16/05/2020,23:00:04
29,990,26.0,4.0,1500.0,1961828.0,17/05/2020,21:02:27
30,1032,38.0,4.0,1500.0,1962083.0,19/05/2020,00:06:01
31,1038,42.0,6.0,1500.0,1962210.0,20/05/2020,00:09:48
32,1089,42.0,6.0,1500.0,1962210.0,20/05/2020,19:30:05
33,1109,42.0,6.0,1500.0,1962338.0,21/05/2020,21:02:52
34,1114,42.0,6.0,1500.0,1962465.0,22/05/2020,22:02:18
35,1178,42.0,7.0,1500.0,1962847.0,25/05/2020,19:00:04
36,1195,42.0,7.0,1500.0,1963102.0,27/05/2020,19:10:04
37,1195,42.0,8.0,1500.0,1963230.0,28/05/2020,20:40:25
38,1256,42.0,8.0,1500.0,1963357.0,29/05/2020,21:30:06
39,1339,53.0,8.0,1500.0,1963739.0,01/06/2020,20:45:01
40,1368,153.0,12.0,1500.0,1964376.0,06/06/2020,00:14:45
41,1389,153.0,12.0,1500.0,1964759.0,09/06/2020,01:06:13
42,1460,153.0,15.0,1500.0,1965141.0,12/06/2020,21:01:16
43,1492,153.0,15.0,1500.0,1965523.0,15/06/2020,23:18:02
44,1541,153.0,17.0,1500.0,1966033.0,19/06/2020,20:30:26
45,1556,191.0,19.0,1500.0,1966415.0,22/06/2020,19:47:46
46,1614,191.0,22.0,1500.0,1966925.0,26/06/2020,23:18:12
47,1614,317.0,22.0,1500.0,1967053.0,27/06/2020,23:30:52
48,1654,317.0,24.0,1500.0,1967307.0,29/06/2020,21:40:51
49,1765,676.0,25.0,1500.0,1967817.0,03/07/2020,20:30:55
50,1790,760.0,25.0,1500.0,1968199.0,06/07/2020,23:35:01
51,1842,773.0,26.0,1500.0,1968837.0,11/07/2020,00:02:23
52,1902,773.0,26.0,1500.0,1969474.0,16/07/2020,14:58:26
53,1927,773.0,26.0,1500.0,1969601.0,17/07/2020,11:02:33
54,1949,803.0,26.0,1500.0,1969729.0,18/07/2020,18:31:30
55,1954,803.0,26.0,1500.0,1970111.0,21/07/2020,22:00:40
56,1981,803.0,26.0,1500.0,1971258.0,30/07/2020,23:48:53
57,1981,803.0,27.0,1500.0,1971513.0,01/08/2020,23:55:59
58,2032,944.0,27.0,1500.0,1972022.0,05/08/2020,22:10:09
59,2052,944.0,29.0,1500.0,1972405.0,08/08/2020,23:31:07
60,2088,1015.0,29.0,1500.0,1972787.0,11/08/2020,12:24:37
61,2117,1015.0,33.0,1500.0,1973297.0,15/08/2020,23:59:32
62,2149,1015.0,33.0,1500.0,1973934.0,20/08/2020,19:16:30
63,2205,1127.0,34.0,1500.0,1974699.0,26/08/2020,22:06:39
64,2245,1127.0,38.0,1500.0,1975845.0,04/09/2020,23:59:57
65,2245,1127.0,38.0,,1976100.0,06/09/2020,22:44:30
66,2275,1127.0,39.0,,1976610.0,10/09/2020,17:04:18
67,2303,1127.0,39.0,,1977629.0,18/09/2020,23:59:48
68,2324,1549.0,39.0,,1978139.0,22/09/2020,22:56:52
69,2362,1549.0,39.0,,1979541.0,03/10/2020,00:41:58
70,2385,1728.0,40.0,,1979796.0,05/10/2020,23:19:08
71,2389,1782.0,41.0,,1980815.0,13/10/2020,00:44:08
72,2403,1818.0,41.0,,1981580.0,19/10/2020,23:59:45
73,2403,1818.0,41.0,,1981962.0,23/10/2020,00:00:03
74,2403,1818.0,41.0,,1982090.0,23/10/2020,19:40:35
75,2403,1818.0,41.0,,1982217.0,24/10/2020,00:00:15
76,2403,1818.0,41.0,,1982217.0,24/10/2020,18:55:54
77,2403,1818.0,41.0,,1982344.0,25/10/2020,10:48:21
78,2403,1818.0,41.0,,1982472.0,26/10/2020,18:33:57
79,2403,1818.0,41.0,,1982727.0,28/10/2020,16:35:31
