,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,13/03/2020,15:38:32
1,2,,,,,20/03/2020,15:30:18
2,4,,,,,23/03/2020,11:25:55
3,8,,,,,27/03/2020,10:57:20
4,16,,,,,29/03/2020,12:07:23
5,22,,,,,30/03/2020,15:52:52
6,30,,,,,01/04/2020,12:03:47
7,52,,,,,02/04/2020,13:39:08
8,73,2.0,,,,03/04/2020,17:17:02
9,111,5.0,,,,04/04/2020,20:49:25
10,121,5.0,,,,05/04/2020,16:01:59
11,128,5.0,,,,06/04/2020,23:07:56
12,144,5.0,,,,07/04/2020,20:17:27
13,164,5.0,,,,08/04/2020,21:39:06
14,194,11.0,,,,09/04/2020,17:56:23
15,212,15.0,,,,10/04/2020,22:29:54
16,250,17.0,,,,11/04/2020,18:23:58
17,319,17.0,,,,13/04/2020,11:07:56
18,363,31.0,,,,14/04/2020,13:00:13
19,404,31.0,1.0,,,15/04/2020,13:51:15
20,438,49.0,1.0,,,16/04/2020,15:00:09
21,477,59.0,3.0,,,17/04/2020,17:00:08
22,518,65.0,3.0,,,18/04/2020,17:59:20
23,579,87.0,5.0,,,19/04/2020,19:47:39
24,622,122.0,5.0,,,20/04/2020,23:40:25
25,579,87.0,5.0,,,21/04/2020,00:00:05
26,622,122.0,5.0,,,21/04/2020,00:07:03
27,688,127.0,6.0,,,21/04/2020,14:44:19
28,761,164.0,6.0,,,22/04/2020,15:17:04
29,862,170.0,6.0,,,23/04/2020,17:00:34
30,954,191.0,6.0,,,24/04/2020,22:52:58
31,996,208.0,7.0,,,25/04/2020,23:20:59
32,1163,246.0,7.0,,,28/04/2020,02:05:53
33,1240,269.0,7.0,,,29/04/2020,00:04:29
34,1351,313.0,7.0,,,29/04/2020,20:19:03
35,1495,329.0,7.0,,,30/04/2020,19:24:50
36,1537,342.0,7.0,,,01/05/2020,17:30:14
37,1586,405.0,7.0,,,02/05/2020,22:19:45
38,1710,450.0,9.0,,,04/05/2020,17:30:05
39,1811,498.0,10.0,,,05/05/2020,20:46:28
40,1856,597.0,11.0,,,06/05/2020,18:16:32
41,1927,629.0,11.0,,,07/05/2020,20:01:11
42,2009,663.0,11.0,,,07/05/2020,20:30:27
43,1927,629.0,11.0,,,07/05/2020,21:17:20
44,2009,663.0,11.0,,,08/05/2020,20:30:38
45,2042,698.0,11.0,,,09/05/2020,22:00:16
46,2146,714.0,11.0,,,10/05/2020,21:01:06
47,2213,771.0,11.0,,,12/05/2020,15:39:30
48,2298,816.0,11.0,,,12/05/2020,20:30:16
49,2374,856.0,14.0,,,13/05/2020,17:26:38
50,2473,895.0,15.0,10304.0,,14/05/2020,22:15:16
51,2531,1094.0,15.0,10304.0,13083829.0,16/05/2020,10:56:02
52,2658,1133.0,16.0,10304.0,13083829.0,16/05/2020,20:01:49
53,2796,1263.0,16.0,10304.0,13086759.0,19/05/2020,00:06:01
54,2863,1525.0,18.0,10304.0,13087736.0,20/05/2020,00:09:48
55,3067,1575.0,18.0,10304.0,13088713.0,21/05/2020,21:30:48
56,3067,1575.0,19.0,13726.0,13089690.0,22/05/2020,23:00:11
57,3176,1631.0,20.0,13726.0,13091643.0,24/05/2020,00:00:08
58,3275,1673.0,20.0,14407.0,13092620.0,25/05/2020,00:30:26
59,3553,1950.0,22.0,14407.0,13095550.0,28/05/2020,20:40:25
60,3656,2000.0,22.0,14407.0,13096527.0,29/05/2020,21:30:06
61,3706,2030.0,23.0,14407.0,13097504.0,30/05/2020,22:51:09
62,3844,2135.0,23.0,14407.0,13099458.0,01/06/2020,19:43:34
63,3886,2267.0,23.0,14407.0,13100435.0,02/06/2020,20:31:50
64,3933,2332.0,23.0,14407.0,13101411.0,03/06/2020,18:35:19
65,3991,2512.0,23.0,14407.0,13102388.0,04/06/2020,22:01:07
66,4060,2667.0,23.0,14407.0,13103365.0,05/06/2020,18:37:48
