,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,5,,,,,09/03/2020,01:59:00
1,1,,1.0,,,12/03/2020,10:42:01
2,4,,1.0,,,15/03/2020,13:25:27
3,7,,1.0,,,16/03/2020,08:10:25
4,11,,1.0,,,18/03/2020,08:05:21
5,4,,1.0,,,18/03/2020,14:58:45
6,5,,1.0,,,19/03/2020,15:53:36
7,15,,1.0,,,20/03/2020,15:30:18
8,5,,1.0,,,21/03/2020,12:30:11
9,18,,1.0,,,21/03/2020,22:25:44
10,19,,1.0,,,23/03/2020,02:30:37
11,20,,1.0,,,23/03/2020,19:48:12
12,23,,1.0,,,24/03/2020,21:25:37
13,5,,1.0,,,24/03/2020,22:52:32
14,8,,1.0,,,28/03/2020,18:36:43
15,8,,2.0,,,31/03/2020,16:41:57
16,12,,2.0,,,31/03/2020,17:40:33
17,19,,2.0,,,01/04/2020,21:57:06
18,19,,3.0,,,01/04/2020,22:45:28
19,19,,4.0,,,02/04/2020,01:48:51
20,23,,4.0,,,03/04/2020,19:37:07
21,23,,4.0,83.0,,04/04/2020,03:58:25
22,24,,4.0,93.0,,05/04/2020,01:30:30
23,29,,4.0,110.0,,06/04/2020,02:28:01
24,31,8.0,4.0,115.0,,06/04/2020,23:07:56
25,31,8.0,5.0,115.0,,07/04/2020,01:56:10
26,33,8.0,5.0,132.0,,07/04/2020,21:53:34
27,33,8.0,6.0,132.0,,08/04/2020,19:47:20
28,37,8.0,6.0,145.0,,08/04/2020,20:52:56
29,40,8.0,6.0,175.0,,11/04/2020,06:45:05
30,45,8.0,6.0,175.0,,11/04/2020,23:00:04
31,45,8.0,6.0,193.0,,11/04/2020,23:30:35
32,47,8.0,6.0,213.0,,14/04/2020,01:56:45
33,48,8.0,6.0,213.0,,15/04/2020,13:51:15
34,55,8.0,6.0,213.0,,15/04/2020,23:00:02
35,57,9.0,6.0,260.0,,17/04/2020,09:00:05
36,63,9.0,6.0,283.0,,17/04/2020,22:00:04
37,63,9.0,7.0,283.0,,19/04/2020,16:00:05
38,65,9.0,7.0,322.0,,19/04/2020,23:00:27
39,66,9.0,7.0,328.0,,21/04/2020,00:07:03
40,67,9.0,7.0,348.0,,22/04/2020,15:00:12
41,70,9.0,7.0,375.0,,23/04/2020,23:58:33
42,70,12.0,7.0,375.0,,24/04/2020,05:30:06
43,73,12.0,7.0,375.0,,24/04/2020,19:30:20
44,74,12.0,8.0,442.0,,26/04/2020,11:25:05
45,74,15.0,8.0,464.0,,28/04/2020,02:05:53
46,78,18.0,8.0,519.0,,30/04/2020,02:07:40
47,82,22.0,9.0,579.0,,30/04/2020,23:30:43
48,92,27.0,9.0,579.0,,04/05/2020,22:27:58
49,93,27.0,10.0,680.0,,06/05/2020,03:30:14
50,93,27.0,10.0,714.0,,07/05/2020,02:00:19
51,93,34.0,10.0,736.0,,07/05/2020,20:30:27
52,93,27.0,10.0,714.0,,07/05/2020,21:17:20
53,93,34.0,10.0,736.0,,08/05/2020,10:59:54
54,94,34.0,10.0,785.0,,08/05/2020,21:30:08
55,94,35.0,10.0,785.0,,09/05/2020,02:00:41
56,97,35.0,10.0,852.0,,10/05/2020,05:00:43
57,104,35.0,10.0,914.0,,10/05/2020,22:30:40
58,109,36.0,10.0,930.0,,12/05/2020,15:39:30
59,113,36.0,10.0,986.0,,12/05/2020,20:30:16
60,113,39.0,10.0,986.0,,13/05/2020,13:10:07
61,113,41.0,10.0,1020.0,,13/05/2020,23:57:22
62,113,42.0,10.0,1052.0,,14/05/2020,22:15:16
63,116,43.0,10.0,1065.0,786077.0,16/05/2020,00:54:48
64,117,43.0,10.0,1089.0,786077.0,16/05/2020,23:32:25
65,124,44.0,10.0,1164.0,786108.0,19/05/2020,00:06:01
66,124,45.0,10.0,1218.0,786108.0,19/05/2020,04:39:36
67,125,46.0,10.0,1269.0,786119.0,20/05/2020,00:09:48
68,125,47.0,10.0,1295.0,786129.0,21/05/2020,07:23:54
69,127,57.0,10.0,1329.0,786129.0,21/05/2020,21:30:48
70,127,57.0,10.0,1366.0,786150.0,23/05/2020,00:01:13
71,127,58.0,10.0,1401.0,786160.0,24/05/2020,00:00:08
72,135,62.0,10.0,1457.0,786160.0,24/05/2020,22:00:54
73,137,62.0,11.0,1489.0,786170.0,25/05/2020,23:02:37
74,139,62.0,11.0,1499.0,786181.0,26/05/2020,20:45:37
75,139,67.0,11.0,1500.0,786201.0,28/05/2020,00:02:25
76,150,67.0,11.0,1559.0,786201.0,28/05/2020,23:27:44
77,150,67.0,11.0,1586.0,786222.0,30/05/2020,00:29:20
78,150,67.0,12.0,1586.0,786222.0,30/05/2020,19:33:06
79,152,67.0,12.0,1604.0,786232.0,31/05/2020,00:30:40
80,153,70.0,12.0,1618.0,786243.0,01/06/2020,00:48:15
81,153,70.0,12.0,1658.0,786243.0,01/06/2020,22:53:51
