,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,,,,20/03/2020,03:03:23
1,5,,,,,23/03/2020,09:30:08
2,6,,,,,23/03/2020,16:54:05
3,7,,,,,24/03/2020,21:11:00
4,8,,,,,25/03/2020,20:06:33
5,15,1.0,,,,29/03/2020,04:29:08
6,16,1.0,,,,01/04/2020,05:29:49
7,18,1.0,,,,03/04/2020,01:18:00
8,18,1.0,,200.0,,04/04/2020,03:58:25
9,20,1.0,,200.0,,04/04/2020,15:03:15
10,21,1.0,,247.0,,05/04/2020,03:01:11
11,21,1.0,1.0,247.0,,05/04/2020,17:55:13
12,24,,1.0,247.0,,06/04/2020,16:33:46
13,25,,1.0,247.0,,07/04/2020,15:07:56
14,25,,1.0,257.0,,07/04/2020,15:42:48
15,27,,1.0,257.0,,08/04/2020,16:43:54
16,30,,2.0,257.0,,09/04/2020,11:55:11
17,31,,2.0,365.0,,10/04/2020,19:11:16
18,33,,2.0,365.0,,11/04/2020,21:15:17
19,33,,3.0,365.0,,12/04/2020,11:56:40
20,40,,3.0,365.0,,13/04/2020,11:07:56
21,41,,3.0,365.0,,15/04/2020,18:06:21
22,43,,3.0,365.0,,17/04/2020,09:00:05
23,44,,3.0,498.0,,18/04/2020,12:00:04
24,47,,3.0,498.0,,19/04/2020,23:00:27
25,57,,3.0,618.0,,20/04/2020,23:40:25
26,47,,3.0,498.0,,21/04/2020,00:00:05
27,57,,3.0,618.0,,21/04/2020,00:07:03
28,58,2.0,4.0,642.0,,22/04/2020,01:00:09
29,62,2.0,4.0,642.0,,22/04/2020,22:32:10
30,72,2.0,5.0,690.0,,23/04/2020,23:58:33
31,72,6.0,6.0,719.0,,25/04/2020,02:30:27
32,74,7.0,6.0,769.0,,26/04/2020,23:18:02
33,76,8.0,6.0,776.0,,28/04/2020,02:05:53
34,76,8.0,7.0,776.0,,30/04/2020,09:27:50
35,81,8.0,8.0,827.0,,01/05/2020,00:00:05
36,85,10.0,8.0,848.0,,02/05/2020,00:17:48
37,85,10.0,8.0,935.0,,03/05/2020,14:03:45
38,88,10.0,9.0,935.0,,04/05/2020,01:30:51
39,100,10.0,11.0,1026.0,,04/05/2020,21:01:13
