,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,06/03/2020,09:51:52
1,568000,,892045.0,,,16/03/2020,00:14:54
2,1,,,,,16/03/2020,00:37:53
3,4,,,,,24/03/2020,19:01:12
4,6,,,,,28/03/2020,17:05:05
5,7,,,,,02/04/2020,22:06:41
6,8,2.0,,,,08/04/2020,19:47:20
7,9,2.0,,,,20/04/2020,22:35:11
8,8,2.0,,,,21/04/2020,00:00:05
9,9,2.0,,,,21/04/2020,00:07:03
10,10,2.0,,,,28/04/2020,18:17:10
11,11,2.0,,,,30/04/2020,16:45:50
12,12,2.0,,,,06/05/2020,17:00:04
13,12,2.0,,,801.0,27/05/2020,16:10:09
14,12,2.0,0.0,,801.0,29/05/2020,00:22:14
15,12,12.0,0.0,,801.0,06/06/2020,19:35:49
16,19,12.0,0.0,,802.0,12/10/2020,14:48:57
17,27,15.0,0.0,,802.0,17/10/2020,18:13:13
18,27,15.0,0.0,,802.0,23/10/2020,00:00:03
19,27,15.0,0.0,,802.0,23/10/2020,19:40:35
20,27,15.0,0.0,,802.0,24/10/2020,00:00:15
21,27,15.0,0.0,,802.0,24/10/2020,18:55:54
22,27,15.0,0.0,,802.0,25/10/2020,10:48:21
23,27,15.0,0.0,,802.0,26/10/2020,18:33:57
24,27,15.0,0.0,,802.0,28/10/2020,16:35:31
25,27,15.0,0.0,,802.0,28/10/2020,19:23:48
26,27,15.0,0.0,,802.0,29/10/2020,13:45:24
27,27,15.0,0.0,,802.0,29/10/2020,16:49:51
28,27,15.0,0.0,,802.0,30/10/2020,00:00:12
29,27,15.0,0.0,,802.0,30/10/2020,13:29:17
