,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,,,,11/03/2020,12:13:51
1,3,,,,,14/03/2020,16:34:03
2,6,,,,,16/03/2020,06:39:21
3,8,,,,,17/03/2020,09:07:12
4,9,,,,,18/03/2020,07:53:07
5,12,,,,,19/03/2020,05:35:18
6,24,,,,,20/03/2020,03:03:23
7,26,,,,,22/03/2020,05:00:15
8,27,,,,,23/03/2020,11:25:55
9,30,,,,,24/03/2020,00:00:43
10,36,,,,,25/03/2020,03:30:15
11,52,,,,,26/03/2020,00:01:26
12,52,,1.0,,,26/03/2020,18:37:05
13,67,,1.0,,,27/03/2020,01:01:01
14,68,,1.0,,,27/03/2020,12:08:48
15,95,,1.0,,,28/03/2020,02:01:33
16,95,3.0,1.0,,,28/03/2020,02:31:47
17,110,3.0,1.0,,,29/03/2020,05:04:29
18,110,3.0,2.0,,,29/03/2020,15:30:35
19,110,3.0,3.0,,,29/03/2020,23:24:59
20,139,3.0,3.0,,,30/03/2020,05:53:25
21,139,3.0,7.0,,,30/03/2020,21:28:42
22,141,3.0,7.0,,,31/03/2020,02:01:52
23,172,3.0,10.0,,,01/04/2020,03:32:33
24,219,3.0,14.0,,,02/04/2020,03:14:09
25,222,3.0,15.0,,,03/04/2020,03:30:15
26,264,3.0,15.0,,,04/04/2020,02:20:37
27,268,6.0,22.0,,,05/04/2020,03:01:11
28,298,6.0,22.0,,,06/04/2020,01:51:58
29,305,6.0,22.0,,,07/04/2020,03:14:09
30,312,6.0,22.0,,,08/04/2020,01:56:17
31,343,6.0,23.0,,,09/04/2020,02:07:56
32,382,6.0,23.0,,,10/04/2020,03:22:56
33,382,7.0,23.0,,,10/04/2020,04:39:24
34,382,7.0,23.0,1600.0,,10/04/2020,05:20:14
35,392,7.0,24.0,1600.0,,11/04/2020,07:05:15
36,393,7.0,25.0,1600.0,,12/04/2020,03:30:05
37,397,7.0,25.0,1600.0,,13/04/2020,11:07:56
38,407,7.0,26.0,1600.0,,14/04/2020,08:00:04
39,419,7.0,31.0,1600.0,,15/04/2020,03:07:54
40,419,9.0,31.0,1600.0,,15/04/2020,05:00:06
41,426,9.0,35.0,1600.0,,16/04/2020,02:30:04
42,426,9.0,35.0,2012.0,,16/04/2020,04:00:06
43,442,9.0,41.0,2012.0,,16/04/2020,23:37:57
44,442,10.0,41.0,2012.0,,17/04/2020,12:00:06
45,457,10.0,46.0,2396.0,,18/04/2020,03:00:45
46,472,15.0,46.0,2535.0,,18/04/2020,17:59:20
47,477,25.0,46.0,2535.0,,20/04/2020,02:00:50
48,494,25.0,46.0,2535.0,,21/04/2020,00:07:03
49,494,29.0,46.0,2535.0,,21/04/2020,07:00:08
50,510,30.0,46.0,2535.0,,22/04/2020,02:15:59
51,519,31.0,47.0,2535.0,,23/04/2020,02:55:23
52,562,31.0,47.0,2707.0,,24/04/2020,03:30:38
53,562,50.0,47.0,3107.0,,24/04/2020,05:30:06
54,591,58.0,55.0,3457.0,,25/04/2020,04:33:31
55,627,65.0,59.0,3457.0,,26/04/2020,03:00:50
