,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,11,,0.0,,,29/01/2020,19:56:57
1,10,,0.0,,,30/01/2020,09:35:54
2,11,,0.0,,,30/01/2020,19:37:26
3,12,,0.0,,,31/01/2020,02:54:22
4,13,,0.0,,,31/01/2020,21:49:27
5,14,,,,,02/02/2020,16:27:45
6,15,,,,,03/02/2020,07:08:53
7,15,,1.0,,,04/02/2020,05:17:06
8,17,,1.0,,,04/02/2020,23:07:01
9,18,,1.0,,,05/02/2020,09:27:26
10,21,,1.0,,,05/02/2020,13:01:02
11,24,,1.0,,,06/02/2020,23:02:52
12,25,,1.0,,,07/02/2020,15:36:23
13,26,,1.0,,,08/02/2020,14:51:42
14,36,,1.0,,,10/02/2020,10:07:48
15,38,,1.0,,,10/02/2020,15:41:16
16,42,,1.0,,,10/02/2020,19:40:00
17,49,,1.0,,,11/02/2020,18:49:21
18,53,1.0,1.0,,,13/02/2020,17:47:19
19,56,1.0,1.0,,,14/02/2020,09:24:39
20,57,2.0,1.0,,,16/02/2020,22:14:07
21,58,2.0,1.0,,,17/02/2020,10:01:50
22,60,2.0,1.0,,,18/02/2020,01:13:07
23,61,2.0,1.0,,,18/02/2020,12:52:29
24,62,2.0,1.0,,,18/02/2020,16:41:40
25,62,4.0,2.0,,,19/02/2020,03:43:10
26,63,5.0,2.0,,,19/02/2020,10:51:12
27,65,5.0,2.0,,,19/02/2020,17:04:15
28,65,6.0,2.0,,,20/02/2020,05:17:10
29,67,6.0,2.0,,,20/02/2020,13:52:34
30,69,6.0,2.0,,,21/02/2020,01:01:40
31,69,10.0,2.0,,,22/02/2020,10:27:07
32,70,10.0,2.0,,,22/02/2020,16:28:01
33,70,11.0,2.0,,,22/02/2020,21:21:14
34,74,12.0,2.0,,,23/02/2020,12:25:15
35,79,19.0,2.0,,,24/02/2020,10:07:16
36,79,25.0,2.0,,,24/02/2020,13:25:00
37,79,12.0,2.0,,,24/02/2020,15:57:52
38,81,12.0,2.0,,,24/02/2020,18:39:06
39,85,18.0,2.0,,,25/02/2020,19:09:59
40,89,18.0,2.0,,,26/02/2020,10:06:09
41,92,18.0,2.0,,,27/02/2020,09:36:58
42,93,18.0,2.0,,,28/02/2020,06:57:44
43,93,30.0,2.0,,,29/02/2020,06:33:25
44,95,30.0,2.0,,,01/03/2020,01:20:33
45,100,36.0,2.0,,,01/03/2020,20:04:42
46,101,37.0,2.0,,,03/03/2020,14:30:34
47,103,37.0,2.0,,,04/03/2020,12:27:41
48,105,37.0,2.0,,,05/03/2020,07:37:49
49,108,51.0,2.0,,,06/03/2020,21:05:43
50,110,55.0,2.0,,,08/03/2020,12:19:39
51,114,55.0,3.0,,,08/03/2020,15:31:26
52,115,59.0,3.0,,,08/03/2020,20:10:35
53,116,59.0,3.0,,,09/03/2020,23:47:47
