,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,,,,04/03/2020,18:21:42
1,4,,,,,05/03/2020,21:39:53
2,5,,,,,07/03/2020,11:13:05
3,7,,,,,08/03/2020,13:58:52
4,9,,,,,09/03/2020,07:59:58
5,12,,,,,10/03/2020,08:34:40
6,13,,,,,11/03/2020,06:16:18
7,16,,,,,12/03/2020,09:43:57
8,19,,,,,13/03/2020,09:15:57
9,19,1.0,,,,14/03/2020,06:12:41
10,25,1.0,,,,14/03/2020,08:46:05
11,30,1.0,,,,14/03/2020,19:54:23
12,32,1.0,,,,15/03/2020,08:45:12
13,32,1.0,1.0,,,15/03/2020,13:25:27
14,39,1.0,1.0,,,16/03/2020,07:40:27
15,39,2.0,1.0,,,16/03/2020,20:50:10
16,50,2.0,1.0,,,17/03/2020,06:36:55
17,58,2.0,1.0,,,18/03/2020,06:13:45
18,73,2.0,1.0,,,19/03/2020,06:53:38
19,85,7.0,1.0,,,20/03/2020,08:58:28
20,85,7.0,3.0,,,20/03/2020,10:26:40
21,85,7.0,4.0,,,20/03/2020,18:39:07
22,103,7.0,4.0,,,21/03/2020,07:18:44
23,131,7.0,4.0,,,22/03/2020,08:00:08
24,131,12.0,6.0,,,22/03/2020,10:00:58
25,131,16.0,6.0,,,22/03/2020,11:03:34
26,167,16.0,7.0,,,23/03/2020,06:50:38
27,167,21.0,8.0,,,24/03/2020,02:20:46
28,187,21.0,8.0,,,24/03/2020,06:50:10
29,187,21.0,9.0,,,24/03/2020,10:31:11
30,226,21.0,10.0,,,25/03/2020,06:32:21
31,261,28.0,10.0,,,26/03/2020,06:15:33
32,300,34.0,10.0,,,27/03/2020,06:31:51
33,343,34.0,11.0,,,28/03/2020,07:09:20
34,408,34.0,13.0,,,29/03/2020,06:06:31
35,447,34.0,15.0,,,30/03/2020,05:24:45
36,492,37.0,16.0,,,31/03/2020,07:35:12
37,525,40.0,20.0,,,01/04/2020,05:58:21
38,585,42.0,21.0,,,02/04/2020,06:12:01
39,623,43.0,26.0,,,03/04/2020,05:27:29
40,623,43.0,26.0,17769.0,,04/04/2020,03:58:25
41,678,58.0,32.0,19424.0,,04/04/2020,07:30:42
42,733,66.0,34.0,21250.0,,05/04/2020,06:25:24
43,744,67.0,38.0,22282.0,,06/04/2020,06:07:02
44,817,71.0,47.0,23746.0,,07/04/2020,05:59:55
45,895,94.0,47.0,23746.0,,08/04/2020,04:24:44
46,895,94.0,58.0,25748.0,,08/04/2020,04:59:27
47,980,96.0,66.0,27826.0,,09/04/2020,05:35:00
48,1190,112.0,77.0,27826.0,,10/04/2020,05:20:14
49,1190,112.0,77.0,29948.0,,10/04/2020,06:17:29
50,1310,115.0,85.0,31961.0,,11/04/2020,06:45:05
51,1410,118.0,85.0,31961.0,,12/04/2020,05:55:10
52,1410,118.0,99.0,33532.0,,12/04/2020,06:37:56
53,1458,120.0,109.0,34819.0,,13/04/2020,11:07:56
54,1512,122.0,122.0,35825.0,,14/04/2020,05:42:22
55,1579,192.0,134.0,37326.0,,15/04/2020,05:00:06
56,1652,199.0,142.0,38489.0,,16/04/2020,05:46:00
57,1763,207.0,156.0,41590.0,,16/04/2020,23:37:57
58,1834,231.0,172.0,43901.0,,18/04/2020,06:00:29
59,1916,250.0,189.0,46353.0,,19/04/2020,07:00:05
60,1984,267.0,199.0,48057.0,,20/04/2020,07:00:06
61,2098,287.0,213.0,50052.0,,21/04/2020,07:00:08
62,2168,295.0,213.0,52702.0,,22/04/2020,04:51:48
63,2168,295.0,225.0,52702.0,,22/04/2020,05:20:38
64,2284,390.0,239.0,55390.0,,23/04/2020,06:00:04
65,2383,401.0,250.0,58251.0,,24/04/2020,05:30:06
66,2443,458.0,262.0,60801.0,,25/04/2020,05:31:17
67,2500,485.0,272.0,63505.0,,26/04/2020,05:31:25
68,2583,498.0,280.0,65625.0,,27/04/2020,05:30:43
69,2649,516.0,291.0,67172.0,,28/04/2020,02:05:53
70,2727,536.0,300.0,70300.0,,29/04/2020,04:13:02
71,2775,581.0,312.0,72951.0,,30/04/2020,05:27:42
72,2863,609.0,323.0,76331.0,,01/05/2020,05:31:26
73,2942,625.0,335.0,79551.0,,02/05/2020,05:30:58
74,2998,629.0,340.0,82010.0,,03/05/2020,05:57:13
75,3035,630.0,351.0,83958.0,,04/05/2020,05:00:25
76,3065,709.0,363.0,85557.0,,05/05/2020,06:22:27
77,3111,759.0,373.0,86743.0,,06/05/2020,03:30:14
78,3150,801.0,383.0,94036.0,,07/05/2020,05:30:55
79,3178,865.0,392.0,99058.0,,07/05/2020,20:30:27
80,3150,801.0,383.0,94036.0,,07/05/2020,21:17:20
81,3178,865.0,392.0,99058.0,,08/05/2020,05:31:10
82,3213,904.0,405.0,103258.0,,09/05/2020,05:31:48
83,3263,933.0,413.0,108257.0,,10/05/2020,05:31:40
84,3284,958.0,421.0,112165.0,,11/05/2020,04:26:57
85,3263,933.0,413.0,108257.0,,11/05/2020,04:30:12
86,3284,958.0,421.0,112165.0,,11/05/2020,05:31:27
87,3313,1007.0,425.0,114719.0,,12/05/2020,15:39:30
88,3341,1102.0,430.0,118500.0,,13/05/2020,09:28:29
89,3380,1169.0,436.0,123258.0,,14/05/2020,06:47:18
90,3417,1287.0,442.0,127237.0,9663390.0,15/05/2020,05:31:30
91,3473,1371.0,448.0,131429.0,9663324.0,16/05/2020,05:35:50
92,3509,1396.0,451.0,135137.0,9663257.0,17/05/2020,05:10:40
93,3535,1400.0,462.0,137243.0,9663190.0,18/05/2020,06:02:18
94,3556,1412.0,467.0,138697.0,9663123.0,19/05/2020,05:56:50
95,3598,1454.0,470.0,142729.0,9663057.0,20/05/2020,09:33:06
96,3641,1509.0,473.0,147511.0,9662990.0,21/05/2020,07:23:54
97,3678,1587.0,476.0,155801.0,9662923.0,22/05/2020,05:27:17
98,3713,1655.0,482.0,159260.0,9662856.0,23/05/2020,05:26:48
99,3741,1690.0,486.0,162925.0,9662790.0,24/05/2020,05:30:27
100,3756,1711.0,491.0,164619.0,9662723.0,25/05/2020,06:54:19
101,3771,1836.0,499.0,166263.0,9662656.0,26/05/2020,06:04:53
102,3793,1856.0,505.0,169960.0,9662589.0,27/05/2020,05:30:50
103,3816,1996.0,509.0,174011.0,9662523.0,28/05/2020,05:18:05
104,3841,2024.0,517.0,180152.0,9662456.0,29/05/2020,05:30:04
105,3867,2142.0,524.0,183562.0,9662389.0,30/05/2020,06:51:11
106,3876,2147.0,526.0,185980.0,9662323.0,31/05/2020,07:01:23
107,3892,2156.0,527.0,187965.0,9662256.0,01/06/2020,06:43:48
108,3921,2160.0,532.0,189969.0,9662189.0,02/06/2020,06:49:53
109,3931,2190.0,534.0,191572.0,9662122.0,03/06/2020,07:01:07
110,3954,2205.0,539.0,195894.0,9662056.0,04/06/2020,07:30:04
111,3970,2245.0,542.0,202606.0,9661989.0,05/06/2020,06:57:35
112,3990,2279.0,545.0,206853.0,9661922.0,06/06/2020,07:26:11
113,4008,2279.0,546.0,210202.0,9661855.0,07/06/2020,09:00:21
114,4014,2284.0,548.0,210749.0,9661789.0,08/06/2020,07:34:42
115,4017,2324.0,550.0,214468.0,9661722.0,09/06/2020,07:03:24
116,4027,2355.0,551.0,217689.0,9661655.0,10/06/2020,07:01:41
117,4039,2391.0,553.0,222247.0,9661588.0,11/06/2020,07:01:21
118,4053,2447.0,555.0,226669.0,9661522.0,12/06/2020,07:00:04
119,4064,2476.0,559.0,230139.0,9661455.0,13/06/2020,19:32:47
120,4069,2482.0,562.0,233742.0,9661388.0,14/06/2020,07:09:40
121,4076,2485.0,563.0,235377.0,9661322.0,15/06/2020,06:31:47
122,4077,2516.0,565.0,236828.0,9661255.0,16/06/2020,06:50:54
123,4078,2547.0,567.0,242139.0,9661188.0,17/06/2020,06:58:00
124,4079,2564.0,568.0,242139.0,9661121.0,18/06/2020,08:02:29
125,4081,2581.0,568.0,249391.0,9661055.0,19/06/2020,07:13:30
126,4086,2585.0,570.0,253100.0,9660988.0,20/06/2020,07:00:58
127,4094,2589.0,570.0,256326.0,9660921.0,21/06/2020,07:11:05
128,4102,2590.0,572.0,258115.0,9660854.0,22/06/2020,06:58:07
129,4107,2600.0,573.0,258861.0,9660788.0,23/06/2020,06:26:50
130,4114,2618.0,576.0,261420.0,9660721.0,24/06/2020,08:30:38
131,4123,2640.0,577.0,265129.0,9660654.0,25/06/2020,06:18:22
132,4127,2663.0,578.0,267056.0,9660587.0,26/06/2020,07:31:07
133,4138,2681.0,578.0,270263.0,9660521.0,27/06/2020,07:33:35
134,4142,2685.0,581.0,271194.0,9660454.0,28/06/2020,07:48:23
135,4145,2685.0,585.0,273897.0,9660387.0,29/06/2020,07:00:05
136,4155,2692.0,585.0,274945.0,9660320.0,30/06/2020,06:33:25
137,4157,2714.0,585.0,277750.0,9660254.0,01/07/2020,07:36:05
138,4157,2714.0,586.0,277750.0,9660254.0,01/07/2020,09:32:23
139,4166,2721.0,587.0,279690.0,9660187.0,02/07/2020,07:30:13
140,4172,2752.0,588.0,281628.0,9660120.0,03/07/2020,07:32:34
141,4174,2752.0,588.0,281628.0,9660054.0,04/07/2020,07:16:18
142,4174,2784.0,589.0,281628.0,9660054.0,04/07/2020,11:04:25
143,4183,2811.0,589.0,281628.0,9659987.0,05/07/2020,07:02:38
144,4189,2860.0,589.0,286083.0,9659920.0,06/07/2020,07:33:01
145,4205,2874.0,589.0,286983.0,9659853.0,07/07/2020,08:00:05
146,4210,2885.0,589.0,288693.0,9659787.0,08/07/2020,06:06:52
147,4220,2887.0,591.0,289602.0,9659720.0,09/07/2020,07:30:20
148,4223,2941.0,593.0,292032.0,9659653.0,10/07/2020,07:13:50
149,4229,2974.0,595.0,293220.0,9659586.0,11/07/2020,06:26:59
150,4234,3036.0,595.0,294425.0,9659520.0,12/07/2020,06:57:03
151,4247,3073.0,595.0,295561.0,9659453.0,13/07/2020,07:05:07
152,4258,3106.0,595.0,296358.0,9659386.0,14/07/2020,07:36:00
153,4263,3126.0,595.0,299185.0,9659319.0,15/07/2020,06:55:46
154,4279,3156.0,595.0,300632.0,9659253.0,16/07/2020,07:05:22
155,4293,3220.0,595.0,302749.0,9659186.0,17/07/2020,07:30:47
156,4315,3222.0,596.0,305133.0,9659119.0,18/07/2020,07:30:52
157,4333,3223.0,596.0,307846.0,9659052.0,19/07/2020,07:00:35
158,4339,3223.0,596.0,310070.0,9658986.0,20/07/2020,07:02:37
159,4339,3232.0,596.0,310070.0,9658986.0,20/07/2020,07:13:47
160,4347,3257.0,596.0,310930.0,9658919.0,21/07/2020,06:34:08
161,4366,3283.0,596.0,312988.0,9658852.0,22/07/2020,07:13:44
162,4380,3300.0,596.0,316120.0,9658786.0,23/07/2020,07:17:31
163,4398,3312.0,596.0,319854.0,9658719.0,24/07/2020,06:32:49
164,4424,3324.0,596.0,319854.0,9658652.0,25/07/2020,07:03:20
165,4435,3329.0,596.0,319854.0,9658585.0,26/07/2020,07:08:24
166,4448,3329.0,596.0,328583.0,9658519.0,27/07/2020,06:43:06
167,4456,3331.0,596.0,330239.0,9658452.0,28/07/2020,07:30:44
168,4465,3339.0,596.0,333446.0,9658385.0,29/07/2020,07:13:55
169,4484,3346.0,596.0,336461.0,9658318.0,30/07/2020,07:53:07
170,4505,3353.0,596.0,339163.0,9658252.0,31/07/2020,08:23:59
171,4526,3364.0,597.0,342887.0,9658185.0,01/08/2020,06:57:47
172,4535,3389.0,597.0,344997.0,9658118.0,02/08/2020,07:50:49
173,4544,3413.0,597.0,346962.0,9658051.0,03/08/2020,06:39:10
174,4553,3415.0,598.0,348132.0,9657985.0,04/08/2020,07:14:57
175,4564,3431.0,599.0,350108.0,9657918.0,05/08/2020,09:44:04
176,4597,3463.0,600.0,352546.0,9657851.0,06/08/2020,07:14:26
177,4621,3464.0,602.0,355467.0,9657785.0,07/08/2020,07:23:26
178,4653,3491.0,602.0,358437.0,9657718.0,08/08/2020,09:45:30
179,4696,3499.0,602.0,360772.0,9657651.0,09/08/2020,07:22:45
180,4731,3525.0,605.0,362660.0,9657584.0,10/08/2020,08:26:32
181,4746,3527.0,605.0,362660.0,9657518.0,11/08/2020,07:14:01
182,4746,3527.0,605.0,363459.0,9657451.0,12/08/2020,07:13:46
183,4768,3529.0,605.0,366356.0,9657451.0,12/08/2020,08:22:16
184,4813,3561.0,607.0,369545.0,9657384.0,13/08/2020,08:25:54
185,4853,3590.0,607.0,372687.0,9657317.0,14/08/2020,07:13:46
186,4877,3606.0,607.0,375685.0,9657251.0,15/08/2020,10:19:58
187,4916,3623.0,608.0,378608.0,9657184.0,16/08/2020,08:15:26
188,4946,3630.0,608.0,380932.0,9657117.0,17/08/2020,07:14:20
189,4970,3631.0,609.0,383411.0,9657050.0,18/08/2020,07:13:56
190,5002,3665.0,609.0,387111.0,9656984.0,19/08/2020,07:22:31
191,5046,3678.0,609.0,390079.0,9656917.0,20/08/2020,08:06:48
192,5098,3681.0,611.0,393431.0,9656850.0,21/08/2020,07:41:59
193,5133,3692.0,611.0,394911.0,9656783.0,22/08/2020,07:14:38
194,5155,3695.0,613.0,397092.0,9656717.0,23/08/2020,08:03:50
195,5191,3695.0,613.0,398550.0,9656650.0,24/08/2020,07:27:30
196,5215,3716.0,614.0,400442.0,9656583.0,25/08/2020,07:34:54
197,5288,3734.0,614.0,405067.0,9656517.0,26/08/2020,08:20:38
198,5379,3757.0,614.0,405067.0,9656450.0,27/08/2020,08:07:26
199,5511,3759.0,614.0,416645.0,9656383.0,28/08/2020,07:24:56
200,5669,3759.0,614.0,417890.0,9656316.0,29/08/2020,09:23:10
201,5961,3759.0,614.0,424270.0,9656250.0,30/08/2020,10:04:52
202,6139,3761.0,615.0,428150.0,9656183.0,31/08/2020,06:29:02
203,6257,3821.0,616.0,429942.0,9656116.0,01/09/2020,07:22:52
204,6622,3903.0,619.0,437531.0,9656049.0,02/09/2020,07:11:53
205,6923,3930.0,620.0,445047.0,9655983.0,03/09/2020,06:55:40
206,7382,3944.0,621.0,452138.0,9655916.0,04/09/2020,10:00:18
207,7892,3952.0,624.0,460235.0,9655849.0,05/09/2020,07:07:14
208,8387,3958.0,624.0,470000.0,9655782.0,06/09/2020,09:44:20
209,8963,3961.0,625.0,481424.0,9655716.0,07/09/2020,07:56:05
210,9304,3972.0,626.0,481424.0,9655649.0,08/09/2020,07:26:34
211,9304,3972.0,626.0,487146.0,9655649.0,08/09/2020,11:31:19
212,9715,3984.0,628.0,495481.0,9655582.0,09/09/2020,06:54:37
