,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,28/02/2020,18:00:06
1,2,,,,,01/03/2020,20:04:42
2,3,,,,,01/03/2020,22:05:24
3,6,,,,,02/03/2020,20:07:52
4,9,,,,,03/03/2020,01:42:45
5,11,,,,,03/03/2020,14:30:34
6,11,1.0,,,,03/03/2020,15:24:53
7,14,1.0,,,,04/03/2020,01:50:05
8,16,1.0,,,,04/03/2020,09:39:51
9,20,1.0,,,,04/03/2020,14:16:40
10,26,1.0,,,,04/03/2020,17:26:21
11,34,1.0,,,,05/03/2020,12:44:59
12,34,,,,,05/03/2020,13:54:10
13,35,,,,,05/03/2020,21:15:12
14,37,,,,,06/03/2020,10:56:23
15,43,,,,,06/03/2020,15:42:22
16,45,,,,,07/03/2020,00:28:07
17,45,1.0,,,,07/03/2020,01:03:15
18,50,1.0,,,,07/03/2020,17:41:35
19,55,1.0,,,,08/03/2020,16:48:29
20,58,1.0,,,,08/03/2020,21:05:18
21,60,1.0,,,,09/03/2020,14:08:36
22,65,1.0,,,,09/03/2020,20:50:50
23,69,1.0,,,,10/03/2020,12:27:18
24,76,1.0,,,,10/03/2020,19:15:49
25,81,1.0,,,,10/03/2020,21:36:59
26,85,1.0,,,,11/03/2020,13:21:58
27,85,,,,,12/03/2020,03:34:39
28,103,,,,,12/03/2020,12:20:12
29,109,,,,,12/03/2020,16:55:24
30,117,,,,,13/03/2020,04:28:36
31,134,,,,,13/03/2020,18:38:21
32,138,,,,,14/03/2020,08:46:05
33,156,,,,,14/03/2020,13:49:23
34,161,,,,,14/03/2020,23:59:06
35,171,,,,,15/03/2020,15:58:06
36,173,,,,,15/03/2020,19:57:34
37,175,,,,,15/03/2020,20:38:15
38,180,,,,,15/03/2020,22:28:26
39,182,,,,,16/03/2020,17:07:28
40,192,,,,,16/03/2020,18:38:43
41,198,,,,,16/03/2020,19:49:35
42,199,,,,,16/03/2020,23:00:18
43,220,,,,,17/03/2020,12:31:31
44,220,5.0,,,,17/03/2020,13:20:44
45,220,5.0,1.0,,,17/03/2020,14:34:29
46,225,5.0,1.0,,,17/03/2020,15:23:24
47,240,5.0,1.0,,,17/03/2020,17:58:32
48,240,5.0,,,,17/03/2020,20:06:41
49,247,5.0,,,,17/03/2020,20:37:32
50,250,5.0,,,,18/03/2020,12:00:36
51,330,5.0,,,,19/03/2020,11:18:34
52,409,5.0,,,,20/03/2020,11:39:27
53,473,5.0,,,,21/03/2020,11:06:12
54,473,5.0,1.0,,,21/03/2020,16:12:44
55,568,5.0,1.0,,,22/03/2020,11:36:17
56,588,36.0,1.0,,,23/03/2020,13:33:23
57,588,51.0,1.0,,,23/03/2020,15:31:10
58,588,51.0,2.0,,,24/03/2020,09:01:33
59,648,51.0,2.0,,,24/03/2020,13:47:20
60,737,56.0,2.0,,,25/03/2020,13:29:16
61,802,68.0,2.0,,,26/03/2020,13:30:35
62,802,82.0,2.0,,,26/03/2020,23:05:03
63,890,82.0,2.0,,,27/03/2020,13:35:12
64,890,97.0,2.0,,,27/03/2020,15:09:55
65,963,97.0,2.0,,,28/03/2020,15:03:57
66,963,114.0,2.0,,,28/03/2020,17:08:38
67,1020,114.0,2.0,,,29/03/2020,14:36:41
68,1020,135.0,2.0,,,29/03/2020,20:51:22
69,1086,157.0,2.0,,,30/03/2020,15:31:51
70,1135,157.0,2.0,,,31/03/2020,13:41:38
71,1135,198.0,2.0,,,31/03/2020,14:55:06
72,1220,225.0,2.0,,,01/04/2020,13:37:27
73,1220,236.0,2.0,,,01/04/2020,22:45:28
74,1319,270.0,2.0,,,02/04/2020,13:39:08
75,1319,284.0,4.0,,,02/04/2020,14:37:50
76,1364,309.0,4.0,,,03/04/2020,14:08:32
77,1364,309.0,4.0,22195.0,,04/04/2020,03:58:25
78,1364,336.0,4.0,22195.0,,04/04/2020,07:30:42
79,1417,396.0,4.0,23640.0,,04/04/2020,13:14:05
80,1486,428.0,4.0,25394.0,,05/04/2020,14:07:20
81,1562,460.0,4.0,25394.0,,06/04/2020,13:13:44
82,1562,460.0,6.0,27880.0,,06/04/2020,15:24:02
83,1586,559.0,6.0,28991.0,,07/04/2020,13:28:23
84,1616,633.0,6.0,30947.0,,08/04/2020,13:30:47
85,1648,688.0,6.0,32663.0,,09/04/2020,16:09:08
86,1675,751.0,6.0,34125.0,,10/04/2020,14:01:15
87,1675,751.0,7.0,34125.0,,10/04/2020,18:44:04
88,1689,841.0,7.0,34635.0,,11/04/2020,13:32:11
89,1689,841.0,8.0,34635.0,,11/04/2020,19:00:05
90,1701,889.0,8.0,35253.0,,12/04/2020,14:00:04
91,1711,933.0,8.0,35253.0,,13/04/2020,11:07:56
92,1720,989.0,8.0,36339.0,,14/04/2020,15:00:08
93,1727,1077.0,8.0,37386.0,,15/04/2020,13:51:15
94,1739,1144.0,8.0,38204.0,,16/04/2020,23:37:57
95,1754,1224.0,9.0,39536.0,,17/04/2020,14:00:07
96,1760,1291.0,9.0,41091.0,,18/04/2020,14:22:06
97,1771,1291.0,9.0,41091.0,,19/04/2020,15:35:55
98,1773,1362.0,9.0,43143.0,,20/04/2020,14:00:09
99,1773,1362.0,10.0,43143.0,,20/04/2020,15:59:50
100,1778,1417.0,10.0,43831.0,,21/04/2020,13:57:09
101,1785,1462.0,10.0,44468.0,,22/04/2020,13:54:36
102,1789,1509.0,10.0,45093.0,,23/04/2020,17:00:34
103,1789,1542.0,10.0,45286.0,,24/04/2020,13:33:57
104,1790,1570.0,10.0,45971.0,,25/04/2020,13:01:28
105,1792,1608.0,10.0,46352.0,,26/04/2020,14:39:02
106,1792,1624.0,10.0,46377.0,,28/04/2020,02:05:53
107,1795,1624.0,10.0,46377.0,,28/04/2020,13:54:54
108,1795,1636.0,10.0,46377.0,,28/04/2020,19:40:11
109,1797,1656.0,10.0,47573.0,,29/04/2020,13:06:19
110,1797,1670.0,10.0,48413.0,,30/04/2020,16:10:14
111,1798,1689.0,10.0,49135.0,,01/05/2020,13:31:09
112,1798,1706.0,10.0,50002.0,,02/05/2020,14:41:45
113,1799,1717.0,10.0,50406.0,,03/05/2020,14:52:31
114,1799,1723.0,10.0,50477.0,,04/05/2020,17:01:27
115,1799,1733.0,10.0,51345.0,,05/05/2020,17:53:59
116,1799,1750.0,10.0,51663.0,,06/05/2020,14:03:05
117,1801,1755.0,10.0,51663.0,,07/05/2020,18:54:47
118,1801,1765.0,10.0,52745.0,,07/05/2020,20:30:27
119,1801,1755.0,10.0,51663.0,,07/05/2020,21:17:20
120,1801,1765.0,10.0,52745.0,,08/05/2020,17:24:41
121,1801,1773.0,10.0,53260.0,,09/05/2020,17:37:06
122,1801,1773.0,10.0,54195.0,,10/05/2020,16:23:55
123,1801,1776.0,10.0,54791.0,,12/05/2020,15:39:30
124,1802,1780.0,10.0,55075.0,,13/05/2020,14:38:14
125,1802,1780.0,10.0,55626.0,,14/05/2020,22:15:16
126,1802,1782.0,10.0,56219.0,340958.0,15/05/2020,12:57:02
127,1802,1786.0,10.0,56742.0,340964.0,16/05/2020,15:07:37
128,1802,1786.0,10.0,56875.0,340970.0,17/05/2020,15:00:35
129,1802,1786.0,10.0,56882.0,340982.0,19/05/2020,00:06:01
130,1802,1789.0,10.0,57187.0,340982.0,19/05/2020,13:19:38
131,1803,1789.0,10.0,57628.0,340988.0,20/05/2020,13:20:53
132,1803,1790.0,10.0,57628.0,340994.0,21/05/2020,17:07:19
133,1803,1790.0,10.0,58225.0,340994.0,21/05/2020,21:30:48
134,1803,1791.0,10.0,58225.0,341000.0,22/05/2020,13:53:03
135,1804,1791.0,10.0,58225.0,341006.0,23/05/2020,13:01:37
136,1804,1791.0,10.0,58856.0,341018.0,25/05/2020,23:32:09
137,1804,1792.0,10.0,59087.0,341024.0,26/05/2020,13:30:12
138,1805,1792.0,10.0,59613.0,341030.0,27/05/2020,15:01:22
139,1805,1792.0,10.0,60141.0,341036.0,28/05/2020,21:32:02
140,1805,1794.0,10.0,60491.0,341043.0,29/05/2020,13:50:30
141,1806,1794.0,10.0,61025.0,341049.0,30/05/2020,13:41:53
142,1806,1794.0,10.0,61122.0,341055.0,31/05/2020,23:02:58
143,1806,1794.0,10.0,61138.0,341061.0,01/06/2020,22:53:51
144,1806,1794.0,10.0,61156.0,341067.0,02/06/2020,23:02:50
145,1806,1794.0,10.0,61355.0,341073.0,03/06/2020,22:59:56
146,1806,1794.0,10.0,61680.0,341079.0,04/06/2020,22:46:21
147,1806,1794.0,10.0,62230.0,341085.0,05/06/2020,22:27:12
148,1806,1794.0,10.0,62768.0,341091.0,06/06/2020,22:30:35
149,1807,1794.0,10.0,62795.0,341097.0,07/06/2020,11:02:21
150,1807,1794.0,10.0,62802.0,341109.0,09/06/2020,01:06:13
151,1807,1794.0,10.0,62870.0,341109.0,09/06/2020,22:35:02
152,1807,1794.0,10.0,62911.0,341115.0,10/06/2020,23:01:10
153,1807,1794.0,10.0,62976.0,341121.0,11/06/2020,23:00:05
154,1807,1794.0,10.0,63045.0,341127.0,12/06/2020,14:19:12
155,1808,1794.0,10.0,63124.0,341133.0,13/06/2020,19:32:47
156,1810,1796.0,10.0,63184.0,341139.0,14/06/2020,13:30:58
157,1810,1796.0,10.0,63198.0,341145.0,15/06/2020,23:05:52
158,1812,1796.0,10.0,63198.0,341151.0,16/06/2020,13:30:48
159,1815,1797.0,10.0,65101.0,341157.0,17/06/2020,13:31:39
160,1816,1797.0,10.0,65101.0,341163.0,18/06/2020,13:33:22
161,1816,1801.0,10.0,65101.0,341163.0,18/06/2020,14:30:05
162,1819,1801.0,10.0,65101.0,341169.0,19/06/2020,13:00:44
163,1819,1801.0,10.0,66542.0,341175.0,20/06/2020,12:55:41
164,1822,1801.0,10.0,66542.0,341175.0,20/06/2020,15:00:04
165,1822,1805.0,10.0,67386.0,341175.0,20/06/2020,23:40:37
