,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,0.0,,,30/01/2020,09:35:54
1,2,,,,,02/02/2020,16:27:45
2,3,,,,,03/02/2020,08:08:04
3,5,1.0,,,,13/02/2020,17:47:19
4,3,1.0,,,,14/02/2020,09:24:39
5,3,3.0,,,,16/02/2020,03:02:15
6,5,3.0,,,,02/03/2020,09:04:21
7,6,3.0,,,,02/03/2020,16:48:36
8,5,3.0,,,,02/03/2020,22:36:28
9,6,3.0,,,,02/03/2020,22:37:24
10,7,3.0,,,,04/03/2020,05:08:36
11,22,3.0,,,,04/03/2020,06:00:52
12,28,3.0,,,,04/03/2020,08:30:37
13,29,3.0,,,,04/03/2020,21:19:40
14,30,3.0,,,,05/03/2020,11:02:34
15,31,3.0,,,,06/03/2020,09:51:52
16,33,3.0,,,,07/03/2020,12:16:46
17,34,3.0,,,,07/03/2020,13:56:10
18,39,3.0,,,,08/03/2020,06:16:22
19,40,3.0,,,,08/03/2020,16:48:29
20,43,3.0,,,,08/03/2020,21:26:34
21,40,3.0,,,,09/03/2020,03:42:38
22,42,3.0,,,,09/03/2020,06:45:01
23,43,4.0,,,,09/03/2020,07:22:23
24,45,4.0,,,,09/03/2020,17:28:05
25,47,4.0,,,,09/03/2020,19:28:19
26,56,4.0,,,,10/03/2020,09:39:08
27,62,4.0,,,,10/03/2020,22:40:20
28,73,4.0,,,,12/03/2020,07:41:03
29,74,4.0,,,,12/03/2020,13:50:36
30,74,4.0,1.0,,,12/03/2020,20:36:11
31,75,4.0,1.0,,,13/03/2020,05:18:40
32,78,4.0,1.0,,,13/03/2020,09:39:18
33,81,4.0,1.0,,,13/03/2020,12:08:22
34,82,10.0,1.0,,,13/03/2020,17:19:20
35,82,10.0,2.0,,,13/03/2020,19:20:32
36,83,10.0,2.0,,,14/03/2020,03:35:47
37,84,10.0,2.0,,,14/03/2020,11:35:52
38,97,10.0,2.0,,,14/03/2020,16:34:03
39,100,10.0,2.0,,,15/03/2020,00:49:29
40,105,10.0,2.0,,,15/03/2020,05:47:59
41,107,10.0,2.0,,,15/03/2020,06:55:44
42,108,10.0,2.0,,,15/03/2020,13:25:27
43,109,10.0,2.0,,,15/03/2020,16:35:27
44,111,10.0,2.0,,,15/03/2020,17:41:57
45,111,13.0,2.0,,,15/03/2020,18:16:20
46,112,13.0,2.0,,,15/03/2020,19:57:34
47,114,13.0,2.0,,,16/03/2020,03:04:14
48,115,13.0,2.0,,,16/03/2020,07:18:45
49,117,13.0,2.0,,,16/03/2020,10:06:33
50,129,13.0,2.0,,,16/03/2020,11:19:25
51,129,13.0,3.0,,,17/03/2020,05:52:18
52,130,13.0,3.0,,,17/03/2020,08:19:33
53,126,13.0,3.0,,,17/03/2020,09:07:12
54,137,14.0,3.0,,,17/03/2020,11:58:42
55,153,14.0,3.0,,,17/03/2020,12:10:21
56,137,14.0,3.0,,,17/03/2020,12:31:31
57,142,14.0,3.0,,,17/03/2020,16:48:10
58,143,14.0,3.0,,,17/03/2020,19:15:28
59,147,14.0,3.0,,,18/03/2020,03:46:19
60,148,14.0,3.0,,,18/03/2020,06:52:16
61,152,14.0,3.0,,,18/03/2020,09:03:01
62,155,14.0,3.0,,,18/03/2020,15:30:25
63,168,14.0,3.0,,,18/03/2020,18:29:33
64,169,14.0,3.0,,,18/03/2020,21:08:45
65,170,15.0,3.0,,,19/03/2020,03:50:47
66,171,15.0,3.0,,,19/03/2020,05:35:18
67,174,15.0,3.0,,,19/03/2020,06:53:38
68,197,20.0,4.0,,,19/03/2020,12:07:48
69,184,20.0,4.0,,,19/03/2020,17:14:37
70,194,20.0,4.0,,,19/03/2020,18:51:51
71,195,20.0,4.0,,,20/03/2020,03:32:28
72,197,20.0,4.0,,,20/03/2020,05:03:30
73,206,20.0,5.0,,,20/03/2020,08:58:28
74,223,23.0,5.0,,,20/03/2020,11:39:27
75,249,23.0,5.0,,,20/03/2020,17:27:52
76,258,23.0,5.0,,,21/03/2020,03:53:35
