,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,,,,02/03/2020,04:51:54
1,4,,,,,06/03/2020,10:35:55
2,6,,,,,08/03/2020,10:25:07
3,19,,,,,09/03/2020,11:21:23
4,19,2.0,,,,10/03/2020,09:39:08
5,27,2.0,,,,10/03/2020,12:27:18
6,27,2.0,1.0,,,11/03/2020,06:16:18
7,34,2.0,1.0,,,11/03/2020,12:13:51
8,34,3.0,1.0,,,12/03/2020,10:42:01
9,34,3.0,2.0,,,13/03/2020,08:37:16
10,69,3.0,4.0,,,13/03/2020,11:23:41
11,69,5.0,4.0,,,13/03/2020,12:08:22
12,96,5.0,4.0,,,14/03/2020,09:39:40
13,96,8.0,5.0,,,14/03/2020,14:52:51
14,117,8.0,5.0,,,15/03/2020,06:55:44
15,134,8.0,5.0,,,16/03/2020,10:35:04
16,172,8.0,5.0,,,17/03/2020,09:07:12
17,172,8.0,7.0,,,17/03/2020,17:10:01
18,172,9.0,7.0,,,17/03/2020,23:28:02
19,227,9.0,7.0,,,18/03/2020,09:24:03
20,227,9.0,19.0,,,18/03/2020,09:27:15
21,227,11.0,19.0,,,18/03/2020,09:55:52
22,311,11.0,25.0,,,19/03/2020,07:52:18
23,309,11.0,25.0,,,19/03/2020,09:31:30
24,309,15.0,25.0,,,19/03/2020,10:07:58
25,308,15.0,25.0,,,19/03/2020,18:51:51
26,309,15.0,25.0,,,20/03/2020,03:03:23
27,369,17.0,32.0,,,20/03/2020,08:58:28
28,450,20.0,38.0,,,21/03/2020,09:00:11
29,514,29.0,48.0,,,22/03/2020,11:50:21
30,579,30.0,49.0,,,23/03/2020,09:00:27
31,686,30.0,55.0,,,24/03/2020,09:01:33
32,790,31.0,58.0,,,25/03/2020,09:30:29
33,893,35.0,78.0,,,26/03/2020,09:01:20
34,1046,46.0,87.0,,,27/03/2020,09:01:15
35,1155,59.0,102.0,,,28/03/2020,08:50:52
36,1285,64.0,114.0,,,29/03/2020,09:01:48
37,1414,75.0,122.0,,,30/03/2020,09:00:41
38,1528,81.0,136.0,,,31/03/2020,09:54:18
39,1677,103.0,157.0,,,01/04/2020,08:53:20
40,1790,112.0,170.0,,,02/04/2020,09:01:55
41,1986,134.0,181.0,,,03/04/2020,08:57:01
42,1986,134.0,181.0,6396.0,,04/04/2020,03:58:25
43,1986,134.0,181.0,7193.0,,04/04/2020,07:30:42
44,2092,150.0,191.0,7193.0,,04/04/2020,09:01:59
45,2092,150.0,191.0,7896.0,,04/04/2020,23:11:03
46,2092,150.0,191.0,9712.0,,05/04/2020,02:02:52
47,2273,164.0,198.0,9712.0,,05/04/2020,09:03:07
48,2491,192.0,209.0,9712.0,,06/04/2020,09:03:43
49,2491,192.0,209.0,11460.0,,06/04/2020,16:13:24
50,2491,192.0,209.0,13186.0,,07/04/2020,05:59:55
51,2738,204.0,221.0,13186.0,,07/04/2020,09:44:01
52,2738,204.0,221.0,14354.0,,07/04/2020,13:46:58
53,2956,222.0,240.0,14354.0,,08/04/2020,08:51:48
54,3293,252.0,280.0,14354.0,,09/04/2020,09:06:57
55,3293,252.0,280.0,17679.0,,10/04/2020,02:46:16
