,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,2.0,,,19/02/2020,17:04:15
1,5,,2.0,,,20/02/2020,13:52:34
2,18,,4.0,,,21/02/2020,10:41:35
3,28,,5.0,,,22/02/2020,09:22:39
4,28,,9.0,,,22/02/2020,16:28:01
5,29,,6.0,,,22/02/2020,21:21:14
6,43,,8.0,,,23/02/2020,10:38:56
7,43,1.0,8.0,,,24/02/2020,02:06:21
8,47,1.0,12.0,,,24/02/2020,08:35:56
9,64,3.0,12.0,,,24/02/2020,12:01:21
10,61,3.0,12.0,,,24/02/2020,12:31:08
11,61,188.0,12.0,,,24/02/2020,13:25:00
12,61,3.0,12.0,,,24/02/2020,15:57:52
13,47,3.0,12.0,,,24/02/2020,18:39:06
14,61,3.0,12.0,,,24/02/2020,19:38:27
15,61,3.0,14.0,,,25/02/2020,07:03:49
16,61,3.0,15.0,,,25/02/2020,08:48:00
17,95,3.0,15.0,,,25/02/2020,10:08:58
18,95,25.0,16.0,,,25/02/2020,21:32:52
19,139,25.0,19.0,,,26/02/2020,09:43:16
20,141,25.0,22.0,,,27/02/2020,08:00:53
21,245,25.0,26.0,,,27/02/2020,10:53:42
22,245,54.0,26.0,,,27/02/2020,14:57:17
23,388,54.0,34.0,,,28/02/2020,10:49:48
24,388,73.0,34.0,,,28/02/2020,13:10:04
25,593,123.0,43.0,,,29/02/2020,10:32:58
26,978,123.0,54.0,,,01/03/2020,11:21:36
27,978,175.0,54.0,,,01/03/2020,14:15:16
28,978,175.0,55.0,,,02/03/2020,08:37:39
29,1501,291.0,66.0,,,02/03/2020,10:42:40
30,2336,291.0,77.0,,,03/03/2020,10:56:40
31,2336,435.0,77.0,,,03/03/2020,11:11:09
32,2922,552.0,92.0,,,04/03/2020,11:16:23
33,3513,552.0,107.0,,,05/03/2020,11:02:34
34,3513,739.0,107.0,,,05/03/2020,11:58:52
35,3513,739.0,108.0,,,05/03/2020,20:09:10
36,4747,739.0,124.0,,,06/03/2020,11:06:23
37,4747,913.0,124.0,,,06/03/2020,11:52:48
38,5823,1669.0,145.0,,,07/03/2020,11:50:28
39,6566,2134.0,194.0,,,08/03/2020,11:25:12
40,7161,2394.0,237.0,,,09/03/2020,11:21:23
41,8042,2394.0,291.0,,,10/03/2020,11:47:36
42,8042,2731.0,291.0,,,10/03/2020,12:27:18
43,9000,2959.0,354.0,,,11/03/2020,12:13:51
44,10075,2959.0,429.0,,,12/03/2020,11:10:56
45,10075,3276.0,429.0,,,12/03/2020,12:36:57
46,11364,3276.0,514.0,,,13/03/2020,11:23:41
47,11364,3529.0,514.0,,,13/03/2020,12:08:22
48,12729,3529.0,611.0,,,14/03/2020,11:03:36
49,12729,4339.0,611.0,,,14/03/2020,12:36:29
50,13938,4339.0,724.0,,,15/03/2020,11:37:39
51,13938,4590.0,724.0,,,15/03/2020,15:12:18
52,14991,4590.0,853.0,,,16/03/2020,11:19:25
53,14991,4996.0,853.0,,,17/03/2020,03:07:44
54,16169,5389.0,988.0,,,17/03/2020,11:50:22
55,17361,5389.0,1135.0,,,18/03/2020,12:00:36
56,17361,5710.0,1135.0,,,18/03/2020,16:57:37
57,18407,5710.0,1284.0,,,19/03/2020,11:18:34
58,18407,5979.0,1284.0,,,19/03/2020,15:53:36
59,19644,5979.0,1433.0,,,20/03/2020,11:39:27
60,19644,6745.0,1433.0,,,20/03/2020,14:01:10
61,20610,7635.0,1556.0,,,21/03/2020,09:56:10
62,21638,7635.0,1685.0,,,22/03/2020,11:36:17
63,21638,7913.0,1685.0,,,23/03/2020,01:46:02
64,21638,7913.0,1812.0,,,23/03/2020,10:30:08
65,23049,8376.0,1812.0,,,23/03/2020,11:03:01
66,24811,8376.0,1934.0,,,24/03/2020,10:00:15
67,24811,8913.0,1934.0,,,24/03/2020,11:49:19
68,27017,8913.0,2077.0,,,25/03/2020,10:00:56
69,27017,9625.0,2077.0,,,25/03/2020,10:30:18
70,29406,9625.0,2234.0,,,26/03/2020,09:48:13
71,29406,10457.0,2234.0,,,26/03/2020,10:01:12
72,32332,11133.0,2378.0,,,27/03/2020,09:53:19
73,35408,11679.0,2517.0,,,28/03/2020,10:05:16
74,38309,12391.0,2640.0,,,29/03/2020,10:28:39
75,41495,13911.0,2757.0,,,30/03/2020,10:45:35
76,44605,14656.0,2898.0,,,31/03/2020,10:34:05
77,47593,15473.0,3036.0,,,01/04/2020,10:06:53
78,50468,15473.0,3160.0,,,02/04/2020,10:05:12
79,50468,16711.0,3160.0,,,02/04/2020,10:10:41
80,53183,16711.0,3294.0,,,03/04/2020,10:08:06
81,53183,17935.0,3294.0,,,03/04/2020,10:27:55
82,53183,17935.0,3294.0,80000.0,,04/04/2020,03:58:25
83,55743,17935.0,3452.0,80000.0,,04/04/2020,10:10:19
84,55743,19736.0,3452.0,80000.0,,04/04/2020,10:33:32
85,55743,19736.0,3452.0,186000.0,,04/04/2020,20:49:25
86,58226,19736.0,3603.0,186000.0,,05/04/2020,10:00:35
87,58226,22011.0,3603.0,186000.0,,06/04/2020,04:30:37
88,60500,24236.0,3739.0,186000.0,,06/04/2020,11:02:34
89,62589,27039.0,3872.0,211136.0,,07/04/2020,10:22:55
90,67286,27039.0,4003.0,211136.0,,08/04/2020,10:00:35
91,64586,27039.0,3993.0,211136.0,,08/04/2020,11:21:44
