,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,22/02/2020,21:21:14
1,5,,,,,25/02/2020,09:37:27
2,6,,,,,27/02/2020,06:13:20
3,7,,,,,27/02/2020,21:33:47
4,8,,,,,28/02/2020,19:02:10
5,13,,,,,29/02/2020,19:20:46
6,19,,,,,01/03/2020,20:04:42
7,21,,,,,02/03/2020,10:09:20
8,26,,,,,02/03/2020,20:07:52
9,32,,,,,03/03/2020,18:14:41
10,32,,1.0,,,04/03/2020,08:46:28
11,32,,,,,04/03/2020,17:26:21
12,35,,,,,04/03/2020,18:21:42
13,35,,2.0,,,04/03/2020,21:19:40
14,35,,3.0,,,05/03/2020,16:13:03
15,36,,3.0,,,05/03/2020,22:17:04
16,40,,3.0,,,06/03/2020,10:01:11
17,40,1.0,3.0,,,06/03/2020,15:42:22
18,48,1.0,4.0,,,06/03/2020,22:43:31
19,46,1.0,4.0,,,07/03/2020,04:45:17
20,54,1.0,4.0,,,07/03/2020,18:37:15
21,54,1.0,6.0,,,08/03/2020,16:48:29
22,60,1.0,6.0,,,08/03/2020,18:35:03
23,65,1.0,6.0,,,09/03/2020,11:21:23
24,71,3.0,7.0,,,09/03/2020,19:28:19
25,71,15.0,7.0,,,10/03/2020,14:17:21
26,71,15.0,8.0,,,12/03/2020,07:41:03
27,79,20.0,8.0,,,12/03/2020,16:26:36
28,83,24.0,8.0,,,12/03/2020,18:10:04
29,90,24.0,8.0,,,13/03/2020,17:04:12
30,101,24.0,9.0,,,13/03/2020,18:56:18
31,101,24.0,10.0,,,14/03/2020,11:35:52
32,110,26.0,10.0,,,14/03/2020,18:53:39
33,111,26.0,10.0,,,15/03/2020,15:30:38
34,116,26.0,10.0,,,15/03/2020,17:41:57
35,124,26.0,10.0,,,15/03/2020,19:01:14
36,133,32.0,10.0,,,16/03/2020,20:50:10
37,154,41.0,11.0,,,17/03/2020,11:50:22
38,164,41.0,12.0,,,18/03/2020,12:00:36
39,164,43.0,12.0,,,19/03/2020,03:50:47
40,177,49.0,12.0,,,19/03/2020,13:15:23
41,192,49.0,13.0,,,19/03/2020,19:30:14
42,208,49.0,17.0,,,20/03/2020,19:55:36
43,214,51.0,17.0,,,21/03/2020,14:00:04
44,233,57.0,20.0,,,22/03/2020,11:50:21
45,266,62.0,23.0,,,23/03/2020,11:43:07
46,316,75.0,27.0,,,24/03/2020,13:47:20
47,346,89.0,27.0,,,25/03/2020,13:29:16
48,346,103.0,29.0,,,25/03/2020,13:47:51
49,382,105.0,36.0,,,26/03/2020,12:27:56
50,458,122.0,40.0,,,27/03/2020,12:08:48
51,506,131.0,42.0,,,28/03/2020,11:02:05
52,547,143.0,42.0,,,29/03/2020,10:28:39
53,630,152.0,46.0,,,30/03/2020,17:14:00
54,694,170.0,50.0,,,31/03/2020,18:05:12
55,728,182.0,52.0,,,01/04/2020,19:40:14
56,772,202.0,54.0,,,02/04/2020,14:37:50
57,820,226.0,54.0,,,03/04/2020,15:32:06
58,878,259.0,56.0,,,04/04/2020,15:53:48
59,961,279.0,61.0,,,05/04/2020,16:01:59
60,1031,344.0,64.0,,,06/04/2020,15:24:02
61,1122,373.0,65.0,26331.0,,07/04/2020,15:42:48
62,1202,452.0,69.0,28414.0,,08/04/2020,14:37:49
63,1232,496.0,69.0,30466.0,,09/04/2020,17:35:39
64,1279,550.0,70.0,32158.0,,10/04/2020,15:11:59
65,1318,601.0,72.0,33889.0,,11/04/2020,16:19:21
66,1352,640.0,76.0,35415.0,,12/04/2020,15:24:53
67,1378,717.0,78.0,37791.0,,13/04/2020,11:07:56
68,1400,766.0,78.0,45437.0,,14/04/2020,16:00:08
69,1415,812.0,79.0,46135.0,,15/04/2020,16:15:51
70,1434,856.0,80.0,49260.0,,16/04/2020,16:00:07
71,1482,906.0,81.0,51737.0,,17/04/2020,16:41:00
72,1513,953.0,82.0,53955.0,,18/04/2020,17:00:04
73,1539,1009.0,82.0,56147.0,,19/04/2020,16:00:05
74,1574,1043.0,82.0,59055.0,,20/04/2020,16:49:00
75,1602,1096.0,83.0,60837.0,,21/04/2020,17:00:06
76,1631,1146.0,83.0,62880.0,,22/04/2020,17:00:04
