,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,29/02/2020,21:07:29
1,2,,,,,03/03/2020,22:39:15
2,6,,,,,04/03/2020,21:19:40
3,7,,,,,05/03/2020,19:54:17
4,13,,,,,05/03/2020,21:15:12
5,18,,,,,06/03/2020,21:05:43
6,19,,,,,07/03/2020,20:46:41
7,21,,,,,08/03/2020,18:35:03
8,24,,,,,09/03/2020,20:50:50
9,34,,,,,10/03/2020,19:15:49
10,34,,1.0,,,11/03/2020,17:21:51
11,43,,1.0,,,11/03/2020,20:14:39
12,70,,1.0,,,12/03/2020,19:52:03
13,90,,1.0,,,13/03/2020,18:38:21
14,129,,2.0,,,14/03/2020,18:53:39
15,129,1.0,2.0,,,15/03/2020,12:20:35
16,169,1.0,2.0,,,15/03/2020,18:30:54
17,170,1.0,2.0,,,15/03/2020,19:57:34
18,170,5.0,2.0,,,16/03/2020,10:06:33
19,223,5.0,2.0,,,16/03/2020,23:00:18
20,292,5.0,2.0,,,17/03/2020,18:07:01
21,366,5.0,2.0,,,18/03/2020,21:08:45
22,557,5.0,3.0,,,19/03/2020,18:51:51
23,683,5.0,3.0,,,20/03/2020,18:32:19
24,785,5.0,3.0,,,21/03/2020,19:16:52
25,906,5.0,4.0,,,22/03/2020,18:30:38
26,1012,5.0,6.0,,,23/03/2020,18:18:07
27,1125,5.0,6.0,,,23/03/2020,18:39:23
28,1329,5.0,7.0,,,24/03/2020,20:45:49
29,1564,5.0,9.0,,,25/03/2020,20:06:33
30,1819,5.0,19.0,,,26/03/2020,21:08:47
31,2121,5.0,22.0,,,27/03/2020,19:42:09
32,2415,5.0,36.0,,,28/03/2020,18:25:32
33,2615,5.0,46.0,,,29/03/2020,17:19:08
34,2910,5.0,54.0,,,30/03/2020,19:20:07
35,3235,5.0,71.0,,,31/03/2020,19:31:10
36,3447,5.0,85.0,,,01/04/2020,16:47:40
37,3849,5.0,98.0,,,02/04/2020,17:13:14
38,4273,5.0,120.0,,,03/04/2020,16:52:08
39,4273,25.0,120.0,,,04/04/2020,00:00:51
40,4273,25.0,120.0,30213.0,,04/04/2020,03:58:25
41,4604,25.0,137.0,30213.0,,04/04/2020,17:03:36
42,4994,25.0,158.0,30213.0,,05/04/2020,18:50:04
43,5364,25.0,174.0,30213.0,,06/04/2020,17:07:03
44,5709,25.0,210.0,30213.0,,07/04/2020,17:09:17
45,5709,25.0,210.0,42484.0,,07/04/2020,18:16:06
46,6074,25.0,235.0,42484.0,,08/04/2020,17:26:19
47,6074,25.0,263.0,42484.0,,09/04/2020,17:07:56
48,6574,25.0,263.0,42484.0,,09/04/2020,17:56:23
49,6574,25.0,263.0,53000.0,,09/04/2020,18:46:13
50,7054,25.0,287.0,53000.0,,10/04/2020,18:10:49
51,8089,25.0,287.0,53000.0,,10/04/2020,18:58:19
52,8928,25.0,320.0,53000.0,,11/04/2020,19:00:05
53,9655,25.0,334.0,53000.0,,12/04/2020,17:57:16
54,10647,25.0,365.0,72000.0,,13/04/2020,11:07:56
55,11479,25.0,406.0,90646.0,,14/04/2020,17:22:56
56,11479,77.0,406.0,90646.0,,15/04/2020,06:31:00
57,12547,77.0,444.0,90646.0,,15/04/2020,17:36:51
58,13271,77.0,486.0,90646.0,,16/04/2020,23:37:57
59,13980,77.0,530.0,90646.0,,17/04/2020,17:51:55
60,14758,77.0,571.0,90646.0,,18/04/2020,17:59:20
61,15251,77.0,610.0,90646.0,,19/04/2020,16:00:05
62,15652,77.0,687.0,90646.0,,20/04/2020,18:00:06
63,16040,77.0,730.0,90646.0,,21/04/2020,17:38:42
64,16040,9233.0,730.0,90646.0,,21/04/2020,18:45:51
65,16040,9233.0,730.0,111584.0,,21/04/2020,19:32:38
66,16671,9233.0,769.0,111584.0,,22/04/2020,18:00:05
67,17607,9233.0,794.0,111584.0,,23/04/2020,17:00:34
68,18184,9233.0,1014.0,111584.0,,24/04/2020,19:30:20
69,18561,9233.0,1063.0,127319.0,,25/04/2020,17:30:05
70,19262,9233.0,1087.0,127319.0,,26/04/2020,14:39:02
71,19648,9233.0,1102.0,127319.0,,28/04/2020,02:05:53
72,19877,9233.0,1159.0,153954.0,,28/04/2020,18:17:10
73,20253,9233.0,1190.0,153954.0,,29/04/2020,19:54:19
74,20253,13386.0,1190.0,153954.0,,29/04/2020,20:11:15
75,20612,13386.0,1232.0,153954.0,,30/04/2020,17:30:48
76,20833,13386.0,1265.0,153954.0,,01/05/2020,17:22:43
77,21176,13386.0,1286.0,153954.0,,02/05/2020,17:23:37
78,21176,13386.0,1286.0,169377.0,,02/05/2020,20:01:09
79,21506,13386.0,1303.0,169377.0,,03/05/2020,17:32:19
80,21772,13386.0,1319.0,169377.0,,04/05/2020,16:48:42
81,21983,13386.0,1339.0,214761.0,,05/05/2020,17:53:59
82,22248,13386.0,1375.0,214761.0,,06/05/2020,17:00:04
83,22248,17110.0,1375.0,214761.0,,06/05/2020,19:34:58
84,22385,17110.0,1403.0,214761.0,,07/05/2020,17:30:56
85,22541,17110.0,1429.0,214761.0,,07/05/2020,20:30:27
86,22385,17110.0,1403.0,214761.0,,07/05/2020,21:17:20
87,22541,17110.0,1429.0,214761.0,,08/05/2020,17:24:41
88,22760,17110.0,1446.0,214761.0,,09/05/2020,17:03:04
89,22996,17110.0,1458.0,214761.0,,10/05/2020,16:59:22
90,23135,17110.0,1467.0,214761.0,,11/05/2020,17:46:23
91,23242,17110.0,1488.0,258808.0,,12/05/2020,16:55:59
92,23401,19470.0,1497.0,258808.0,,13/05/2020,17:26:38
93,23827,19470.0,1506.0,258808.0,,14/05/2020,22:15:16
94,23956,19470.0,1518.0,258808.0,4930547.0,15/05/2020,18:55:43
95,24048,19470.0,1533.0,258808.0,4930698.0,16/05/2020,17:10:23
96,24112,19470.0,1543.0,258808.0,4930848.0,17/05/2020,17:24:15
97,24200,19470.0,1547.0,258808.0,4930999.0,18/05/2020,17:24:34
98,24251,19470.0,1561.0,295626.0,4931150.0,19/05/2020,19:31:27
99,24315,19470.0,1571.0,295626.0,4931300.0,20/05/2020,18:02:04
100,24315,21060.0,1571.0,295626.0,4931300.0,20/05/2020,18:51:42
101,24391,21060.0,1583.0,295626.0,4931451.0,21/05/2020,18:06:46
102,24506,21060.0,1592.0,295626.0,4931601.0,22/05/2020,18:32:01
103,24582,21060.0,1604.0,295626.0,4931752.0,23/05/2020,16:30:04
104,24639,21060.0,1608.0,295626.0,4931903.0,24/05/2020,16:30:35
105,24698,21060.0,1608.0,295626.0,4932053.0,25/05/2020,17:22:18
106,24698,21060.0,1606.0,295626.0,4932053.0,25/05/2020,18:01:55
107,24735,21060.0,1615.0,325795.0,4932204.0,26/05/2020,17:28:09
108,24803,21060.0,1631.0,325795.0,4932355.0,27/05/2020,18:00:09
109,24803,22089.0,1631.0,325795.0,4932355.0,27/05/2020,21:30:45
110,24841,22089.0,1639.0,325795.0,4932505.0,28/05/2020,18:26:03
111,24876,22089.0,1645.0,325795.0,4932656.0,29/05/2020,17:20:48
112,24929,22089.0,1651.0,325795.0,4932806.0,30/05/2020,16:51:55
113,24990,22089.0,1652.0,325795.0,4932957.0,31/05/2020,17:33:29
114,25062,22089.0,1652.0,325795.0,4933108.0,01/06/2020,17:33:08
115,25062,22089.0,1650.0,325795.0,4933108.0,01/06/2020,20:07:19
116,25066,22089.0,1658.0,325795.0,4933258.0,02/06/2020,17:14:02
117,25066,22089.0,1658.0,348416.0,4933258.0,02/06/2020,17:14:51
118,25111,22698.0,1659.0,348416.0,4933409.0,03/06/2020,17:35:48
119,25142,22698.0,1664.0,348416.0,4933560.0,04/06/2020,17:27:02
120,25163,22698.0,1670.0,348416.0,4933710.0,05/06/2020,17:20:25
121,25183,22698.0,1678.0,348416.0,4933861.0,06/06/2020,17:31:36
122,25201,22698.0,1679.0,348416.0,4934012.0,07/06/2020,16:07:45
123,25207,22698.0,1683.0,348416.0,4934162.0,08/06/2020,17:37:08
124,25215,22698.0,1691.0,367780.0,4934313.0,09/06/2020,17:32:33
125,25231,22698.0,1695.0,367780.0,4934463.0,10/06/2020,17:47:44
126,25238,22698.0,1703.0,367780.0,4934614.0,11/06/2020,18:07:54
127,25250,22698.0,1705.0,367780.0,4934765.0,12/06/2020,17:06:42
128,25295,22698.0,1705.0,367780.0,4934915.0,13/06/2020,19:32:47
129,25303,22698.0,1706.0,367780.0,4935066.0,14/06/2020,16:52:05
130,25321,22698.0,1706.0,367780.0,4935217.0,15/06/2020,17:11:58
131,25334,22698.0,1709.0,386572.0,4935367.0,16/06/2020,17:16:14
132,25341,22698.0,1710.0,386572.0,4935518.0,17/06/2020,17:30:04
133,25355,22698.0,1714.0,386572.0,4935669.0,18/06/2020,17:30:05
134,25355,22698.0,1714.0,393421.0,4935669.0,18/06/2020,23:00:04
135,25355,22698.0,1714.0,396584.0,4935819.0,19/06/2020,16:05:52
136,25368,22698.0,1714.0,396584.0,4935819.0,19/06/2020,16:57:59
137,25374,22698.0,1715.0,396584.0,4935970.0,20/06/2020,16:54:02
138,25374,22698.0,1715.0,399259.0,4935970.0,20/06/2020,18:30:09
139,25379,22698.0,1715.0,399259.0,4936120.0,21/06/2020,16:52:59
140,25379,22698.0,1715.0,402924.0,4936271.0,22/06/2020,15:58:02
141,25383,22698.0,1717.0,402924.0,4936271.0,22/06/2020,17:20:52
142,25383,22698.0,1717.0,404989.0,4936422.0,23/06/2020,16:47:30
143,25391,22698.0,1720.0,404989.0,4936422.0,23/06/2020,17:28:09
144,25391,22698.0,1720.0,408344.0,4936572.0,24/06/2020,15:30:05
145,25396,22698.0,1726.0,408344.0,4936572.0,24/06/2020,17:02:18
146,25396,23364.0,1726.0,408344.0,4936572.0,24/06/2020,17:30:04
147,25396,23364.0,1726.0,411335.0,4936723.0,25/06/2020,15:30:35
148,25405,23364.0,1727.0,411335.0,4936723.0,25/06/2020,18:01:33
149,25405,23364.0,1727.0,415028.0,4936874.0,26/06/2020,16:48:39
150,25414,23364.0,1730.0,415028.0,4936874.0,26/06/2020,18:01:21
151,25414,23364.0,1730.0,419021.0,4937024.0,27/06/2020,16:33:06
152,25437,23364.0,1734.0,419021.0,4937024.0,27/06/2020,17:00:05
153,25439,23364.0,1735.0,419021.0,4937175.0,28/06/2020,17:23:50
154,25439,23364.0,1735.0,425030.0,4937325.0,29/06/2020,17:02:24
155,25462,23364.0,1735.0,425030.0,4937325.0,29/06/2020,17:14:18
156,25462,23364.0,1735.0,429698.0,4937476.0,30/06/2020,15:42:06
157,25473,23364.0,1736.0,429698.0,4937476.0,30/06/2020,17:14:19
158,25473,23364.0,1736.0,434261.0,4937627.0,01/07/2020,16:29:51
159,25477,23364.0,1738.0,434261.0,4937627.0,01/07/2020,18:00:51
160,25477,23364.0,1738.0,438034.0,4937777.0,02/07/2020,17:19:36
161,25489,23364.0,1738.0,438034.0,4937777.0,02/07/2020,20:30:13
162,25498,23364.0,1740.0,438034.0,4937928.0,03/07/2020,17:14:40
163,25498,23364.0,1740.0,445962.0,4937928.0,03/07/2020,17:31:52
164,25498,23364.0,1740.0,454216.0,4938079.0,04/07/2020,15:33:32
165,25509,23364.0,1741.0,454216.0,4938079.0,04/07/2020,17:02:52
166,25527,23364.0,1741.0,454216.0,4938229.0,05/07/2020,16:57:50
167,25527,23364.0,1741.0,467852.0,4938380.0,06/07/2020,16:38:59
168,25531,23364.0,1741.0,467852.0,4938380.0,06/07/2020,18:11:20
169,25538,23364.0,1742.0,473974.0,4938531.0,07/07/2020,18:02:32
170,25538,23364.0,1742.0,478339.0,4938681.0,08/07/2020,17:01:41
171,25542,23364.0,1738.0,478339.0,4938681.0,08/07/2020,20:31:16
172,25542,23364.0,1738.0,482314.0,4938832.0,09/07/2020,17:01:10
173,25565,23364.0,1743.0,482314.0,4938832.0,09/07/2020,17:39:48
174,25589,23364.0,1744.0,491648.0,4938982.0,10/07/2020,17:02:39
175,25611,23364.0,1746.0,491648.0,4939133.0,11/07/2020,17:17:47
176,25611,23364.0,1746.0,500578.0,4939133.0,11/07/2020,18:31:58
177,25628,23364.0,1746.0,500578.0,4939284.0,12/07/2020,17:02:43
178,25628,23364.0,1746.0,516958.0,4939434.0,13/07/2020,15:23:42
179,25638,23364.0,1746.0,516958.0,4939434.0,13/07/2020,17:25:12
180,25638,23364.0,1746.0,523277.0,4939585.0,14/07/2020,15:32:40
181,25670,23364.0,1746.0,523277.0,4939585.0,14/07/2020,16:51:23
182,25670,23364.0,1746.0,527746.0,4939736.0,15/07/2020,14:59:35
183,25683,23364.0,1748.0,527746.0,4939736.0,15/07/2020,17:42:55
184,25698,23364.0,1749.0,527746.0,4939886.0,16/07/2020,18:02:04
185,25698,23364.0,1749.0,532062.0,4939886.0,16/07/2020,18:36:20
186,25730,23364.0,1752.0,532062.0,4940037.0,17/07/2020,17:01:34
187,25730,23364.0,1752.0,541574.0,4940037.0,17/07/2020,18:41:10
188,25730,23364.0,1752.0,550728.0,4940188.0,18/07/2020,16:21:35
189,25750,23364.0,1753.0,550728.0,4940188.0,18/07/2020,17:31:24
190,25760,23364.0,1753.0,550728.0,4940338.0,19/07/2020,17:01:07
191,25760,23364.0,1753.0,567819.0,4940489.0,20/07/2020,15:00:00
192,25766,23364.0,1753.0,567819.0,4940489.0,20/07/2020,17:01:04
193,25766,23364.0,1753.0,574487.0,4940639.0,21/07/2020,16:04:59
194,25802,23364.0,1753.0,574487.0,4940639.0,21/07/2020,17:32:05
195,25802,23364.0,1753.0,579088.0,4940790.0,22/07/2020,16:22:06
196,25819,23364.0,1754.0,579088.0,4940790.0,22/07/2020,17:03:15
197,25819,23364.0,1754.0,583211.0,4940941.0,23/07/2020,14:23:26
198,25826,23364.0,1763.0,583211.0,4940941.0,23/07/2020,17:34:24
199,25826,23364.0,1763.0,592202.0,4941091.0,24/07/2020,14:13:12
200,25845,23364.0,1763.0,592202.0,4941091.0,24/07/2020,17:15:36
201,25845,23364.0,1763.0,600342.0,4941242.0,25/07/2020,14:30:13
202,25869,23364.0,1764.0,600342.0,4941242.0,25/07/2020,17:12:53
203,25881,23364.0,1764.0,600342.0,4941393.0,26/07/2020,17:09:45
204,25881,23364.0,1764.0,614784.0,4941543.0,27/07/2020,15:30:23
205,25892,23364.0,1764.0,614784.0,4941543.0,27/07/2020,18:01:19
206,25892,23364.0,1764.0,619875.0,4941694.0,28/07/2020,14:59:56
207,25929,23364.0,1764.0,619875.0,4941694.0,28/07/2020,18:17:03
208,25929,23364.0,1764.0,624615.0,4941844.0,29/07/2020,14:30:12
209,25942,23364.0,1764.0,624615.0,4941844.0,29/07/2020,17:06:35
210,25942,23364.0,1764.0,628987.0,4941995.0,30/07/2020,15:01:54
211,26027,23364.0,1764.0,628987.0,4941995.0,30/07/2020,17:48:06
212,26027,23364.0,1763.0,628987.0,4941995.0,30/07/2020,17:57:20
213,26027,23364.0,1763.0,632854.0,4942146.0,31/07/2020,14:44:24
214,26065,23364.0,1763.0,632854.0,4942146.0,31/07/2020,17:41:22
215,26065,23364.0,1763.0,636085.0,4942296.0,01/08/2020,16:44:20
216,26109,23364.0,1763.0,636085.0,4942296.0,01/08/2020,17:53:40
217,26162,23364.0,1763.0,636085.0,4942447.0,02/08/2020,17:41:08
218,26208,23364.0,1763.0,636085.0,4942598.0,03/08/2020,17:29:23
219,26253,23364.0,1763.0,644227.0,4942748.0,04/08/2020,16:51:51
220,26303,23364.0,1763.0,648084.0,4942899.0,05/08/2020,17:33:44
221,26303,23364.0,1763.0,652917.0,4943050.0,06/08/2020,14:33:19
222,26372,23364.0,1768.0,652917.0,4943050.0,06/08/2020,19:48:55
223,26470,23364.0,1772.0,652917.0,4943200.0,07/08/2020,17:42:19
224,26470,23364.0,1772.0,657897.0,4943351.0,08/08/2020,09:45:30
225,26644,23364.0,1772.0,657897.0,4943351.0,08/08/2020,17:38:07
226,26644,23364.0,1772.0,662242.0,4943351.0,08/08/2020,20:40:24
227,26712,23364.0,1772.0,662242.0,4943501.0,09/08/2020,18:13:38
228,26712,23364.0,1772.0,670771.0,4943652.0,10/08/2020,15:56:52
229,26768,23364.0,1772.0,670771.0,4943652.0,10/08/2020,17:00:31
230,26768,23364.0,1772.0,674695.0,4943803.0,11/08/2020,15:29:52
231,26801,23364.0,1773.0,674695.0,4943803.0,11/08/2020,18:14:41
232,26801,23364.0,1773.0,680602.0,4943953.0,12/08/2020,16:13:28
233,26801,23364.0,1774.0,680602.0,4943953.0,12/08/2020,18:28:13
234,26838,23364.0,1774.0,680602.0,4943953.0,12/08/2020,19:05:23
235,26838,23364.0,1774.0,687699.0,4944104.0,13/08/2020,14:50:25
236,26929,23364.0,1774.0,687699.0,4944104.0,13/08/2020,17:29:08
237,26995,23364.0,1774.0,699036.0,4944255.0,14/08/2020,17:47:50
238,27191,23364.0,1774.0,709689.0,4944405.0,15/08/2020,18:35:10
