,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,19/03/2020,23:32:47
1,2,,,,,20/03/2020,17:27:52
2,5,,,,,22/03/2020,11:36:17
3,13,,,,,23/03/2020,16:28:37
4,20,,,,,24/03/2020,10:31:11
5,23,,,,,24/03/2020,16:30:53
6,25,,,,,26/03/2020,10:30:43
7,26,,,,,27/03/2020,06:31:51
8,29,,,,,27/03/2020,10:57:20
9,32,,,,,28/03/2020,11:02:05
10,37,,,,,29/03/2020,10:28:39
11,42,,,,,29/03/2020,15:35:16
12,46,,,,,30/03/2020,09:09:02
13,49,,,,,30/03/2020,15:15:39
14,60,,,,,31/03/2020,09:54:18
15,65,,,,,01/04/2020,09:39:09
16,65,,1.0,,,01/04/2020,17:50:38
17,68,,1.0,,,01/04/2020,18:37:14
18,75,,1.0,,,02/04/2020,10:05:12
19,95,,1.0,,,02/04/2020,15:20:12
20,114,,1.0,,,03/04/2020,09:54:51
21,114,,1.0,1230.0,,04/04/2020,03:58:25
22,121,,1.0,1292.0,,04/04/2020,09:51:17
23,126,,1.0,1319.0,,04/04/2020,15:05:56
24,127,,1.0,1334.0,,05/04/2020,10:00:35
25,138,,1.0,1446.0,,06/04/2020,09:07:21
26,139,55.0,1.0,1638.0,,06/04/2020,16:13:24
27,150,73.0,1.0,1669.0,,07/04/2020,09:55:45
28,158,80.0,1.0,1759.0,,08/04/2020,09:17:53
29,158,82.0,1.0,1824.0,,08/04/2020,15:38:34
30,171,88.0,1.0,1831.0,,09/04/2020,09:20:55
31,190,92.0,1.0,1879.0,,09/04/2020,15:26:47
32,190,100.0,1.0,1887.0,,10/04/2020,13:37:56
33,201,103.0,1.0,1934.0,,10/04/2020,15:11:59
34,204,112.0,1.0,1934.0,,11/04/2020,13:13:08
35,226,112.0,1.0,1934.0,,11/04/2020,17:00:04
36,226,112.0,2.0,1934.0,,11/04/2020,19:07:56
37,228,112.0,2.0,1934.0,,12/04/2020,15:51:56
38,242,131.0,2.0,2030.0,,13/04/2020,11:07:56
39,242,141.0,2.0,2085.0,,14/04/2020,09:50:50
40,254,141.0,2.0,2085.0,,14/04/2020,18:22:57
41,254,141.0,2.0,2122.0,,14/04/2020,19:00:05
42,256,151.0,4.0,2175.0,,15/04/2020,10:53:25
43,258,151.0,4.0,2244.0,,16/04/2020,08:38:55
44,283,153.0,4.0,2261.0,,16/04/2020,09:21:02
45,284,154.0,4.0,2261.0,,16/04/2020,23:37:57
46,289,168.0,4.0,2322.0,,17/04/2020,09:00:05
47,291,169.0,4.0,2375.0,,17/04/2020,15:30:05
48,296,180.0,6.0,2375.0,,18/04/2020,12:00:04
49,297,180.0,6.0,2414.0,,18/04/2020,17:00:04
50,298,192.0,6.0,2414.0,,19/04/2020,13:35:55
51,298,193.0,6.0,2465.0,,19/04/2020,15:35:55
52,299,200.0,6.0,2465.0,,20/04/2020,12:28:28
53,300,200.0,9.0,2509.0,,20/04/2020,15:59:50
54,307,200.0,9.0,2509.0,,21/04/2020,17:00:06
55,307,209.0,9.0,2509.0,,21/04/2020,19:00:11
56,307,212.0,15.0,2654.0,,22/04/2020,16:10:53
57,307,221.0,16.0,2674.0,,23/04/2020,17:00:34
58,308,230.0,18.0,2751.0,,24/04/2020,19:30:20
59,308,243.0,18.0,2796.0,,25/04/2020,17:30:05
60,308,247.0,18.0,2854.0,,26/04/2020,11:48:20
61,308,247.0,20.0,2854.0,,27/04/2020,15:48:26
62,308,248.0,20.0,2903.0,,27/04/2020,16:29:43
63,309,252.0,21.0,2986.0,,28/04/2020,18:17:10
64,313,252.0,21.0,2986.0,,29/04/2020,16:35:36
65,313,258.0,21.0,3049.0,,29/04/2020,20:11:15
66,315,258.0,21.0,3049.0,,30/04/2020,15:33:10
67,315,260.0,21.0,3117.0,,30/04/2020,15:49:26
68,316,271.0,22.0,3228.0,,01/05/2020,15:32:27
69,320,271.0,22.0,3242.0,,02/05/2020,12:32:12
70,321,271.0,22.0,3339.0,,03/05/2020,14:52:31
71,325,271.0,23.0,3339.0,,04/05/2020,17:36:57
72,325,271.0,23.0,3401.0,,05/05/2020,04:50:42
73,326,271.0,23.0,3459.0,,05/05/2020,17:53:59
74,327,271.0,23.0,3459.0,,06/05/2020,19:00:52
75,329,271.0,23.0,3625.0,,07/05/2020,20:30:27
76,327,271.0,23.0,3459.0,,07/05/2020,21:17:20
77,329,271.0,23.0,3625.0,,07/05/2020,22:02:33
78,330,271.0,23.0,3758.0,,10/05/2020,08:53:01
79,330,271.0,23.0,3773.0,,11/05/2020,00:02:10
80,331,272.0,23.0,3853.0,,12/05/2020,20:30:16
81,332,272.0,23.0,3912.0,,13/05/2020,15:36:55
82,332,274.0,23.0,3912.0,,14/05/2020,02:30:11
83,332,285.0,23.0,3973.0,,14/05/2020,22:15:16
84,334,285.0,24.0,3998.0,84975.0,15/05/2020,18:55:43
85,334,285.0,24.0,4032.0,84975.0,15/05/2020,20:52:31
86,335,285.0,24.0,4066.0,84977.0,16/05/2020,16:29:53
87,335,285.0,24.0,4102.0,84978.0,17/05/2020,17:24:15
