,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,21/02/2020,11:29:14
1,2,,,,,23/02/2020,21:08:41
2,3,,,,,27/02/2020,10:53:42
3,4,,,,,28/02/2020,09:15:37
4,6,,,,,28/02/2020,18:37:30
5,6,1.0,,,,28/02/2020,19:02:10
6,7,1.0,,,,28/02/2020,23:00:39
7,10,1.0,,,,01/03/2020,21:47:06
8,12,1.0,,,,02/03/2020,22:37:24
9,15,1.0,,,,04/03/2020,06:58:46
10,15,2.0,,,,05/03/2020,11:42:23
11,16,2.0,,,,05/03/2020,16:13:03
12,17,2.0,,,,05/03/2020,19:54:17
13,21,2.0,,,,06/03/2020,17:22:38
14,21,3.0,,,,07/03/2020,20:46:41
15,25,3.0,,,,07/03/2020,22:56:10
16,29,3.0,,,,08/03/2020,20:10:35
17,39,3.0,,,,08/03/2020,21:05:18
18,39,4.0,,,,09/03/2020,11:21:23
19,41,4.0,,,,09/03/2020,17:28:05
20,42,4.0,,,,09/03/2020,19:28:19
21,50,4.0,,,,09/03/2020,20:50:50
22,55,4.0,,,,10/03/2020,12:14:54
23,58,4.0,,,,10/03/2020,12:43:15
24,75,4.0,,,,10/03/2020,21:08:33
25,76,4.0,,,,11/03/2020,07:35:33
26,79,4.0,,,,11/03/2020,17:21:51
27,97,4.0,,,,11/03/2020,20:43:50
28,100,4.0,,,,12/03/2020,07:41:03
29,109,4.0,,,,12/03/2020,19:55:24
30,126,4.0,,,,13/03/2020,09:15:57
31,143,4.0,,,,14/03/2020,01:11:47
32,154,4.0,,,,14/03/2020,08:46:05
33,164,4.0,,,,14/03/2020,11:35:52
34,178,4.0,,,,14/03/2020,17:32:14
35,193,4.0,,,,14/03/2020,22:08:07
36,200,4.0,,,,15/03/2020,06:55:44
37,213,4.0,,,,15/03/2020,16:35:27
38,250,4.0,,,,16/03/2020,06:39:21
39,255,4.0,,,,16/03/2020,11:19:25
40,344,4.0,,,,16/03/2020,13:33:06
41,255,4.0,,,,16/03/2020,14:07:40
42,277,4.0,,,,16/03/2020,18:38:43
43,298,4.0,,,,16/03/2020,20:50:10
44,304,5.0,,,,17/03/2020,08:19:33
45,304,11.0,,,,17/03/2020,12:17:24
46,324,11.0,,,,17/03/2020,13:20:44
47,337,11.0,,,,17/03/2020,20:37:32
