,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,0.0,,,31/01/2020,02:54:22
1,2,,,,,02/02/2020,16:27:45
2,3,,,,,06/02/2020,23:02:52
3,4,,,,,21/02/2020,00:34:59
4,6,,,,,21/02/2020,09:56:54
5,9,,,,,21/02/2020,12:01:56
6,9,1.0,,,,21/02/2020,14:27:35
7,19,1.0,,,,21/02/2020,20:08:31
8,20,1.0,,,,21/02/2020,21:29:46
9,21,1.0,1.0,,,21/02/2020,23:16:49
10,22,1.0,1.0,,,22/02/2020,02:04:12
11,31,1.0,1.0,,,22/02/2020,09:06:33
12,31,1.0,2.0,,,22/02/2020,09:22:39
13,33,1.0,2.0,,,22/02/2020,10:13:35
14,34,1.0,2.0,,,22/02/2020,10:51:31
15,41,1.0,2.0,,,22/02/2020,11:55:23
16,43,2.0,2.0,,,22/02/2020,12:55:44
17,56,2.0,2.0,,,22/02/2020,16:28:01
18,66,2.0,2.0,,,22/02/2020,21:21:14
19,67,2.0,2.0,,,22/02/2020,22:44:27
20,79,2.0,2.0,,,22/02/2020,23:08:11
21,113,2.0,2.0,,,23/02/2020,09:32:02
22,117,2.0,2.0,,,23/02/2020,10:38:56
23,134,2.0,2.0,,,23/02/2020,12:25:15
24,157,2.0,3.0,,,23/02/2020,20:17:52
25,157,2.0,4.0,,,24/02/2020,08:35:56
26,215,2.0,4.0,,,24/02/2020,09:27:20
27,217,2.0,4.0,,,24/02/2020,10:07:16
28,224,2.0,5.0,,,24/02/2020,12:01:21
29,224,3.0,5.0,,,24/02/2020,13:19:32
30,224,22.0,5.0,,,24/02/2020,13:25:00
31,229,1.0,7.0,,,24/02/2020,15:57:52
32,223,1.0,6.0,,,24/02/2020,18:39:06
33,223,1.0,7.0,,,24/02/2020,19:38:27
34,229,1.0,7.0,,,24/02/2020,20:42:07
35,231,1.0,7.0,,,25/02/2020,02:11:26
36,232,1.0,7.0,,,25/02/2020,08:48:00
37,270,1.0,7.0,,,25/02/2020,09:37:27
38,283,1.0,7.0,,,25/02/2020,11:33:46
39,287,1.0,7.0,,,25/02/2020,12:02:11
40,322,1.0,11.0,,,25/02/2020,19:09:59
41,323,1.0,11.0,,,25/02/2020,19:27:13
42,323,2.0,11.0,,,25/02/2020,21:32:52
43,325,2.0,11.0,,,26/02/2020,06:46:03
44,357,2.0,11.0,,,26/02/2020,09:31:38
45,374,2.0,12.0,,,26/02/2020,11:45:56
46,382,2.0,12.0,,,26/02/2020,16:03:45
47,383,3.0,12.0,,,26/02/2020,17:09:42
48,458,3.0,12.0,,,26/02/2020,20:34:27
49,470,3.0,12.0,,,26/02/2020,22:03:43
50,528,3.0,14.0,,,27/02/2020,11:45:19
51,528,42.0,14.0,,,27/02/2020,14:01:59
52,528,3.0,14.0,,,27/02/2020,14:07:25
53,528,42.0,14.0,,,27/02/2020,14:57:17
54,655,45.0,17.0,,,27/02/2020,19:25:12
55,888,46.0,21.0,,,28/02/2020,18:00:06
56,889,46.0,21.0,,,28/02/2020,22:43:25
57,1128,50.0,29.0,,,29/02/2020,19:20:46
58,1694,83.0,34.0,,,01/03/2020,20:04:42
59,1694,83.0,41.0,,,02/03/2020,00:03:57
60,1694,83.0,34.0,,,02/03/2020,00:15:38
61,1701,83.0,41.0,,,02/03/2020,00:31:39
62,1694,83.0,34.0,,,02/03/2020,00:44:39
63,1701,83.0,41.0,,,02/03/2020,01:07:43
64,1694,83.0,34.0,,,02/03/2020,01:13:20
65,1701,83.0,41.0,,,02/03/2020,01:31:16
66,1694,83.0,34.0,,,02/03/2020,04:51:54
67,1701,83.0,41.0,,,02/03/2020,05:29:02
68,1694,83.0,34.0,,,02/03/2020,05:35:48
69,1701,83.0,41.0,,,02/03/2020,05:57:45
70,1694,83.0,34.0,,,02/03/2020,06:02:04
71,1701,83.0,41.0,,,02/03/2020,06:30:47
72,1694,83.0,34.0,,,02/03/2020,06:53:36
73,1701,83.0,41.0,,,02/03/2020,07:35:18
74,1694,83.0,34.0,,,02/03/2020,08:26:12
75,1703,83.0,41.0,,,02/03/2020,10:09:20
76,1704,83.0,41.0,,,02/03/2020,10:42:40
77,2036,149.0,52.0,,,02/03/2020,20:07:52
78,2502,160.0,79.0,,,03/03/2020,17:43:55
79,3089,276.0,107.0,,,04/03/2020,17:26:21
80,3858,414.0,148.0,,,05/03/2020,18:38:17
81,4636,523.0,197.0,,,06/03/2020,17:12:04
82,5883,589.0,233.0,,,07/03/2020,17:41:35
83,7375,622.0,366.0,,,08/03/2020,18:35:03
84,9172,724.0,463.0,,,09/03/2020,18:07:52
85,10149,1004.0,631.0,,,10/03/2020,17:21:19
86,12462,1045.0,827.0,,,11/03/2020,17:21:51
87,15113,1258.0,1016.0,,,12/03/2020,17:16:13
88,17660,1439.0,1266.0,,,13/03/2020,17:19:20
89,21157,1966.0,1441.0,,,14/03/2020,17:14:08
90,24747,2335.0,1809.0,,,15/03/2020,17:41:57
91,27980,2749.0,2158.0,,,16/03/2020,18:38:43
92,31506,2941.0,2503.0,,,17/03/2020,17:46:39
93,35713,4025.0,2978.0,,,18/03/2020,17:31:43
94,41035,4440.0,3405.0,,,19/03/2020,17:33:38
95,47021,5129.0,4032.0,,,20/03/2020,17:27:52
96,53578,6072.0,4825.0,,,21/03/2020,17:15:43
97,59138,7024.0,5476.0,,,22/03/2020,17:14:22
98,63928,7432.0,6078.0,,,23/03/2020,17:23:40
99,63927,7432.0,6077.0,,,23/03/2020,17:33:29
100,69176,8326.0,6820.0,,,24/03/2020,17:23:19
101,74386,9362.0,7503.0,,,25/03/2020,17:09:18
102,80539,10361.0,8165.0,,,26/03/2020,17:11:06
103,80589,10361.0,8215.0,,,26/03/2020,18:37:05
104,86498,10950.0,9134.0,,,27/03/2020,16:46:15
105,92472,12384.0,10023.0,,,28/03/2020,17:21:23
106,97689,13030.0,10779.0,,,29/03/2020,16:42:02
107,101739,14620.0,11591.0,,,30/03/2020,16:35:12
108,105792,15729.0,12428.0,,,31/03/2020,16:41:57
109,110574,16847.0,13155.0,,,01/04/2020,16:47:40
110,115242,18278.0,13915.0,,,02/04/2020,16:02:09
111,119827,19758.0,14681.0,,,03/04/2020,16:20:40
112,119827,19758.0,14681.0,619849.0,,04/04/2020,03:58:25
113,124632,20996.0,15362.0,657224.0,,04/04/2020,16:19:00
114,128948,21815.0,15887.0,691461.0,,05/04/2020,16:11:14
115,132547,22837.0,16523.0,721732.0,,06/04/2020,16:13:24
116,135586,24392.0,17127.0,755445.0,,07/04/2020,16:07:10
117,139422,26491.0,17669.0,807125.0,,08/04/2020,16:11:32
118,143626,28470.0,18279.0,853369.0,,09/04/2020,16:09:08
119,147577,30455.0,18849.0,906864.0,,10/04/2020,16:07:54
120,152271,32534.0,19468.0,963473.0,,11/04/2020,16:10:06
121,156363,34211.0,19899.0,1010193.0,,12/04/2020,17:00:08
