,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,11/03/2020,20:14:39
1,2,,,,,15/03/2020,00:49:29
2,4,,,,,15/03/2020,10:12:45
3,6,1.0,,,,18/03/2020,09:03:01
4,9,1.0,,,,18/03/2020,20:27:42
5,14,1.0,,,,21/03/2020,07:50:45
6,25,2.0,,,,23/03/2020,07:48:26
7,73,2.0,,,,24/03/2020,19:01:12
8,73,3.0,,,,25/03/2020,22:12:13
9,80,3.0,,,,25/03/2020,22:22:50
10,96,3.0,,,,26/03/2020,20:20:11
11,101,3.0,,,,27/03/2020,19:52:04
12,140,3.0,,,,29/03/2020,10:28:39
13,165,4.0,1.0,,,29/03/2020,20:35:12
14,168,6.0,1.0,,,30/03/2020,21:56:52
15,179,7.0,1.0,,,31/03/2020,23:49:04
16,190,9.0,1.0,,,01/04/2020,21:31:31
17,194,15.0,1.0,,,02/04/2020,22:06:41
18,218,19.0,1.0,,,03/04/2020,20:23:17
19,245,25.0,1.0,,,04/04/2020,20:49:25
20,261,37.0,3.0,,,05/04/2020,20:20:02
21,323,41.0,3.0,,,06/04/2020,19:45:40
22,349,41.0,3.0,,,07/04/2020,21:00:12
23,384,48.0,3.0,,,08/04/2020,20:43:09
24,444,52.0,3.0,,,09/04/2020,19:38:38
25,480,54.0,3.0,,,10/04/2020,23:07:56
26,533,58.0,4.0,,,11/04/2020,22:00:03
27,574,85.0,5.0,,,12/04/2020,19:00:06
28,626,89.0,6.0,,,13/04/2020,11:07:56
29,638,114.0,6.0,,,14/04/2020,19:00:05
30,654,146.0,6.0,,,15/04/2020,23:22:56
31,688,193.0,6.0,,,16/04/2020,23:37:57
32,742,220.0,6.0,,,18/04/2020,12:00:04
33,801,239.0,8.0,,,18/04/2020,17:59:20
34,847,260.0,9.0,,,19/04/2020,16:00:05
35,879,287.0,10.0,,,20/04/2020,23:58:39
36,847,260.0,9.0,,,21/04/2020,00:00:05
37,879,287.0,10.0,,,21/04/2020,00:07:03
38,916,303.0,13.0,,,21/04/2020,21:00:07
39,952,310.0,14.0,,,22/04/2020,22:23:38
40,1004,359.0,14.0,,,23/04/2020,17:00:34
41,1077,419.0,14.0,,,24/04/2020,22:52:58
42,1111,449.0,14.0,,,26/04/2020,10:29:04
43,1150,468.0,14.0,,,26/04/2020,21:01:17
44,1164,499.0,14.0,,,28/04/2020,02:05:53
45,1183,525.0,14.0,,,29/04/2020,00:04:29
46,1238,557.0,14.0,,,29/04/2020,23:51:02
47,1275,574.0,14.0,9657.0,,30/04/2020,20:07:12
48,1333,597.0,15.0,10073.0,,01/05/2020,23:24:25
49,1362,622.0,15.0,10508.0,,02/05/2020,22:19:45
50,1398,653.0,17.0,10778.0,,03/05/2020,21:59:28
51,1432,693.0,17.0,10778.0,,04/05/2020,20:31:57
52,1464,701.0,18.0,11448.0,,05/05/2020,22:31:03
53,1516,721.0,18.0,11448.0,,06/05/2020,21:00:44
54,1602,754.0,20.0,12312.0,,07/05/2020,20:30:27
55,1516,721.0,18.0,11448.0,,07/05/2020,21:17:20
56,1571,742.0,20.0,12312.0,,08/05/2020,01:00:43
57,1602,754.0,20.0,12312.0,,08/05/2020,21:00:55
58,1667,769.0,21.0,12312.0,,09/05/2020,20:30:24
59,1700,794.0,21.0,13663.0,,10/05/2020,20:30:38
60,1730,818.0,21.0,13663.0,,12/05/2020,15:39:30
61,1857,820.0,21.0,14618.0,,12/05/2020,23:44:31
62,1912,902.0,24.0,15260.0,,13/05/2020,22:00:32
63,1971,930.0,24.0,15260.0,,14/05/2020,22:15:16
64,2017,942.0,24.0,15260.0,26287582.0,15/05/2020,21:31:17
65,2061,987.0,25.0,15260.0,26289372.0,16/05/2020,21:31:54
66,2109,1004.0,27.0,18303.0,26291162.0,17/05/2020,20:00:04
67,2119,1040.0,28.0,18608.0,26292953.0,18/05/2020,20:33:27
68,2153,1050.0,28.0,18608.0,26296533.0,20/05/2020,00:09:48
69,2153,1050.0,28.0,19174.0,26296533.0,20/05/2020,02:32:31
70,2231,1083.0,29.0,19174.0,26296533.0,20/05/2020,21:00:36
71,2301,1100.0,29.0,21069.0,26298323.0,21/05/2020,21:02:52
72,2341,1146.0,29.0,22233.0,26300113.0,22/05/2020,20:58:46
73,2366,1188.0,30.0,22233.0,26301903.0,23/05/2020,20:00:04
74,2366,1188.0,30.0,23444.0,26303693.0,24/05/2020,20:30:30
75,2376,1219.0,30.0,23444.0,26303693.0,24/05/2020,21:00:23
76,2423,1257.0,30.0,24317.0,26305483.0,25/05/2020,19:00:04
77,2477,1286.0,30.0,25099.0,26307273.0,26/05/2020,20:01:31
78,2556,1302.0,31.0,25524.0,26309063.0,27/05/2020,20:31:32
79,2641,1326.0,32.0,26021.0,26310853.0,28/05/2020,20:40:25
80,2750,1370.0,32.0,26548.0,26312643.0,29/05/2020,21:30:06
81,2799,1385.0,33.0,26905.0,26314434.0,30/05/2020,20:00:05
82,2833,1435.0,33.0,27039.0,26316224.0,31/05/2020,19:24:36
83,2951,1467.0,33.0,27650.0,26318014.0,01/06/2020,20:45:01
84,3024,1501.0,33.0,28120.0,26319804.0,02/06/2020,20:03:34
85,3110,1530.0,35.0,28522.0,26321594.0,03/06/2020,20:01:33
86,3262,1584.0,35.0,29228.0,26323384.0,04/06/2020,19:49:35
87,3431,1604.0,36.0,29856.0,26325174.0,05/06/2020,20:26:20
88,3557,1750.0,36.0,30612.0,26326964.0,06/06/2020,20:26:49
89,3739,1818.0,36.0,31549.0,26328754.0,07/06/2020,20:32:42
90,3881,1869.0,38.0,32349.0,26330544.0,08/06/2020,20:30:44
91,3995,2045.0,38.0,32864.0,26332334.0,09/06/2020,20:08:57
92,4181,2174.0,41.0,33476.0,26334125.0,10/06/2020,21:30:35
93,4404,2212.0,41.0,34272.0,26335915.0,11/06/2020,20:04:25
94,4684,2263.0,45.0,35179.0,26337705.0,12/06/2020,19:54:44
95,4848,2397.0,45.0,35935.0,26339495.0,13/06/2020,20:00:04
96,5084,2505.0,45.0,36783.0,26341285.0,14/06/2020,21:00:36
97,5439,2590.0,46.0,37653.0,26343075.0,15/06/2020,19:58:29
98,5679,2637.0,46.0,38637.0,26344865.0,16/06/2020,20:16:24
99,6063,2749.0,48.0,39851.0,26346655.0,17/06/2020,23:01:33
100,6444,2863.0,49.0,41443.0,26348445.0,18/06/2020,20:00:38
101,6874,2942.0,49.0,43075.0,26350235.0,19/06/2020,20:00:05
102,7276,2992.0,52.0,44230.0,26352025.0,20/06/2020,20:22:11
103,7492,3068.0,54.0,45152.0,26353816.0,21/06/2020,21:00:35
