,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,10/03/2020,20:03:36
1,2,,,,,11/03/2020,22:32:56
2,8,,,,,13/03/2020,06:37:56
3,10,2.0,,,,15/03/2020,17:41:57
4,15,2.0,,,,16/03/2020,13:33:06
5,12,2.0,,,,17/03/2020,04:32:23
6,13,2.0,,,,18/03/2020,02:28:44
7,15,2.0,1.0,,,18/03/2020,23:14:37
8,16,2.0,1.0,,,20/03/2020,08:58:28
9,19,2.0,1.0,,,20/03/2020,23:58:30
10,21,2.0,1.0,,,24/03/2020,07:31:53
11,25,2.0,1.0,,,25/03/2020,03:30:15
12,26,2.0,1.0,,,25/03/2020,23:33:14
13,30,2.0,1.0,,,28/03/2020,03:47:03
14,32,2.0,1.0,,,29/03/2020,01:45:55
15,34,2.0,1.0,,,30/03/2020,12:35:12
16,36,2.0,1.0,,,30/03/2020,15:31:51
17,38,2.0,2.0,,,31/03/2020,23:53:08
18,38,2.0,3.0,,,01/04/2020,20:51:34
19,44,2.0,3.0,,,01/04/2020,21:57:06
20,47,2.0,3.0,,,02/04/2020,22:06:41
21,53,7.0,3.0,,,03/04/2020,23:34:36
22,53,7.0,3.0,292.0,,04/04/2020,03:58:25
23,53,7.0,3.0,442.0,,04/04/2020,07:30:42
24,53,7.0,3.0,540.0,,04/04/2020,13:14:05
25,55,7.0,3.0,540.0,,05/04/2020,01:30:30
26,58,8.0,3.0,540.0,,05/04/2020,22:11:37
27,59,8.0,3.0,540.0,,07/04/2020,00:02:09
28,63,8.0,3.0,540.0,,07/04/2020,22:02:37
29,63,9.0,3.0,540.0,,07/04/2020,23:51:10
30,63,10.0,3.0,540.0,,08/04/2020,14:01:11
31,63,10.0,4.0,540.0,,08/04/2020,19:47:20
32,63,10.0,4.0,907.0,,09/04/2020,05:35:00
33,63,12.0,4.0,907.0,,09/04/2020,19:38:38
34,63,13.0,4.0,907.0,,10/04/2020,02:46:16
35,65,13.0,4.0,907.0,,11/04/2020,02:56:16
36,69,13.0,4.0,907.0,,11/04/2020,23:00:04
37,72,16.0,4.0,907.0,,13/04/2020,11:07:56
38,73,19.0,4.0,1199.0,,13/04/2020,23:00:06
39,105,19.0,4.0,1290.0,,15/04/2020,00:01:13
40,105,21.0,4.0,1290.0,,15/04/2020,04:33:15
41,105,21.0,5.0,1290.0,,15/04/2020,04:43:59
42,125,21.0,5.0,1391.0,,15/04/2020,22:00:02
43,143,21.0,5.0,1424.0,,16/04/2020,23:37:57
44,143,25.0,5.0,1424.0,,17/04/2020,12:57:46
45,163,25.0,5.0,1424.0,,18/04/2020,02:42:58
46,163,25.0,5.0,1516.0,,18/04/2020,03:30:14
47,173,25.0,5.0,1605.0,,18/04/2020,17:59:20
48,173,27.0,5.0,1605.0,,19/04/2020,23:00:27
49,196,27.0,5.0,1809.0,,20/04/2020,02:00:50
50,223,27.0,5.0,1809.0,,20/04/2020,23:40:25
51,196,27.0,5.0,1809.0,,21/04/2020,00:00:05
52,223,27.0,5.0,1889.0,,21/04/2020,00:07:03
53,223,27.0,6.0,1889.0,,21/04/2020,07:00:08
54,228,27.0,6.0,1889.0,,22/04/2020,01:00:09
55,233,27.0,6.0,1936.0,,22/04/2020,01:30:04
56,252,27.0,6.0,2125.0,,23/04/2020,00:00:05
57,252,28.0,6.0,2125.0,,23/04/2020,01:00:07
58,257,28.0,6.0,2213.0,,24/04/2020,01:57:45
59,257,28.0,7.0,2213.0,,24/04/2020,22:52:58
60,288,28.0,7.0,2518.0,,25/04/2020,02:30:27
61,305,28.0,7.0,2868.0,,26/04/2020,01:30:05
62,350,28.0,7.0,3262.0,,27/04/2020,02:01:35
63,364,29.0,7.0,3621.0,,28/04/2020,02:05:53
64,381,29.0,7.0,3621.0,,29/04/2020,04:13:02
65,396,29.0,7.0,3993.0,,29/04/2020,23:07:02
66,422,29.0,8.0,4439.0,,01/05/2020,01:00:35
67,432,31.0,8.0,4779.0,,02/05/2020,00:54:27
68,463,33.0,8.0,5215.0,,03/05/2020,01:04:50
69,469,38.0,9.0,5633.0,,04/05/2020,01:30:51
70,471,38.0,9.0,5633.0,,05/05/2020,02:01:01
71,471,49.0,9.0,5633.0,,05/05/2020,03:02:47
72,471,49.0,9.0,5830.0,,05/05/2020,20:46:28
73,473,56.0,9.0,5993.0,,06/05/2020,00:11:33
74,478,57.0,9.0,6095.0,,07/05/2020,01:29:46
75,488,58.0,9.0,6417.0,,07/05/2020,20:30:27
76,478,57.0,9.0,6095.0,,07/05/2020,21:17:20
77,488,58.0,9.0,6417.0,,08/05/2020,01:00:43
78,490,62.0,9.0,6633.0,,09/05/2020,01:17:23
79,498,78.0,9.0,6889.0,,10/05/2020,03:30:12
80,502,90.0,9.0,7101.0,,11/05/2020,00:30:00
81,505,90.0,9.0,7271.0,,12/05/2020,15:39:30
82,507,100.0,9.0,7465.0,,13/05/2020,01:08:31
83,509,113.0,9.0,7552.0,,14/05/2020,02:30:11
84,509,118.0,9.0,7780.0,,14/05/2020,22:15:16
85,511,121.0,9.0,7946.0,2959554.0,16/05/2020,01:31:52
86,517,121.0,9.0,8193.0,2959589.0,17/05/2020,02:30:37
87,520,127.0,9.0,8515.0,2959624.0,18/05/2020,00:00:39
88,517,121.0,9.0,8193.0,2959624.0,18/05/2020,00:30:04
89,520,127.0,9.0,8515.0,2959624.0,18/05/2020,01:10:15
90,520,131.0,9.0,8674.0,2959659.0,19/05/2020,01:24:39
91,520,145.0,9.0,8828.0,2959694.0,20/05/2020,00:09:48
92,529,171.0,9.0,9021.0,2959730.0,21/05/2020,07:23:54
93,534,181.0,9.0,9178.0,2959765.0,22/05/2020,01:17:38
94,544,191.0,9.0,9554.0,2959800.0,23/05/2020,01:08:10
95,550,200.0,9.0,9923.0,2959835.0,24/05/2020,01:00:10
96,552,211.0,9.0,10230.0,2959871.0,25/05/2020,00:30:26
97,556,238.0,9.0,10570.0,2959906.0,26/05/2020,00:52:25
98,564,267.0,9.0,10570.0,2959941.0,27/05/2020,01:31:05
99,569,279.0,9.0,11259.0,2959976.0,28/05/2020,01:00:14
100,569,284.0,9.0,11460.0,2960012.0,29/05/2020,01:00:47
101,575,289.0,9.0,12078.0,2960047.0,30/05/2020,01:38:45
102,581,290.0,9.0,12389.0,2960082.0,31/05/2020,02:14:25
103,586,311.0,9.0,12702.0,2960117.0,01/06/2020,00:48:15
104,588,322.0,9.0,13191.0,2960152.0,02/06/2020,02:12:47
105,590,356.0,9.0,13407.0,2960188.0,03/06/2020,01:17:45
106,591,361.0,10.0,13616.0,2960223.0,04/06/2020,00:42:30
107,591,368.0,10.0,13813.0,2960258.0,05/06/2020,00:06:37
108,595,385.0,10.0,13993.0,2960293.0,06/06/2020,01:14:03
109,596,404.0,10.0,14223.0,2960329.0,07/06/2020,01:01:01
110,598,405.0,10.0,14586.0,2960364.0,08/06/2020,01:01:47
111,599,405.0,10.0,14802.0,2960399.0,09/06/2020,01:06:13
112,605,405.0,10.0,15013.0,2960434.0,10/06/2020,01:14:22
113,605,407.0,10.0,15153.0,2960470.0,11/06/2020,00:31:17
114,611,408.0,10.0,15153.0,2960505.0,12/06/2020,04:55:44
115,614,417.0,10.0,15850.0,2960540.0,13/06/2020,01:00:38
116,615,420.0,10.0,16347.0,2960575.0,14/06/2020,01:00:21
117,617,420.0,10.0,16492.0,2960610.0,15/06/2020,01:10:34
118,621,430.0,10.0,16892.0,2960646.0,16/06/2020,01:00:12
119,621,449.0,10.0,16947.0,2960681.0,17/06/2020,01:00:15
120,626,451.0,10.0,17463.0,2960716.0,18/06/2020,02:01:21
121,638,458.0,10.0,18621.0,2960751.0,19/06/2020,01:22:23
122,652,458.0,10.0,19617.0,2960787.0,20/06/2020,02:00:15
123,657,462.0,10.0,20160.0,2960822.0,21/06/2020,01:01:41
124,659,516.0,10.0,20434.0,2960857.0,22/06/2020,01:02:29
125,665,516.0,10.0,21278.0,2960892.0,23/06/2020,00:39:38
126,670,518.0,10.0,21278.0,2960928.0,24/06/2020,01:02:45
127,670,518.0,10.0,21658.0,2960928.0,24/06/2020,01:31:22
128,678,521.0,10.0,22261.0,2960963.0,25/06/2020,02:30:05
129,684,526.0,10.0,22712.0,2960998.0,26/06/2020,01:30:05
130,686,539.0,10.0,23331.0,2961033.0,27/06/2020,01:30:26
131,690,552.0,10.0,23583.0,2961069.0,28/06/2020,01:11:39
132,696,552.0,10.0,23881.0,2961104.0,29/06/2020,01:01:05
133,698,553.0,10.0,24174.0,2961139.0,30/06/2020,01:38:28
134,702,553.0,10.0,24501.0,2961174.0,01/07/2020,01:25:40
135,707,555.0,10.0,24951.0,2961209.0,02/07/2020,01:28:14
136,715,560.0,10.0,25229.0,2961245.0,03/07/2020,01:24:38
137,721,565.0,10.0,25750.0,2961280.0,04/07/2020,01:00:25
138,728,569.0,10.0,26002.0,2961315.0,05/07/2020,00:56:56
139,732,584.0,10.0,26532.0,2961350.0,06/07/2020,01:30:42
140,737,591.0,10.0,26798.0,2961386.0,07/07/2020,01:32:08
141,745,599.0,10.0,27142.0,2961421.0,08/07/2020,01:15:52
142,751,600.0,10.0,27357.0,2961456.0,09/07/2020,01:30:25
143,753,603.0,10.0,27531.0,2961491.0,10/07/2020,01:00:23
144,753,605.0,10.0,27836.0,2961527.0,11/07/2020,00:47:18
145,758,615.0,10.0,28088.0,2961562.0,12/07/2020,01:02:10
146,758,620.0,10.0,28219.0,2961597.0,13/07/2020,00:27:28
147,759,628.0,10.0,28453.0,2961632.0,14/07/2020,02:02:47
148,762,643.0,10.0,28603.0,2961667.0,15/07/2020,01:01:24
149,763,647.0,10.0,28959.0,2961703.0,16/07/2020,01:33:50
150,765,647.0,10.0,29443.0,2961738.0,17/07/2020,01:46:42
151,768,678.0,10.0,29653.0,2961773.0,18/07/2020,01:33:20
152,774,679.0,10.0,30226.0,2961808.0,19/07/2020,01:30:30
153,790,693.0,10.0,30962.0,2961844.0,20/07/2020,01:30:06
154,809,706.0,10.0,32053.0,2961879.0,21/07/2020,01:35:37
155,810,709.0,10.0,32552.0,2961914.0,22/07/2020,01:13:39
156,816,710.0,10.0,33170.0,2961949.0,23/07/2020,01:31:57
157,821,711.0,10.0,33762.0,2961985.0,24/07/2020,01:24:32
158,831,711.0,10.0,34660.0,2962020.0,25/07/2020,01:16:05
159,837,711.0,10.0,35417.0,2962055.0,26/07/2020,01:17:21
160,842,714.0,10.0,36194.0,2962090.0,27/07/2020,01:31:53
161,853,714.0,10.0,36795.0,2962126.0,28/07/2020,01:34:31
162,855,724.0,10.0,37210.0,2962161.0,29/07/2020,01:53:31
163,856,724.0,10.0,37527.0,2962196.0,30/07/2020,02:14:03
164,864,724.0,10.0,37527.0,2962231.0,31/07/2020,01:33:40
165,878,726.0,10.0,38733.0,2962266.0,01/08/2020,02:31:30
166,883,743.0,10.0,39053.0,2962302.0,02/08/2020,01:54:15
167,894,743.0,12.0,39769.0,2962337.0,03/08/2020,04:20:27
168,905,743.0,12.0,40095.0,2962372.0,04/08/2020,01:36:55
169,920,745.0,12.0,40726.0,2962407.0,05/08/2020,02:43:05
170,928,745.0,12.0,41299.0,2962443.0,06/08/2020,03:12:15
171,958,745.0,12.0,41840.0,2962478.0,07/08/2020,01:28:28
172,987,745.0,13.0,42447.0,2962513.0,08/08/2020,02:26:40
173,1003,745.0,13.0,42964.0,2962548.0,09/08/2020,01:50:35
174,1023,745.0,14.0,43382.0,2962584.0,10/08/2020,05:04:10
175,1031,745.0,14.0,43778.0,2962619.0,11/08/2020,02:31:33
176,1047,753.0,14.0,44371.0,2962654.0,12/08/2020,04:04:45
