,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,7,,0.0,,,29/01/2020,19:56:57
1,11,,0.0,,,30/01/2020,09:35:54
2,12,,0.0,,,30/01/2020,15:00:28
3,14,,0.0,,,30/01/2020,19:37:26
4,17,,0.0,,,31/01/2020,21:49:27
5,20,,0.0,,,01/02/2020,15:54:49
6,20,,,,,02/02/2020,16:27:45
7,23,,,,,04/02/2020,23:07:01
8,33,,,,,05/02/2020,00:57:31
9,35,,,,,05/02/2020,18:44:41
10,45,,,,,06/02/2020,23:02:52
11,86,4.0,,,,07/02/2020,10:14:50
12,89,4.0,,,,08/02/2020,14:51:42
13,156,4.0,,,,10/02/2020,10:07:48
14,161,4.0,,,,10/02/2020,15:41:16
15,163,4.0,,,,11/02/2020,18:49:21
16,203,4.0,,,,12/02/2020,06:01:34
17,251,10.0,1.0,,,13/02/2020,17:47:19
18,253,10.0,1.0,,,14/02/2020,09:24:39
19,259,11.0,1.0,,,14/02/2020,23:27:53
20,260,11.0,1.0,,,15/02/2020,06:36:49
21,408,12.0,1.0,,,16/02/2020,03:02:15
22,414,17.0,1.0,,,16/02/2020,22:14:07
23,65,17.0,1.0,,,17/02/2020,10:01:50
24,66,18.0,1.0,,,18/02/2020,01:13:07
25,73,20.0,1.0,,,18/02/2020,12:52:29
26,74,20.0,1.0,,,18/02/2020,16:41:40
27,76,20.0,1.0,,,19/02/2020,03:43:10
28,80,20.0,1.0,,,19/02/2020,10:51:12
29,84,20.0,1.0,,,19/02/2020,17:04:15
30,85,20.0,1.0,,,20/02/2020,02:39:06
31,87,20.0,1.0,,,20/02/2020,08:08:31
32,93,20.0,1.0,,,20/02/2020,13:52:34
33,94,20.0,1.0,,,20/02/2020,16:52:51
34,97,20.0,1.0,,,21/02/2020,05:16:39
35,106,20.0,1.0,,,21/02/2020,12:01:56
36,106,22.0,1.0,,,21/02/2020,13:03:06
37,107,22.0,1.0,,,21/02/2020,14:27:35
38,108,22.0,1.0,,,21/02/2020,20:08:31
39,109,22.0,1.0,,,22/02/2020,00:13:05
40,110,22.0,1.0,,,22/02/2020,04:51:47
41,133,22.0,1.0,,,22/02/2020,16:28:01
42,134,22.0,1.0,,,22/02/2020,21:21:14
43,135,22.0,1.0,,,23/02/2020,04:43:43
44,136,22.0,1.0,,,23/02/2020,09:32:02
45,146,22.0,1.0,,,23/02/2020,10:38:56
46,146,23.0,1.0,,,23/02/2020,20:17:52
47,154,23.0,1.0,,,24/02/2020,13:11:18
48,146,23.0,1.0,,,24/02/2020,18:39:06
49,159,23.0,1.0,,,24/02/2020,21:22:36
50,160,23.0,1.0,,,25/02/2020,06:08:50
51,161,23.0,1.0,,,25/02/2020,19:09:59
52,161,23.0,2.0,,,26/02/2020,06:16:52
53,171,23.0,2.0,,,26/02/2020,07:28:08
54,172,23.0,2.0,,,26/02/2020,08:53:57
55,172,23.0,3.0,,,26/02/2020,20:34:27
56,189,32.0,3.0,,,27/02/2020,04:20:43
57,207,32.0,4.0,,,27/02/2020,09:16:09
58,214,32.0,4.0,,,28/02/2020,02:18:37
59,214,32.0,5.0,,,28/02/2020,07:25:55
60,226,32.0,5.0,,,28/02/2020,08:54:05
61,233,32.0,5.0,,,28/02/2020,23:10:28
62,234,32.0,5.0,,,29/02/2020,00:34:23
63,236,32.0,5.0,,,29/02/2020,06:33:25
64,240,32.0,5.0,,,29/02/2020,09:45:21
65,241,32.0,5.0,,,29/02/2020,10:32:58
66,241,32.0,6.0,,,01/03/2020,04:03:10
67,252,32.0,6.0,,,01/03/2020,12:21:04
68,256,32.0,6.0,,,01/03/2020,21:11:25
69,256,42.0,6.0,,,01/03/2020,23:46:48
70,256,32.0,6.0,,,02/03/2020,00:15:38
71,256,42.0,6.0,,,02/03/2020,00:31:39
72,256,32.0,6.0,,,02/03/2020,00:44:39
73,256,42.0,6.0,,,02/03/2020,01:07:43
74,256,32.0,6.0,,,02/03/2020,01:13:20
75,256,42.0,6.0,,,02/03/2020,01:31:16
76,256,32.0,6.0,,,02/03/2020,04:51:54
77,256,42.0,6.0,,,02/03/2020,05:29:02
78,256,32.0,6.0,,,02/03/2020,05:35:48
79,256,42.0,6.0,,,02/03/2020,05:57:45
80,256,32.0,6.0,,,02/03/2020,06:02:04
81,256,42.0,6.0,,,02/03/2020,06:30:47
82,256,32.0,6.0,,,02/03/2020,06:53:36
83,256,42.0,6.0,,,02/03/2020,07:35:18
84,256,32.0,6.0,,,02/03/2020,08:26:12
85,256,42.0,6.0,,,02/03/2020,10:09:20
86,274,42.0,6.0,,,02/03/2020,12:06:39
87,274,43.0,6.0,,,03/03/2020,04:00:45
88,283,43.0,6.0,,,03/03/2020,10:11:29
89,290,43.0,6.0,,,03/03/2020,16:14:50
90,293,43.0,6.0,,,03/03/2020,17:43:55
91,299,43.0,6.0,,,04/03/2020,07:33:24
92,304,43.0,6.0,,,04/03/2020,11:48:27
93,308,43.0,6.0,,,04/03/2020,13:06:26
94,319,43.0,6.0,,,04/03/2020,13:45:33
95,331,43.0,6.0,,,04/03/2020,18:21:42
96,361,43.0,6.0,,,05/03/2020,13:47:27
97,364,43.0,6.0,,,05/03/2020,22:49:16
98,381,43.0,6.0,,,06/03/2020,10:16:20
99,381,46.0,6.0,,,06/03/2020,13:25:51
100,420,46.0,6.0,,,06/03/2020,16:53:41
101,420,49.0,6.0,,,07/03/2020,01:03:15
102,435,49.0,6.0,,,07/03/2020,10:20:50
103,435,76.0,6.0,,,07/03/2020,13:56:10
104,461,76.0,6.0,,,07/03/2020,16:20:51
105,502,76.0,6.0,,,08/03/2020,13:58:52
106,502,76.0,7.0,,,08/03/2020,16:48:29
107,530,101.0,9.0,,,09/03/2020,15:26:57
108,543,86.0,10.0,,,10/03/2020,08:43:54
109,543,102.0,10.0,,,10/03/2020,12:27:18
110,581,102.0,10.0,,,10/03/2020,16:24:12
111,587,102.0,10.0,,,10/03/2020,22:05:23
112,587,102.0,12.0,,,11/03/2020,04:26:21
113,639,118.0,15.0,,,11/03/2020,17:21:51
114,639,118.0,16.0,,,12/03/2020,04:55:54
115,643,118.0,16.0,,,12/03/2020,10:42:01
116,691,118.0,17.0,,,12/03/2020,16:37:46
117,691,118.0,19.0,,,12/03/2020,18:48:21
118,692,118.0,19.0,,,13/03/2020,09:39:18
119,701,118.0,19.0,,,13/03/2020,10:52:48
120,725,118.0,21.0,,,14/03/2020,01:11:47
121,734,118.0,21.0,,,14/03/2020,01:44:34
122,738,118.0,21.0,,,14/03/2020,08:46:05
123,754,118.0,21.0,,,14/03/2020,12:36:29
124,788,122.0,22.0,,,14/03/2020,14:52:51
125,804,122.0,22.0,,,14/03/2020,16:34:03
126,804,144.0,22.0,,,14/03/2020,19:54:23
127,825,144.0,22.0,,,15/03/2020,07:26:10
128,805,144.0,22.0,,,15/03/2020,11:37:39
129,814,144.0,24.0,,,15/03/2020,13:25:27
130,839,144.0,24.0,,,15/03/2020,17:41:57
131,840,144.0,25.0,,,16/03/2020,07:18:45
132,845,144.0,25.0,,,16/03/2020,10:06:33
133,845,144.0,27.0,,,16/03/2020,11:19:25
134,895,144.0,27.0,,,16/03/2020,18:38:43
135,827,144.0,27.0,,,16/03/2020,23:26:04
136,833,144.0,28.0,,,17/03/2020,03:07:44
137,834,144.0,28.0,,,17/03/2020,06:36:55
138,836,144.0,28.0,,,17/03/2020,08:19:33
139,839,144.0,28.0,,,17/03/2020,09:07:12
140,843,144.0,28.0,,,17/03/2020,09:42:54
141,852,144.0,28.0,,,17/03/2020,10:22:34
142,876,144.0,28.0,,,17/03/2020,13:20:44
143,878,144.0,29.0,,,17/03/2020,15:47:47
144,882,144.0,29.0,,,18/03/2020,02:28:44
145,889,144.0,29.0,,,18/03/2020,12:00:36
146,899,144.0,29.0,,,18/03/2020,14:46:58
147,914,191.0,29.0,,,19/03/2020,02:37:17
148,923,191.0,32.0,,,19/03/2020,02:57:51
149,986,191.0,33.0,,,19/03/2020,05:35:18
150,924,191.0,33.0,,,19/03/2020,07:52:18
151,923,191.0,32.0,,,19/03/2020,09:03:12
152,943,191.0,33.0,,,19/03/2020,21:35:45
153,963,215.0,33.0,,,20/03/2020,08:58:28
154,1007,215.0,35.0,,,21/03/2020,03:00:05
155,1046,215.0,36.0,,,21/03/2020,18:36:09
156,1054,215.0,36.0,,,21/03/2020,21:53:01
157,1054,235.0,36.0,,,22/03/2020,13:23:33
158,1086,235.0,36.0,,,22/03/2020,15:30:12
159,1101,235.0,41.0,,,23/03/2020,02:30:37
160,1128,235.0,42.0,,,23/03/2020,19:48:12
161,1140,285.0,42.0,,,24/03/2020,07:09:18
162,1193,285.0,43.0,,,24/03/2020,17:58:10
163,1307,310.0,45.0,,,25/03/2020,18:54:54
164,1399,359.0,47.0,,,26/03/2020,16:09:16
165,1387,359.0,47.0,,,26/03/2020,23:15:30
166,1468,372.0,49.0,,,27/03/2020,21:45:51
167,1499,372.0,49.0,,,28/03/2020,00:32:09
168,1499,404.0,49.0,,,28/03/2020,12:00:14
169,1693,404.0,52.0,,,28/03/2020,20:26:15
170,1693,424.0,52.0,,,29/03/2020,12:05:53
171,1866,424.0,54.0,,,29/03/2020,18:57:07
172,1953,424.0,56.0,,,31/03/2020,00:00:36
173,2229,424.0,66.0,,,01/04/2020,01:40:21
174,2178,424.0,57.0,,,01/04/2020,05:29:49
175,2178,472.0,57.0,,,01/04/2020,11:05:20
176,2384,472.0,57.0,,,01/04/2020,22:48:15
177,2495,472.0,62.0,,,02/04/2020,22:58:25
178,2617,472.0,63.0,,,03/04/2020,02:55:38
179,2617,514.0,63.0,,,03/04/2020,10:48:44
180,2617,514.0,63.0,32497.0,,04/04/2020,03:58:25
181,2935,514.0,69.0,32497.0,,04/04/2020,04:32:59
182,2935,514.0,69.0,39446.0,,04/04/2020,07:30:42
183,3139,514.0,77.0,42882.0,,04/04/2020,23:11:03
184,3139,514.0,77.0,44639.0,,05/04/2020,14:29:43
185,3654,575.0,85.0,44639.0,,06/04/2020,00:02:59
186,3654,575.0,85.0,46172.0,,06/04/2020,17:07:03
187,3906,592.0,92.0,46172.0,,07/04/2020,01:01:43
188,3906,592.0,92.0,55311.0,,07/04/2020,21:00:12
189,4257,622.0,93.0,55311.0,,08/04/2020,01:54:47
190,4667,632.0,94.0,55311.0,,09/04/2020,00:18:03
191,4667,632.0,94.0,61498.0,,09/04/2020,06:31:38
192,4979,685.0,99.0,61498.0,,10/04/2020,02:20:02
193,5530,685.0,99.0,64387.0,,10/04/2020,03:39:19
194,6005,685.0,99.0,64387.0,,11/04/2020,01:43:43
195,6005,762.0,99.0,64387.0,,11/04/2020,09:58:42
196,6748,762.0,108.0,68771.0,,12/04/2020,01:37:56
197,7370,784.0,123.0,77381.0,,13/04/2020,11:07:56
198,7618,799.0,143.0,77381.0,,13/04/2020,23:00:06
199,7645,799.0,143.0,77381.0,,14/04/2020,04:00:06
200,7645,799.0,143.0,78702.0,,14/04/2020,05:47:27
201,7885,853.0,146.0,89551.0,,15/04/2020,01:16:19
202,8100,853.0,146.0,89551.0,,15/04/2020,04:33:15
203,8626,901.0,178.0,94236.0,,16/04/2020,00:38:00
204,9231,935.0,190.0,100703.0,,16/04/2020,23:37:57
205,9787,935.0,190.0,100703.0,,17/04/2020,22:00:04
206,10296,1069.0,222.0,111325.0,,18/04/2020,17:59:20
207,10797,1159.0,236.0,112816.0,,19/04/2020,16:00:05
208,11135,1239.0,263.0,116725.0,,21/04/2020,00:07:03
209,11512,1356.0,281.0,124550.0,,22/04/2020,01:00:09
210,11950,1424.0,299.0,130587.0,,23/04/2020,01:00:07
211,12368,1494.0,328.0,135983.0,,23/04/2020,23:58:33
212,12712,1530.0,345.0,141600.0,,25/04/2020,02:30:27
213,12829,1530.0,345.0,141600.0,,25/04/2020,04:33:31
214,13231,1656.0,360.0,147454.0,,25/04/2020,23:20:59
215,13441,1809.0,372.0,149074.0,,27/04/2020,00:01:36
216,13614,1899.0,385.0,150692.0,,28/04/2020,02:05:53
217,13736,1899.0,394.0,160546.0,,29/04/2020,00:04:29
218,13895,2368.0,413.0,164255.0,,30/04/2020,00:21:55
219,13965,2368.0,425.0,164255.0,,30/04/2020,03:58:09
220,14088,2460.0,430.0,165609.0,,01/05/2020,00:00:05
221,14305,2975.0,455.0,174150.0,,02/05/2020,00:04:11
222,14571,3205.0,474.0,181527.0,,03/05/2020,01:00:57
223,14877,3981.0,487.0,183251.0,,04/05/2020,00:30:34
224,15078,4156.0,536.0,184586.0,,05/05/2020,00:30:05
225,15253,4496.0,556.0,186343.0,,06/05/2020,00:11:33
226,15575,5146.0,590.0,202013.0,,07/05/2020,20:30:27
227,15253,4496.0,556.0,186343.0,,07/05/2020,21:17:20
228,15477,4918.0,577.0,190030.0,,07/05/2020,22:02:33
229,15575,5146.0,590.0,202013.0,,08/05/2020,19:00:22
230,15663,5906.0,607.0,211997.0,,10/05/2020,00:00:04
231,15777,8127.0,624.0,214256.0,,11/05/2020,00:02:10
232,15847,8293.0,633.0,218204.0,,12/05/2020,15:39:30
233,15968,8531.0,657.0,223649.0,,12/05/2020,23:44:31
234,16049,8920.0,678.0,223667.0,,14/05/2020,00:32:43
235,16120,9868.0,697.0,233144.0,,14/05/2020,22:15:16
236,16203,10338.0,713.0,233144.0,126523275.0,16/05/2020,00:03:01
237,16237,10338.0,725.0,240368.0,126522222.0,17/05/2020,00:00:15
238,16285,11153.0,744.0,244452.0,126521169.0,18/05/2020,00:00:39
239,16305,11564.0,749.0,250151.0,126520115.0,19/05/2020,00:06:01
240,16367,11564.0,768.0,255675.0,126519062.0,20/05/2020,00:09:48
241,16385,12286.0,771.0,258277.0,126518009.0,21/05/2020,07:23:54
242,16424,12672.0,777.0,261572.0,126516956.0,22/05/2020,01:17:38
243,16513,13005.0,796.0,265502.0,126515903.0,23/05/2020,00:01:13
244,16536,13244.0,808.0,268477.0,126515903.0,23/05/2020,21:30:17
245,16550,13413.0,820.0,271201.0,126513796.0,25/05/2020,00:30:26
246,16581,13612.0,830.0,435412.0,126513796.0,25/05/2020,23:02:37
247,16623,13810.0,846.0,276170.0,126512743.0,26/05/2020,21:00:04
248,16651,13810.0,858.0,278642.0,126511690.0,27/05/2020,22:10:21
249,16651,13973.0,858.0,278642.0,126510637.0,28/05/2020,00:11:33
250,16683,14147.0,867.0,281293.0,126510637.0,28/05/2020,23:27:44
251,16719,14254.0,874.0,284763.0,126509583.0,29/05/2020,23:26:29
252,16804,14406.0,886.0,287754.0,126508530.0,30/05/2020,22:51:09
253,16851,14459.0,891.0,290436.0,126507477.0,31/05/2020,22:33:42
254,16884,14502.0,892.0,292569.0,126506424.0,01/06/2020,23:57:57
255,16930,14650.0,894.0,296383.0,126505371.0,02/06/2020,23:02:50
256,16986,14771.0,900.0,300277.0,126504317.0,03/06/2020,22:59:56
257,17018,14867.0,903.0,303633.0,126503264.0,04/06/2020,22:16:11
258,17064,14972.0,907.0,307462.0,126502211.0,05/06/2020,22:27:12
259,17103,15079.0,914.0,311447.0,126501158.0,06/06/2020,22:30:35
260,17141,15139.0,916.0,314483.0,126500104.0,07/06/2020,22:35:53
261,17174,15148.0,916.0,316848.0,126497998.0,09/06/2020,01:06:13
262,17210,15213.0,916.0,321053.0,126497998.0,09/06/2020,22:32:51
263,17251,15298.0,919.0,324675.0,126496945.0,10/06/2020,22:30:35
264,17292,15383.0,920.0,328730.0,126495892.0,11/06/2020,23:00:05
265,17332,15493.0,922.0,332207.0,126494838.0,12/06/2020,23:30:08
266,17382,15580.0,924.0,336161.0,126493785.0,13/06/2020,22:31:09
267,17429,15643.0,925.0,338758.0,126492732.0,14/06/2020,23:00:04
268,17502,15686.0,925.0,340918.0,126491679.0,15/06/2020,23:02:21
269,17587,15701.0,927.0,344526.0,126490626.0,16/06/2020,22:53:14
270,17628,15850.0,931.0,348051.0,126489572.0,17/06/2020,22:30:35
271,17668,15930.0,935.0,396433.0,126488519.0,18/06/2020,22:31:13
272,17740,16008.0,935.0,403380.0,126487466.0,19/06/2020,23:01:51
273,17799,16077.0,952.0,409022.0,126486413.0,20/06/2020,22:39:46
274,17864,16108.0,953.0,412669.0,126485360.0,21/06/2020,22:33:02
275,17916,16133.0,953.0,417951.0,126484306.0,22/06/2020,22:49:14
276,17968,16212.0,955.0,424767.0,126483253.0,23/06/2020,23:00:04
277,18024,16263.0,963.0,429481.0,126482200.0,24/06/2020,23:07:05
278,18110,16320.0,968.0,435495.0,126481147.0,25/06/2020,22:32:41
279,18197,16392.0,969.0,440739.0,126480094.0,26/06/2020,22:32:44
280,18297,16452.0,971.0,446589.0,126479040.0,27/06/2020,22:45:14
