,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,02/03/2020,13:23:13
1,1,1.0,,,,13/03/2020,13:16:57
2,6,1.0,,,,15/03/2020,08:45:12
3,7,1.0,,,,15/03/2020,09:25:51
4,8,1.0,,,,15/03/2020,15:58:06
5,10,1.0,,,,15/03/2020,18:30:54
6,12,1.0,,,,16/03/2020,02:51:16
7,15,1.0,,,,16/03/2020,07:18:45
8,16,1.0,,,,16/03/2020,10:06:33
9,18,1.0,,,,16/03/2020,15:20:08
10,19,1.0,,,,16/03/2020,17:07:28
11,29,1.0,,,,16/03/2020,20:50:10
12,33,1.0,,,,17/03/2020,06:36:55
13,34,1.0,,,,17/03/2020,08:19:33
14,35,1.0,,,,17/03/2020,10:49:07
15,40,1.0,,,,17/03/2020,17:46:39
16,48,1.0,,,,17/03/2020,23:03:26
17,52,1.0,,,,18/03/2020,14:30:40
18,56,1.0,,,,18/03/2020,19:33:32
19,68,1.0,,,,19/03/2020,17:33:38
20,69,1.0,,,,19/03/2020,18:51:51
21,85,1.0,,,,20/03/2020,19:55:36
22,84,1.0,,,,21/03/2020,11:16:29
23,85,1.0,,,,21/03/2020,14:00:04
24,99,1.0,,,,21/03/2020,19:33:45
25,100,1.0,,,,21/03/2020,22:25:44
26,112,1.0,,,,22/03/2020,18:30:38
27,127,1.0,,,,23/03/2020,18:39:23
28,153,1.0,,,,24/03/2020,18:20:00
29,154,1.0,,,,24/03/2020,21:11:00
30,172,1.0,,,,25/03/2020,17:32:00
31,212,1.0,,,,26/03/2020,18:37:05
32,212,2.0,,,,27/03/2020,09:53:19
33,235,16.0,,,,27/03/2020,18:00:27
34,235,17.0,,,,27/03/2020,19:42:09
35,235,18.0,,,,27/03/2020,20:23:31
36,235,18.0,1.0,,,27/03/2020,22:00:15
37,246,18.0,1.0,,,28/03/2020,17:33:33
38,259,18.0,2.0,,,29/03/2020,17:51:10
39,259,18.0,3.0,,,29/03/2020,20:23:18
40,259,18.0,4.0,,,30/03/2020,10:45:35
41,268,26.0,5.0,,,30/03/2020,17:56:29
42,274,30.0,5.0,,,31/03/2020,17:25:44
43,278,36.0,5.0,,,01/04/2020,17:50:38
44,299,45.0,5.0,,,02/04/2020,17:29:57
45,310,58.0,5.0,,,03/04/2020,18:16:12
46,310,58.0,5.0,239.0,,04/04/2020,03:58:25
47,323,74.0,5.0,239.0,,04/04/2020,18:01:10
48,323,74.0,5.0,,,05/04/2020,06:51:41
49,345,110.0,5.0,,,05/04/2020,17:30:38
50,349,126.0,6.0,,,06/04/2020,17:21:36
51,349,126.0,6.0,17000.0,,06/04/2020,19:44:00
52,353,138.0,6.0,17000.0,,07/04/2020,17:14:10
53,358,150.0,6.0,17000.0,,08/04/2020,17:26:19
54,372,161.0,7.0,17000.0,,09/04/2020,17:35:39
55,372,170.0,7.0,17000.0,,10/04/2020,16:07:54
56,381,177.0,7.0,17000.0,,11/04/2020,17:15:32
57,381,177.0,7.0,20500.0,,11/04/2020,19:00:05
58,389,201.0,7.0,20500.0,,12/04/2020,17:57:16
59,391,215.0,7.0,20500.0,,13/04/2020,11:07:56
60,397,235.0,7.0,20500.0,,14/04/2020,17:22:56
61,401,250.0,7.0,20500.0,,15/04/2020,17:36:51
62,402,259.0,7.0,20500.0,,16/04/2020,23:37:57
63,407,265.0,7.0,20500.0,,17/04/2020,17:51:55
64,413,269.0,7.0,20500.0,,18/04/2020,17:59:20
65,417,276.0,7.0,20500.0,,19/04/2020,16:00:05
66,417,276.0,7.0,29000.0,,19/04/2020,19:47:39
67,425,282.0,7.0,29000.0,,20/04/2020,18:00:06
68,425,282.0,7.0,33000.0,,20/04/2020,23:40:25
69,425,282.0,7.0,29000.0,,21/04/2020,00:00:05
70,425,282.0,7.0,33000.0,,21/04/2020,00:07:03
71,428,297.0,7.0,33000.0,,21/04/2020,17:19:12
72,428,297.0,7.0,35000.0,,22/04/2020,04:12:31
73,435,297.0,7.0,35000.0,,22/04/2020,18:00:05
74,435,315.0,7.0,35000.0,,22/04/2020,18:32:20
75,435,315.0,7.0,36000.0,,23/04/2020,02:55:23
76,437,318.0,7.0,36000.0,,23/04/2020,17:00:34
77,441,326.0,7.0,61608.0,,24/04/2020,19:30:20
78,444,332.0,7.0,63737.0,,25/04/2020,17:30:05
79,447,337.0,7.0,63737.0,,26/04/2020,14:39:02
80,449,342.0,7.0,63737.0,,27/04/2020,15:48:26
81,449,348.0,8.0,63737.0,,28/04/2020,13:54:54
82,451,356.0,8.0,63737.0,,29/04/2020,16:35:36
83,453,362.0,8.0,63737.0,,30/04/2020,15:33:10
84,459,364.0,8.0,78885.0,,01/05/2020,16:51:59
85,459,364.0,9.0,78885.0,,02/05/2020,14:32:44
86,460,367.0,9.0,82092.0,,02/05/2020,16:26:16
87,461,367.0,9.0,82092.0,,03/05/2020,18:41:43
88,461,367.0,9.0,84593.0,,03/05/2020,19:30:09
89,465,370.0,9.0,84593.0,,04/05/2020,15:33:07
90,465,370.0,9.0,87618.0,,04/05/2020,15:46:35
91,471,375.0,9.0,91666.0,,05/05/2020,17:53:59
92,473,377.0,9.0,91666.0,,06/05/2020,15:37:03
93,473,377.0,9.0,97110.0,,06/05/2020,18:02:46
94,484,381.0,9.0,97110.0,,07/05/2020,15:30:29
95,484,381.0,9.0,101734.0,,07/05/2020,17:00:05
96,494,381.0,9.0,101734.0,,07/05/2020,19:30:04
97,508,385.0,9.0,106314.0,,07/05/2020,20:30:27
98,494,381.0,9.0,101734.0,,07/05/2020,21:17:20
99,508,381.0,9.0,101734.0,,08/05/2020,16:15:04
100,508,385.0,9.0,106314.0,,08/05/2020,16:30:05
101,522,387.0,9.0,111285.0,,09/05/2020,15:58:45
102,540,389.0,9.0,111285.0,,10/05/2020,16:59:22
103,562,390.0,9.0,119260.0,,11/05/2020,17:46:23
104,576,390.0,9.0,123600.0,,12/05/2020,15:39:30
105,582,392.0,9.0,123600.0,,13/05/2020,15:36:55
106,582,392.0,9.0,127307.0,,13/05/2020,17:26:38
107,586,393.0,9.0,127307.0,,14/05/2020,15:58:44
108,586,393.0,9.0,131985.0,,14/05/2020,22:15:16
109,596,401.0,9.0,131985.0,10189909.0,15/05/2020,15:32:26
110,596,401.0,9.0,136229.0,10189909.0,15/05/2020,18:55:43
111,607,404.0,9.0,140222.0,10190185.0,16/05/2020,18:37:01
112,613,408.0,9.0,144356.0,10190462.0,17/05/2020,19:02:20
113,629,413.0,9.0,144356.0,10190738.0,18/05/2020,20:18:41
114,649,413.0,9.0,144356.0,10191015.0,19/05/2020,19:31:27
115,649,417.0,9.0,148482.0,10191291.0,20/05/2020,00:09:48
116,672,446.0,9.0,148482.0,10191291.0,20/05/2020,18:02:04
117,672,446.0,9.0,152615.0,10191568.0,21/05/2020,07:23:54
118,684,457.0,9.0,152615.0,10191568.0,21/05/2020,17:07:19
119,684,457.0,9.0,156663.0,10191845.0,22/05/2020,01:00:10
120,700,461.0,9.0,159320.0,10191845.0,22/05/2020,16:52:39
121,704,470.0,9.0,161722.0,10192121.0,23/05/2020,17:00:30
122,708,471.0,9.0,163173.0,10192398.0,24/05/2020,15:30:45
123,711,479.0,9.0,165109.0,10192674.0,25/05/2020,16:31:44
124,718,586.0,9.0,167892.0,10192951.0,26/05/2020,16:26:04
125,720,586.0,9.0,167892.0,10193227.0,27/05/2020,17:26:21
126,720,486.0,9.0,167892.0,10193504.0,28/05/2020,07:07:52
127,728,486.0,9.0,167892.0,10193504.0,28/05/2020,15:48:58
128,728,497.0,9.0,177092.0,10193504.0,28/05/2020,16:38:38
129,730,507.0,9.0,180119.0,10193780.0,29/05/2020,16:07:03
130,734,507.0,9.0,183641.0,10194057.0,30/05/2020,16:12:58
131,739,522.0,9.0,187990.0,10194333.0,31/05/2020,15:44:12
132,746,535.0,9.0,193060.0,10194610.0,01/06/2020,16:11:50
133,755,549.0,9.0,198879.0,10194886.0,02/06/2020,16:54:05
134,757,549.0,9.0,204374.0,10195163.0,03/06/2020,16:26:44
135,757,561.0,9.0,204374.0,10195163.0,03/06/2020,17:35:48
136,765,566.0,9.0,210401.0,10195440.0,04/06/2020,16:53:36
137,784,571.0,9.0,213815.0,10195716.0,05/06/2020,15:53:20
138,795,586.0,9.0,217905.0,10195993.0,06/06/2020,15:34:04
139,808,607.0,9.0,222128.0,10196269.0,07/06/2020,15:14:28
140,831,627.0,9.0,228778.0,10196546.0,08/06/2020,15:47:57
141,845,657.0,9.0,235014.0,10196822.0,09/06/2020,16:00:14
142,863,663.0,9.0,240436.0,10197099.0,10/06/2020,16:27:21
143,890,670.0,9.0,249431.0,10197375.0,11/06/2020,16:46:37
144,915,671.0,9.0,257149.0,10197652.0,12/06/2020,17:06:42
145,953,678.0,9.0,266873.0,10197928.0,13/06/2020,19:32:47
146,961,682.0,9.0,275480.0,10198205.0,14/06/2020,15:34:13
147,979,692.0,9.0,275480.0,10198481.0,15/06/2020,15:32:28
148,979,692.0,9.0,283673.0,10198481.0,15/06/2020,15:48:55
149,981,693.0,9.0,283673.0,10198758.0,16/06/2020,15:32:19
150,981,693.0,9.0,292623.0,10198758.0,16/06/2020,16:10:46
151,987,693.0,9.0,302502.0,10199034.0,17/06/2020,14:58:44
152,1001,697.0,9.0,310732.0,10199311.0,18/06/2020,15:43:19
153,1008,708.0,9.0,310732.0,10199588.0,19/06/2020,16:30:35
154,1008,708.0,9.0,318410.0,10199588.0,19/06/2020,20:30:26
155,1015,722.0,9.0,318410.0,10199864.0,20/06/2020,16:00:04
156,1015,722.0,9.0,325155.0,10199864.0,20/06/2020,17:00:10
157,1033,739.0,9.0,330869.0,10200141.0,21/06/2020,15:30:53
158,1042,751.0,9.0,336133.0,10200417.0,22/06/2020,16:52:07
159,1047,772.0,9.0,336133.0,10200694.0,23/06/2020,15:30:58
160,1047,772.0,9.0,341161.0,10200694.0,23/06/2020,16:47:30
161,1071,782.0,9.0,348679.0,10200970.0,24/06/2020,15:30:05
162,1086,797.0,9.0,355004.0,10201247.0,25/06/2020,15:26:06
163,1104,830.0,9.0,362326.0,10201523.0,26/06/2020,16:12:43
164,1111,841.0,9.0,369560.0,10201800.0,27/06/2020,16:33:06
165,1121,860.0,9.0,374708.0,10202076.0,28/06/2020,15:30:20
166,1128,867.0,9.0,379796.0,10202353.0,29/06/2020,15:57:04
167,1132,882.0,9.0,385638.0,10202629.0,30/06/2020,16:38:56
168,1133,886.0,9.0,392400.0,10202906.0,01/07/2020,16:29:51
169,1136,889.0,9.0,400933.0,10203183.0,02/07/2020,15:39:03
170,1147,892.0,9.0,408735.0,10203459.0,03/07/2020,15:30:05
171,1147,897.0,9.0,408735.0,10203459.0,03/07/2020,16:31:21
172,1147,897.0,10.0,408735.0,10203459.0,03/07/2020,18:45:20
173,1150,903.0,10.0,415385.0,10203736.0,04/07/2020,15:52:45
174,1150,902.0,10.0,415385.0,10203736.0,04/07/2020,19:00:04
175,1164,902.0,10.0,420893.0,10204012.0,05/07/2020,16:00:06
176,1164,942.0,10.0,420893.0,10204012.0,05/07/2020,20:22:23
177,1167,957.0,10.0,426258.0,10204289.0,06/07/2020,15:33:12
178,1169,969.0,10.0,434295.0,10204565.0,07/07/2020,18:02:32
179,1169,977.0,10.0,440825.0,10204842.0,08/07/2020,18:00:46
180,1169,982.0,10.0,448701.0,10205118.0,09/07/2020,16:01:14
181,1173,986.0,10.0,454575.0,10205395.0,10/07/2020,17:02:39
182,1176,991.0,10.0,460383.0,10205671.0,11/07/2020,15:36:08
183,1179,997.0,10.0,466055.0,10205948.0,12/07/2020,16:05:29
184,1183,1008.0,10.0,471801.0,10206224.0,13/07/2020,16:13:10
185,1198,1013.0,10.0,471801.0,10206501.0,14/07/2020,16:17:37
186,1198,1013.0,10.0,477448.0,10206501.0,14/07/2020,17:49:59
187,1201,1016.0,10.0,477448.0,10206777.0,15/07/2020,16:12:12
188,1201,1016.0,10.0,483111.0,10206777.0,15/07/2020,18:51:54
189,1206,1019.0,10.0,492161.0,10207054.0,16/07/2020,15:35:44
190,1209,1021.0,10.0,492161.0,10207331.0,17/07/2020,15:39:22
191,1209,1021.0,10.0,500062.0,10207331.0,17/07/2020,17:30:06
192,1214,1022.0,11.0,507217.0,10207607.0,18/07/2020,15:50:16
193,1218,1024.0,11.0,513932.0,10207884.0,19/07/2020,15:33:59
194,1223,1028.0,11.0,519998.0,10208160.0,20/07/2020,17:01:04
195,1223,1034.0,11.0,527094.0,10208437.0,21/07/2020,21:37:32
196,1113,1034.0,11.0,527094.0,10208437.0,21/07/2020,23:30:07
197,1120,1035.0,11.0,534319.0,10208713.0,22/07/2020,16:22:06
198,1131,1035.0,11.0,542868.0,10208990.0,23/07/2020,15:01:48
199,1146,1035.0,11.0,550656.0,10209266.0,24/07/2020,17:57:15
200,1154,1036.0,11.0,558451.0,10209543.0,25/07/2020,17:12:53
201,1168,1041.0,11.0,558451.0,10209819.0,26/07/2020,14:28:50
202,1168,1041.0,11.0,565109.0,10209819.0,26/07/2020,16:00:58
203,1176,1041.0,11.0,571390.0,10210096.0,27/07/2020,16:52:57
204,1182,1042.0,11.0,577754.0,10210372.0,28/07/2020,15:42:47
205,1187,1049.0,11.0,577754.0,10210649.0,29/07/2020,16:51:55
206,1187,1049.0,11.0,585469.0,10210649.0,29/07/2020,18:57:25
207,1191,1072.0,11.0,592524.0,10210926.0,30/07/2020,16:07:00
208,1193,1084.0,11.0,597895.0,10211202.0,31/07/2020,14:44:24
209,1208,1094.0,11.0,603237.0,10211479.0,01/08/2020,16:44:20
210,1213,1099.0,11.0,607543.0,10211755.0,02/08/2020,17:41:08
211,1218,1131.0,11.0,611875.0,10212032.0,03/08/2020,15:43:30
212,1224,1155.0,11.0,616656.0,10212308.0,04/08/2020,20:32:04
213,1231,1160.0,11.0,622620.0,10212585.0,05/08/2020,17:33:44
214,1232,1171.0,11.0,628745.0,10212861.0,06/08/2020,16:50:33
215,1237,1178.0,11.0,634721.0,10213138.0,07/08/2020,15:27:26
216,1246,1178.0,11.0,640548.0,10213414.0,08/08/2020,16:19:40
217,1252,1187.0,11.0,646473.0,10213691.0,09/08/2020,18:13:38
218,1268,1187.0,11.0,652759.0,10213967.0,10/08/2020,16:55:42
219,1283,1189.0,11.0,659012.0,10214244.0,11/08/2020,18:14:41
220,1303,1215.0,11.0,665653.0,10214520.0,12/08/2020,16:22:45
221,1320,1222.0,11.0,672344.0,10214797.0,13/08/2020,13:23:47
222,1329,1229.0,11.0,679751.0,10215074.0,14/08/2020,18:49:35
223,1339,1229.0,11.0,686351.0,10215350.0,15/08/2020,18:35:10
224,1378,1236.0,11.0,692760.0,10215627.0,16/08/2020,16:05:09
225,1398,1241.0,11.0,698931.0,10215903.0,17/08/2020,16:15:34
226,1438,1243.0,11.0,705920.0,10216180.0,18/08/2020,16:53:08
227,1482,1259.0,11.0,713214.0,10216456.0,19/08/2020,16:12:39
228,1498,1261.0,11.0,720972.0,10216733.0,20/08/2020,16:06:02
229,1532,1262.0,11.0,728339.0,10217009.0,21/08/2020,19:22:38
230,1576,1268.0,11.0,737273.0,10217286.0,22/08/2020,18:25:35
231,1609,1320.0,12.0,745100.0,10217562.0,23/08/2020,17:00:58
232,1639,1335.0,14.0,752568.0,10217839.0,24/08/2020,17:54:44
