,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,,,,13/03/2020,10:52:48
1,4,,,,,13/03/2020,16:44:32
2,6,,,,,14/03/2020,08:46:05
3,8,,,,,15/03/2020,09:25:51
4,9,,,,,15/03/2020,15:58:06
5,10,,,,,16/03/2020,13:51:51
6,13,,,,,17/03/2020,04:32:23
7,27,,,,,17/03/2020,08:19:33
8,32,,,,,17/03/2020,10:36:15
9,33,,,,,17/03/2020,13:53:18
10,35,,,,,18/03/2020,05:58:58
11,36,,,,,18/03/2020,12:34:34
12,37,,,,,19/03/2020,03:50:47
13,44,,,,,19/03/2020,07:52:18
14,44,,3.0,,,19/03/2020,20:20:19
15,49,,,,,20/03/2020,04:29:06
16,52,,,,,20/03/2020,16:21:20
17,53,,,,,21/03/2020,06:54:35
18,54,,,,,21/03/2020,20:37:12
19,57,,,,,22/03/2020,12:57:16
20,58,,,,,22/03/2020,15:00:42
21,59,,,,,22/03/2020,15:47:55
22,60,,,,,23/03/2020,02:30:37
23,62,,,,,23/03/2020,09:00:27
24,67,,,,,24/03/2020,05:32:33
25,68,,,,,24/03/2020,06:50:10
26,72,,,,,24/03/2020,18:20:00
27,79,,,,,25/03/2020,05:54:37
28,80,,,,,25/03/2020,11:10:45
29,81,,,,,25/03/2020,20:06:33
30,88,2.0,,,,26/03/2020,06:15:33
31,97,2.0,,,,26/03/2020,07:00:04
32,109,2.0,,,,26/03/2020,10:30:43
33,109,2.0,1.0,,,26/03/2020,14:48:39
34,111,2.0,1.0,,,26/03/2020,15:14:31
35,113,2.0,1.0,,,27/03/2020,01:30:05
36,121,2.0,1.0,,,27/03/2020,04:31:30
37,124,2.0,1.0,,,27/03/2020,06:31:51
38,125,2.0,1.0,,,27/03/2020,09:30:08
39,135,3.0,1.0,,,27/03/2020,13:35:12
40,137,3.0,1.0,,,27/03/2020,15:40:32
41,150,3.0,1.0,,,27/03/2020,18:18:31
42,204,14.0,1.0,,,28/03/2020,09:08:24
43,228,16.0,1.0,,,28/03/2020,16:35:24
44,251,18.0,1.0,,,29/03/2020,06:30:36
45,284,20.0,1.0,,,29/03/2020,19:30:45
46,293,20.0,1.0,,,30/03/2020,06:31:16
47,294,20.0,1.0,,,30/03/2020,09:00:41
48,302,21.0,1.0,,,30/03/2020,13:40:16
49,308,21.0,1.0,,,31/03/2020,02:01:52
50,325,21.0,1.0,,,31/03/2020,05:57:14
51,325,22.0,2.0,,,31/03/2020,06:36:57
52,336,22.0,2.0,,,31/03/2020,09:54:18
53,340,22.0,2.0,,,31/03/2020,15:53:36
54,343,24.0,2.0,,,31/03/2020,20:11:09
55,348,24.0,2.0,,,01/04/2020,03:32:33
56,363,24.0,3.0,,,01/04/2020,05:58:21
57,369,24.0,3.0,,,01/04/2020,06:08:41
58,372,26.0,3.0,,,01/04/2020,11:05:20
59,375,26.0,3.0,,,01/04/2020,13:54:15
