,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,13/03/2020,11:23:41
1,3,,,,,15/03/2020,15:30:38
2,4,,,,,17/03/2020,13:20:44
3,7,,,,,18/03/2020,09:55:52
4,15,,,,,22/03/2020,15:00:42
5,16,,,,,23/03/2020,14:56:32
6,25,,,,,24/03/2020,13:47:20
7,28,,,,,25/03/2020,15:28:22
8,28,1.0,,,,25/03/2020,16:23:27
9,31,1.0,,,,26/03/2020,13:04:13
10,31,1.0,1.0,,,26/03/2020,16:23:37
11,38,1.0,1.0,,,28/03/2020,12:20:21
12,42,1.0,1.0,,,29/03/2020,15:30:35
13,50,1.0,1.0,,,30/03/2020,12:35:12
14,59,1.0,1.0,,,31/03/2020,13:41:38
15,59,3.0,1.0,,,01/04/2020,11:05:20
16,81,3.0,1.0,,,01/04/2020,12:41:57
17,110,4.0,3.0,,,02/04/2020,12:58:46
18,122,4.0,4.0,,,03/04/2020,14:08:32
19,122,4.0,4.0,2201.0,,04/04/2020,03:58:25
20,126,4.0,4.0,2201.0,,04/04/2020,13:14:05
21,138,4.0,4.0,2201.0,,05/04/2020,14:19:56
22,142,4.0,4.0,2201.0,,05/04/2020,14:29:43
23,142,4.0,4.0,3836.0,,05/04/2020,16:35:27
24,158,4.0,4.0,3836.0,,06/04/2020,12:33:24
25,158,4.0,6.0,4000.0,,06/04/2020,13:13:44
26,158,4.0,6.0,4277.0,,06/04/2020,16:40:03
27,172,4.0,6.0,4277.0,,07/04/2020,12:43:35
28,172,7.0,6.0,4277.0,,07/04/2020,13:17:18
29,172,7.0,6.0,4973.0,,07/04/2020,15:42:48
30,179,9.0,6.0,4973.0,,08/04/2020,12:56:03
31,184,9.0,6.0,4973.0,,09/04/2020,12:58:38
32,184,9.0,6.0,5278.0,,09/04/2020,13:07:56
33,184,12.0,7.0,5278.0,,09/04/2020,14:32:13
34,189,22.0,7.0,5278.0,,10/04/2020,13:07:56
35,189,22.0,7.0,6192.0,,11/04/2020,11:57:34
36,191,24.0,7.0,6192.0,,11/04/2020,13:00:08
37,197,25.0,8.0,6192.0,,12/04/2020,13:00:05
38,197,25.0,8.0,7449.0,,12/04/2020,15:00:04
39,197,25.0,8.0,7499.0,,12/04/2020,15:28:06
40,197,25.0,8.0,7449.0,,12/04/2020,15:51:56
41,208,40.0,9.0,8123.0,,13/04/2020,11:07:56
42,216,41.0,9.0,8123.0,,14/04/2020,16:00:08
43,225,53.0,10.0,8123.0,,15/04/2020,12:33:22
44,225,53.0,10.0,9630.0,,15/04/2020,12:48:38
45,234,53.0,11.0,9630.0,,16/04/2020,13:16:09
46,246,53.0,11.0,9630.0,,17/04/2020,09:00:05
47,246,53.0,11.0,10784.0,,17/04/2020,12:57:46
48,262,60.0,12.0,10784.0,,18/04/2020,12:41:14
49,270,67.0,14.0,13239.0,,19/04/2020,14:09:48
50,281,69.0,14.0,13239.0,,20/04/2020,12:28:28
51,281,69.0,14.0,13872.0,,20/04/2020,13:00:08
52,296,74.0,14.0,14704.0,,21/04/2020,13:57:09
53,303,74.0,14.0,14704.0,,22/04/2020,13:00:07
54,303,83.0,14.0,14704.0,,23/04/2020,04:00:05
55,320,89.0,14.0,14704.0,,23/04/2020,17:00:34
56,320,89.0,14.0,15792.0,,24/04/2020,09:00:28
57,336,89.0,14.0,16738.0,,24/04/2020,12:45:23
58,336,94.0,14.0,16738.0,,24/04/2020,19:30:20
59,343,94.0,14.0,17000.0,,25/04/2020,13:01:28
60,343,98.0,14.0,17492.0,,25/04/2020,17:30:05
61,355,106.0,14.0,17492.0,,26/04/2020,14:39:02
62,355,106.0,14.0,17992.0,,26/04/2020,19:02:28
63,363,106.0,14.0,17992.0,,27/04/2020,10:30:35
64,363,114.0,14.0,17992.0,,27/04/2020,11:01:32
65,374,124.0,14.0,17992.0,,28/04/2020,13:54:54
66,384,129.0,14.0,17992.0,,29/04/2020,14:05:37
67,384,129.0,15.0,17992.0,,29/04/2020,23:07:02
68,396,144.0,17.0,20268.0,,30/04/2020,13:02:15
69,411,150.0,21.0,20268.0,,01/05/2020,14:27:18
70,411,150.0,21.0,21702.0,,01/05/2020,22:00:36
71,435,152.0,22.0,21702.0,,02/05/2020,15:41:59
72,465,167.0,24.0,23780.0,,03/05/2020,15:30:04
73,490,173.0,24.0,24784.0,,04/05/2020,14:50:36
74,535,182.0,24.0,24784.0,,05/05/2020,14:11:06
75,535,182.0,24.0,25861.0,,06/05/2020,03:30:14
76,582,190.0,26.0,25861.0,,06/05/2020,14:03:05
77,607,197.0,29.0,25861.0,,07/05/2020,13:28:53
78,621,202.0,29.0,29430.0,,07/05/2020,20:30:27
79,607,197.0,29.0,25861.0,,07/05/2020,21:17:20
80,621,202.0,29.0,25861.0,,08/05/2020,14:01:24
81,621,202.0,29.0,29430.0,,08/05/2020,14:21:50
82,649,207.0,30.0,29430.0,,09/05/2020,12:30:08
83,649,207.0,30.0,31041.0,,09/05/2020,13:19:21
84,672,239.0,32.0,31041.0,,10/05/2020,13:46:35
85,700,251.0,33.0,31041.0,,11/05/2020,14:38:53
86,700,251.0,33.0,32938.0,,11/05/2020,22:17:21
87,715,259.0,36.0,32938.0,,12/05/2020,15:39:30
88,737,281.0,40.0,32938.0,,13/05/2020,14:38:14
89,737,281.0,40.0,35432.0,,13/05/2020,20:19:26
90,758,284.0,42.0,36918.0,,14/05/2020,14:16:32
91,781,284.0,45.0,36918.0,53608695.0,15/05/2020,15:48:14
92,830,301.0,50.0,36918.0,53611938.0,16/05/2020,13:40:34
93,887,301.0,50.0,36918.0,53615182.0,17/05/2020,15:00:35
94,887,313.0,50.0,36918.0,53615182.0,17/05/2020,17:24:15
95,887,313.0,50.0,43712.0,53615182.0,17/05/2020,17:30:39
96,912,336.0,50.0,44851.0,53618426.0,18/05/2020,14:45:43
97,963,358.0,50.0,44851.0,53621669.0,19/05/2020,13:19:38
98,963,358.0,50.0,46784.0,53621669.0,19/05/2020,16:57:23
99,1029,366.0,50.0,49405.0,53624913.0,20/05/2020,15:00:59
100,1109,366.0,50.0,49405.0,53628156.0,21/05/2020,17:07:19
101,1109,366.0,50.0,52507.0,53628156.0,21/05/2020,18:06:46
102,1109,375.0,50.0,52507.0,53628156.0,21/05/2020,23:35:30
103,1161,380.0,50.0,55074.0,53631400.0,22/05/2020,13:31:02
104,1192,380.0,50.0,55074.0,53634644.0,23/05/2020,09:00:15
105,1192,380.0,50.0,57650.0,53634644.0,23/05/2020,12:00:04
106,1214,383.0,51.0,59260.0,53637887.0,24/05/2020,13:31:38
107,1286,392.0,52.0,61971.0,53641131.0,25/05/2020,12:01:24
108,1286,402.0,52.0,61971.0,53641131.0,25/05/2020,15:02:34
109,1348,405.0,52.0,64264.0,53644375.0,26/05/2020,13:30:12
110,1471,408.0,55.0,67341.0,53647618.0,27/05/2020,15:01:22
111,1618,421.0,58.0,70172.0,53650862.0,28/05/2020,13:00:04
112,1745,438.0,62.0,74003.0,53654106.0,29/05/2020,13:50:30
113,1888,438.0,62.0,76962.0,53657349.0,30/05/2020,14:25:34
114,1888,464.0,63.0,76962.0,53657349.0,30/05/2020,16:12:58
115,1962,478.0,64.0,78536.0,53660593.0,31/05/2020,14:16:15
116,2021,478.0,64.0,80054.0,53663836.0,01/06/2020,15:01:43
117,2021,478.0,69.0,80054.0,53663836.0,01/06/2020,15:19:59
118,2021,482.0,69.0,80054.0,53663836.0,01/06/2020,16:11:50
119,2093,499.0,71.0,80054.0,53667080.0,02/06/2020,14:36:27
120,2216,553.0,74.0,85058.0,53670324.0,03/06/2020,14:28:13
121,2340,592.0,78.0,85058.0,53673567.0,04/06/2020,12:58:40
122,2474,643.0,79.0,90875.0,53676811.0,05/06/2020,12:53:26
123,2600,643.0,79.0,94507.0,53680055.0,06/06/2020,15:48:12
124,2600,643.0,83.0,94507.0,53680055.0,06/06/2020,16:34:02
125,2600,706.0,83.0,94507.0,53680055.0,06/06/2020,18:24:37
126,2767,706.0,83.0,97340.0,53683298.0,07/06/2020,13:34:40
127,2767,752.0,84.0,97340.0,53683298.0,07/06/2020,15:08:38
128,2872,849.0,85.0,98439.0,53686542.0,08/06/2020,14:43:26
129,2862,849.0,85.0,98439.0,53689786.0,09/06/2020,07:03:24
130,2989,873.0,88.0,100683.0,53689786.0,09/06/2020,13:21:29
131,3094,1048.0,89.0,102956.0,53693029.0,10/06/2020,13:11:03
132,3215,1092.0,92.0,106247.0,53696273.0,11/06/2020,13:32:06
133,3305,1164.0,96.0,108666.0,53699517.0,12/06/2020,13:33:02
134,3457,1221.0,100.0,112171.0,53702760.0,13/06/2020,19:32:47
135,3594,1221.0,100.0,112171.0,53706004.0,14/06/2020,12:32:22
136,3594,1253.0,103.0,112171.0,53706004.0,14/06/2020,16:52:05
137,3727,1286.0,104.0,118701.0,53709247.0,15/06/2020,12:27:11
138,3860,1328.0,105.0,121956.0,53712491.0,16/06/2020,13:30:48
139,4044,1353.0,107.0,121956.0,53715735.0,17/06/2020,15:58:14
140,4257,1459.0,117.0,130498.0,53718978.0,18/06/2020,14:00:12
141,4374,1550.0,119.0,130498.0,53722222.0,19/06/2020,13:31:29
