,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,3,,,,,24/02/2020,06:48:26
1,5,,,,,24/02/2020,21:22:36
2,8,,,,,25/02/2020,08:09:14
3,9,,,,,25/02/2020,19:09:59
4,11,,,,,25/02/2020,23:28:19
5,12,,,,,26/02/2020,06:46:03
6,18,,,,,26/02/2020,09:43:16
7,25,,,,,26/02/2020,11:11:12
8,26,,,,,26/02/2020,17:09:42
9,43,,,,,27/02/2020,08:00:53
10,45,,,,,28/02/2020,08:39:10
11,46,,,,,01/03/2020,11:53:07
12,56,,,,,02/03/2020,08:46:59
13,58,,,,,05/03/2020,07:37:49
14,58,1.0,,,,06/03/2020,17:47:32
15,61,1.0,,,,07/03/2020,11:13:05
16,62,1.0,,,,08/03/2020,08:48:35
17,64,1.0,,,,08/03/2020,14:22:42
18,65,1.0,,,,09/03/2020,11:21:23
19,69,1.0,,,,10/03/2020,09:39:08
20,72,2.0,,,,11/03/2020,12:13:51
21,72,3.0,,,,12/03/2020,03:34:39
22,80,5.0,,,,12/03/2020,09:00:06
23,100,5.0,,,,13/03/2020,13:16:57
24,104,5.0,,,,14/03/2020,12:36:29
25,104,7.0,,,,15/03/2020,03:37:43
26,104,9.0,,,,15/03/2020,07:41:23
27,112,9.0,,,,15/03/2020,08:45:12
28,123,9.0,,,,16/03/2020,08:10:25
29,130,12.0,,,,17/03/2020,09:07:12
30,142,12.0,,,,18/03/2020,07:53:07
31,142,15.0,,,,18/03/2020,13:49:49
32,148,18.0,,,,19/03/2020,08:17:49
33,159,18.0,,,,20/03/2020,08:58:28
34,159,22.0,,,,20/03/2020,10:00:40
35,176,27.0,,,,21/03/2020,09:30:23
36,188,27.0,,,,22/03/2020,11:36:17
37,188,30.0,,,,22/03/2020,19:28:20
38,189,30.0,,,,23/03/2020,08:26:37
39,191,39.0,,,,24/03/2020,08:31:04
40,195,43.0,,,,25/03/2020,09:30:29
41,206,49.0,,,,26/03/2020,08:30:04
42,208,49.0,,,,26/03/2020,08:42:53
43,225,57.0,,,,27/03/2020,09:53:19
44,235,64.0,,,,28/03/2020,10:05:16
45,235,67.0,,,,29/03/2020,09:31:16
46,255,67.0,,,,29/03/2020,10:28:39
47,266,72.0,,,,30/03/2020,09:30:24
