,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,3,,,,,18/03/2020,05:42:07
1,6,,,,,20/03/2020,04:29:06
2,12,,,,,21/03/2020,07:18:44
3,14,,,,,21/03/2020,12:30:11
4,16,,,,,23/03/2020,12:31:26
5,42,,,,,24/03/2020,07:17:24
6,44,,,,,25/03/2020,10:00:56
7,58,,,,,27/03/2020,08:18:01
8,84,,,,,29/03/2020,06:35:12
9,94,,,,,30/03/2020,09:00:41
10,94,3.0,,,,30/03/2020,15:42:22
11,107,3.0,,,,31/03/2020,06:36:57
12,111,3.0,,,,01/04/2020,07:09:08
13,116,5.0,,,,02/04/2020,05:05:12
14,125,5.0,1.0,,,03/04/2020,04:20:12
15,130,5.0,1.0,,,03/04/2020,05:27:29
16,130,6.0,1.0,,,03/04/2020,16:52:08
17,130,6.0,1.0,9618.0,,04/04/2020,03:58:25
18,144,9.0,1.0,9618.0,,04/04/2020,07:30:42
19,147,9.0,1.0,9618.0,,05/04/2020,05:07:56
20,216,9.0,1.0,9618.0,,06/04/2020,04:30:37
21,216,33.0,4.0,9618.0,,06/04/2020,05:00:04
22,228,33.0,4.0,9618.0,,07/04/2020,04:05:08
23,270,33.0,4.0,9618.0,,08/04/2020,06:52:05
24,280,35.0,4.0,9618.0,,09/04/2020,06:31:38
25,298,35.0,5.0,9618.0,,10/04/2020,04:22:56
26,339,44.0,5.0,9618.0,,11/04/2020,06:45:05
27,377,44.0,5.0,9618.0,,12/04/2020,05:00:02
28,377,54.0,5.0,9618.0,,12/04/2020,17:00:08
29,419,67.0,5.0,9618.0,,13/04/2020,11:07:56
30,430,71.0,5.0,9618.0,,14/04/2020,05:00:07
31,430,71.0,5.0,26147.0,,14/04/2020,05:51:52
32,449,78.0,5.0,26147.0,,15/04/2020,04:43:59
33,466,91.0,5.0,26147.0,,16/04/2020,05:00:04
34,489,114.0,5.0,26147.0,,16/04/2020,23:37:57
35,506,130.0,5.0,26147.0,,18/04/2020,06:00:29
36,554,133.0,5.0,26147.0,,19/04/2020,05:00:04
37,568,201.0,7.0,26147.0,,20/04/2020,05:00:05
38,590,216.0,7.0,26147.0,,21/04/2020,00:07:03
39,612,254.0,7.0,26147.0,,22/04/2020,04:51:48
40,631,302.0,8.0,39615.0,,23/04/2020,09:00:05
41,656,322.0,8.0,39615.0,,24/04/2020,05:30:06
42,665,345.0,8.0,39615.0,,25/04/2020,05:31:17
43,682,370.0,8.0,45627.0,,26/04/2020,05:31:25
44,695,395.0,8.0,45627.0,,27/04/2020,04:50:30
45,708,416.0,8.0,45627.0,,28/04/2020,02:05:53
46,729,437.0,8.0,45627.0,,29/04/2020,04:13:02
47,729,437.0,8.0,50775.0,,29/04/2020,08:33:02
48,746,462.0,8.0,51472.0,,30/04/2020,05:00:29
49,756,504.0,8.0,51472.0,,01/05/2020,04:33:35
50,769,527.0,8.0,51472.0,,02/05/2020,04:42:33
51,795,564.0,10.0,51472.0,,03/05/2020,04:15:41
52,830,575.0,10.0,51472.0,,04/05/2020,04:14:28
53,830,575.0,10.0,56488.0,,04/05/2020,04:47:22
54,843,600.0,11.0,56488.0,,05/05/2020,04:50:42
55,871,614.0,12.0,59490.0,,06/05/2020,03:30:14
56,895,637.0,12.0,59490.0,,07/05/2020,04:40:15
57,906,650.0,12.0,59490.0,,07/05/2020,20:30:27
58,895,637.0,12.0,59490.0,,07/05/2020,21:17:20
59,906,650.0,12.0,59490.0,,08/05/2020,04:30:51
60,931,658.0,12.0,59490.0,,09/05/2020,06:03:39
61,1002,675.0,12.0,59490.0,,10/05/2020,05:31:40
62,1016,688.0,12.0,59490.0,,11/05/2020,04:26:57
63,1002,675.0,12.0,59490.0,,11/05/2020,04:30:12
64,1016,688.0,12.0,59490.0,,11/05/2020,05:01:39
65,1037,709.0,12.0,59490.0,,12/05/2020,15:39:30
66,1044,726.0,12.0,59490.0,,13/05/2020,05:16:27
67,1082,735.0,12.0,59490.0,,14/05/2020,05:08:27
68,1111,745.0,14.0,59490.0,6509752.0,15/05/2020,05:31:30
69,1117,783.0,14.0,59490.0,6510046.0,16/05/2020,04:46:11
70,1138,804.0,14.0,59490.0,6510341.0,17/05/2020,05:10:40
71,1216,827.0,14.0,59490.0,6510635.0,18/05/2020,04:43:38
72,1243,898.0,14.0,59490.0,6510930.0,19/05/2020,04:39:36
73,1270,910.0,14.0,94441.0,6511224.0,20/05/2020,09:33:06
74,1313,923.0,14.0,94441.0,6511518.0,21/05/2020,07:23:54
75,1350,939.0,14.0,98281.0,6511813.0,22/05/2020,04:33:08
76,1365,957.0,14.0,98281.0,6512107.0,23/05/2020,04:54:30
77,1403,980.0,14.0,98281.0,6512401.0,24/05/2020,04:30:04
78,1433,992.0,16.0,100488.0,6512696.0,25/05/2020,04:00:05
79,1468,1015.0,16.0,100488.0,6512990.0,26/05/2020,04:33:50
80,1520,1043.0,16.0,100488.0,6513284.0,27/05/2020,04:30:04
81,1520,1043.0,16.0,105815.0,6513284.0,27/05/2020,04:41:29
82,1594,1066.0,16.0,105815.0,6513579.0,28/05/2020,04:34:05
83,1594,1066.0,16.0,109521.0,6513579.0,28/05/2020,05:46:23
84,1662,1088.0,16.0,109521.0,6513873.0,29/05/2020,10:28:24
85,1722,1113.0,16.0,109521.0,6514168.0,30/05/2020,04:15:23
86,1748,1170.0,16.0,109521.0,6514462.0,31/05/2020,05:10:13
87,1748,1170.0,16.0,111859.0,6514462.0,31/05/2020,06:01:36
88,1817,1181.0,16.0,111859.0,6514756.0,01/06/2020,04:16:39
89,1845,1219.0,16.0,114353.0,6515051.0,02/06/2020,04:23:21
90,1845,1219.0,17.0,114353.0,6515051.0,02/06/2020,05:58:08
91,1845,1219.0,17.0,119124.0,6515345.0,03/06/2020,06:09:17
92,1871,1265.0,20.0,119124.0,6515345.0,03/06/2020,07:59:13
93,1899,1292.0,20.0,119124.0,6515639.0,04/06/2020,04:48:40
94,1936,1340.0,22.0,124434.0,6515934.0,05/06/2020,06:57:35
95,1974,1360.0,22.0,127051.0,6516228.0,06/06/2020,04:40:31
96,2007,1425.0,22.0,127051.0,6516522.0,07/06/2020,05:30:08
97,2032,1445.0,23.0,127051.0,6516817.0,08/06/2020,04:45:20
98,2055,1483.0,24.0,127051.0,6517111.0,09/06/2020,04:52:48
99,2093,1572.0,26.0,127051.0,6517406.0,10/06/2020,04:44:57
100,2093,1572.0,26.0,139610.0,6517406.0,10/06/2020,05:00:53
101,2129,1630.0,26.0,139610.0,6517700.0,11/06/2020,06:24:20
102,2166,1668.0,26.0,147454.0,6517994.0,12/06/2020,04:20:33
103,2207,1722.0,27.0,147454.0,6518289.0,13/06/2020,19:32:47
104,2285,1791.0,27.0,147454.0,6518583.0,14/06/2020,04:05:59
105,2285,1791.0,27.0,150612.0,6518583.0,14/06/2020,04:30:45
106,2372,1813.0,27.0,150612.0,6518877.0,15/06/2020,04:30:17
107,2472,1847.0,28.0,150612.0,6519172.0,16/06/2020,04:22:27
108,2472,1847.0,29.0,150612.0,6519172.0,16/06/2020,19:03:31
109,2562,1902.0,30.0,150612.0,6519466.0,17/06/2020,04:34:49
110,2657,1933.0,31.0,162819.0,6519760.0,18/06/2020,04:29:45
111,2789,1961.0,32.0,162819.0,6520055.0,19/06/2020,05:01:36
112,2981,1981.0,35.0,171161.0,6520349.0,20/06/2020,06:13:21
113,3151,2011.0,37.0,171161.0,6520644.0,21/06/2020,05:27:10
114,3356,2021.0,40.0,171161.0,6520938.0,22/06/2020,04:33:36
115,3519,2054.0,41.0,171161.0,6521232.0,23/06/2020,04:49:45
116,3519,2054.0,41.0,191137.0,6521232.0,23/06/2020,05:48:08
117,3726,2082.0,42.0,191137.0,6521527.0,24/06/2020,04:29:49
118,3954,2112.0,43.0,199853.0,6521821.0,25/06/2020,05:01:52
119,4204,2162.0,43.0,199853.0,6522115.0,26/06/2020,04:30:47
120,4446,2194.0,46.0,199853.0,6522410.0,27/06/2020,04:38:28
121,4513,2212.0,46.0,199853.0,6522410.0,27/06/2020,05:41:33
122,4748,2242.0,47.0,212112.0,6522704.0,28/06/2020,05:00:11
123,5017,2294.0,50.0,212112.0,6522998.0,29/06/2020,05:00:16
124,5296,2370.0,57.0,212112.0,6523293.0,30/06/2020,04:30:04
