,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,,,,24/03/2020,08:31:04
1,3,,,,,25/03/2020,12:02:15
2,6,,,,,26/03/2020,11:01:02
3,8,,,,,28/03/2020,18:25:32
4,9,,,,,31/03/2020,05:57:14
5,10,,,,,01/04/2020,09:05:12
6,10,,,437.0,,04/04/2020,03:58:25
7,10,,,573.0,,05/04/2020,06:25:24
8,11,,,604.0,,05/04/2020,07:59:35
9,12,,,621.0,,06/04/2020,08:07:58
10,14,,,765.0,,07/04/2020,08:21:53
11,15,,,781.0,,08/04/2020,08:48:20
12,16,,,903.0,,09/04/2020,08:24:07
13,16,,,1035.0,,10/04/2020,08:07:56
14,18,,,1094.0,,11/04/2020,09:00:08
15,19,,,1140.0,,12/04/2020,10:52:56
16,19,1.0,,1235.0,,14/04/2020,13:02:58
17,19,2.0,,1288.0,,16/04/2020,08:07:56
18,19,2.0,,1318.0,,18/04/2020,14:47:53
19,19,2.0,,1333.0,,19/04/2020,08:24:24
20,19,2.0,,1349.0,,20/04/2020,08:00:05
21,19,4.0,,1461.0,,22/04/2020,08:20:46
22,19,4.0,,1611.0,,25/04/2020,02:30:27
23,19,7.0,,1661.0,,25/04/2020,08:00:00
24,19,7.0,,1735.0,,26/04/2020,08:03:41
25,19,7.0,,1796.0,,27/04/2020,08:18:44
26,19,7.0,,1815.0,,28/04/2020,02:05:53
27,19,7.0,,1917.0,,29/04/2020,08:33:02
28,19,8.0,,1927.0,,30/04/2020,08:00:50
29,19,8.0,,2021.0,,01/05/2020,08:07:47
30,19,8.0,,2165.0,,02/05/2020,08:10:51
31,19,9.0,,2165.0,,02/05/2020,12:32:12
32,19,9.0,,2184.0,,03/05/2020,08:30:04
33,19,9.0,,2223.0,,04/05/2020,08:25:00
34,19,9.0,,2418.0,,05/05/2020,07:57:05
35,19,9.0,,2505.0,,06/05/2020,08:30:05
36,19,10.0,,2505.0,,06/05/2020,17:00:04
37,19,10.0,,2604.0,,07/05/2020,09:00:05
38,19,9.0,,2604.0,,07/05/2020,11:30:38
39,19,9.0,,2733.0,,07/05/2020,20:30:27
40,19,9.0,,2604.0,,07/05/2020,21:17:20
41,19,9.0,,2733.0,,08/05/2020,08:24:44
42,19,13.0,,2908.0,,09/05/2020,11:00:08
43,19,13.0,,3187.0,,10/05/2020,08:53:01
44,19,13.0,,3547.0,,11/05/2020,08:01:59
45,19,13.0,,3874.0,,12/05/2020,15:39:30
46,19,14.0,,3975.0,,13/05/2020,09:28:29
47,19,14.0,,4092.0,,14/05/2020,09:42:42
48,19,14.0,,4204.0,7261510.0,15/05/2020,09:30:11
49,19,14.0,,4424.0,7261799.0,16/05/2020,08:16:44
50,19,14.0,,4451.0,7262087.0,17/05/2020,09:00:10
51,19,14.0,,4565.0,7262376.0,18/05/2020,08:30:05
52,19,14.0,,4653.0,7262665.0,19/05/2020,08:15:47
53,19,14.0,,4743.0,7262953.0,20/05/2020,09:33:06
54,19,14.0,,4812.0,7263242.0,21/05/2020,07:23:54
55,19,14.0,,5044.0,7263530.0,22/05/2020,08:01:12
56,19,14.0,,5194.0,7263819.0,23/05/2020,08:30:21
57,19,14.0,,5487.0,7264107.0,24/05/2020,08:00:08
58,19,14.0,,5795.0,7264396.0,25/05/2020,06:54:19
59,19,14.0,,5855.0,7264685.0,26/05/2020,09:02:42
60,19,16.0,,5938.0,7264973.0,27/05/2020,15:01:22
61,19,16.0,,5938.0,7264973.0,27/05/2020,16:10:09
62,19,16.0,,6066.0,7265262.0,28/05/2020,08:55:57
63,19,16.0,0.0,6066.0,7265550.0,29/05/2020,00:22:14
64,19,16.0,0.0,6141.0,7265550.0,29/05/2020,08:31:35
65,19,16.0,0.0,6432.0,7265839.0,30/05/2020,10:25:33
66,19,16.0,0.0,6928.0,7266127.0,31/05/2020,08:20:00
67,19,16.0,0.0,7180.0,7266416.0,01/06/2020,09:02:32
68,19,16.0,0.0,7249.0,7266705.0,02/06/2020,08:56:25
69,19,18.0,0.0,7491.0,7266993.0,03/06/2020,09:37:34
70,19,18.0,0.0,7563.0,7267282.0,04/06/2020,08:55:14
71,19,18.0,0.0,7824.0,7267570.0,05/06/2020,09:09:58
72,19,18.0,0.0,8307.0,7268147.0,07/06/2020,09:33:33
73,19,18.0,0.0,8607.0,7268436.0,08/06/2020,08:00:12
74,19,19.0,0.0,8926.0,7268725.0,09/06/2020,09:27:41
75,19,19.0,0.0,9220.0,7269013.0,10/06/2020,09:39:07
76,19,19.0,0.0,9427.0,7269302.0,11/06/2020,08:10:29
77,19,19.0,0.0,9676.0,7269590.0,12/06/2020,10:31:33
78,19,19.0,0.0,9703.0,7269879.0,13/06/2020,19:32:47
79,19,19.0,0.0,10146.0,7270167.0,14/06/2020,07:09:40
80,19,19.0,0.0,11000.0,7270456.0,15/06/2020,08:50:53
81,19,19.0,0.0,11093.0,7270745.0,16/06/2020,10:00:14
82,19,19.0,0.0,11249.0,7271033.0,17/06/2020,08:31:28
83,19,19.0,0.0,11478.0,7271322.0,18/06/2020,10:43:47
84,19,19.0,0.0,11996.0,7271899.0,20/06/2020,01:30:13
85,19,19.0,0.0,12222.0,7271899.0,20/06/2020,07:32:01
86,19,19.0,0.0,12486.0,7272187.0,21/06/2020,06:25:56
87,19,19.0,0.0,12829.0,7272476.0,22/06/2020,08:30:56
88,19,19.0,0.0,13203.0,7272765.0,23/06/2020,07:27:44
89,19,19.0,0.0,13507.0,7273053.0,24/06/2020,08:30:38
90,19,19.0,0.0,13883.0,7273342.0,25/06/2020,11:26:18
91,19,19.0,0.0,14161.0,7273630.0,26/06/2020,08:01:25
92,19,19.0,0.0,14304.0,7273919.0,27/06/2020,08:21:18
93,19,19.0,0.0,14645.0,7274207.0,28/06/2020,06:39:40
94,19,19.0,0.0,14907.0,7274496.0,29/06/2020,08:01:52
95,19,19.0,0.0,15364.0,7274785.0,30/06/2020,08:39:20
96,19,19.0,0.0,15669.0,7275073.0,01/07/2020,09:56:42
97,19,19.0,0.0,16147.0,7275362.0,02/07/2020,06:23:45
98,19,19.0,0.0,16536.0,7275650.0,03/07/2020,08:30:11
99,19,19.0,0.0,17089.0,7275939.0,04/07/2020,11:29:50
100,19,19.0,0.0,17374.0,7276227.0,05/07/2020,23:35:19
101,19,19.0,0.0,17713.0,7276516.0,06/07/2020,07:50:42
102,19,19.0,0.0,18091.0,7276805.0,07/07/2020,08:00:05
103,19,19.0,0.0,18729.0,7277093.0,08/07/2020,08:30:28
104,19,19.0,0.0,19322.0,7277382.0,09/07/2020,06:55:41
105,19,19.0,0.0,19836.0,7277670.0,10/07/2020,06:32:12
106,19,19.0,0.0,20088.0,7277959.0,11/07/2020,07:35:38
107,19,19.0,0.0,20226.0,7278248.0,12/07/2020,06:31:57
108,19,19.0,0.0,20454.0,7278536.0,13/07/2020,08:09:21
109,19,19.0,0.0,20769.0,7278825.0,14/07/2020,10:12:41
110,19,19.0,0.0,21386.0,7279113.0,15/07/2020,09:26:42
111,19,19.0,0.0,21764.0,7279402.0,16/07/2020,07:13:33
112,19,19.0,0.0,22355.0,7279690.0,17/07/2020,07:30:47
113,19,19.0,0.0,22721.0,7279979.0,18/07/2020,07:06:28
114,19,19.0,0.0,22981.0,7280268.0,19/07/2020,08:27:48
115,19,19.0,0.0,23171.0,7280556.0,20/07/2020,07:13:47
116,19,19.0,0.0,23786.0,7280845.0,21/07/2020,08:03:44
117,19,19.0,0.0,23825.0,7281133.0,22/07/2020,07:13:44
118,19,19.0,0.0,24054.0,7281422.0,23/07/2020,08:31:48
119,20,19.0,0.0,24479.0,7281710.0,24/07/2020,08:54:26
120,20,19.0,0.0,25121.0,7281999.0,25/07/2020,06:39:42
121,20,19.0,0.0,25501.0,7282288.0,26/07/2020,08:32:07
122,20,19.0,0.0,25875.0,7282576.0,27/07/2020,07:15:12
123,20,19.0,0.0,26386.0,7282865.0,28/07/2020,09:09:13
124,20,19.0,0.0,26737.0,7283153.0,29/07/2020,08:16:08
125,20,19.0,0.0,27106.0,7283730.0,31/07/2020,08:23:59
126,20,19.0,0.0,27675.0,7284308.0,02/08/2020,07:50:49
127,20,19.0,0.0,28100.0,7284596.0,03/08/2020,08:48:23
128,20,19.0,0.0,28547.0,7284885.0,04/08/2020,08:57:28
129,20,19.0,0.0,28994.0,7285173.0,05/08/2020,09:44:04
130,20,19.0,0.0,29374.0,7285462.0,06/08/2020,08:11:27
131,20,19.0,0.0,29904.0,7285750.0,07/08/2020,07:14:35
132,20,19.0,0.0,30727.0,7286039.0,08/08/2020,07:14:41
133,20,19.0,0.0,31103.0,7286328.0,09/08/2020,07:22:45
134,20,19.0,0.0,31357.0,7286616.0,10/08/2020,08:26:32
135,20,19.0,0.0,31874.0,7286905.0,11/08/2020,08:55:18
136,20,19.0,0.0,32114.0,7287193.0,12/08/2020,07:13:46
137,20,19.0,0.0,32502.0,7287482.0,13/08/2020,08:25:54
138,22,19.0,0.0,33001.0,7287770.0,14/08/2020,12:46:09
139,22,19.0,0.0,33538.0,7288059.0,15/08/2020,10:19:58
140,22,19.0,0.0,34064.0,7288348.0,16/08/2020,15:31:35
141,22,19.0,0.0,34386.0,7288636.0,17/08/2020,08:41:07
142,22,19.0,0.0,34808.0,7288925.0,18/08/2020,08:42:41
143,22,19.0,0.0,35022.0,7289213.0,19/08/2020,07:53:05
144,22,19.0,0.0,35428.0,7289502.0,20/08/2020,08:06:48
145,22,20.0,0.0,35580.0,7289790.0,21/08/2020,07:41:59
146,22,20.0,0.0,36638.0,7290656.0,24/08/2020,07:27:30
147,22,21.0,0.0,37151.0,7290945.0,25/08/2020,07:34:54
148,22,21.0,0.0,37450.0,7291233.0,26/08/2020,10:35:30
149,22,21.0,0.0,37741.0,7291522.0,27/08/2020,06:19:04
150,22,21.0,0.0,37956.0,7291811.0,28/08/2020,09:02:27
151,22,21.0,0.0,39063.0,7292676.0,31/08/2020,07:18:02
152,22,21.0,0.0,39460.0,7292965.0,01/09/2020,09:40:54
153,22,21.0,0.0,39696.0,7293253.0,02/09/2020,08:30:47
154,22,21.0,0.0,40035.0,7293542.0,03/09/2020,09:04:54
155,22,21.0,0.0,40356.0,7293831.0,04/09/2020,10:00:18
156,22,21.0,0.0,41327.0,7294408.0,06/09/2020,09:44:20
157,22,21.0,0.0,41681.0,7294696.0,07/09/2020,08:32:31
158,22,21.0,0.0,42306.0,7294985.0,08/09/2020,07:26:34
159,22,21.0,0.0,43179.0,7295562.0,10/09/2020,07:47:19
160,23,21.0,0.0,43597.0,7295851.0,11/09/2020,05:57:08
161,23,22.0,0.0,44788.0,7296716.0,14/09/2020,11:32:40
162,23,22.0,0.0,45351.0,7297005.0,15/09/2020,09:23:49
163,23,22.0,0.0,45612.0,7297293.0,16/09/2020,12:39:11
164,23,22.0,0.0,45897.0,7297582.0,17/09/2020,16:32:19
165,23,22.0,0.0,46070.0,7297871.0,18/09/2020,10:56:44
166,23,22.0,0.0,47589.0,7298736.0,21/09/2020,06:55:04
167,23,22.0,0.0,48339.0,7299025.0,22/09/2020,08:38:52
168,23,22.0,0.0,48774.0,7299313.0,23/09/2020,10:13:00
169,23,22.0,0.0,49305.0,7299602.0,24/09/2020,11:50:12
170,23,22.0,0.0,49648.0,7299891.0,25/09/2020,08:32:58
171,23,22.0,0.0,51084.0,7300756.0,28/09/2020,09:22:34
172,23,22.0,0.0,51882.0,7301045.0,29/09/2020,14:07:49
173,23,22.0,0.0,52564.0,7301333.0,30/09/2020,09:58:26
174,23,22.0,0.0,53513.0,7301622.0,01/10/2020,08:28:38
175,23,22.0,0.0,54069.0,7301911.0,02/10/2020,12:19:25
176,23,22.0,0.0,55110.0,7302776.0,05/10/2020,07:40:01
177,23,22.0,0.0,55833.0,7303065.0,06/10/2020,08:28:50
178,23,22.0,0.0,56074.0,7303353.0,07/10/2020,07:26:36
179,23,22.0,0.0,56546.0,7303642.0,08/10/2020,11:39:14
180,23,22.0,0.0,56923.0,7303931.0,09/10/2020,10:33:35
181,23,22.0,0.0,58078.0,7304796.0,12/10/2020,09:23:28
182,23,22.0,0.0,58685.0,7305085.0,13/10/2020,08:18:06
183,23,22.0,0.0,58890.0,7305374.0,14/10/2020,08:40:35
184,23,22.0,0.0,59194.0,7305662.0,15/10/2020,12:45:34
185,23,22.0,0.0,60565.0,7306816.0,17/10/2020,18:13:13
186,24,22.0,0.0,61699.0,7307394.0,21/10/2020,11:10:24
187,24,22.0,0.0,62133.0,7307682.0,22/10/2020,08:42:06
188,24,22.0,0.0,62474.0,7307971.0,23/10/2020,11:00:16
189,24,22.0,0.0,63749.0,7308836.0,26/10/2020,13:28:34
190,24,22.0,0.0,64389.0,7309125.0,27/10/2020,11:13:28
191,24,22.0,0.0,64567.0,7309414.0,28/10/2020,12:23:23
