,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,02/03/2020,20:07:52
1,1,1.0,,,,05/03/2020,18:38:17
2,2,1.0,,,,08/03/2020,10:25:07
3,3,1.0,,,,08/03/2020,18:35:03
4,6,1.0,,,,09/03/2020,06:45:01
5,8,1.0,,,,10/03/2020,09:39:08
6,10,1.0,,,,11/03/2020,13:21:58
7,16,1.0,,,,12/03/2020,10:42:01
8,17,1.0,,,,13/03/2020,09:15:57
9,26,1.0,,,,14/03/2020,11:03:36
10,30,1.0,,,,15/03/2020,09:25:51
11,34,1.0,,,,16/03/2020,10:06:33
12,49,1.0,,,,17/03/2020,08:19:33
13,60,1.0,,,,17/03/2020,12:31:31
14,71,1.0,,,,18/03/2020,09:03:01
15,86,1.0,,,,19/03/2020,08:17:49
16,111,1.0,,,,20/03/2020,08:58:28
17,124,1.0,,,,21/03/2020,07:28:47
18,139,1.0,,,,22/03/2020,11:50:21
19,180,1.0,,,,23/03/2020,07:58:21
20,197,1.0,,,,24/03/2020,08:01:14
21,221,1.0,,,,25/03/2020,09:30:29
22,244,1.0,,,,26/03/2020,08:42:53
23,280,1.0,,,,27/03/2020,08:18:01
24,305,1.0,,,,28/03/2020,08:50:52
25,347,1.0,,,,29/03/2020,07:17:41
26,376,1.0,,,,30/03/2020,07:31:28
27,398,1.0,,,,31/03/2020,07:35:12
28,446,1.0,,,,01/04/2020,07:09:08
29,458,1.0,,,,02/04/2020,09:01:55
30,458,31.0,,,,02/04/2020,22:06:41
31,493,31.0,,,,03/04/2020,06:58:38
32,493,31.0,1.0,,,03/04/2020,10:08:06
33,493,1.0,1.0,,,03/04/2020,11:44:04
34,493,1.0,,,,03/04/2020,14:08:32
35,493,1.0,1.0,,,03/04/2020,16:45:29
36,493,1.0,1.0,18198.0,,04/04/2020,03:58:25
37,509,1.0,1.0,19380.0,,04/04/2020,07:30:42
38,533,1.0,1.0,20680.0,,05/04/2020,07:48:08
39,542,1.0,1.0,21453.0,,06/04/2020,07:09:08
40,542,16.0,1.0,21453.0,,06/04/2020,13:54:34
41,548,16.0,1.0,22575.0,,07/04/2020,08:42:43
42,548,16.0,2.0,22575.0,,07/04/2020,09:44:01
43,577,16.0,2.0,24036.0,,08/04/2020,07:53:49
44,589,16.0,2.0,25458.0,,09/04/2020,07:07:56
45,589,16.0,3.0,25458.0,,09/04/2020,15:36:07
46,612,16.0,3.0,26656.0,,10/04/2020,07:49:25
47,630,16.0,3.0,27796.0,,11/04/2020,09:00:08
48,651,16.0,5.0,28214.0,,12/04/2020,08:35:14
49,655,16.0,5.0,28776.0,,13/04/2020,11:07:56
50,657,16.0,5.0,29018.0,,14/04/2020,08:00:04
51,666,16.0,5.0,29896.0,,15/04/2020,07:18:25
52,666,44.0,5.0,29896.0,,15/04/2020,11:59:42
53,675,57.0,5.0,31302.0,,16/04/2020,07:41:33
54,682,88.0,5.0,32837.0,,17/04/2020,07:00:06
55,712,88.0,5.0,34697.0,,18/04/2020,06:00:29
56,727,88.0,5.0,35881.0,,19/04/2020,07:00:05
57,739,88.0,5.0,36668.0,,20/04/2020,07:00:06
58,748,88.0,5.0,37972.0,,21/04/2020,07:00:08
59,748,133.0,9.0,37972.0,,21/04/2020,12:42:37
60,761,133.0,11.0,39336.0,,22/04/2020,08:20:46
61,778,133.0,11.0,41041.0,,23/04/2020,07:30:04
62,784,133.0,12.0,43080.0,,24/04/2020,07:30:14
63,784,267.0,12.0,43080.0,,24/04/2020,19:30:20
64,804,267.0,12.0,45743.0,,25/04/2020,07:01:25
65,812,267.0,12.0,47671.0,,26/04/2020,07:30:44
66,818,267.0,13.0,49235.0,,27/04/2020,07:27:04
67,836,267.0,13.0,51561.0,,28/04/2020,02:05:53
68,849,348.0,15.0,54811.0,,29/04/2020,08:33:02
69,858,348.0,15.0,57886.0,,30/04/2020,07:21:43
70,870,348.0,16.0,61120.0,,01/05/2020,07:25:20
71,871,348.0,16.0,63102.0,,02/05/2020,07:31:03
72,879,348.0,16.0,64245.0,,03/05/2020,07:54:07
73,896,348.0,16.0,65464.0,,04/05/2020,07:31:35
74,896,348.0,17.0,66150.0,,05/05/2020,07:57:05
75,900,464.0,17.0,68627.0,,06/05/2020,07:24:11
76,909,464.0,18.0,71069.0,,07/05/2020,06:50:03
77,928,464.0,18.0,73016.0,,07/05/2020,20:30:27
78,909,464.0,18.0,71069.0,,07/05/2020,21:17:20
79,928,464.0,18.0,73016.0,,08/05/2020,08:00:04
80,930,464.0,18.0,75571.0,,09/05/2020,07:30:52
81,939,464.0,18.0,76592.0,,10/05/2020,07:32:08
82,946,464.0,18.0,77147.0,,11/05/2020,07:23:44
83,950,627.0,18.0,79047.0,,12/05/2020,15:39:30
84,951,627.0,19.0,81246.0,,13/05/2020,09:28:29
85,962,627.0,19.0,83275.0,,14/05/2020,08:02:26
86,970,627.0,19.0,85431.0,1888690.0,15/05/2020,05:31:30
87,970,662.0,19.0,85431.0,1888690.0,15/05/2020,07:47:09
88,997,662.0,19.0,87377.0,1888633.0,16/05/2020,08:16:44
89,1008,662.0,19.0,88405.0,1888577.0,17/05/2020,07:30:11
90,1009,662.0,19.0,89123.0,1888520.0,18/05/2020,07:31:50
91,1012,694.0,21.0,90968.0,1888464.0,19/05/2020,08:15:47
92,1016,694.0,21.0,92751.0,1888407.0,20/05/2020,09:33:06
93,1025,694.0,22.0,94621.0,1888351.0,21/05/2020,07:23:54
94,1030,712.0,22.0,96366.0,1888294.0,22/05/2020,07:24:52
95,1046,712.0,22.0,97846.0,1888237.0,23/05/2020,07:00:55
96,1047,712.0,22.0,99049.0,1888181.0,24/05/2020,07:00:32
97,1049,712.0,22.0,99770.0,1888124.0,25/05/2020,06:54:19
98,1053,741.0,22.0,101598.0,1888068.0,26/05/2020,07:01:36
99,1057,741.0,23.0,103553.0,1888011.0,27/05/2020,08:01:11
100,1061,741.0,24.0,105504.0,1887954.0,28/05/2020,07:07:52
101,1065,745.0,24.0,106931.0,1887898.0,29/05/2020,07:29:58
102,1064,745.0,24.0,106931.0,1887898.0,29/05/2020,07:45:21
103,1065,745.0,24.0,108174.0,1887841.0,30/05/2020,07:25:24
104,1066,745.0,24.0,109071.0,1887785.0,31/05/2020,07:01:23
105,1066,745.0,24.0,109723.0,1887728.0,01/06/2020,07:04:36
106,1071,760.0,24.0,111404.0,1887671.0,02/06/2020,07:09:21
107,1079,760.0,24.0,112965.0,1887615.0,03/06/2020,07:01:07
108,1082,760.0,25.0,114451.0,1887558.0,04/06/2020,06:59:44
109,1085,781.0,25.0,115461.0,1887502.0,05/06/2020,06:57:35
110,1086,781.0,25.0,116535.0,1887445.0,06/06/2020,07:26:11
111,1088,781.0,25.0,117660.0,1887388.0,07/06/2020,07:04:04
112,1088,781.0,26.0,118322.0,1887332.0,08/06/2020,07:34:42
113,1089,794.0,26.0,120052.0,1887275.0,09/06/2020,07:03:24
114,1092,794.0,26.0,121783.0,1887219.0,10/06/2020,07:01:41
115,1094,818.0,26.0,123364.0,1887162.0,11/06/2020,07:31:09
116,1096,818.0,27.0,124662.0,1887105.0,12/06/2020,07:00:04
117,1097,845.0,28.0,126054.0,1887049.0,13/06/2020,19:32:47
118,1097,845.0,28.0,127450.0,1886992.0,14/06/2020,07:09:40
119,1097,845.0,28.0,128145.0,1886936.0,15/06/2020,07:00:04
120,1098,875.0,28.0,129836.0,1886879.0,16/06/2020,06:59:56
121,1104,875.0,30.0,131646.0,1886823.0,17/06/2020,07:30:05
122,1108,903.0,30.0,133557.0,1886766.0,18/06/2020,09:32:26
123,1110,903.0,30.0,134881.0,1886709.0,19/06/2020,07:00:04
124,1111,903.0,30.0,136567.0,1886653.0,20/06/2020,07:32:01
125,1111,903.0,30.0,137861.0,1886596.0,21/06/2020,06:41:46
126,1111,903.0,30.0,139024.0,1886540.0,22/06/2020,06:58:07
127,1111,903.0,30.0,140437.0,1886483.0,23/06/2020,07:27:44
128,1111,903.0,30.0,141713.0,1886426.0,24/06/2020,08:30:38
129,1111,903.0,30.0,142794.0,1886370.0,25/06/2020,07:51:42
130,1112,932.0,30.0,145086.0,1886313.0,26/06/2020,07:31:07
131,1115,932.0,30.0,146874.0,1886257.0,27/06/2020,06:58:37
132,1116,932.0,30.0,147916.0,1886200.0,28/06/2020,06:59:02
133,1117,932.0,30.0,148777.0,1886143.0,29/06/2020,08:01:52
134,1118,974.0,30.0,150837.0,1886087.0,30/06/2020,08:39:20
135,1121,974.0,30.0,152778.0,1886030.0,01/07/2020,07:00:22
136,1122,988.0,30.0,154494.0,1885974.0,02/07/2020,06:47:48
137,1122,997.0,30.0,155599.0,1885917.0,03/07/2020,07:00:58
138,1123,1000.0,30.0,156784.0,1885860.0,04/07/2020,08:48:09
139,1124,1000.0,30.0,157826.0,1885804.0,05/07/2020,12:30:49
140,1127,1000.0,30.0,158518.0,1885747.0,06/07/2020,07:13:51
141,1134,1008.0,30.0,160281.0,1885691.0,07/07/2020,06:49:14
142,1141,1008.0,30.0,162054.0,1885634.0,08/07/2020,08:18:25
143,1154,1019.0,30.0,163769.0,1885577.0,09/07/2020,09:23:45
144,1165,1019.0,30.0,165610.0,1885521.0,10/07/2020,07:55:08
145,1173,1019.0,30.0,167480.0,1885464.0,11/07/2020,07:03:29
146,1173,1019.0,30.0,168947.0,1885408.0,12/07/2020,06:57:03
147,1174,1019.0,31.0,169943.0,1885351.0,13/07/2020,07:05:07
148,1174,1022.0,31.0,172078.0,1885295.0,14/07/2020,07:05:44
149,1178,1022.0,31.0,174057.0,1885238.0,15/07/2020,07:21:31
150,1179,1022.0,31.0,175696.0,1885181.0,16/07/2020,07:13:33
151,1185,1022.0,31.0,177885.0,1885125.0,17/07/2020,07:45:25
152,1189,1022.0,31.0,179636.0,1885068.0,18/07/2020,07:14:04
153,1192,1022.0,31.0,180928.0,1885012.0,19/07/2020,07:13:48
154,1192,1022.0,31.0,182225.0,1884955.0,20/07/2020,08:30:49
155,1193,1045.0,31.0,183610.0,1884898.0,21/07/2020,07:03:04
156,1197,1045.0,31.0,185223.0,1884842.0,22/07/2020,07:13:44
157,1203,1045.0,31.0,186975.0,1884785.0,23/07/2020,07:50:02
158,1205,1045.0,31.0,188485.0,1884729.0,24/07/2020,07:37:19
159,1206,1045.0,31.0,188485.0,1884672.0,25/07/2020,07:39:39
160,1219,1045.0,31.0,191070.0,1884615.0,26/07/2020,08:32:07
161,1219,1045.0,31.0,191871.0,1884559.0,27/07/2020,07:32:37
162,1220,1052.0,31.0,193445.0,1884502.0,28/07/2020,06:33:05
163,1224,1052.0,31.0,195331.0,1884446.0,29/07/2020,07:52:27
164,1228,1052.0,31.0,197035.0,1884389.0,30/07/2020,06:48:43
165,1231,1052.0,32.0,198508.0,1884332.0,31/07/2020,07:38:08
166,1238,1052.0,32.0,199956.0,1884276.0,01/08/2020,06:57:47
167,1243,1052.0,32.0,201310.0,1884219.0,02/08/2020,07:50:49
168,1246,1052.0,32.0,201997.0,1884163.0,03/08/2020,07:09:18
169,1249,1070.0,32.0,203868.0,1884106.0,04/08/2020,06:43:55
170,1257,1070.0,32.0,206080.0,1884049.0,05/08/2020,07:13:53
171,1275,1070.0,32.0,207909.0,1883993.0,06/08/2020,07:42:01
172,1281,1070.0,32.0,210046.0,1883936.0,07/08/2020,07:14:35
173,1288,1070.0,32.0,211937.0,1883880.0,08/08/2020,07:14:41
174,1290,1070.0,32.0,213534.0,1883823.0,09/08/2020,07:14:57
175,1290,1070.0,32.0,214202.0,1883767.0,10/08/2020,07:13:44
176,1293,1078.0,32.0,216530.0,1883710.0,11/08/2020,07:14:01
177,1303,1078.0,32.0,218756.0,1883653.0,12/08/2020,07:13:46
178,1307,1078.0,32.0,220827.0,1883597.0,13/08/2020,08:25:54
179,1308,1078.0,32.0,222531.0,1883540.0,14/08/2020,07:13:46
180,1315,1078.0,32.0,224412.0,1883484.0,15/08/2020,10:19:58
181,1322,1078.0,32.0,225636.0,1883427.0,16/08/2020,07:13:55
182,1323,1078.0,32.0,226524.0,1883370.0,17/08/2020,06:45:18
183,1323,1093.0,33.0,228758.0,1883314.0,18/08/2020,07:13:56
