,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,21/02/2020,13:03:06
1,2,,,,,26/02/2020,16:03:45
2,3,,,,,27/02/2020,19:25:12
3,4,,,,,29/02/2020,00:26:28
4,7,,,,,29/02/2020,19:20:46
5,10,,,,,01/03/2020,20:04:42
6,13,,,,,02/03/2020,15:12:11
7,15,,,,,04/03/2020,17:26:21
8,16,,,,,05/03/2020,16:13:03
9,22,,,,,06/03/2020,17:57:43
10,22,1.0,,,,07/03/2020,01:03:15
11,28,1.0,,,,07/03/2020,18:37:15
12,32,1.0,,,,08/03/2020,16:48:29
13,41,1.0,,,,09/03/2020,17:28:05
14,41,1.0,1.0,,,10/03/2020,10:32:37
15,52,1.0,1.0,,,10/03/2020,18:20:32
16,61,1.0,2.0,,,11/03/2020,12:13:51
17,68,1.0,2.0,,,12/03/2020,03:34:39
18,68,1.0,3.0,,,12/03/2020,09:15:39
19,77,1.0,3.0,,,13/03/2020,10:52:48
20,83,1.0,3.0,,,14/03/2020,08:46:05
21,93,1.0,3.0,,,14/03/2020,11:03:36
22,110,1.0,3.0,,,15/03/2020,07:41:23
23,99,1.0,3.0,,,15/03/2020,11:37:39
24,110,1.0,3.0,,,16/03/2020,03:04:14
25,99,1.0,3.0,,,16/03/2020,10:06:33
26,109,1.0,3.0,,,16/03/2020,12:09:15
27,109,3.0,3.0,,,16/03/2020,19:03:42
28,120,3.0,3.0,,,17/03/2020,08:19:33
29,120,4.0,3.0,,,17/03/2020,14:34:29
30,124,4.0,3.0,,,17/03/2020,21:14:56
31,124,4.0,4.0,,,17/03/2020,23:03:26
32,133,4.0,4.0,,,18/03/2020,09:55:52
33,139,4.0,4.0,,,19/03/2020,08:42:48
34,149,4.0,4.0,,,19/03/2020,11:37:24
35,157,4.0,4.0,,,19/03/2020,18:51:51
36,158,4.0,4.0,,,20/03/2020,08:58:28
37,163,4.0,4.0,,,20/03/2020,10:00:40
38,177,4.0,4.0,,,20/03/2020,18:55:44
39,187,4.0,4.0,,,21/03/2020,09:56:10
40,187,8.0,4.0,,,21/03/2020,11:06:12
41,206,8.0,4.0,,,21/03/2020,13:10:07
42,230,8.0,4.0,,,21/03/2020,18:10:28
43,248,8.0,4.0,,,22/03/2020,12:18:47
44,256,8.0,4.0,,,23/03/2020,11:25:55
45,267,8.0,4.0,,,23/03/2020,12:00:05
46,304,8.0,4.0,,,24/03/2020,11:08:20
47,318,8.0,4.0,,,24/03/2020,19:01:12
48,333,8.0,4.0,,,25/03/2020,10:30:18
49,333,20.0,6.0,,,25/03/2020,19:24:49
50,368,20.0,6.0,,,26/03/2020,11:20:38
51,368,23.0,6.0,,,26/03/2020,16:23:37
52,391,23.0,7.0,,,27/03/2020,12:08:48
53,391,27.0,8.0,,,27/03/2020,18:00:27
54,412,27.0,8.0,,,28/03/2020,11:02:05
55,412,30.0,8.0,,,28/03/2020,18:30:34
56,438,30.0,10.0,,,29/03/2020,10:28:39
57,446,32.0,11.0,,,30/03/2020,09:53:29
58,446,35.0,11.0,,,30/03/2020,15:31:51
59,446,35.0,12.0,,,31/03/2020,09:04:58
60,463,35.0,12.0,,,31/03/2020,09:54:18
61,463,37.0,12.0,,,31/03/2020,14:55:06
62,470,37.0,12.0,,,31/03/2020,21:24:49
63,463,37.0,12.0,,,01/04/2020,05:29:49
64,479,37.0,12.0,,,01/04/2020,10:06:53
65,479,43.0,14.0,,,01/04/2020,15:05:12
66,479,43.0,15.0,,,02/04/2020,09:01:55
67,494,43.0,16.0,,,02/04/2020,10:05:12
68,494,46.0,16.0,,,02/04/2020,16:37:29
69,508,46.0,17.0,,,03/04/2020,09:54:51
70,508,50.0,17.0,,,03/04/2020,15:49:54
71,508,50.0,17.0,7828.0,,04/04/2020,03:58:25
72,508,50.0,17.0,8472.0,,04/04/2020,07:30:42
73,520,50.0,17.0,9022.0,,04/04/2020,09:51:17
74,520,54.0,17.0,9022.0,,04/04/2020,15:53:48
75,527,54.0,17.0,9022.0,,05/04/2020,08:40:04
76,527,54.0,18.0,9411.0,,05/04/2020,09:03:07
77,527,55.0,18.0,9411.0,,06/04/2020,06:42:40
78,541,55.0,19.0,9653.0,,06/04/2020,11:02:34
79,541,60.0,19.0,9653.0,,06/04/2020,13:54:34
80,548,60.0,19.0,10221.0,,07/04/2020,09:55:45
81,548,62.0,19.0,10221.0,,07/04/2020,16:46:23
82,575,62.0,19.0,10808.0,,08/04/2020,10:31:21
83,576,62.0,19.0,10808.0,,08/04/2020,19:47:20
84,582,62.0,19.0,12524.0,,09/04/2020,11:33:21
85,582,67.0,19.0,12524.0,,09/04/2020,15:26:47
86,583,67.0,19.0,12524.0,,10/04/2020,08:42:46
87,609,67.0,20.0,12524.0,,10/04/2020,10:20:54
88,609,67.0,20.0,13530.0,,10/04/2020,11:00:35
89,609,76.0,20.0,13530.0,,10/04/2020,15:11:59
90,619,76.0,20.0,13530.0,,11/04/2020,09:37:56
91,619,76.0,20.0,14055.0,,11/04/2020,11:57:34
92,619,77.0,20.0,14055.0,,11/04/2020,17:00:04
93,630,77.0,20.0,15152.0,,12/04/2020,10:00:05
94,630,80.0,20.0,15152.0,,12/04/2020,17:57:16
95,632,80.0,20.0,15408.0,,13/04/2020,11:07:56
96,641,80.0,21.0,16319.0,,14/04/2020,09:50:50
97,641,81.0,21.0,16319.0,,15/04/2020,08:00:03
98,658,81.0,21.0,17260.0,,15/04/2020,10:53:25
99,658,85.0,21.0,17260.0,,15/04/2020,18:59:52
100,663,85.0,21.0,18115.0,,16/04/2020,11:00:05
101,663,86.0,21.0,18115.0,,16/04/2020,23:37:57
102,668,86.0,21.0,19185.0,,17/04/2020,10:10:04
103,668,94.0,21.0,19185.0,,18/04/2020,02:30:04
104,672,94.0,21.0,20225.0,,18/04/2020,08:32:56
105,672,99.0,21.0,20225.0,,18/04/2020,17:00:04
106,673,99.0,21.0,20929.0,,19/04/2020,10:00:04
107,673,102.0,21.0,20929.0,,19/04/2020,16:00:05
108,677,102.0,21.0,20929.0,,20/04/2020,10:37:56
109,677,103.0,21.0,20929.0,,20/04/2020,14:00:09
110,677,103.0,21.0,21424.0,,21/04/2020,11:00:05
111,677,108.0,21.0,21424.0,,21/04/2020,20:00:05
112,677,108.0,21.0,21764.0,,21/04/2020,22:20:03
113,682,108.0,22.0,22853.0,,22/04/2020,11:00:06
114,682,130.0,22.0,22853.0,,22/04/2020,15:17:38
115,682,113.0,22.0,22853.0,,22/04/2020,20:48:12
