,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,13/05/2020,13:10:07
1,2,,,,2140374.0,22/05/2020,18:00:39
2,2,,,274.0,2140421.0,23/05/2020,17:00:30
3,2,,,283.0,2140467.0,24/05/2020,00:00:08
4,2,,,283.0,2140606.0,27/05/2020,16:10:09
5,2,1.0,,283.0,2140653.0,28/05/2020,14:36:08
6,2,1.0,0.0,283.0,2140699.0,29/05/2020,00:22:14
7,4,2.0,0.0,1515.0,2140931.0,03/06/2020,16:26:44
8,12,2.0,0.0,2137.0,2141811.0,22/06/2020,08:26:07
9,17,2.0,0.0,2137.0,2141857.0,23/06/2020,20:01:48
10,17,2.0,0.0,3000.0,2141904.0,24/06/2020,01:31:22
11,24,4.0,0.0,3000.0,2141996.0,26/06/2020,23:40:53
12,27,4.0,0.0,3000.0,2142089.0,28/06/2020,19:00:15
13,35,11.0,0.0,3000.0,2142228.0,01/07/2020,19:20:49
14,63,11.0,0.0,3000.0,2142413.0,05/07/2020,06:26:57
15,73,11.0,0.0,4331.0,2142413.0,05/07/2020,16:00:06
16,79,11.0,0.0,4331.0,2142413.0,05/07/2020,16:57:50
17,91,11.0,0.0,4331.0,2142460.0,06/07/2020,17:46:53
18,134,11.0,1.0,4331.0,2142645.0,10/07/2020,00:03:29
19,134,20.0,1.0,4852.0,2142645.0,10/07/2020,03:00:27
20,184,26.0,1.0,5206.0,2142645.0,10/07/2020,22:32:53
21,233,32.0,2.0,5659.0,2142738.0,12/07/2020,15:15:34
22,245,32.0,2.0,5849.0,2142784.0,13/07/2020,11:46:47
23,245,33.0,3.0,5849.0,2142784.0,13/07/2020,14:25:00
24,256,48.0,3.0,6033.0,2142830.0,14/07/2020,11:30:30
25,311,69.0,6.0,6033.0,2142969.0,17/07/2020,12:46:32
26,359,69.0,6.0,7432.0,2143016.0,18/07/2020,12:02:35
27,419,69.0,9.0,7432.0,2143340.0,25/07/2020,22:13:46
28,505,128.0,12.0,7463.0,2143387.0,26/07/2020,13:39:49
29,576,141.0,13.0,7463.0,2143526.0,29/07/2020,13:12:36
30,604,144.0,13.0,7463.0,2143572.0,30/07/2020,16:07:00
31,702,171.0,14.0,8606.0,2143665.0,01/08/2020,15:35:28
32,718,173.0,19.0,8630.0,2143711.0,02/08/2020,12:07:01
33,726,174.0,21.0,8665.0,2143804.0,04/08/2020,20:32:04
34,742,175.0,23.0,8771.0,2143896.0,06/08/2020,10:26:02
35,781,175.0,24.0,8771.0,2144082.0,10/08/2020,23:59:25
36,798,175.0,24.0,8771.0,2144174.0,12/08/2020,23:59:30
37,884,271.0,25.0,11097.0,2144221.0,13/08/2020,17:29:08
38,903,271.0,25.0,11097.0,2144313.0,15/08/2020,18:35:10
39,946,271.0,25.0,11097.0,2144406.0,17/08/2020,19:07:37
40,946,271.0,30.0,11097.0,2144406.0,17/08/2020,23:46:27
41,946,423.0,30.0,12033.0,2144545.0,20/08/2020,11:08:14
42,996,423.0,30.0,12033.0,2144545.0,20/08/2020,16:06:02
43,1015,472.0,30.0,13330.0,2144591.0,21/08/2020,19:22:38
44,1049,472.0,30.0,13330.0,2144777.0,25/08/2020,19:45:58
45,1051,526.0,31.0,15023.0,2144823.0,26/08/2020,23:55:28
46,1085,528.0,31.0,15632.0,2145008.0,30/08/2020,17:57:08
47,1148,528.0,31.0,15632.0,2145240.0,04/09/2020,18:34:57
48,1164,528.0,31.0,15632.0,2145472.0,09/09/2020,23:57:09
49,1245,528.0,33.0,15632.0,2145611.0,12/09/2020,00:39:05
50,1327,687.0,33.0,17261.0,2145796.0,16/09/2020,02:23:26
51,1390,754.0,33.0,17631.0,2145935.0,19/09/2020,00:48:14
52,1424,754.0,33.0,17865.0,2146028.0,21/09/2020,04:21:40
53,1507,766.0,35.0,18122.0,2146121.0,23/09/2020,18:09:42
54,1554,782.0,35.0,18216.0,2146167.0,24/09/2020,13:36:54
55,1558,797.0,35.0,18322.0,2146213.0,25/09/2020,11:18:40
56,1565,822.0,35.0,18506.0,2146352.0,28/09/2020,14:56:34
57,1576,873.0,35.0,18610.0,2146399.0,29/09/2020,22:24:02
58,1595,873.0,36.0,18610.0,2146445.0,30/09/2020,16:32:01
59,1639,874.0,38.0,18900.0,2146491.0,01/10/2020,16:11:55
60,1680,926.0,39.0,19169.0,2146538.0,02/10/2020,13:51:27
61,1683,926.0,39.0,19428.0,2146630.0,04/10/2020,11:50:21
62,1767,926.0,40.0,19952.0,2146769.0,07/10/2020,18:00:17
63,1786,926.0,41.0,20246.0,2146816.0,08/10/2020,15:37:48
64,1800,926.0,42.0,20692.0,2146862.0,09/10/2020,16:16:52
65,1805,961.0,42.0,20909.0,2146955.0,11/10/2020,15:18:07
66,1822,961.0,42.0,21103.0,2147047.0,13/10/2020,19:24:00
67,1833,961.0,42.0,21291.0,2147094.0,14/10/2020,14:16:09
68,1918,961.0,43.0,21954.0,2147372.0,20/10/2020,17:39:11
69,1918,961.0,43.0,22020.0,2147464.0,22/10/2020,00:35:52
70,1923,961.0,43.0,22105.0,2147464.0,23/10/2020,00:00:03
71,1934,961.0,43.0,22200.0,2147511.0,23/10/2020,16:56:23
72,1940,970.0,43.0,22264.0,2147557.0,24/10/2020,16:00:32
73,1943,975.0,43.0,22340.0,2147650.0,26/10/2020,20:41:10
74,1947,975.0,43.0,22451.0,2147696.0,27/10/2020,17:46:24
