,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,16/03/2020,10:06:33
1,2,,,,,17/03/2020,11:50:22
2,3,,,,,21/03/2020,08:47:13
3,6,,,,,01/04/2020,10:06:53
4,7,,,,,03/04/2020,14:59:10
5,10,,1.0,,,04/04/2020,13:14:05
6,10,3.0,1.0,,,04/04/2020,19:22:20
7,13,3.0,3.0,,,05/04/2020,12:59:56
8,14,3.0,3.0,,,06/04/2020,18:34:19
9,31,3.0,4.0,,,08/04/2020,17:26:19
10,37,3.0,5.0,,,10/04/2020,15:11:59
11,48,3.0,5.0,,,11/04/2020,17:15:32
12,50,3.0,5.0,,,12/04/2020,13:00:05
13,59,4.0,6.0,,,13/04/2020,11:07:56
14,73,4.0,6.0,,,17/04/2020,09:00:05
15,76,7.0,7.0,,,17/04/2020,12:57:46
16,91,7.0,8.0,,,19/04/2020,16:00:05
17,99,7.0,8.0,,,20/04/2020,15:59:50
18,101,7.0,8.0,,,21/04/2020,13:57:09
19,101,20.0,8.0,,,22/04/2020,14:49:32
20,117,25.0,8.0,,,24/04/2020,11:30:42
21,120,25.0,11.0,,,25/04/2020,13:01:28
22,120,25.0,12.0,,,26/04/2020,14:39:02
23,124,25.0,12.0,,,26/04/2020,21:01:17
24,133,25.0,16.0,,,28/04/2020,02:05:53
25,141,45.0,16.0,,,28/04/2020,13:54:54
26,152,45.0,18.0,,,01/05/2020,14:27:18
27,154,48.0,18.0,,,02/05/2020,23:30:47
28,158,58.0,18.0,,,03/05/2020,21:00:50
29,166,58.0,18.0,,,04/05/2020,14:50:36
30,170,58.0,20.0,,,05/05/2020,22:31:03
31,178,75.0,20.0,,,06/05/2020,15:16:09
32,199,79.0,20.0,,,07/05/2020,20:30:27
33,178,75.0,20.0,,,07/05/2020,21:17:20
34,189,79.0,20.0,,,07/05/2020,21:30:37
35,199,79.0,20.0,,,08/05/2020,19:30:04
36,211,85.0,20.0,,,11/05/2020,17:46:23
37,212,86.0,20.0,,,13/05/2020,09:28:29
38,213,101.0,20.0,,,13/05/2020,17:26:38
39,215,105.0,20.0,,,14/05/2020,22:15:16
40,219,108.0,20.0,,5041262.0,15/05/2020,18:55:43
41,223,116.0,20.0,,5041588.0,16/05/2020,16:29:53
42,226,120.0,21.0,,5041913.0,17/05/2020,13:06:36
43,229,123.0,22.0,,5042239.0,18/05/2020,16:06:43
44,233,125.0,23.0,,5042565.0,19/05/2020,13:30:35
45,238,128.0,23.0,,5042890.0,20/05/2020,15:00:59
46,240,131.0,23.0,,5043216.0,21/05/2020,07:23:54
47,249,136.0,24.0,,5043542.0,22/05/2020,14:24:34
48,255,136.0,26.0,,5043867.0,23/05/2020,14:31:52
49,265,139.0,26.0,,5044193.0,24/05/2020,16:30:35
50,265,141.0,26.0,,5044519.0,25/05/2020,12:01:24
51,266,144.0,26.0,,5044844.0,26/05/2020,15:00:05
52,266,144.0,27.0,,5045170.0,27/05/2020,15:01:22
53,266,144.0,27.0,,5045170.0,27/05/2020,16:10:09
54,269,144.0,27.0,,5045496.0,28/05/2020,13:00:04
55,273,146.0,27.0,,5045821.0,29/05/2020,13:50:30
56,280,148.0,27.0,,5046147.0,30/05/2020,12:58:31
57,288,157.0,27.0,,5046473.0,31/05/2020,12:47:39
58,296,159.0,27.0,,5046798.0,01/06/2020,15:19:59
59,311,167.0,28.0,,5047124.0,02/06/2020,12:37:28
60,316,169.0,28.0,,5047450.0,03/06/2020,12:43:44
61,321,175.0,28.0,,5047775.0,04/06/2020,12:08:09
62,334,176.0,30.0,,5048101.0,05/06/2020,12:53:26
63,345,185.0,30.0,,5048427.0,06/06/2020,16:34:02
64,359,194.0,30.0,,5048752.0,07/06/2020,16:07:45
65,370,195.0,30.0,,5049078.0,08/06/2020,13:35:27
66,383,199.0,31.0,,5049404.0,09/06/2020,13:01:51
67,397,200.0,31.0,,5049729.0,10/06/2020,17:47:44
68,410,206.0,31.0,,5050055.0,11/06/2020,12:02:00
69,421,210.0,32.0,,5050381.0,12/06/2020,19:00:04
70,446,214.0,32.0,,5050706.0,13/06/2020,19:32:47
71,458,219.0,32.0,,5051032.0,14/06/2020,16:11:54
72,498,221.0,33.0,,5051358.0,15/06/2020,14:00:36
73,509,222.0,33.0,,5051683.0,16/06/2020,14:57:07
74,516,240.0,33.0,,5052009.0,17/06/2020,14:58:44
75,542,250.0,33.0,,5052335.0,18/06/2020,15:27:59
76,581,250.0,33.0,,5052660.0,19/06/2020,18:00:15
77,601,254.0,33.0,,5052986.0,20/06/2020,15:00:04
78,626,254.0,34.0,,5053312.0,21/06/2020,14:45:38
79,650,260.0,34.0,,5053637.0,22/06/2020,18:14:48
80,652,270.0,34.0,,5053963.0,23/06/2020,15:30:58
81,662,270.0,34.0,,5054289.0,24/06/2020,18:33:38
82,681,278.0,34.0,,5054614.0,25/06/2020,14:49:35
83,684,285.0,34.0,,5054940.0,26/06/2020,14:30:35
84,729,291.0,34.0,,5055266.0,27/06/2020,16:33:06
85,768,298.0,34.0,,5055591.0,28/06/2020,17:23:50
86,770,312.0,36.0,,5055917.0,29/06/2020,15:15:13
87,780,324.0,36.0,,5056243.0,30/06/2020,14:36:13
88,804,335.0,37.0,,5056568.0,01/07/2020,16:29:51
89,819,338.0,37.0,,5056894.0,02/07/2020,15:02:11
90,833,346.0,37.0,,5057220.0,03/07/2020,17:01:09
91,869,369.0,37.0,,5057545.0,04/07/2020,15:33:32
92,874,377.0,37.0,,5057871.0,05/07/2020,22:26:05
93,891,377.0,39.0,,5058197.0,06/07/2020,19:00:34
94,917,394.0,41.0,,5058522.0,07/07/2020,18:31:42
95,926,395.0,41.0,,5058848.0,08/07/2020,20:00:23
96,957,398.0,42.0,,5059174.0,09/07/2020,13:49:06
97,963,400.0,47.0,,5059499.0,10/07/2020,13:30:04
98,998,420.0,47.0,,5059825.0,11/07/2020,15:00:06
99,1010,423.0,51.0,,5060151.0,12/07/2020,12:43:57
100,1024,439.0,51.0,,5060476.0,13/07/2020,13:22:15
101,1056,447.0,51.0,,5061453.0,16/07/2020,03:29:57
102,1070,486.0,68.0,,5061453.0,16/07/2020,23:47:33
103,1085,496.0,69.0,,5061779.0,17/07/2020,13:31:58
104,1088,519.0,70.0,,5062105.0,18/07/2020,13:31:47
105,1091,534.0,70.0,,5062430.0,19/07/2020,13:32:16
106,1107,547.0,70.0,,5062756.0,20/07/2020,17:55:14
107,1108,575.0,70.0,,5063082.0,21/07/2020,16:04:59
108,1114,592.0,70.0,,5063407.0,22/07/2020,15:33:13
109,1117,613.0,71.0,,5063733.0,23/07/2020,14:41:29
110,1135,621.0,71.0,,5064059.0,24/07/2020,13:01:50
111,1155,631.0,71.0,,5064384.0,25/07/2020,14:30:13
112,1162,641.0,72.0,,5064710.0,26/07/2020,15:00:06
113,1167,646.0,72.0,,5065036.0,27/07/2020,16:09:04
114,1177,646.0,72.0,,5065361.0,28/07/2020,17:02:26
115,1179,664.0,72.0,,5065687.0,29/07/2020,13:55:50
116,1181,667.0,73.0,,5066013.0,30/07/2020,17:21:01
117,1186,670.0,75.0,,5066338.0,31/07/2020,11:44:07
118,1189,673.0,75.0,,5066664.0,01/08/2020,14:25:58
119,1207,673.0,77.0,,5066990.0,02/08/2020,15:48:51
120,1214,696.0,78.0,,5067315.0,03/08/2020,18:18:20
121,1216,698.0,78.0,,5067641.0,04/08/2020,12:34:04
122,1221,699.0,78.0,,5067967.0,05/08/2020,14:40:50
123,1224,705.0,78.0,,5068292.0,06/08/2020,14:33:19
124,1230,705.0,78.0,,5068618.0,07/08/2020,21:01:39
125,1234,714.0,79.0,,5068944.0,08/08/2020,23:31:07
126,1237,723.0,79.0,,5069269.0,09/08/2020,20:33:53
127,1240,725.0,79.0,,5069595.0,10/08/2020,18:14:21
128,1250,736.0,81.0,,5069921.0,11/08/2020,18:14:41
129,1252,738.0,82.0,,5070246.0,12/08/2020,19:05:23
130,1257,788.0,82.0,,5071223.0,15/08/2020,20:01:31
131,1277,803.0,82.0,,5071875.0,17/08/2020,20:16:27
132,1282,803.0,82.0,,5072200.0,18/08/2020,21:45:26
133,1284,803.0,82.0,,5072852.0,20/08/2020,16:06:02
134,1285,803.0,82.0,,5073177.0,21/08/2020,23:15:07
135,1286,816.0,82.0,,5073503.0,22/08/2020,16:49:34
136,1290,819.0,82.0,,5074154.0,24/08/2020,17:54:44
137,1295,821.0,82.0,,5074480.0,25/08/2020,16:10:28
138,1298,832.0,82.0,,5074806.0,26/08/2020,18:53:12
139,1304,872.0,82.0,,5075783.0,29/08/2020,23:59:32
140,1305,1158.0,82.0,,5076760.0,01/09/2020,22:04:51
141,1305,1162.0,82.0,,5077085.0,02/09/2020,19:00:00
142,1306,1163.0,82.0,,5077411.0,03/09/2020,19:39:38
143,1307,1182.0,82.0,,5078388.0,06/09/2020,21:24:16
144,1311,1190.0,82.0,,5078714.0,07/09/2020,23:59:30
145,1311,1194.0,82.0,,5079039.0,08/09/2020,23:11:23
146,1313,1194.0,82.0,,5079365.0,09/09/2020,21:10:37
147,1315,1194.0,82.0,,5079691.0,10/09/2020,17:04:18
148,1315,1199.0,82.0,,5080016.0,11/09/2020,16:13:46
149,1316,1210.0,82.0,,5080342.0,12/09/2020,19:27:18
150,1319,1210.0,82.0,,5080668.0,13/09/2020,17:20:05
151,1321,1213.0,82.0,,5080993.0,14/09/2020,13:47:51
152,1327,1214.0,82.0,,5081319.0,15/09/2020,23:59:53
153,1332,1214.0,82.0,,5081645.0,16/09/2020,20:36:38
154,1333,1214.0,82.0,,5081970.0,17/09/2020,16:32:19
155,1334,1214.0,82.0,,5082296.0,18/09/2020,16:48:26
156,1335,1216.0,82.0,,5082622.0,19/09/2020,16:30:56
157,1336,1218.0,82.0,,5083273.0,21/09/2020,14:13:18
158,1337,1219.0,82.0,,5083924.0,23/09/2020,13:36:21
159,1338,1221.0,82.0,,5084250.0,24/09/2020,13:36:54
160,1339,1221.0,82.0,,5085227.0,27/09/2020,16:47:23
161,1342,1221.0,82.0,,5085553.0,28/09/2020,14:12:24
162,1343,1221.0,82.0,,5085878.0,29/09/2020,14:07:49
163,1346,1221.0,82.0,,5086855.0,02/10/2020,21:53:51
164,1347,1221.0,82.0,,5087181.0,03/10/2020,13:35:30
165,1348,1236.0,82.0,,5087507.0,04/10/2020,20:00:41
166,1354,1236.0,82.0,,5087832.0,05/10/2020,22:12:06
167,1354,1236.0,82.0,29514.0,5087832.0,05/10/2020,22:34:40
168,1354,1240.0,82.0,29689.0,5088158.0,06/10/2020,17:39:51
169,1355,1245.0,82.0,29904.0,5088484.0,07/10/2020,16:33:32
170,1360,1245.0,82.0,29904.0,5088809.0,08/10/2020,14:46:28
171,1360,1245.0,82.0,30187.0,5088809.0,08/10/2020,16:34:56
172,1360,1245.0,82.0,30332.0,5089135.0,09/10/2020,16:16:52
173,1363,1245.0,82.0,30332.0,5089461.0,10/10/2020,22:10:24
174,1371,1250.0,82.0,30332.0,5090112.0,12/10/2020,21:00:23
175,1371,1251.0,82.0,30332.0,5090438.0,13/10/2020,16:22:16
