,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,24/03/2020,22:52:32
1,3,,,,,28/03/2020,17:33:33
2,8,,,,,29/03/2020,15:30:35
3,10,1.0,,,,31/03/2020,23:49:04
4,10,,,,,01/04/2020,19:55:45
5,11,,1.0,,,02/04/2020,22:06:41
6,17,,1.0,,,03/04/2020,23:34:36
7,17,,1.0,131.0,,04/04/2020,03:58:25
8,18,,1.0,131.0,,04/04/2020,22:45:19
9,18,,1.0,294.0,,05/04/2020,05:18:25
10,18,,1.0,312.0,,06/04/2020,18:07:55
11,18,1.0,1.0,312.0,,06/04/2020,19:35:28
12,19,1.0,1.0,312.0,,06/04/2020,22:05:37
13,19,1.0,1.0,326.0,,07/04/2020,12:26:43
14,20,1.0,1.0,326.0,,07/04/2020,19:57:46
15,21,2.0,1.0,355.0,,08/04/2020,12:56:03
16,21,8.0,1.0,355.0,,08/04/2020,21:39:06
17,21,8.0,1.0,374.0,,09/04/2020,14:32:13
18,24,8.0,1.0,374.0,,09/04/2020,18:30:40
19,24,8.0,1.0,436.0,,09/04/2020,21:02:51
20,24,8.0,1.0,492.0,,09/04/2020,22:04:20
21,24,8.0,1.0,507.0,,11/04/2020,19:00:05
22,25,8.0,1.0,507.0,,11/04/2020,23:56:33
23,25,9.0,1.0,535.0,,12/04/2020,23:00:24
24,26,9.0,1.0,545.0,,13/04/2020,23:00:06
25,35,9.0,1.0,570.0,,14/04/2020,22:00:04
26,48,9.0,1.0,585.0,,15/04/2020,23:00:02
27,48,11.0,1.0,634.0,,16/04/2020,00:00:03
28,49,11.0,1.0,699.0,,16/04/2020,23:37:57
29,49,11.0,1.0,707.0,,18/04/2020,17:00:04
30,51,11.0,1.0,725.0,,19/04/2020,23:00:27
31,51,15.0,1.0,808.0,,20/04/2020,23:40:25
32,51,11.0,1.0,725.0,,21/04/2020,00:00:05
33,51,15.0,1.0,808.0,,21/04/2020,00:07:03
34,59,15.0,1.0,891.0,,22/04/2020,00:00:07
35,60,15.0,1.0,1181.0,,23/04/2020,00:00:05
36,60,15.0,2.0,1337.0,,23/04/2020,23:58:33
37,60,18.0,2.0,1337.0,,24/04/2020,10:31:09
38,61,18.0,2.0,1337.0,,24/04/2020,22:52:58
39,61,18.0,2.0,1461.0,,25/04/2020,17:30:05
40,61,18.0,2.0,1623.0,,26/04/2020,13:29:37
41,61,18.0,3.0,1949.0,,30/04/2020,18:56:26
42,63,18.0,3.0,1949.0,,01/05/2020,16:51:59
43,63,32.0,3.0,2155.0,,02/05/2020,14:44:34
44,63,22.0,3.0,2155.0,,02/05/2020,23:01:18
