,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,03/03/2020,17:43:55
1,3,,,,,12/03/2020,03:34:39
2,4,,,,,12/03/2020,12:36:57
3,7,,,,,15/03/2020,11:37:39
4,19,,,,,17/03/2020,19:15:28
5,28,,,,,18/03/2020,19:33:32
6,37,,,,,21/03/2020,06:54:35
7,46,,,,,23/03/2020,07:29:02
8,51,,,,,23/03/2020,19:28:30
9,56,,,,,26/03/2020,19:53:33
10,62,,,,,30/03/2020,11:30:05
11,64,,,,,31/03/2020,06:36:57
12,65,,,,,31/03/2020,15:04:00
13,68,,,,,31/03/2020,16:41:57
14,72,,,,,01/04/2020,22:00:20
15,75,,,,,02/04/2020,16:37:29
16,75,,,900.0,,04/04/2020,03:58:25
17,77,,,900.0,,04/04/2020,15:53:48
18,77,,1.0,900.0,,04/04/2020,20:49:25
19,77,55.0,1.0,900.0,,06/04/2020,17:07:03
20,78,55.0,1.0,900.0,,07/04/2020,21:23:55
21,79,55.0,1.0,900.0,,10/04/2020,18:10:49
22,81,55.0,1.0,900.0,,19/04/2020,23:00:27
23,82,55.0,1.0,900.0,,26/04/2020,19:02:28
24,83,69.0,1.0,1685.0,38125.0,22/06/2020,12:54:32
25,86,72.0,2.0,1716.0,38126.0,24/06/2020,03:31:21
26,82,55.0,1.0,900.0,38126.0,24/06/2020,15:30:05
27,82,81.0,1.0,900.0,38126.0,24/06/2020,22:14:31
28,83,81.0,1.0,900.0,38129.0,03/07/2020,00:00:11
29,84,81.0,1.0,900.0,38130.0,06/07/2020,08:53:07
30,85,81.0,1.0,900.0,38133.0,17/07/2020,14:32:50
31,86,81.0,1.0,900.0,38133.0,18/07/2020,13:31:47
32,87,81.0,1.0,900.0,38136.0,29/07/2020,01:53:31
33,88,85.0,1.0,900.0,38136.0,29/07/2020,16:38:05
34,89,85.0,1.0,900.0,38138.0,03/08/2020,00:31:52
35,89,87.0,1.0,900.0,38140.0,11/08/2020,14:52:07
36,90,87.0,1.0,900.0,38141.0,12/08/2020,20:12:23
37,91,87.0,1.0,900.0,38141.0,14/08/2020,14:17:35
38,94,87.0,1.0,900.0,38142.0,17/08/2020,12:26:24
39,97,88.0,1.0,900.0,38142.0,18/08/2020,12:58:01
40,98,88.0,1.0,900.0,38143.0,19/08/2020,11:00:26
41,99,88.0,1.0,900.0,38143.0,20/08/2020,13:51:07
42,100,90.0,1.0,900.0,38144.0,24/08/2020,10:02:59
43,102,94.0,1.0,900.0,38145.0,25/08/2020,10:49:54
44,105,96.0,1.0,900.0,38145.0,27/08/2020,10:25:36
45,106,96.0,1.0,900.0,38145.0,28/08/2020,11:26:30
46,107,97.0,1.0,900.0,38146.0,30/08/2020,00:40:53
47,108,105.0,1.0,900.0,38149.0,09/09/2020,11:47:59
48,109,105.0,1.0,900.0,38149.0,10/09/2020,14:26:21
49,111,105.0,1.0,900.0,38150.0,12/09/2020,19:27:18
50,112,108.0,1.0,900.0,38151.0,17/09/2020,16:32:19
51,113,109.0,1.0,900.0,38152.0,19/09/2020,14:45:42
52,114,110.0,1.0,900.0,38153.0,21/09/2020,17:25:59
53,115,110.0,1.0,900.0,38153.0,22/09/2020,16:04:28
54,116,110.0,1.0,900.0,38153.0,23/09/2020,12:03:49
55,117,110.0,1.0,900.0,38154.0,25/09/2020,19:20:08
56,118,113.0,1.0,900.0,38155.0,29/09/2020,12:29:23
57,119,114.0,1.0,900.0,38156.0,01/10/2020,18:37:08
58,120,116.0,1.0,900.0,38156.0,02/10/2020,12:19:25
59,123,116.0,1.0,900.0,38156.0,03/10/2020,11:49:13
60,126,116.0,1.0,900.0,38156.0,04/10/2020,20:00:41
61,127,116.0,1.0,900.0,38157.0,05/10/2020,12:25:04
62,130,116.0,1.0,900.0,38157.0,06/10/2020,11:05:55
63,131,116.0,1.0,900.0,38157.0,07/10/2020,15:13:15
64,135,117.0,1.0,900.0,38158.0,08/10/2020,11:39:14
65,137,117.0,1.0,900.0,38158.0,09/10/2020,10:33:35
66,139,117.0,1.0,900.0,38158.0,09/10/2020,23:30:31
67,142,117.0,1.0,900.0,38158.0,10/10/2020,13:10:07
68,144,121.0,1.0,900.0,38159.0,11/10/2020,15:18:07
69,148,124.0,1.0,900.0,38159.0,12/10/2020,11:37:17
70,163,128.0,1.0,900.0,38159.0,13/10/2020,13:42:06
71,174,131.0,1.0,2200.0,38159.0,14/10/2020,11:44:28
72,183,131.0,1.0,2200.0,38160.0,15/10/2020,11:34:43
73,224,142.0,1.0,2200.0,38161.0,17/10/2020,18:13:13
74,235,142.0,1.0,2200.0,38161.0,20/10/2020,14:16:03
75,252,145.0,1.0,2200.0,38162.0,21/10/2020,12:59:16
76,282,158.0,1.0,2200.0,38162.0,22/10/2020,11:31:05
77,324,170.0,1.0,2200.0,38162.0,23/10/2020,11:00:16
