,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,28/02/2020,02:18:37
1,3,,,,,10/03/2020,22:31:11
2,6,,,,,13/03/2020,12:08:22
3,7,,,,,14/03/2020,08:46:05
4,8,,,,,14/03/2020,13:12:10
5,8,1.0,,,,14/03/2020,17:32:14
6,9,1.0,,,,14/03/2020,23:07:41
7,12,1.0,,,,15/03/2020,13:54:55
8,14,1.0,,,,16/03/2020,00:02:21
9,17,1.0,,,,16/03/2020,12:36:27
10,18,1.0,,,,17/03/2020,00:17:22
11,20,1.0,,,,17/03/2020,12:17:24
12,21,1.0,,,,17/03/2020,13:20:44
13,22,1.0,,,,17/03/2020,15:47:47
14,25,1.0,,,,17/03/2020,18:51:29
15,26,1.0,,,,17/03/2020,23:03:26
16,27,1.0,,,,18/03/2020,09:27:15
17,33,1.0,,,,18/03/2020,12:26:14
18,34,1.0,,,,18/03/2020,22:01:57
19,36,1.0,,,,19/03/2020,10:07:58
20,41,1.0,,,,19/03/2020,17:33:38
21,48,1.0,,,,19/03/2020,22:52:17
22,49,1.0,,,,20/03/2020,12:13:55
23,51,1.0,,,,20/03/2020,17:27:52
24,63,1.0,,,,20/03/2020,17:42:56
25,69,1.0,1.0,,,21/03/2020,04:50:11
26,83,1.0,1.0,,,21/03/2020,15:27:25
27,99,1.0,1.0,,,21/03/2020,20:00:49
28,105,1.0,1.0,,,22/03/2020,05:37:27
29,131,1.0,1.0,,,22/03/2020,14:31:27
30,129,1.0,1.0,,,22/03/2020,15:47:55
31,143,1.0,1.0,,,23/03/2020,00:00:05
32,154,1.0,1.0,,,23/03/2020,10:00:55
33,160,1.0,1.0,,,23/03/2020,15:35:23
34,179,1.0,1.0,,,23/03/2020,22:30:37
35,187,1.0,1.0,,,24/03/2020,08:01:14
36,203,1.0,1.0,,,24/03/2020,14:27:07
37,209,1.0,1.0,,,24/03/2020,17:41:24
38,209,1.0,2.0,,,24/03/2020,20:03:44
39,255,1.0,2.0,,,25/03/2020,07:32:36
40,255,1.0,3.0,,,25/03/2020,09:30:29
41,255,1.0,4.0,,,25/03/2020,10:57:01
42,274,1.0,4.0,,,25/03/2020,19:01:27
43,290,1.0,4.0,,,26/03/2020,07:32:54
44,299,1.0,4.0,,,26/03/2020,19:53:33
45,344,1.0,4.0,,,27/03/2020,06:44:23
46,345,1.0,4.0,,,27/03/2020,07:55:13
47,345,1.0,5.0,,,27/03/2020,10:02:02
48,358,1.0,5.0,,,27/03/2020,18:00:27
49,382,1.0,5.0,,,28/03/2020,08:39:41
50,394,1.0,7.0,,,28/03/2020,19:43:39
51,437,1.0,7.0,,,29/03/2020,06:06:31
52,460,1.0,7.0,,,29/03/2020,18:57:07
53,484,1.0,7.0,,,30/03/2020,07:31:28
54,491,1.0,7.0,,,30/03/2020,17:14:00
55,491,7.0,7.0,,,30/03/2020,18:26:43
56,533,7.0,7.0,,,31/03/2020,06:36:57
57,533,7.0,8.0,,,31/03/2020,13:41:38
58,537,7.0,8.0,,,31/03/2020,17:05:56
59,581,7.0,8.0,,,01/04/2020,07:09:08
60,649,7.0,8.0,,,02/04/2020,06:12:01
61,649,7.0,9.0,,,02/04/2020,12:06:42
62,696,7.0,9.0,,,03/04/2020,05:27:29
63,696,7.0,9.0,18432.0,,04/04/2020,03:58:25
64,771,7.0,9.0,18432.0,,04/04/2020,07:30:42
65,771,7.0,9.0,21376.0,,04/04/2020,07:49:42
66,771,7.0,10.0,21376.0,,04/04/2020,11:32:49
67,771,7.0,11.0,21376.0,,04/04/2020,19:22:20
68,811,7.0,11.0,23645.0,,05/04/2020,06:25:24
69,811,7.0,12.0,23645.0,,05/04/2020,12:59:56
70,811,7.0,13.0,23645.0,,05/04/2020,17:30:38
71,811,7.0,14.0,23645.0,,06/04/2020,05:07:58
72,843,7.0,14.0,23645.0,,06/04/2020,06:07:02
73,843,7.0,14.0,25599.0,,06/04/2020,06:42:40
74,843,8.0,14.0,25599.0,,06/04/2020,08:07:58
75,843,8.0,15.0,25599.0,,06/04/2020,18:07:55
76,880,8.0,15.0,25599.0,,07/04/2020,05:59:55
77,880,8.0,15.0,27807.0,,07/04/2020,06:07:59
78,912,8.0,15.0,30108.0,,08/04/2020,06:52:05
79,955,8.0,15.0,32809.0,,09/04/2020,06:31:38
80,955,8.0,16.0,32809.0,,09/04/2020,12:20:14
81,999,8.0,16.0,32809.0,,10/04/2020,04:53:42
82,999,8.0,16.0,36051.0,,10/04/2020,05:20:14
83,999,8.0,17.0,36051.0,,10/04/2020,06:17:29
84,999,54.0,22.0,36051.0,,10/04/2020,11:57:25
85,1026,54.0,23.0,38472.0,,11/04/2020,06:45:05
86,1053,97.0,23.0,38472.0,,12/04/2020,05:38:38
87,1053,97.0,23.0,40712.0,,12/04/2020,12:27:57
88,1062,101.0,24.0,41503.0,,13/04/2020,11:07:56
89,1070,101.0,24.0,42690.0,,14/04/2020,05:42:22
90,1070,101.0,26.0,42690.0,,14/04/2020,14:36:33
91,1070,101.0,29.0,42690.0,,14/04/2020,19:00:05
92,1091,101.0,29.0,44677.0,,15/04/2020,05:00:06
93,1091,138.0,29.0,44677.0,,15/04/2020,06:00:04
94,1091,138.0,30.0,44677.0,,15/04/2020,16:15:51
95,1128,178.0,30.0,48537.0,,16/04/2020,07:00:06
96,1128,178.0,31.0,48537.0,,16/04/2020,15:00:09
97,1128,178.0,32.0,48537.0,,16/04/2020,16:46:01
98,1149,210.0,32.0,53101.0,,17/04/2020,07:00:06
99,1149,210.0,33.0,53101.0,,17/04/2020,17:51:55
100,1239,228.0,33.0,58816.0,,18/04/2020,06:00:29
101,1298,242.0,33.0,64035.0,,19/04/2020,07:00:05
102,1298,242.0,34.0,64035.0,,19/04/2020,12:00:03
103,1298,242.0,35.0,64035.0,,19/04/2020,13:00:06
104,1326,242.0,36.0,66352.0,,20/04/2020,05:31:13
105,1326,242.0,37.0,66352.0,,20/04/2020,07:00:06
106,1348,298.0,37.0,70489.0,,21/04/2020,00:07:03
107,1350,298.0,37.0,70753.0,,21/04/2020,07:00:08
108,1350,298.0,38.0,70753.0,,21/04/2020,17:55:03
109,1370,357.0,38.0,76973.0,,22/04/2020,05:20:38
110,1398,399.0,38.0,83591.0,,23/04/2020,05:07:16
111,1398,399.0,40.0,83591.0,,23/04/2020,17:00:34
112,1410,430.0,40.0,90992.0,,24/04/2020,05:30:06
113,1426,460.0,41.0,98948.0,,25/04/2020,07:16:31
114,1438,467.0,41.0,104488.0,,26/04/2020,05:31:25
115,1449,474.0,41.0,106775.0,,27/04/2020,04:50:30
116,1344,536.0,44.0,111809.0,,28/04/2020,02:05:53
117,1375,563.0,45.0,118201.0,,29/04/2020,08:33:02
118,1385,589.0,45.0,125555.0,,30/04/2020,08:00:50
119,1399,594.0,45.0,132768.0,,01/05/2020,08:03:10
120,1406,632.0,46.0,138270.0,,02/05/2020,08:00:16
121,1410,635.0,46.0,141678.0,,03/05/2020,08:12:48
122,1419,638.0,46.0,144029.0,,04/05/2020,07:31:35
123,1423,678.0,46.0,149106.0,,05/05/2020,07:57:05
124,1428,718.0,48.0,156493.0,,06/05/2020,08:30:05
125,1433,739.0,49.0,164088.0,,07/05/2020,07:42:39
126,1436,765.0,49.0,172191.0,,07/05/2020,20:30:27
127,1433,739.0,49.0,164088.0,,07/05/2020,21:17:20
128,1436,765.0,49.0,172191.0,,08/05/2020,08:00:04
129,1444,828.0,49.0,180332.0,,09/05/2020,08:30:49
130,1479,828.0,50.0,183913.0,,10/05/2020,09:30:35
131,1485,833.0,50.0,186565.0,,11/05/2020,08:01:59
132,1491,850.0,50.0,192386.0,,12/05/2020,15:39:30
133,1505,908.0,54.0,200264.0,,13/05/2020,09:28:29
134,1511,934.0,54.0,208253.0,,14/05/2020,08:02:26
135,1523,965.0,54.0,216247.0,2726772.0,15/05/2020,08:30:46
136,1534,988.0,55.0,224040.0,2726669.0,16/05/2020,08:16:44
