,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,29/02/2020,20:14:40
1,2,,,,,05/03/2020,21:15:12
2,3,,,,,06/03/2020,22:30:56
3,4,,,,,08/03/2020,12:44:18
4,5,,,,,08/03/2020,18:35:03
5,7,,,,,10/03/2020,19:15:49
6,19,,,,,12/03/2020,10:02:00
7,26,,,,,12/03/2020,20:36:11
8,34,,,,,13/03/2020,18:38:21
9,38,,1.0,,,14/03/2020,01:11:47
10,51,,1.0,,,14/03/2020,12:56:07
11,59,,1.0,,,15/03/2020,09:25:51
12,77,,1.0,,,15/03/2020,20:38:15
13,81,,1.0,,,16/03/2020,11:19:25
14,94,,1.0,,,17/03/2020,09:07:12
15,140,,1.0,,,17/03/2020,10:49:07
16,203,,2.0,,,18/03/2020,09:03:01
17,335,,4.0,,,19/03/2020,08:42:48
18,335,6.0,4.0,,,19/03/2020,19:15:23
19,484,6.0,4.0,,,20/03/2020,08:58:28
20,484,6.0,5.0,,,20/03/2020,14:01:10
21,670,6.0,8.0,,,21/03/2020,11:30:10
22,798,6.0,8.0,,,22/03/2020,12:18:47
23,875,6.0,8.0,,,23/03/2020,16:48:23
24,1099,6.0,8.0,,,24/03/2020,17:23:19
25,1333,6.0,8.0,,,25/03/2020,15:28:22
26,1453,6.0,9.0,,,26/03/2020,16:45:58
27,1605,40.0,15.0,,,27/03/2020,16:14:56
28,1831,40.0,18.0,,,28/03/2020,17:05:05
29,1950,40.0,21.0,,,29/03/2020,15:50:27
30,1988,40.0,22.0,,,30/03/2020,13:40:16
31,1988,80.0,22.0,,,31/03/2020,07:35:12
32,2178,80.0,23.0,,,31/03/2020,15:53:36
33,2319,80.0,29.0,,,01/04/2020,16:47:40
34,2487,80.0,30.0,,,02/04/2020,15:51:12
35,2612,174.0,31.0,,,03/04/2020,16:20:40
36,2612,500.0,31.0,,,03/04/2020,16:45:29
37,2612,500.0,31.0,21463.0,,04/04/2020,03:58:25
38,2729,500.0,31.0,22793.0,,04/04/2020,17:03:36
39,2804,500.0,36.0,23687.0,,05/04/2020,16:01:59
40,2843,500.0,41.0,24291.0,,06/04/2020,16:13:24
41,2970,500.0,44.0,25702.0,,07/04/2020,15:52:17
42,3034,500.0,46.0,26573.0,,08/04/2020,16:02:58
43,3115,500.0,52.0,27521.0,,09/04/2020,16:09:08
44,3115,374.0,52.0,27521.0,,09/04/2020,18:30:40
45,3115,500.0,52.0,27521.0,,09/04/2020,22:04:20
46,3223,500.0,54.0,28273.0,,10/04/2020,16:07:54
47,3270,500.0,62.0,28965.0,,11/04/2020,17:00:04
48,3281,500.0,66.0,29165.0,,12/04/2020,15:51:56
49,3292,500.0,69.0,29315.0,,13/04/2020,11:07:56
50,3307,500.0,69.0,29523.0,,14/04/2020,18:22:57
51,3307,500.0,67.0,29523.0,,14/04/2020,19:00:05
52,3373,526.0,69.0,30723.0,,15/04/2020,17:00:02
53,3444,526.0,69.0,31660.0,,16/04/2020,17:00:06
54,3444,552.0,69.0,31660.0,,16/04/2020,23:37:57
55,3480,579.0,72.0,32394.0,,17/04/2020,16:41:00
56,3537,601.0,72.0,33252.0,,18/04/2020,15:59:18
57,3550,627.0,73.0,33666.0,,19/04/2020,16:00:05
58,3558,637.0,75.0,33798.0,,20/04/2020,15:59:50
59,3618,670.0,78.0,34962.0,,21/04/2020,17:00:06
60,3654,711.0,80.0,36087.0,,22/04/2020,18:00:05
61,3665,728.0,83.0,36891.0,,23/04/2020,17:00:34
62,3695,3007.0,85.0,37782.0,,24/04/2020,19:30:20
63,3711,3088.0,85.0,38514.0,,25/04/2020,17:30:05
64,3723,3104.0,88.0,39003.0,,26/04/2020,14:39:02
65,3729,3123.0,88.0,39102.0,,27/04/2020,16:00:05
66,3741,3123.0,89.0,39741.0,,28/04/2020,16:38:23
67,3769,3134.0,89.0,41758.0,,29/04/2020,16:35:36
68,3784,3213.0,90.0,42643.0,,30/04/2020,16:40:59
69,3802,3213.0,92.0,44895.0,,01/05/2020,16:51:59
70,3812,3318.0,92.0,47460.0,,02/05/2020,16:26:16
71,3824,3379.0,96.0,48118.0,,03/05/2020,16:23:09
72,3828,3405.0,96.0,48339.0,,04/05/2020,16:35:27
