,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,7,,0.0,,,29/01/2020,19:56:57
1,8,,,,,02/02/2020,16:27:45
2,9,,,,,04/02/2020,05:17:06
3,10,,,,,04/02/2020,23:07:01
4,10,1.0,,,,08/02/2020,14:51:42
5,10,3.0,,,,13/02/2020,17:47:19
6,10,5.0,,,,16/02/2020,22:14:07
7,10,6.0,,,,20/02/2020,08:08:31
8,10,5.0,,,,24/02/2020,15:57:52
9,10,6.0,,,,26/02/2020,03:28:29
10,10,9.0,,,,03/03/2020,14:30:34
11,10,10.0,,,,07/03/2020,01:03:15
12,11,10.0,,,,15/03/2020,19:01:14
13,12,10.0,,,,17/03/2020,01:27:41
14,13,10.0,,,,17/03/2020,11:50:22
15,14,10.0,,,,18/03/2020,06:52:16
16,15,10.0,,,,18/03/2020,09:24:03
17,17,10.0,,,,18/03/2020,18:51:01
18,18,10.0,,,,21/03/2020,15:27:25
19,19,10.0,,,,22/03/2020,01:52:38
20,20,10.0,,,,22/03/2020,12:05:43
21,21,10.0,,,,22/03/2020,16:00:09
22,22,10.0,,,,22/03/2020,16:51:13
23,24,10.0,,,,23/03/2020,11:03:01
24,25,10.0,,,,23/03/2020,17:02:22
25,26,10.0,,,,24/03/2020,15:21:21
26,28,10.0,,,,24/03/2020,17:41:24
27,29,10.0,,,,24/03/2020,23:56:14
28,30,10.0,,,,25/03/2020,09:30:29
29,31,10.0,,,,26/03/2020,06:15:33
30,33,10.0,,,,27/03/2020,02:01:42
31,34,10.0,,,,27/03/2020,13:35:12
32,37,10.0,,,,29/03/2020,12:34:15
33,38,10.0,,,,30/03/2020,09:53:29
34,41,10.0,,,,31/03/2020,14:24:22
35,42,10.0,,,,03/04/2020,11:44:04
36,43,10.0,,,,04/04/2020,10:10:19
37,44,10.0,,,,04/04/2020,23:01:10
38,45,10.0,,,,08/04/2020,09:02:55
39,45,15.0,,,,15/04/2020,13:51:15
40,45,16.0,,,,16/04/2020,07:00:06
41,45,17.0,,,,19/04/2020,16:00:05
42,45,22.0,,,,20/04/2020,11:40:46
43,45,24.0,,,,21/04/2020,00:07:03
44,45,26.0,,,,22/04/2020,13:54:36
45,45,27.0,,,,23/04/2020,17:00:34
46,45,28.0,,,,26/04/2020,03:00:50
47,45,31.0,,,,26/04/2020,10:29:04
48,45,32.0,,,,27/04/2020,11:01:32
49,45,34.0,,,,29/04/2020,08:33:02
50,45,35.0,,,,30/04/2020,10:12:12
51,45,37.0,,,,01/05/2020,10:30:42
52,45,39.0,,,,03/05/2020,11:00:17
53,45,40.0,,,,07/05/2020,10:20:05
54,45,42.0,,,,12/05/2020,15:39:30
55,45,43.0,,,,13/05/2020,14:38:14
56,45,44.0,,,648234.0,18/05/2020,14:45:43
57,45,45.0,,,648258.0,19/05/2020,10:01:07
58,45,45.0,,,648452.0,27/05/2020,16:10:09
59,45,45.0,0.0,,648500.0,29/05/2020,00:22:14
60,46,45.0,0.0,,649177.0,26/06/2020,06:01:27
61,46,45.0,0.0,4071.0,649347.0,03/07/2020,10:30:19
62,46,46.0,0.0,4071.0,649709.0,18/07/2020,09:13:34
63,46,46.0,0.0,4238.0,650919.0,06/09/2020,02:07:11
