,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,3,,,,,20/03/2020,18:32:19
1,12,,,,,23/03/2020,06:54:46
2,17,,,,,24/03/2020,05:32:33
3,19,,,,,25/03/2020,07:32:36
4,23,,,,,26/03/2020,13:04:13
5,24,,,,,27/03/2020,12:08:48
6,26,,,,,27/03/2020,18:18:31
7,39,,,,,29/03/2020,06:30:36
8,43,,,,,30/03/2020,18:26:43
9,46,,,,,31/03/2020,06:51:21
10,57,,,,,31/03/2020,19:31:10
11,59,,,,,02/04/2020,12:58:46
12,65,,,,,03/04/2020,14:59:10
13,70,,,,,03/04/2020,18:30:05
14,72,2.0,,,,05/04/2020,14:07:20
15,82,2.0,,,,06/04/2020,19:50:12
16,88,2.0,,,,07/04/2020,19:54:24
17,88,7.0,,,,07/04/2020,22:16:29
18,93,11.0,,,,08/04/2020,11:21:44
19,102,11.0,,,,11/04/2020,12:46:34
20,106,20.0,,,,12/04/2020,13:00:05
21,106,21.0,,,,13/04/2020,11:07:56
22,108,23.0,,,,14/04/2020,11:31:14
23,110,29.0,,,,15/04/2020,13:51:15
24,111,33.0,,,,16/04/2020,11:33:05
25,117,33.0,,2357.0,,17/04/2020,13:00:05
26,120,35.0,,2357.0,,18/04/2020,17:59:20
27,121,39.0,,2357.0,,19/04/2020,15:35:55
28,121,41.0,,2357.0,,20/04/2020,11:00:21
29,121,44.0,,2357.0,,21/04/2020,11:00:05
30,121,52.0,,2357.0,,22/04/2020,12:08:27
31,121,58.0,,2357.0,,23/04/2020,11:00:07
32,122,61.0,,2357.0,,24/04/2020,11:30:42
33,123,62.0,,2357.0,,25/04/2020,13:01:28
34,124,71.0,,2357.0,,26/04/2020,14:39:02
35,128,75.0,,2357.0,,27/04/2020,15:48:26
36,128,82.0,,2357.0,,28/04/2020,13:54:54
37,128,90.0,,3107.0,,29/04/2020,08:33:02
38,128,92.0,,3228.0,,30/04/2020,11:07:36
39,132,94.0,,3228.0,,01/05/2020,12:32:18
40,135,97.0,,3393.0,,02/05/2020,11:31:51
41,149,98.0,,3611.0,,03/05/2020,11:00:17
42,149,99.0,,3772.0,,04/05/2020,11:00:57
43,151,101.0,,3861.0,,05/05/2020,17:53:59
44,158,101.0,,3907.0,,06/05/2020,13:27:50
