,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,3,,,,,02/04/2020,16:37:29
1,4,,,,,04/04/2020,11:32:49
2,5,,,,,06/04/2020,13:13:44
3,8,,1.0,,,07/04/2020,10:39:06
4,9,,1.0,,,10/04/2020,10:20:54
5,12,,2.0,231.0,,11/04/2020,13:32:11
6,12,,2.0,287.0,,12/04/2020,11:56:40
7,13,,2.0,287.0,,12/04/2020,14:00:04
8,16,,2.0,314.0,,13/04/2020,11:07:56
9,16,,2.0,343.0,,15/04/2020,17:00:02
10,16,,2.0,353.0,,17/04/2020,07:00:06
11,17,,2.0,353.0,,17/04/2020,15:00:06
12,17,,2.0,417.0,,17/04/2020,20:30:36
13,17,3.0,2.0,417.0,,17/04/2020,21:00:06
14,17,3.0,2.0,429.0,,19/04/2020,16:00:05
15,18,3.0,2.0,429.0,,21/04/2020,14:00:06
16,23,3.0,2.0,429.0,,22/04/2020,08:20:46
17,23,3.0,3.0,429.0,,22/04/2020,13:54:36
18,23,3.0,3.0,519.0,,22/04/2020,14:49:32
19,33,3.0,3.0,519.0,,23/04/2020,08:48:28
20,33,4.0,3.0,566.0,,24/04/2020,23:49:16
21,33,4.0,3.0,617.0,,25/04/2020,17:30:05
22,34,4.0,3.0,617.0,,26/04/2020,11:02:22
23,36,4.0,3.0,617.0,,27/04/2020,12:30:04
24,36,4.0,3.0,690.0,,28/04/2020,02:05:53
25,36,5.0,3.0,690.0,,28/04/2020,19:40:11
26,36,7.0,3.0,744.0,,29/04/2020,19:12:58
27,37,7.0,3.0,744.0,,30/04/2020,14:45:52
28,37,7.0,3.0,774.0,,30/04/2020,15:06:13
29,37,9.0,3.0,831.0,,01/05/2020,12:32:18
30,38,9.0,3.0,831.0,,02/05/2020,17:23:37
31,39,9.0,3.0,892.0,,03/05/2020,13:11:23
32,41,9.0,3.0,907.0,,04/05/2020,11:00:57
33,43,9.0,3.0,961.0,,06/05/2020,15:16:09
34,43,14.0,3.0,1112.0,,07/05/2020,20:30:27
35,43,9.0,3.0,961.0,,07/05/2020,21:17:20
36,43,14.0,3.0,1112.0,,07/05/2020,23:31:58
37,43,14.0,3.0,1188.0,,08/05/2020,21:30:08
38,56,14.0,3.0,1188.0,,09/05/2020,09:33:10
