,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,7,,0.0,,,29/01/2020,19:56:57
1,8,,0.0,,,30/01/2020,09:35:54
2,8,,,,,02/02/2020,16:27:45
3,10,,,,,04/02/2020,23:07:01
4,12,,,,,05/02/2020,09:27:26
5,14,1.0,,,,06/02/2020,23:02:52
6,15,1.0,,,,07/02/2020,10:14:50
7,16,1.0,,,,08/02/2020,14:51:42
8,18,3.0,,,,10/02/2020,10:07:48
9,19,3.0,,,,13/02/2020,17:47:19
10,19,7.0,,,,14/02/2020,23:27:53
11,21,7.0,,,,15/02/2020,06:36:49
12,22,7.0,,,,16/02/2020,03:02:15
13,22,8.0,,,,16/02/2020,08:02:43
14,22,9.0,,,,18/02/2020,01:13:07
15,22,11.0,,,,18/02/2020,12:52:29
16,22,15.0,,,,19/02/2020,10:51:12
17,22,17.0,,,,20/02/2020,08:08:31
18,22,18.0,,,,23/02/2020,20:17:52
19,22,17.0,,,,24/02/2020,15:57:52
20,22,20.0,,,,25/02/2020,02:11:26
21,24,20.0,,,,28/02/2020,08:09:23
22,25,20.0,,,,28/02/2020,08:54:05
23,25,22.0,,,,01/03/2020,03:01:38
24,29,22.0,,,,01/03/2020,14:15:16
25,36,22.0,,,,03/03/2020,11:39:57
26,50,22.0,,,,04/03/2020,08:30:37
27,55,22.0,,,,05/03/2020,11:39:51
28,83,22.0,,,,06/03/2020,10:58:09
29,83,23.0,,,,06/03/2020,19:57:53
30,93,23.0,,,,07/03/2020,11:22:07
31,99,24.0,,,,08/03/2020,13:02:33
32,117,24.0,,,,09/03/2020,11:21:23
33,129,24.0,,,,10/03/2020,14:17:21
34,129,87.0,,,,10/03/2020,18:20:32
35,129,25.0,,,,11/03/2020,04:26:21
36,149,26.0,,,,11/03/2020,12:13:51
37,158,26.0,,,,12/03/2020,15:28:21
38,158,32.0,,,,13/03/2020,05:52:49
39,197,32.0,,,,13/03/2020,15:38:32
40,238,35.0,,,,14/03/2020,12:36:29
41,249,35.0,,,,15/03/2020,09:25:51
42,248,35.0,,,,15/03/2020,10:12:45
43,428,35.0,,,,15/03/2020,11:37:39
44,428,42.0,,,,15/03/2020,13:25:27
45,553,42.0,,,,16/03/2020,10:06:33
46,566,42.0,,,,16/03/2020,12:09:15
47,673,49.0,2.0,,,17/03/2020,10:22:34
48,790,60.0,2.0,,,18/03/2020,09:55:52
49,900,75.0,2.0,,,19/03/2020,08:17:49
50,915,75.0,2.0,,,20/03/2020,08:58:28
51,1030,87.0,2.0,,,20/03/2020,10:00:40
52,1030,87.0,3.0,,,20/03/2020,13:00:35
53,1183,114.0,3.0,,,21/03/2020,08:00:06
54,1183,114.0,4.0,,,21/03/2020,08:30:14
55,1183,114.0,8.0,,,21/03/2020,14:00:04
56,1183,114.0,9.0,,,22/03/2020,05:37:27
57,1306,139.0,10.0,,,22/03/2020,12:57:16
58,1306,139.0,11.0,,,23/03/2020,07:48:26
59,1518,159.0,14.0,,,23/03/2020,10:00:55
60,1518,159.0,15.0,,,24/03/2020,07:02:56
61,1624,183.0,15.0,,,24/03/2020,09:14:31
62,1624,183.0,16.0,,,24/03/2020,19:01:12
63,1796,183.0,16.0,,,25/03/2020,06:32:21
64,1796,183.0,17.0,,,25/03/2020,07:32:36
65,1796,199.0,19.0,,,25/03/2020,10:00:56
66,1796,199.0,20.0,,,25/03/2020,16:23:27
67,1796,199.0,21.0,,,26/03/2020,07:32:54
68,2031,199.0,23.0,,,26/03/2020,09:20:14
69,2031,215.0,23.0,,,26/03/2020,13:30:35
70,2031,215.0,24.0,,,27/03/2020,04:31:30
71,2161,215.0,26.0,,,27/03/2020,09:30:08
72,2161,259.0,26.0,,,27/03/2020,09:53:19
73,2320,320.0,27.0,,,28/03/2020,09:35:12
74,2470,320.0,34.0,,,29/03/2020,09:31:16
75,2470,388.0,34.0,,,29/03/2020,10:28:39
76,2470,388.0,5.0,,,29/03/2020,15:50:27
77,2470,388.0,35.0,,,29/03/2020,16:42:02
78,2626,388.0,37.0,,,30/03/2020,09:25:49
79,2626,479.0,37.0,,,30/03/2020,09:53:29
80,2766,537.0,43.0,,,31/03/2020,09:54:18
81,2908,645.0,45.0,,,01/04/2020,09:39:09
82,3116,767.0,50.0,,,02/04/2020,10:05:12
83,3333,827.0,53.0,,,03/04/2020,09:54:51
84,3333,827.0,53.0,47723.0,,04/04/2020,03:58:25
85,3483,915.0,57.0,49570.0,,04/04/2020,09:51:17
86,3662,1005.0,61.0,51937.0,,05/04/2020,09:32:01
87,3793,1241.0,62.0,51937.0,,06/04/2020,10:00:40
88,3793,1241.0,62.0,55566.0,,06/04/2020,11:02:34
89,3963,1321.0,63.0,55566.0,,07/04/2020,09:44:01
90,4119,1487.0,65.0,55566.0,,08/04/2020,09:11:31
91,4119,1487.0,65.0,58240.0,,08/04/2020,10:55:06
92,4228,1608.0,67.0,58240.0,,09/04/2020,09:06:57
93,4228,1608.0,67.0,63367.0,,09/04/2020,10:22:18
94,4228,1608.0,67.0,69675.0,,10/04/2020,02:20:02
95,4346,1830.0,70.0,69675.0,,10/04/2020,10:20:54
96,4530,1995.0,73.0,69675.0,,11/04/2020,09:37:56
97,4530,1995.0,73.0,71897.0,,11/04/2020,09:58:42
98,4683,2108.0,76.0,71897.0,,12/04/2020,09:20:51
99,4683,2108.0,76.0,77491.0,,12/04/2020,22:01:44
100,4817,2276.0,77.0,81730.0,,13/04/2020,11:07:56
101,4987,2478.0,82.0,81730.0,,14/04/2020,09:20:53
102,4987,2478.0,82.0,84791.0,,14/04/2020,17:32:17
103,5072,2647.0,83.0,84791.0,,15/04/2020,09:47:39
104,5072,2647.0,83.0,87183.0,,15/04/2020,12:33:22
105,5182,2766.0,84.0,87183.0,,16/04/2020,10:00:06
106,5182,2766.0,84.0,90562.0,,17/04/2020,07:00:06
107,5251,2967.0,86.0,90562.0,,17/04/2020,09:00:05
108,5251,2967.0,86.0,96695.0,,17/04/2020,11:19:47
109,5305,3102.0,88.0,96695.0,,18/04/2020,08:32:56
110,5305,3102.0,88.0,100794.0,,18/04/2020,12:00:04
111,5389,3197.0,89.0,100794.0,,19/04/2020,09:16:53
