,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,,,,07/03/2020,17:41:35
1,4,,,,,08/03/2020,21:05:18
2,6,,,,,09/03/2020,21:44:36
3,8,,,,,11/03/2020,08:02:21
4,9,,,,,13/03/2020,15:38:32
5,10,,,,,14/03/2020,12:36:29
6,11,,,,,15/03/2020,06:55:44
7,13,,,,,15/03/2020,11:37:39
8,13,2.0,,,,20/03/2020,21:28:23
9,13,3.0,,,,21/03/2020,14:42:22
10,13,5.0,,,,23/03/2020,10:30:08
11,13,8.0,,,,25/03/2020,13:44:28
12,13,9.0,,,,27/03/2020,07:55:13
13,14,9.0,,,,27/03/2020,12:08:48
14,16,9.0,,,,27/03/2020,18:00:27
15,17,11.0,,,,29/03/2020,06:06:31
16,17,13.0,,,,29/03/2020,19:11:12
17,18,13.0,,,,31/03/2020,06:36:57
18,19,13.0,,,,01/04/2020,12:03:47
19,20,13.0,,,,12/04/2020,05:55:10
20,20,14.0,,,,12/04/2020,22:09:51
21,20,16.0,,2899.0,,14/04/2020,19:00:05
22,21,16.0,,2899.0,,15/04/2020,05:28:28
23,22,16.0,,2899.0,,15/04/2020,19:37:56
24,23,16.0,,2899.0,,16/04/2020,02:00:02
25,23,16.0,,3365.0,,16/04/2020,07:21:21
26,23,16.0,,3432.0,,16/04/2020,11:00:05
27,25,16.0,,3432.0,,16/04/2020,23:37:57
28,28,16.0,,3432.0,,17/04/2020,12:00:06
29,28,16.0,,3497.0,,17/04/2020,14:43:05
30,29,16.0,,3497.0,,18/04/2020,00:31:43
31,32,16.0,,3588.0,,18/04/2020,08:32:56
32,34,16.0,,3711.0,,18/04/2020,12:00:04
33,35,16.0,,3714.0,,18/04/2020,17:59:20
34,36,16.0,,3714.0,,19/04/2020,09:16:53
35,51,16.0,,3714.0,,19/04/2020,10:20:53
36,52,16.0,,3714.0,,19/04/2020,15:35:55
37,60,16.0,,3714.0,,20/04/2020,13:00:08
38,67,16.0,,4139.0,,20/04/2020,13:32:17
39,69,16.0,,4139.0,,20/04/2020,20:17:16
40,67,16.0,,4139.0,,21/04/2020,00:00:05
41,69,16.0,,4139.0,,21/04/2020,00:07:03
42,82,16.0,,4139.0,,21/04/2020,07:00:08
43,83,16.0,,4139.0,,21/04/2020,13:57:09
44,86,16.0,,4139.0,,22/04/2020,02:00:06
45,86,16.0,,4696.0,,23/04/2020,09:00:05
46,94,16.0,,4696.0,,23/04/2020,11:00:07
47,108,16.0,,4696.0,,23/04/2020,17:00:34
48,116,16.0,,4696.0,,24/04/2020,09:00:28
49,116,16.0,,5296.0,,24/04/2020,12:45:23
50,129,16.0,,5296.0,,24/04/2020,22:52:58
51,137,16.0,,5296.0,,25/04/2020,11:13:12
52,141,17.0,,5296.0,,25/04/2020,17:30:05
53,177,17.0,,5296.0,,25/04/2020,23:20:59
54,191,17.0,,5296.0,,26/04/2020,14:39:02
55,214,17.0,,5296.0,,26/04/2020,19:50:22
56,226,17.0,,5296.0,,27/04/2020,14:32:07
57,245,17.0,,5296.0,,28/04/2020,02:05:53
58,250,17.0,,5296.0,,28/04/2020,20:03:12
59,256,17.0,,5296.0,,29/04/2020,08:33:02
