,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,,,,25/03/2020,10:30:18
1,4,,,,,26/03/2020,16:45:58
2,11,,,,,27/03/2020,12:26:46
3,18,,,,,28/03/2020,12:20:21
4,18,,1.0,,,29/03/2020,00:25:20
5,25,,2.0,,,30/03/2020,11:30:05
6,28,,2.0,,,31/03/2020,11:52:57
7,31,,3.0,,,01/04/2020,12:20:14
8,36,,3.0,,,02/04/2020,17:13:14
9,39,,3.0,,,03/04/2020,18:40:03
10,41,1.0,3.0,,,04/04/2020,14:44:54
11,45,1.0,5.0,,,05/04/2020,16:01:59
12,47,1.0,5.0,,,06/04/2020,11:02:34
13,47,9.0,5.0,,,06/04/2020,19:37:55
14,56,12.0,5.0,,,07/04/2020,14:32:01
15,59,16.0,7.0,,,08/04/2020,16:31:18
16,74,22.0,7.0,,,09/04/2020,15:26:47
17,87,22.0,7.0,,,10/04/2020,13:07:56
18,105,22.0,9.0,,,12/04/2020,13:00:05
19,123,26.0,10.0,,,13/04/2020,11:07:56
20,144,34.0,13.0,,,14/04/2020,17:00:03
21,148,34.0,13.0,,,15/04/2020,13:51:15
22,171,34.0,13.0,,,16/04/2020,17:35:48
23,190,34.0,13.0,,,18/04/2020,10:00:05
24,216,41.0,13.0,,,18/04/2020,14:22:06
25,224,42.0,14.0,,,19/04/2020,16:00:05
26,246,56.0,14.0,,,20/04/2020,23:00:06
27,224,42.0,14.0,,,21/04/2020,00:00:05
28,246,56.0,14.0,,,21/04/2020,00:07:03
29,258,57.0,14.0,,,21/04/2020,12:42:37
30,293,73.0,17.0,,,22/04/2020,14:00:07
31,293,73.0,17.0,2023.0,,22/04/2020,16:00:08
32,309,77.0,21.0,2023.0,,23/04/2020,17:00:34
33,325,87.0,21.0,2023.0,,24/04/2020,22:52:58
34,325,87.0,21.0,2172.0,,25/04/2020,02:30:27
35,370,91.0,21.0,2172.0,,25/04/2020,17:30:05
36,389,112.0,23.0,2172.0,,26/04/2020,14:39:02
37,408,113.0,23.0,2172.0,,28/04/2020,02:05:53
38,424,122.0,24.0,2172.0,,28/04/2020,16:02:30
39,482,129.0,25.0,2172.0,,29/04/2020,16:35:36
40,490,135.0,26.0,2172.0,,30/04/2020,18:56:26
41,508,196.0,26.0,2172.0,,01/05/2020,15:32:27
42,544,206.0,26.0,2172.0,,02/05/2020,17:40:04
43,563,213.0,27.0,2172.0,,03/05/2020,19:00:34
44,580,223.0,29.0,2172.0,,04/05/2020,14:50:36
45,612,228.0,32.0,2172.0,,05/05/2020,14:11:06
46,631,261.0,32.0,2172.0,,06/05/2020,15:30:17
47,650,271.0,32.0,2172.0,,07/05/2020,19:30:04
48,668,285.0,35.0,2172.0,,08/05/2020,22:03:24
49,692,298.0,37.0,2172.0,,09/05/2020,15:33:10
50,704,351.0,38.0,2172.0,,10/05/2020,19:00:04
51,712,377.0,39.0,2172.0,,11/05/2020,18:31:55
52,730,398.0,40.0,2498.0,,12/05/2020,20:30:16
53,758,412.0,44.0,2498.0,,13/05/2020,17:26:38
54,779,436.0,46.0,2498.0,,14/05/2020,22:15:16
55,806,455.0,46.0,2498.0,20168486.0,15/05/2020,18:55:43
56,835,479.0,48.0,2498.0,20170087.0,16/05/2020,19:31:52
57,835,479.0,48.0,3264.0,20170087.0,16/05/2020,20:01:49
58,860,494.0,52.0,3383.0,20171687.0,17/05/2020,11:05:24
59,874,512.0,52.0,3483.0,20173287.0,18/05/2020,11:48:06
60,901,529.0,53.0,3483.0,20174887.0,19/05/2020,16:57:23
61,931,543.0,55.0,3483.0,20176487.0,20/05/2020,18:51:42
62,947,558.0,60.0,3483.0,20178087.0,21/05/2020,23:35:30
63,969,560.0,62.0,3483.0,20179688.0,22/05/2020,21:32:30
64,1015,574.0,63.0,3483.0,20181288.0,23/05/2020,19:00:25
65,1030,597.0,65.0,3483.0,20182888.0,24/05/2020,13:01:13
66,1059,604.0,67.0,3483.0,20184488.0,25/05/2020,12:01:24
67,1077,617.0,70.0,3483.0,20186088.0,26/05/2020,13:48:51
68,1116,632.0,70.0,3483.0,20187688.0,27/05/2020,16:34:40
69,1194,652.0,72.0,3483.0,20189289.0,28/05/2020,16:38:38
70,1226,669.0,73.0,3483.0,20190889.0,29/05/2020,17:20:48
71,1250,696.0,76.0,3483.0,20192489.0,30/05/2020,12:58:31
72,1265,716.0,77.0,3483.0,20194089.0,31/05/2020,15:44:12
73,1315,744.0,78.0,3483.0,20195689.0,01/06/2020,16:11:50
74,1351,769.0,78.0,3483.0,20197289.0,02/06/2020,14:55:10
75,1386,788.0,79.0,3483.0,20198890.0,03/06/2020,18:57:43
