,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,07/03/2020,11:13:05
1,3,,,,,07/03/2020,20:46:41
2,4,,,,,09/03/2020,20:50:50
3,5,,,,,10/03/2020,15:07:07
4,6,,,,,11/03/2020,12:13:51
5,7,,,,,12/03/2020,03:34:39
6,9,,,,,12/03/2020,10:42:01
7,12,,,,,13/03/2020,10:52:48
8,12,1.0,,,,13/03/2020,11:23:41
9,13,1.0,,,,14/03/2020,08:46:05
10,18,1.0,,,,14/03/2020,09:39:40
11,21,2.0,,,,15/03/2020,11:37:39
12,30,2.0,,,,16/03/2020,11:53:34
13,38,2.0,,,,17/03/2020,11:50:22
14,48,2.0,,,,18/03/2020,12:00:36
15,53,2.0,,,,19/03/2020,11:18:34
16,64,2.0,,,,20/03/2020,11:39:27
17,73,2.0,,,,21/03/2020,12:01:55
18,90,2.0,,,,22/03/2020,13:23:33
19,107,2.0,,,,23/03/2020,11:43:07
20,110,2.0,,,,24/03/2020,11:08:20
21,129,2.0,,,,25/03/2020,11:40:38
22,134,2.0,,,,26/03/2020,12:38:56
23,139,2.0,,,,27/03/2020,12:08:48
24,149,2.0,,,,28/03/2020,12:00:14
25,151,2.0,,,,29/03/2020,11:26:33
26,156,2.0,,,,30/03/2020,10:45:35
27,169,2.0,,,,31/03/2020,10:58:49
28,188,2.0,,,,01/04/2020,11:05:20
29,196,2.0,,,,02/04/2020,11:59:39
30,202,2.0,,,,03/04/2020,10:48:44
31,202,2.0,,9043.0,,04/04/2020,03:58:25
32,213,2.0,,9703.0,,04/04/2020,10:51:45
33,227,2.0,,10358.0,,05/04/2020,11:59:51
34,227,5.0,,10358.0,,05/04/2020,17:55:13
35,241,5.0,,10358.0,,06/04/2020,11:02:34
36,241,5.0,,10923.0,,06/04/2020,16:33:46
37,293,5.0,,10923.0,,07/04/2020,09:44:01
38,299,5.0,,10923.0,,08/04/2020,10:59:13
39,299,5.0,,12731.0,,08/04/2020,14:01:11
40,299,5.0,1.0,12731.0,,08/04/2020,17:42:22
41,299,16.0,1.0,12731.0,,08/04/2020,20:52:56
42,299,16.0,2.0,12731.0,,09/04/2020,09:06:57
43,337,16.0,2.0,12731.0,,09/04/2020,11:33:21
44,337,16.0,2.0,13732.0,,09/04/2020,15:26:47
45,350,16.0,2.0,13732.0,,10/04/2020,11:00:35
46,350,16.0,3.0,13732.0,,11/04/2020,09:00:08
47,370,16.0,3.0,13732.0,,11/04/2020,10:47:45
48,370,16.0,3.0,16016.0,,11/04/2020,10:56:15
49,370,44.0,3.0,16016.0,,12/04/2020,08:00:04
50,378,44.0,3.0,16016.0,,12/04/2020,10:52:56
51,378,44.0,3.0,17058.0,,12/04/2020,11:56:40
52,384,44.0,3.0,18065.0,,13/04/2020,11:07:56
53,393,44.0,3.0,19121.0,,14/04/2020,11:31:14
54,399,44.0,3.0,19121.0,,15/04/2020,11:00:07
55,399,44.0,3.0,20139.0,,15/04/2020,18:59:52
