,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,,,,09/03/2020,01:59:00
1,3,,,,,10/03/2020,22:31:11
2,6,,,,,14/03/2020,08:46:05
3,10,,,,,14/03/2020,19:54:23
4,15,,,,,16/03/2020,08:10:25
5,15,,1.0,,,17/03/2020,03:07:44
6,19,,1.0,,,18/03/2020,08:05:21
7,23,,1.0,,,18/03/2020,20:27:42
8,32,,1.0,,,20/03/2020,08:58:28
9,37,,1.0,,,21/03/2020,22:25:44
10,44,,1.0,,,23/03/2020,02:30:37
11,53,,1.0,,,23/03/2020,19:48:12
12,57,,1.0,,,24/03/2020,21:25:37
13,66,,1.0,,,25/03/2020,20:33:53
14,81,,1.0,,,27/03/2020,00:30:39
15,93,,1.0,,,28/03/2020,02:31:47
16,119,27.0,2.0,,,31/03/2020,13:05:12
17,128,27.0,3.0,,,31/03/2020,19:31:10
18,135,27.0,3.0,,,01/04/2020,19:20:00
19,138,27.0,3.0,,,02/04/2020,22:06:41
20,143,27.0,3.0,,,03/04/2020,21:34:36
21,145,27.0,3.0,,,04/04/2020,22:22:17
22,149,50.0,4.0,,,05/04/2020,17:30:38
23,151,50.0,4.0,,,06/04/2020,20:57:59
24,152,50.0,4.0,,,07/04/2020,19:54:24
25,154,50.0,6.0,,,08/04/2020,20:43:09
26,155,50.0,6.0,,,10/04/2020,22:29:54
27,157,50.0,6.0,,,13/04/2020,11:07:56
28,158,73.0,8.0,,,15/04/2020,03:07:54
29,163,73.0,12.0,,,18/04/2020,17:59:20
30,163,73.0,14.0,,,21/04/2020,07:00:08
31,164,73.0,14.0,,,22/04/2020,04:12:31
32,170,77.0,14.0,,,24/04/2020,05:30:06
33,175,77.0,14.0,,,25/04/2020,23:20:59
34,175,83.0,14.0,,,29/04/2020,00:04:29
35,178,83.0,14.0,,,30/04/2020,11:27:25
36,179,83.0,14.0,,,01/05/2020,11:00:30
37,181,83.0,14.0,,,04/05/2020,16:48:42
38,182,83.0,14.0,,,06/05/2020,03:30:14
39,183,83.0,14.0,,,07/05/2020,20:30:27
40,182,83.0,14.0,,,07/05/2020,21:17:20
41,183,83.0,14.0,,,07/05/2020,22:02:33
42,186,83.0,14.0,,,08/05/2020,23:30:05
43,187,83.0,14.0,,,11/05/2020,04:00:25
44,187,91.0,14.0,,,12/05/2020,15:39:30
45,189,91.0,14.0,,,14/05/2020,00:32:43
46,192,91.0,14.0,,375301.0,16/05/2020,00:03:01
47,197,91.0,14.0,,375296.0,22/05/2020,18:32:01
48,197,91.0,14.0,,375292.0,27/05/2020,16:10:09
49,200,98.0,14.0,,375290.0,29/05/2020,23:30:36
50,202,98.0,14.0,,375285.0,05/06/2020,21:37:32
51,221,98.0,14.0,,375274.0,18/06/2020,11:33:02
52,236,98.0,14.0,,375274.0,19/06/2020,21:28:44
53,242,98.0,14.0,,375267.0,27/06/2020,00:21:44
54,249,98.0,14.0,,375263.0,03/07/2020,21:30:05
55,255,98.0,15.0,,375257.0,10/07/2020,22:32:53
56,262,98.0,15.0,,375251.0,18/07/2020,19:03:20
57,262,98.0,15.0,12227.0,375250.0,19/07/2020,23:59:33
58,269,98.0,15.0,12227.0,375246.0,24/07/2020,21:02:27
59,276,98.0,15.0,12227.0,375236.0,06/08/2020,16:50:33
60,336,98.0,16.0,12227.0,375235.0,07/08/2020,23:59:33
61,464,98.0,16.0,12227.0,375221.0,24/08/2020,00:14:21
62,596,98.0,16.0,12227.0,375219.0,27/08/2020,00:40:02
63,615,98.0,16.0,12942.0,375215.0,01/09/2020,00:32:12
64,747,98.0,18.0,12942.0,375215.0,01/09/2020,22:04:51
65,754,98.0,18.0,13253.0,375213.0,03/09/2020,01:11:18
66,758,98.0,18.0,13395.0,375212.0,05/09/2020,00:19:43
67,939,98.0,18.0,16244.0,375209.0,09/09/2020,00:39:10
68,1122,98.0,18.0,19534.0,375203.0,16/09/2020,00:42:21
69,1290,98.0,20.0,34717.0,375198.0,22/09/2020,23:59:35
70,1543,98.0,21.0,36331.0,375192.0,30/09/2020,16:32:01
71,1851,98.0,22.0,39379.0,375186.0,07/10/2020,00:23:06
72,2257,98.0,24.0,42504.0,375182.0,13/10/2020,23:59:55
73,3552,98.0,30.0,50071.0,375170.0,28/10/2020,00:44:27
