,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,14/03/2020,01:44:34
1,2,,,,,18/03/2020,15:30:25
2,3,,,,,26/03/2020,10:11:26
3,5,,,,,28/03/2020,02:31:47
4,5,2.0,,,,29/03/2020,23:24:59
5,5,2.0,1.0,,,30/03/2020,21:54:32
6,6,2.0,1.0,,,30/03/2020,23:04:02
7,6,2.0,1.0,67.0,,04/04/2020,17:27:07
8,7,2.0,1.0,67.0,,09/04/2020,11:55:11
9,7,2.0,1.0,258.0,,10/04/2020,00:00:05
10,7,2.0,1.0,380.0,,10/04/2020,22:29:54
11,7,2.0,1.0,496.0,,12/04/2020,23:00:24
12,7,2.0,1.0,527.0,,13/04/2020,23:00:06
13,7,2.0,1.0,593.0,,15/04/2020,00:40:18
14,7,2.0,1.0,713.0,,16/04/2020,12:36:35
15,7,2.0,1.0,857.0,,18/04/2020,11:00:05
16,7,6.0,1.0,913.0,,18/04/2020,17:59:20
17,7,6.0,1.0,969.0,,22/04/2020,08:00:06
18,7,6.0,1.0,1032.0,,24/04/2020,19:30:20
19,8,6.0,1.0,1032.0,,29/04/2020,08:33:02
20,8,6.0,1.0,1842.0,,06/05/2020,12:31:06
21,8,6.0,1.0,2015.0,,12/05/2020,15:39:30
22,9,6.0,1.0,2015.0,,12/05/2020,20:30:16
23,9,6.0,2.0,2015.0,,13/05/2020,14:38:14
24,15,6.0,2.0,2015.0,,13/05/2020,22:00:32
25,16,6.0,2.0,2015.0,,14/05/2020,06:47:18
26,20,7.0,2.0,2015.0,,14/05/2020,22:15:16
27,26,7.0,2.0,2015.0,4632582.0,15/05/2020,12:57:02
28,29,7.0,3.0,2015.0,4632917.0,16/05/2020,00:03:01
29,40,7.0,3.0,2015.0,4632917.0,16/05/2020,19:31:52
30,40,7.0,4.0,2015.0,4632917.0,16/05/2020,20:01:49
31,62,7.0,4.0,2015.0,4633252.0,17/05/2020,19:32:22
32,62,7.0,4.0,2583.0,4633587.0,18/05/2020,18:59:22
33,81,7.0,4.0,2583.0,4633587.0,18/05/2020,20:18:41
34,131,7.0,4.0,2583.0,4633922.0,19/05/2020,19:31:27
35,141,7.0,4.0,2583.0,4634593.0,21/05/2020,07:23:54
36,173,7.0,4.0,2583.0,4634593.0,21/05/2020,19:46:04
37,173,7.0,5.0,2583.0,4634593.0,21/05/2020,22:31:38
38,200,7.0,6.0,2583.0,4634928.0,22/05/2020,19:03:35
39,227,7.0,6.0,2583.0,4635263.0,23/05/2020,22:44:32
40,227,15.0,6.0,2583.0,4635598.0,24/05/2020,19:00:41
41,237,15.0,6.0,2583.0,4635598.0,24/05/2020,20:30:30
42,262,15.0,9.0,2583.0,4635933.0,25/05/2020,19:00:04
43,268,15.0,13.0,2583.0,4636268.0,26/05/2020,19:00:18
44,292,15.0,16.0,2583.0,4636603.0,27/05/2020,20:31:32
45,346,15.0,19.0,2583.0,4636938.0,28/05/2020,19:12:10
46,423,21.0,20.0,2583.0,4637273.0,29/05/2020,19:21:00
47,483,21.0,20.0,2583.0,4637608.0,30/05/2020,19:33:06
48,483,21.0,20.0,7654.0,4637608.0,30/05/2020,23:29:27
49,530,27.0,23.0,7654.0,4637943.0,31/05/2020,18:51:11
50,588,27.0,23.0,7654.0,4638278.0,01/06/2020,18:59:44
51,668,55.0,31.0,7654.0,4638613.0,02/06/2020,19:06:53
52,745,57.0,34.0,7654.0,4638948.0,03/06/2020,19:18:54
53,745,57.0,36.0,7654.0,4639283.0,04/06/2020,18:15:23
54,784,65.0,39.0,7654.0,4639283.0,04/06/2020,20:21:20
55,883,69.0,43.0,7654.0,4639619.0,05/06/2020,18:51:47
56,947,104.0,49.0,7654.0,4639954.0,06/06/2020,19:27:50
57,1049,108.0,55.0,7654.0,4640289.0,07/06/2020,20:03:45
58,1104,119.0,59.0,7654.0,4640624.0,08/06/2020,21:47:35
59,1162,139.0,61.0,7654.0,4640959.0,09/06/2020,18:52:13
60,1283,142.0,71.0,7654.0,4641294.0,10/06/2020,20:02:35
61,1439,250.0,74.0,7654.0,4641629.0,11/06/2020,20:04:25
62,1572,278.0,81.0,7654.0,4641964.0,12/06/2020,19:54:44
63,1682,311.0,83.0,7654.0,4642299.0,13/06/2020,19:32:47
64,1783,332.0,87.0,7654.0,4642634.0,15/06/2020,00:00:05
65,1783,332.0,87.0,13842.0,4642969.0,15/06/2020,00:54:46
66,1887,360.0,91.0,13842.0,4642969.0,15/06/2020,19:03:30
67,2057,373.0,93.0,13842.0,4643304.0,16/06/2020,19:03:31
68,2223,427.0,95.0,13842.0,4643639.0,17/06/2020,20:01:55
69,2424,550.0,97.0,13842.0,4643974.0,18/06/2020,20:45:10
70,2621,653.0,102.0,13842.0,4644309.0,19/06/2020,19:00:47
71,2813,696.0,108.0,13842.0,4644645.0,20/06/2020,18:59:53
72,2984,811.0,111.0,13842.0,4644980.0,21/06/2020,19:03:32
73,3121,905.0,112.0,13842.0,4645315.0,22/06/2020,19:13:44
74,3292,963.0,114.0,13842.0,4645650.0,23/06/2020,19:03:00
75,3519,1074.0,116.0,13842.0,4645985.0,24/06/2020,18:33:38
76,3739,1225.0,119.0,13842.0,4646320.0,25/06/2020,23:30:22
77,3907,1280.0,120.0,13842.0,4646655.0,26/06/2020,20:01:35
78,4025,1344.0,121.0,13842.0,4646990.0,27/06/2020,20:31:57
79,4149,1419.0,126.0,13842.0,4647325.0,28/06/2020,18:32:02
80,4237,1497.0,128.0,13842.0,4647660.0,29/06/2020,19:01:41
81,4363,1622.0,129.0,13842.0,4647995.0,30/06/2020,19:03:31
82,4472,1677.0,129.0,13842.0,4648330.0,01/07/2020,19:00:11
83,4606,1727.0,129.0,13842.0,4648665.0,02/07/2020,19:23:23
84,4705,1765.0,129.0,13842.0,4649000.0,03/07/2020,19:31:07
85,4827,1805.0,129.0,13842.0,4649335.0,04/07/2020,23:00:19
86,4879,1844.0,130.0,13842.0,4649671.0,05/07/2020,23:12:40
87,4948,1896.0,133.0,13842.0,4650006.0,06/07/2020,19:39:14
88,5024,1944.0,135.0,13842.0,4650341.0,07/07/2020,19:14:17
89,5087,1994.0,139.0,13842.0,4650676.0,08/07/2020,20:00:23
90,5126,2026.0,144.0,13842.0,4651011.0,09/07/2020,22:30:40
91,5203,2111.0,146.0,13842.0,4651346.0,10/07/2020,19:33:58
92,5275,2160.0,147.0,13842.0,4651681.0,11/07/2020,21:38:44
93,5355,2363.0,147.0,13842.0,4652016.0,12/07/2020,23:00:49
94,5446,2501.0,147.0,13842.0,4652351.0,13/07/2020,19:42:40
95,5518,2664.0,147.0,13842.0,4652686.0,14/07/2020,18:57:42
96,5564,2830.0,149.0,13842.0,4653356.0,16/07/2020,00:16:24
97,5659,2993.0,150.0,13842.0,4653356.0,16/07/2020,23:01:10
98,5710,3153.0,151.0,13842.0,4653691.0,17/07/2020,18:41:10
99,5813,3279.0,153.0,13842.0,4654026.0,18/07/2020,22:00:33
100,5873,3436.0,155.0,13842.0,4654361.0,19/07/2020,19:03:36
101,5923,3632.0,155.0,13842.0,4654697.0,20/07/2020,23:07:28
102,5985,3826.0,155.0,57253.0,4655032.0,21/07/2020,23:00:06
103,6027,3977.0,155.0,57253.0,4655367.0,22/07/2020,23:16:42
104,6067,4086.0,156.0,57253.0,4655702.0,23/07/2020,21:03:35
105,6116,4206.0,156.0,57253.0,4656037.0,24/07/2020,18:51:03
106,6151,4299.0,156.0,57253.0,4656372.0,25/07/2020,23:02:39
107,6171,4430.0,156.0,57253.0,4656707.0,26/07/2020,23:47:08
108,6208,4653.0,156.0,57253.0,4657042.0,27/07/2020,23:11:50
109,6249,4683.0,156.0,57253.0,4657377.0,28/07/2020,19:00:11
110,6273,4776.0,156.0,57253.0,4657712.0,29/07/2020,23:01:08
111,6295,4889.0,157.0,57253.0,4658047.0,30/07/2020,19:50:58
112,6310,4962.0,157.0,57253.0,4658382.0,31/07/2020,22:31:19
113,6319,5043.0,157.0,57253.0,4658717.0,01/08/2020,19:26:46
114,6323,5115.0,157.0,57387.0,4659387.0,03/08/2020,00:01:12
115,6382,5174.0,157.0,57387.0,4659387.0,03/08/2020,20:20:12
116,6418,5209.0,157.0,57387.0,4659723.0,04/08/2020,20:32:04
117,6444,5291.0,157.0,57387.0,4660058.0,05/08/2020,20:02:25
118,6498,5443.0,157.0,57387.0,4660728.0,07/08/2020,23:21:54
119,6510,5527.0,157.0,57387.0,4661063.0,08/08/2020,20:40:24
120,6523,5527.0,157.0,57387.0,4661398.0,09/08/2020,20:33:53
121,6555,5570.0,157.0,57604.0,4661733.0,10/08/2020,23:59:25
122,6598,5704.0,157.0,57604.0,4662068.0,11/08/2020,22:54:27
123,6622,5741.0,157.0,58147.0,4662403.0,12/08/2020,23:59:30
124,6653,5843.0,157.0,58147.0,4662738.0,13/08/2020,22:51:22
125,6676,5889.0,157.0,58147.0,4663073.0,14/08/2020,22:05:22
126,6693,5928.0,157.0,58147.0,4663408.0,15/08/2020,22:48:57
127,6701,5985.0,157.0,58147.0,4663743.0,16/08/2020,21:01:16
128,6762,6018.0,157.0,58147.0,4664078.0,17/08/2020,23:46:27
129,6789,6051.0,157.0,68872.0,4664413.0,18/08/2020,22:40:29
130,6829,6094.0,158.0,68872.0,4664749.0,19/08/2020,20:30:47
131,6848,6123.0,158.0,68872.0,4665084.0,20/08/2020,19:36:05
132,6885,6186.0,158.0,68872.0,4665419.0,21/08/2020,23:15:07
133,6894,6203.0,158.0,68872.0,4665754.0,22/08/2020,20:30:53
134,6905,6232.0,158.0,68872.0,4666089.0,23/08/2020,22:37:34
135,6928,6282.0,158.0,69161.0,4666424.0,24/08/2020,22:29:15
136,6960,6321.0,158.0,69554.0,4666759.0,25/08/2020,23:22:35
137,6977,6356.0,158.0,69554.0,4667094.0,26/08/2020,22:06:39
138,6993,6381.0,158.0,69554.0,4667429.0,27/08/2020,20:38:46
139,7012,6407.0,158.0,69937.0,4667764.0,28/08/2020,23:25:52
140,7016,6430.0,159.0,69937.0,4668434.0,30/08/2020,20:51:58
141,7048,6464.0,159.0,69937.0,4668769.0,31/08/2020,20:18:50
142,7075,6464.0,159.0,69937.0,4669104.0,01/09/2020,19:13:55
143,7089,6548.0,160.0,69937.0,4669439.0,02/09/2020,22:21:00
144,7106,6588.0,160.0,69937.0,4669775.0,03/09/2020,21:24:50
145,7126,6623.0,160.0,69937.0,4670110.0,04/09/2020,23:59:57
146,7134,6658.0,160.0,69937.0,4670445.0,05/09/2020,20:22:03
147,7142,6669.0,160.0,69937.0,4670780.0,06/09/2020,21:24:16
148,7165,6681.0,160.0,69937.0,4671115.0,07/09/2020,23:59:30
149,7191,6701.0,161.0,70257.0,4671785.0,09/09/2020,23:26:03
150,7222,6758.0,161.0,70257.0,4672120.0,10/09/2020,20:00:57
151,7266,6786.0,161.0,70257.0,4672790.0,12/09/2020,00:01:14
