,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,3,,,,,18/03/2020,18:51:01
1,7,,,,,19/03/2020,19:15:23
2,12,,,,,20/03/2020,11:39:27
3,12,,1.0,,,21/03/2020,07:18:44
4,14,,1.0,,,21/03/2020,07:50:45
5,18,,1.0,,,22/03/2020,12:05:43
6,24,,2.0,,,22/03/2020,15:47:55
7,28,,2.0,,,22/03/2020,20:30:15
8,36,,2.0,,,23/03/2020,19:00:20
9,42,,2.0,,,24/03/2020,15:52:26
10,48,,2.0,,,25/03/2020,09:30:29
11,52,,2.0,,,26/03/2020,07:51:29
12,81,,2.0,,,26/03/2020,14:48:39
13,94,,2.0,,,27/03/2020,15:09:55
14,102,,2.0,,,28/03/2020,15:03:57
15,107,,2.0,,,29/03/2020,15:30:35
16,107,,3.0,,,29/03/2020,20:11:22
17,110,,3.0,,,30/03/2020,05:24:45
18,128,,3.0,,,30/03/2020,15:15:39
19,143,,3.0,,,31/03/2020,07:46:51
20,143,,4.0,,,31/03/2020,14:55:06
21,143,,5.0,,,31/03/2020,19:31:10
22,147,,5.0,,,01/04/2020,08:50:14
23,154,,5.0,,,01/04/2020,14:34:33
24,158,,5.0,,,01/04/2020,16:47:40
25,158,,6.0,,,01/04/2020,17:50:38
26,161,,6.0,,,01/04/2020,19:05:12
27,161,,7.0,,,02/04/2020,06:12:01
28,169,,7.0,,,02/04/2020,15:18:57
29,186,,7.0,,,03/04/2020,14:59:10
30,196,,7.0,,,04/04/2020,08:59:18
31,196,7.0,7.0,,,04/04/2020,20:49:25
32,227,7.0,7.0,,,05/04/2020,07:48:08
33,244,7.0,7.0,,,06/04/2020,14:20:56
34,244,7.0,7.0,4913.0,,06/04/2020,16:40:03
35,268,8.0,7.0,4913.0,,07/04/2020,14:32:01
36,273,19.0,7.0,4913.0,,08/04/2020,14:30:17
37,314,19.0,7.0,4913.0,,09/04/2020,14:32:13
38,314,23.0,7.0,4913.0,,09/04/2020,15:26:47
39,314,23.0,7.0,6730.0,,09/04/2020,18:30:40
40,314,23.0,9.0,6730.0,,10/04/2020,11:57:25
41,318,23.0,9.0,6730.0,,10/04/2020,16:07:54
42,319,28.0,9.0,6730.0,,11/04/2020,14:37:56
43,319,28.0,9.0,7077.0,,12/04/2020,06:37:56
44,324,42.0,9.0,7077.0,,12/04/2020,15:07:56
45,324,51.0,9.0,7077.0,,14/04/2020,15:00:08
46,324,51.0,9.0,8279.0,,14/04/2020,18:07:34
47,324,65.0,9.0,8279.0,,15/04/2020,14:52:21
48,324,81.0,9.0,8279.0,,16/04/2020,15:46:19
49,324,108.0,9.0,9755.0,,17/04/2020,14:31:56
50,325,108.0,9.0,9755.0,,18/04/2020,14:22:06
51,325,180.0,9.0,9755.0,,18/04/2020,14:47:53
52,328,208.0,9.0,9755.0,,19/04/2020,15:00:07
53,328,224.0,9.0,9755.0,,20/04/2020,15:59:50
54,328,243.0,9.0,9755.0,,21/04/2020,15:40:51
55,329,261.0,9.0,9755.0,,22/04/2020,16:00:08
56,329,261.0,9.0,12300.0,,23/04/2020,07:00:05
57,331,266.0,9.0,12835.0,,23/04/2020,17:00:34
58,331,285.0,9.0,12835.0,,24/04/2020,19:30:20
59,331,285.0,9.0,13374.0,,24/04/2020,23:49:16
60,331,295.0,9.0,13374.0,,25/04/2020,17:30:05
61,332,299.0,9.0,14445.0,,26/04/2020,14:39:02
62,334,302.0,9.0,14445.0,,27/04/2020,14:32:07
63,334,302.0,10.0,14445.0,,28/04/2020,02:05:53
64,334,303.0,10.0,14445.0,,28/04/2020,13:54:54
65,334,306.0,10.0,14445.0,,29/04/2020,16:35:36
66,332,306.0,10.0,14445.0,,30/04/2020,00:32:12
67,332,310.0,10.0,14445.0,,30/04/2020,14:03:28
68,332,310.0,10.0,16028.0,,30/04/2020,15:58:07
69,332,312.0,10.0,16028.0,,01/05/2020,16:51:59
70,332,314.0,10.0,16028.0,,02/05/2020,15:41:59
71,332,315.0,10.0,16028.0,,03/05/2020,13:30:04
72,332,315.0,10.0,18398.0,,04/05/2020,11:29:18
73,332,316.0,10.0,18398.0,,04/05/2020,13:30:05
74,332,316.0,10.0,18959.0,,05/05/2020,04:50:42
75,332,319.0,10.0,18959.0,,05/05/2020,14:11:06
76,332,320.0,10.0,18959.0,,06/05/2020,13:27:50
77,332,320.0,10.0,55494.0,,06/05/2020,14:26:13
78,332,320.0,10.0,60466.0,,07/05/2020,20:30:27
79,332,320.0,10.0,55494.0,,07/05/2020,21:17:20
80,332,320.0,10.0,60466.0,,07/05/2020,22:14:18
81,332,320.0,10.0,69773.0,,09/05/2020,18:30:05
82,332,322.0,10.0,69773.0,,11/05/2020,13:32:25
83,332,322.0,10.0,86887.0,1271513.0,17/05/2020,12:44:50
84,332,322.0,10.0,89814.0,1271519.0,18/05/2020,15:11:45
85,332,322.0,10.0,92764.0,1271525.0,19/05/2020,14:36:04
86,332,322.0,10.0,95666.0,1271531.0,20/05/2020,15:00:59
87,332,322.0,10.0,98075.0,1271536.0,21/05/2020,07:23:54
88,332,322.0,10.0,101052.0,1271542.0,22/05/2020,15:40:17
89,332,322.0,10.0,102247.0,1271554.0,24/05/2020,15:02:48
90,334,322.0,10.0,102247.0,1271554.0,24/05/2020,16:02:29
91,334,322.0,10.0,104639.0,1271565.0,26/05/2020,06:04:53
92,334,322.0,10.0,108501.0,1271571.0,27/05/2020,15:30:05
93,334,322.0,10.0,111358.0,1271577.0,28/05/2020,18:26:03
94,335,322.0,10.0,111358.0,1271582.0,29/05/2020,14:54:48
95,335,322.0,10.0,114236.0,1271582.0,29/05/2020,18:27:57
96,335,322.0,10.0,116937.0,1271588.0,30/05/2020,17:56:56
97,335,322.0,10.0,120358.0,1271600.0,01/06/2020,15:19:59
98,335,322.0,10.0,122008.0,1271605.0,02/06/2020,14:36:27
99,335,322.0,10.0,124227.0,1271617.0,04/06/2020,04:48:40
100,337,322.0,10.0,129768.0,1271623.0,05/06/2020,15:27:41
101,337,324.0,10.0,129768.0,1271623.0,05/06/2020,21:10:16
102,337,324.0,10.0,131516.0,1271628.0,06/06/2020,15:34:04
103,337,324.0,10.0,133883.0,1271640.0,08/06/2020,16:43:34
104,337,324.0,10.0,137789.0,1271651.0,10/06/2020,05:52:01
105,337,325.0,10.0,137789.0,1271651.0,10/06/2020,23:30:04
106,337,325.0,10.0,152194.0,1271697.0,18/06/2020,06:19:13
107,337,326.0,10.0,152194.0,1271709.0,20/06/2020,21:31:43
108,337,326.0,10.0,160124.0,1271720.0,22/06/2020,04:33:36
109,340,326.0,10.0,160124.0,1271720.0,22/06/2020,14:32:14
110,340,326.0,10.0,164182.0,1271720.0,22/06/2020,15:58:02
111,341,326.0,10.0,164182.0,1271732.0,24/06/2020,14:50:57
112,341,326.0,10.0,171792.0,1271732.0,24/06/2020,16:25:02
113,341,326.0,10.0,186539.0,1271772.0,01/07/2020,16:29:51
114,341,330.0,10.0,186845.0,1271778.0,02/07/2020,14:15:15
115,342,330.0,10.0,186845.0,1271801.0,06/07/2020,15:00:39
116,342,330.0,10.0,193561.0,1271807.0,07/07/2020,05:33:07
