,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,14/03/2020,19:54:23
1,3,,,,,17/03/2020,23:03:26
2,4,,,,,19/03/2020,23:02:39
3,6,,,,,20/03/2020,15:30:18
4,7,,,,,21/03/2020,03:00:05
5,11,,,,,21/03/2020,22:25:44
6,21,,,,,23/03/2020,09:30:08
7,24,,,,,23/03/2020,19:48:12
8,36,,,,,24/03/2020,08:31:04
9,50,,,,,27/03/2020,10:29:23
10,63,,,,,28/03/2020,17:21:23
11,82,10.0,,,,30/03/2020,10:45:35
12,94,10.0,1.0,,,31/03/2020,13:05:12
13,101,10.0,1.0,,,01/04/2020,22:45:28
14,116,10.0,1.0,,,02/04/2020,10:05:12
15,128,10.0,2.0,,,03/04/2020,19:03:19
16,128,10.0,2.0,479.0,,04/04/2020,03:58:25
17,134,14.0,2.0,479.0,,04/04/2020,17:03:36
18,147,14.0,2.0,479.0,,05/04/2020,23:00:04
19,164,15.0,2.0,479.0,,07/04/2020,00:02:09
20,171,22.0,2.0,1100.0,,07/04/2020,23:51:10
21,184,22.0,2.0,1100.0,,09/04/2020,00:49:25
22,184,26.0,2.0,1100.0,,09/04/2020,23:28:07
23,186,26.0,2.0,1100.0,,10/04/2020,06:17:29
24,191,50.0,2.0,1300.0,,10/04/2020,13:07:56
25,196,59.0,3.0,1350.0,,11/04/2020,15:41:22
26,207,59.0,3.0,1400.0,,13/04/2020,11:07:56
27,217,69.0,3.0,1500.0,,14/04/2020,14:17:56
28,233,69.0,3.0,1500.0,,16/04/2020,13:00:09
29,245,117.0,4.0,1700.0,,17/04/2020,11:00:04
30,254,117.0,4.0,1800.0,,18/04/2020,14:22:06
31,271,117.0,4.0,1850.0,,19/04/2020,16:00:05
32,284,117.0,4.0,2000.0,,21/04/2020,00:07:03
33,311,117.0,4.0,2000.0,,21/04/2020,18:45:51
34,326,125.0,4.0,2100.0,,22/04/2020,16:00:08
35,354,144.0,4.0,2200.0,,24/04/2020,11:30:42
36,380,144.0,4.0,2200.0,,25/04/2020,23:20:59
37,401,144.0,4.0,2500.0,,26/04/2020,11:48:20
38,460,235.0,4.0,2700.0,,28/04/2020,13:54:54
39,539,235.0,4.0,3000.0,,30/04/2020,11:07:36
40,650,235.0,6.0,3000.0,,04/05/2020,00:30:34
41,686,352.0,6.0,3400.0,,04/05/2020,16:35:27
42,739,352.0,9.0,3400.0,,05/05/2020,22:31:03
43,854,352.0,10.0,4000.0,,07/05/2020,18:56:55
44,988,492.0,11.0,4000.0,,09/05/2020,18:43:51
45,1023,492.0,11.0,4000.0,,10/05/2020,15:30:09
46,1095,492.0,12.0,4000.0,,12/05/2020,20:30:16
47,1143,627.0,14.0,4800.0,,13/05/2020,14:38:14
48,1210,627.0,16.0,5000.0,,14/05/2020,22:15:16
49,1258,627.0,16.0,5200.0,271922.0,16/05/2020,10:56:02
50,1312,627.0,18.0,5200.0,271922.0,16/05/2020,17:10:23
51,1342,627.0,18.0,5200.0,271940.0,17/05/2020,17:24:15
52,1370,627.0,18.0,5200.0,271958.0,18/05/2020,18:59:22
53,1475,894.0,19.0,5200.0,271994.0,20/05/2020,15:00:59
54,1521,894.0,19.0,5200.0,272030.0,22/05/2020,18:32:01
55,1587,894.0,20.0,5200.0,272066.0,24/05/2020,17:32:01
56,1609,894.0,20.0,5200.0,272084.0,25/05/2020,12:01:24
57,1634,894.0,20.0,5200.0,272102.0,26/05/2020,16:26:04
58,1645,1314.0,20.0,5200.0,272120.0,27/05/2020,20:46:11
59,1670,1315.0,21.0,5200.0,272138.0,28/05/2020,13:42:28
60,1699,1385.0,21.0,5200.0,272156.0,29/05/2020,14:54:48
61,1934,1473.0,24.0,5200.0,272210.0,01/06/2020,19:14:01
62,1986,1473.0,24.0,5200.0,272228.0,02/06/2020,14:36:27
63,1986,1473.0,24.0,7600.0,272228.0,02/06/2020,23:57:34
64,1993,1523.0,24.0,7600.0,272246.0,03/06/2020,15:26:43
65,2058,1523.0,25.0,7600.0,272264.0,04/06/2020,14:42:03
66,2079,1523.0,25.0,7600.0,272282.0,05/06/2020,18:37:48
67,2079,1523.0,25.0,8150.0,272282.0,05/06/2020,22:27:12
68,2151,1654.0,25.0,8150.0,272336.0,08/06/2020,14:43:26
69,2175,1654.0,28.0,8150.0,272354.0,09/06/2020,17:32:33
70,2226,1654.0,28.0,8800.0,272372.0,10/06/2020,14:36:02
71,2240,1654.0,28.0,8800.0,272390.0,11/06/2020,14:36:22
72,2268,1790.0,28.0,8800.0,272408.0,12/06/2020,19:00:04
73,2282,1790.0,28.0,8800.0,272427.0,13/06/2020,19:32:47
74,2298,1790.0,29.0,8800.0,272445.0,14/06/2020,23:19:21
75,2310,2058.0,29.0,8800.0,272463.0,15/06/2020,19:03:30
76,2333,2058.0,29.0,8800.0,272481.0,16/06/2020,17:16:14
77,2345,2066.0,29.0,8800.0,272499.0,17/06/2020,23:30:05
78,2383,2066.0,29.0,8800.0,272517.0,18/06/2020,14:30:05
79,2394,2066.0,29.0,8800.0,272535.0,19/06/2020,17:45:18
80,2404,2066.0,31.0,8800.0,272553.0,20/06/2020,16:30:17
81,2434,2188.0,31.0,8800.0,272589.0,22/06/2020,14:00:04
82,2467,2218.0,32.0,8800.0,272625.0,24/06/2020,19:02:22
83,2508,2218.0,32.0,8800.0,272643.0,25/06/2020,14:41:16
84,2560,2325.0,32.0,8800.0,272715.0,29/06/2020,19:01:41
85,2603,2325.0,35.0,8800.0,272733.0,30/06/2020,14:36:13
86,2643,2341.0,35.0,8800.0,272751.0,01/07/2020,16:29:51
87,2650,2341.0,35.0,8800.0,272769.0,02/07/2020,17:33:08
88,2661,2375.0,35.0,8800.0,272787.0,03/07/2020,15:30:05
89,2661,2375.0,34.0,8800.0,272823.0,05/07/2020,23:59:55
90,2679,2375.0,34.0,8800.0,272841.0,06/07/2020,19:00:34
91,2688,2446.0,34.0,8800.0,272859.0,07/07/2020,13:01:47
92,2702,2480.0,37.0,8800.0,272895.0,09/07/2020,14:02:43
93,2711,2480.0,37.0,8800.0,272913.0,10/07/2020,18:01:23
94,2724,2480.0,37.0,8800.0,272968.0,13/07/2020,19:42:40
95,2724,2480.0,37.0,13000.0,272986.0,14/07/2020,10:34:34
96,2743,2581.0,37.0,13000.0,273004.0,15/07/2020,23:42:00
97,2778,2581.0,37.0,13000.0,273022.0,16/07/2020,23:32:01
98,2782,2591.0,37.0,13000.0,273040.0,17/07/2020,15:03:40
99,2808,2591.0,38.0,13000.0,273094.0,20/07/2020,15:59:26
100,2824,2614.0,38.0,13000.0,273130.0,22/07/2020,00:00:08
101,2839,2614.0,38.0,13000.0,273130.0,22/07/2020,17:03:15
102,2862,2650.0,38.0,13000.0,273148.0,23/07/2020,17:54:15
103,2900,2672.0,38.0,13000.0,273238.0,28/07/2020,00:13:38
104,2905,2672.0,39.0,13000.0,273256.0,29/07/2020,15:20:00
105,2962,2721.0,39.0,13000.0,273274.0,30/07/2020,15:01:54
106,3008,2738.0,39.0,13000.0,273346.0,03/08/2020,15:21:24
107,3023,2738.0,39.0,13000.0,273364.0,04/08/2020,20:32:04
108,3031,2738.0,39.0,13000.0,273382.0,05/08/2020,18:02:45
109,3042,2738.0,39.0,13000.0,273400.0,06/08/2020,18:18:51
110,3068,2835.0,39.0,13000.0,273419.0,07/08/2020,22:53:45
111,3091,2835.0,39.0,13000.0,273491.0,11/08/2020,22:54:27
112,3119,2940.0,39.0,13000.0,273527.0,13/08/2020,17:29:08
113,3160,2964.0,39.0,13000.0,273599.0,17/08/2020,20:16:27
114,3237,2964.0,39.0,13000.0,273671.0,21/08/2020,23:15:07
115,3301,2964.0,40.0,13000.0,273779.0,27/08/2020,19:34:52
116,3374,2964.0,40.0,13000.0,273905.0,03/09/2020,23:59:31
117,3541,2964.0,40.0,13000.0,274176.0,18/09/2020,00:27:13
118,3779,2964.0,42.0,13000.0,274392.0,30/09/2020,16:32:01
119,3892,2964.0,42.0,13000.0,274483.0,05/10/2020,16:18:12
120,3989,2964.0,43.0,13000.0,274555.0,09/10/2020,16:16:52
121,4030,2964.0,43.0,13000.0,274609.0,12/10/2020,14:14:17
122,4159,2964.0,43.0,13000.0,274735.0,17/10/2020,18:13:13
123,4203,2964.0,44.0,13000.0,274771.0,21/10/2020,18:24:38
