,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,28/02/2020,13:49:41
1,2,,,,,28/02/2020,18:00:06
2,3,,,,,29/02/2020,05:33:38
3,4,,,,,01/03/2020,00:55:00
4,5,,,,,01/03/2020,21:11:25
5,6,,,,,03/03/2020,01:18:59
6,6,1.0,,,,03/03/2020,01:27:24
7,7,1.0,,,,08/03/2020,03:53:53
8,7,4.0,,,,10/03/2020,01:34:54
9,8,4.0,,,,11/03/2020,12:13:51
10,12,4.0,,,,12/03/2020,03:34:39
11,15,4.0,,,,14/03/2020,01:11:47
12,26,4.0,,,,14/03/2020,14:52:51
13,41,4.0,,,,15/03/2020,06:55:44
14,43,4.0,,,,15/03/2020,19:57:34
15,53,4.0,,,,16/03/2020,06:39:21
16,82,4.0,,,,17/03/2020,04:32:23
17,93,4.0,,,,18/03/2020,05:42:07
18,118,4.0,,,,19/03/2020,03:50:47
19,118,4.0,1.0,,,19/03/2020,07:52:18
20,164,4.0,1.0,,,20/03/2020,01:48:37
21,203,4.0,2.0,,,21/03/2020,04:30:09
22,251,4.0,2.0,,,22/03/2020,03:35:09
23,316,4.0,2.0,,,23/03/2020,05:16:51
24,316,4.0,3.0,,,23/03/2020,23:04:15
25,367,4.0,4.0,,,24/03/2020,02:26:03
26,405,4.0,5.0,,,25/03/2020,07:02:57
27,475,4.0,6.0,,,26/03/2020,06:15:33
28,585,4.0,6.0,,,27/03/2020,03:01:16
29,585,4.0,8.0,,,27/03/2020,03:49:27
30,717,4.0,12.0,,,28/03/2020,02:31:47
31,848,4.0,16.0,,,29/03/2020,01:31:48
32,848,35.0,16.0,,,30/03/2020,02:00:57
33,993,35.0,20.0,,,30/03/2020,04:38:33
34,1094,35.0,28.0,,,31/03/2020,01:42:03
35,1215,35.0,29.0,,,01/04/2020,02:30:05
36,1378,35.0,37.0,,,02/04/2020,02:26:27
37,1510,35.0,50.0,,,03/04/2020,02:01:43
38,1510,633.0,50.0,,,03/04/2020,02:55:38
39,1688,633.0,60.0,,,04/04/2020,01:47:29
40,1688,633.0,60.0,15668.0,,04/04/2020,03:58:25
41,1890,633.0,79.0,15668.0,,05/04/2020,01:30:30
42,1890,633.0,79.0,17184.0,,06/04/2020,00:56:25
43,2143,633.0,94.0,17184.0,,06/04/2020,01:51:58
44,2143,633.0,94.0,18034.0,,06/04/2020,05:00:04
45,2439,633.0,125.0,20475.0,,07/04/2020,01:23:37
46,2785,633.0,125.0,20475.0,,08/04/2020,01:54:47
47,2785,633.0,141.0,20475.0,,08/04/2020,02:02:52
48,2785,633.0,141.0,25410.0,,08/04/2020,02:31:55
49,3181,633.0,141.0,25410.0,,09/04/2020,02:07:56
50,3181,633.0,174.0,25410.0,,09/04/2020,02:19:03
51,3441,633.0,194.0,25410.0,,10/04/2020,02:20:02
52,3441,633.0,194.0,31492.0,,10/04/2020,04:53:42
53,3844,633.0,233.0,31492.0,,11/04/2020,02:00:11
54,4219,1772.0,273.0,35479.0,,12/04/2020,01:37:56
55,4661,1843.0,296.0,36594.0,,13/04/2020,11:07:56
56,5014,1964.0,332.0,37395.0,,14/04/2020,01:56:45
57,5399,2125.0,406.0,40091.0,,15/04/2020,03:07:54
58,5847,2125.0,449.0,40091.0,,16/04/2020,00:38:00
59,6297,2125.0,486.0,40091.0,,16/04/2020,23:37:57
60,6875,2125.0,546.0,40091.0,,18/04/2020,01:00:05
61,6875,2125.0,546.0,48365.0,,18/04/2020,03:30:14
62,7497,2627.0,650.0,49167.0,,18/04/2020,17:59:20
63,8261,2627.0,686.0,49570.0,,19/04/2020,23:00:27
64,8772,2627.0,712.0,49570.0,,21/04/2020,00:07:03
65,9501,2627.0,857.0,49570.0,,22/04/2020,01:00:09
66,10544,2627.0,970.0,49570.0,,23/04/2020,01:00:07
67,11633,2627.0,1069.0,49570.0,,23/04/2020,23:58:33
68,11633,2627.0,1069.0,51297.0,,24/04/2020,05:30:06
69,12872,2627.0,1221.0,51297.0,,25/04/2020,02:30:27
70,12872,7149.0,1221.0,51297.0,,25/04/2020,04:33:31
71,13842,7149.0,1305.0,51297.0,,25/04/2020,23:20:59
72,13842,7149.0,1305.0,65500.0,,26/04/2020,05:31:25
73,14677,8354.0,1351.0,67635.0,,27/04/2020,00:31:19
74,15529,9086.0,1434.0,71103.0,,28/04/2020,02:05:53
75,16752,11423.0,1569.0,77005.0,,29/04/2020,00:04:29
76,17799,11423.0,1732.0,77005.0,,30/04/2020,00:56:03
77,17799,11423.0,1732.0,81912.0,,30/04/2020,07:21:43
78,19224,11423.0,1859.0,81912.0,,01/05/2020,00:43:22
79,20739,12377.0,1972.0,81912.0,,02/05/2020,00:54:27
80,20739,12377.0,1972.0,91188.0,,02/05/2020,03:00:26
81,22088,12377.0,2061.0,91188.0,,03/05/2020,01:30:08
82,22088,13447.0,2061.0,91188.0,,03/05/2020,06:30:20
83,22088,13447.0,2061.0,93791.0,,03/05/2020,19:30:09
84,23471,13447.0,2154.0,93791.0,,04/05/2020,01:30:51
85,24905,13447.0,2271.0,100041.0,,05/05/2020,02:01:01
86,24905,15938.0,2271.0,100041.0,,05/05/2020,04:50:42
87,26025,16810.0,2507.0,100041.0,,06/05/2020,00:11:33
88,26025,16810.0,2507.0,105664.0,,06/05/2020,19:34:58
89,27634,16810.0,2704.0,105664.0,,07/05/2020,01:29:46
90,27634,17781.0,2704.0,105664.0,,07/05/2020,02:29:13
91,29616,17781.0,2961.0,110916.0,,07/05/2020,20:30:27
92,27634,17781.0,2704.0,105664.0,,07/05/2020,21:17:20
93,29616,17781.0,2961.0,110916.0,,08/05/2020,01:00:43
94,31522,17781.0,3160.0,110916.0,,09/05/2020,01:17:23
95,31522,20314.0,3160.0,123446.0,,09/05/2020,01:43:23
96,33460,20314.0,3353.0,123446.0,,10/05/2020,01:00:13
97,33460,21824.0,3353.0,128148.0,,10/05/2020,01:23:39
98,35022,21824.0,3465.0,128148.0,,11/05/2020,00:30:00
99,35022,23100.0,3465.0,130956.0,,11/05/2020,01:51:54
100,35022,21824.0,3465.0,128148.0,,11/05/2020,02:00:05
101,35022,23100.0,3465.0,130956.0,,11/05/2020,03:00:32
102,36327,23100.0,3573.0,135116.0,,12/05/2020,15:39:30
103,38324,25935.0,3926.0,135116.0,,13/05/2020,01:08:31
104,38324,25935.0,3926.0,142204.0,,13/05/2020,09:28:29
105,40186,25935.0,4220.0,142204.0,,14/05/2020,00:32:43
106,40186,26990.0,4220.0,142204.0,,14/05/2020,02:30:11
107,42595,28475.0,4477.0,142204.0,,14/05/2020,22:15:16
108,42595,28475.0,4477.0,155932.0,128755457.0,15/05/2020,05:31:30
109,45032,30451.0,4767.0,155932.0,128759156.0,16/05/2020,00:54:48
110,45032,30451.0,4767.0,163691.0,128759156.0,16/05/2020,01:31:52
111,47144,31848.0,5045.0,163691.0,128762855.0,17/05/2020,01:30:23
112,49219,33329.0,5177.0,163691.0,128766554.0,18/05/2020,01:10:15
113,49219,33329.0,5177.0,172294.0,128766554.0,18/05/2020,08:30:05
114,51633,35388.0,5332.0,177133.0,128770253.0,19/05/2020,01:10:18
115,54346,37325.0,5666.0,185755.0,128773952.0,20/05/2020,00:09:48
116,56594,38876.0,6090.0,185755.0,128777650.0,21/05/2020,07:23:54
117,59567,40657.0,6510.0,185755.0,128781349.0,22/05/2020,01:17:38
118,59567,40657.0,6510.0,201838.0,128781349.0,22/05/2020,02:28:26
119,62527,42725.0,6989.0,201838.0,128785048.0,23/05/2020,01:06:08
120,65856,44919.0,7179.0,215656.0,128788747.0,24/05/2020,01:00:10
121,68620,47424.0,7394.0,219164.0,128792446.0,25/05/2020,00:30:26
122,71105,49890.0,7633.0,219164.0,128796145.0,26/05/2020,00:52:25
123,71105,49890.0,7633.0,225650.0,128796145.0,26/05/2020,02:30:04
124,74560,52219.0,8134.0,225650.0,128799843.0,27/05/2020,01:31:05
125,74560,52219.0,8134.0,235129.0,128799843.0,27/05/2020,05:44:43
126,78023,54383.0,8597.0,244858.0,128803542.0,28/05/2020,01:00:14
127,81400,56638.0,9044.0,244858.0,128807241.0,29/05/2020,00:58:31
128,84627,59610.0,9415.0,244858.0,128810940.0,30/05/2020,01:28:24
129,87512,59610.0,9779.0,244858.0,128814639.0,31/05/2020,00:43:28
130,87512,59610.0,9779.0,270992.0,128814639.0,31/05/2020,00:47:35
131,87512,61871.0,9779.0,270992.0,128814639.0,31/05/2020,03:00:16
132,90664,64326.0,9930.0,270992.0,128818338.0,01/06/2020,00:49:03
133,93435,67491.0,10167.0,270992.0,128822037.0,02/06/2020,01:41:33
134,93435,67491.0,10167.0,282089.0,128822037.0,02/06/2020,05:36:55
135,97326,70308.0,10637.0,293078.0,128825735.0,03/06/2020,00:56:43
136,101238,73271.0,11728.0,293078.0,128829434.0,04/06/2020,00:42:30
137,101238,73271.0,11729.0,303461.0,128829434.0,04/06/2020,01:05:32
138,105680,75448.0,12545.0,314063.0,128833133.0,05/06/2020,01:00:48
139,110026,78590.0,13170.0,324897.0,128836832.0,06/06/2020,01:14:03
140,113619,81544.0,13511.0,332326.0,128840531.0,07/06/2020,01:01:01
141,117103,84419.0,13699.0,336395.0,128844230.0,08/06/2020,01:01:47
142,120102,87633.0,14053.0,344375.0,128847928.0,09/06/2020,01:06:13
143,124301,90748.0,14649.0,357055.0,128851627.0,10/06/2020,01:14:22
144,129184,93930.0,15357.0,369362.0,128855326.0,11/06/2020,02:30:13
145,133974,98064.0,15944.0,369362.0,128859025.0,12/06/2020,01:30:04
146,139196,101767.0,16448.0,393714.0,128862724.0,13/06/2020,01:00:38
147,142690,104975.0,16872.0,401755.0,128866423.0,14/06/2020,01:00:21
148,146837,108110.0,17141.0,406547.0,128870121.0,15/06/2020,02:30:19
149,150264,113006.0,17580.0,415097.0,128873820.0,16/06/2020,01:00:12
150,154863,116178.0,18310.0,428563.0,128877519.0,17/06/2020,01:00:15
151,159793,119355.0,19080.0,441670.0,128881218.0,18/06/2020,01:28:36
152,165455,123095.0,19747.0,453481.0,128884917.0,19/06/2020,01:22:23
153,170485,127332.0,20394.0,465867.0,128888616.0,20/06/2020,01:30:13
154,175202,131686.0,20781.0,473952.0,128892314.0,21/06/2020,01:01:41
155,180545,135279.0,21825.0,479528.0,128896013.0,22/06/2020,01:02:29
156,185122,140118.0,22584.0,488550.0,128899712.0,23/06/2020,00:35:37
157,191410,144448.0,23377.0,501871.0,128903411.0,24/06/2020,01:02:45
158,196847,149318.0,24324.0,515658.0,128907110.0,25/06/2020,01:30:31
159,202951,149318.0,25060.0,515658.0,128910809.0,26/06/2020,01:30:05
160,202951,149318.0,25060.0,528651.0,128910809.0,26/06/2020,02:00:04
161,202951,116862.0,25060.0,528651.0,128910809.0,26/06/2020,03:30:04
162,208392,120562.0,25779.0,542120.0,128914507.0,27/06/2020,01:30:26
163,212802,123797.0,26381.0,551052.0,128918206.0,28/06/2020,01:11:39
164,216852,126843.0,26648.0,551052.0,128921905.0,29/06/2020,01:01:05
165,216852,126843.0,26648.0,556198.0,128921905.0,29/06/2020,01:05:16
166,220657,131264.0,27121.0,566602.0,128925604.0,30/06/2020,01:38:28
167,226089,134957.0,27769.0,581580.0,128929303.0,01/07/2020,00:56:23
168,231770,138319.0,28510.0,595917.0,128933002.0,02/07/2020,01:28:14
169,238511,142593.0,29189.0,610495.0,128936700.0,03/07/2020,01:24:38
170,245251,147205.0,29843.0,624987.0,128940399.0,04/07/2020,01:00:25
171,252165,147205.0,30366.0,634991.0,128944098.0,05/07/2020,01:30:48
172,252165,152309.0,30366.0,634991.0,128944098.0,05/07/2020,02:00:18
173,256848,155604.0,30639.0,641142.0,128947797.0,06/07/2020,01:30:42
174,261750,159657.0,31119.0,641142.0,128951496.0,07/07/2020,01:32:08
175,268008,163646.0,32014.0,641142.0,128955195.0,08/07/2020,01:09:37
176,268008,163646.0,32014.0,668537.0,128955195.0,08/07/2020,05:48:09
177,275003,167795.0,32796.0,684804.0,128958893.0,09/07/2020,01:30:25
178,282283,172230.0,33526.0,699944.0,128962592.0,10/07/2020,01:00:23
179,289174,177097.0,34191.0,715295.0,128966291.0,11/07/2020,02:00:59
180,295268,180852.0,34730.0,723668.0,128969990.0,12/07/2020,01:02:10
181,299750,184764.0,35006.0,728484.0,128973689.0,13/07/2020,01:32:41
182,304435,189063.0,35491.0,739922.0,128977388.0,14/07/2020,01:23:01
183,311486,193976.0,36327.0,756137.0,128981086.0,15/07/2020,01:01:24
184,317635,199129.0,36906.0,768457.0,128984785.0,16/07/2020,01:33:50
185,324041,203464.0,37574.0,782063.0,128988484.0,17/07/2020,01:46:42
186,331298,208436.0,38310.0,799178.0,128992183.0,18/07/2020,01:33:20
187,338913,213006.0,38888.0,814653.0,128995882.0,19/07/2020,01:30:30
188,344224,217423.0,39184.0,821922.0,128999581.0,20/07/2020,01:30:06
189,349396,222068.0,39485.0,827951.0,129003279.0,21/07/2020,01:35:37
190,356255,227165.0,40400.0,845272.0,129006978.0,22/07/2020,01:13:39
191,362274,231403.0,41190.0,861852.0,129010677.0,23/07/2020,01:31:57
192,370712,236209.0,41908.0,879608.0,129014376.0,24/07/2020,01:24:32
193,378285,242692.0,42645.0,896124.0,129018075.0,25/07/2020,01:16:05
